N EXPEDIENTE,FECHA,AUX-FECHA,HORA,AUX-HORA,DATE,URI-DATE,HORA INTERVALO,CALLE 1,AUX-CALLE 1,CALLE 2,AUX-CALLE 2,NUMERO,URI-CRUCE,DISTRITO,URI-DISTRITO,TIPO ACCIDENTE,ESTADO METEREOLÓGICO,TIPO VEHÍCULO,AUX-TIPO VEHÍCULO,TIPO PERSONA,AUX-TIPO PERSONA,RANGO DE EDAD,SEXO,AUX-SEXO,LESIVIDAD,URI-PERSONA
2020S000061,01/01/2020,01012020,15:50,1550,2020-01-01T15:50:00Z,01012020-1550,15:00-15:59,AVDA. VIRGEN DEL CARMEN,avda-virgen-del-carmen,,,1,avda-virgen-del-carmen%1,HORTALEZA,hortaleza,Colisión fronto-lateral,Despejado,Turismo,turismo,Conductor,conductor,,,,,conductor%turismo
2020S000229,01/01/2020,01012020,15:00,1500,2020-01-01T15:00:00Z,01012020-1500,15:00-15:59,CALL. ARGÜESO,call-argüeso,,,31,call-argüeso%31,CARABANCHEL,carabanchel,Colisión lateral,Despejado,Turismo,turismo,Conductor,conductor,50-54,Hombre,hombre,6,hombre%50-54%conductor%turismo%6
2020S000229,01/01/2020,01012020,15:00,1500,2020-01-01T15:00:00Z,01012020-1500,15:00-15:59,CALL. ARGÜESO,call-argüeso,,,31,call-argüeso%31,CARABANCHEL,carabanchel,Colisión lateral,Despejado,Turismo,turismo,Conductor,conductor,,,,,conductor%turismo
2020S000229,01/01/2020,01012020,15:00,1500,2020-01-01T15:00:00Z,01012020-1500,15:00-15:59,CALL. ARGÜESO,call-argüeso,,,31,call-argüeso%31,CARABANCHEL,carabanchel,Colisión lateral,Despejado,Turismo,turismo,Conductor,conductor,,,,,conductor%turismo
2020S000229,01/01/2020,01012020,15:00,1500,2020-01-01T15:00:00Z,01012020-1500,15:00-15:59,CALL. ARGÜESO,call-argüeso,,,31,call-argüeso%31,CARABANCHEL,carabanchel,Colisión lateral,Despejado,Turismo,turismo,Conductor,conductor,,,,,conductor%turismo
2020S000229,01/01/2020,01012020,15:00,1500,2020-01-01T15:00:00Z,01012020-1500,15:00-15:59,CALL. ARGÜESO,call-argüeso,,,31,call-argüeso%31,CARABANCHEL,carabanchel,Colisión lateral,Despejado,Turismo,turismo,Conductor,conductor,,,,,conductor%turismo
2020S000229,01/01/2020,01012020,15:00,1500,2020-01-01T15:00:00Z,01012020-1500,15:00-15:59,CALL. ARGÜESO,call-argüeso,,,31,call-argüeso%31,CARABANCHEL,carabanchel,Colisión lateral,Despejado,Turismo,turismo,Conductor,conductor,,,,,conductor%turismo
2020S000032,01/01/2020,01012020,14:22,1422,2020-01-01T14:22:00Z,01012020-1422,14:00-14:59,CALL. ALFONSO XIII,call-alfonso-xiii,,,1,call-alfonso-xiii%1,PUENTE DE VALLECAS,puente-de-vallecas,Colisión lateral,Despejado,Turismo,turismo,Conductor,conductor,55-59,Hombre,hombre,,hombre%55-59%conductor%turismo
2020S000032,01/01/2020,01012020,14:22,1422,2020-01-01T14:22:00Z,01012020-1422,14:00-14:59,CALL. ALFONSO XIII,call-alfonso-xiii,,,1,call-alfonso-xiii%1,PUENTE DE VALLECAS,puente-de-vallecas,Colisión lateral,Despejado,Turismo,turismo,Conductor,conductor,,,,,conductor%turismo
2020S000424,01/01/2020,01012020,14:20,1420,2020-01-01T14:20:00Z,01012020-1420,14:00-14:59,AVDA. FRANCISCO JAVIER SAENZ DE OIZA,avda-francisco-javier-saenz-de-oiza,GTA. JUAN DE HARO,gta-juan-de-haro,,avda-francisco-javier-saenz-de-oiza%gta-juan-de-haro,HORTALEZA,hortaleza,Choque contra obstáculo fijo,Despejado,Motocicleta > 125cc,motocicleta->-125cc,Conductor,conductor,35-39,Hombre,hombre,1,hombre%35-39%conductor%motocicleta->-125cc%1
2020S000043,01/01/2020,01012020,14:14,1414,2020-01-01T14:14:00Z,01012020-1414,14:00-14:59,"AUTOV. M-30, KM 11,800 CALZADA 2","autov-m-30,-km-11,800-calzada-2",,,,"autov-m-30,-km-11,800-calzada-2",PUENTE DE VALLECAS,puente-de-vallecas,Alcance,Despejado,Turismo,turismo,Conductor,conductor,40-44,Hombre,hombre,14,hombre%40-44%conductor%turismo%14
2020S000043,01/01/2020,01012020,14:14,1414,2020-01-01T14:14:00Z,01012020-1414,14:00-14:59,"AUTOV. M-30, KM 11,800 CALZADA 2","autov-m-30,-km-11,800-calzada-2",,,,"autov-m-30,-km-11,800-calzada-2",PUENTE DE VALLECAS,puente-de-vallecas,Alcance,Despejado,Turismo,turismo,Pasajero,pasajero,50-54,Mujer,mujer,1,mujer%50-54%pasajero%turismo%1
2020S000043,01/01/2020,01012020,14:14,1414,2020-01-01T14:14:00Z,01012020-1414,14:00-14:59,"AUTOV. M-30, KM 11,800 CALZADA 2","autov-m-30,-km-11,800-calzada-2",,,,"autov-m-30,-km-11,800-calzada-2",PUENTE DE VALLECAS,puente-de-vallecas,Alcance,Despejado,Turismo,turismo,Conductor,conductor,30-34,Mujer,mujer,14,mujer%30-34%conductor%turismo%14
2020S000043,01/01/2020,01012020,14:14,1414,2020-01-01T14:14:00Z,01012020-1414,14:00-14:59,"AUTOV. M-30, KM 11,800 CALZADA 2","autov-m-30,-km-11,800-calzada-2",,,,"autov-m-30,-km-11,800-calzada-2",PUENTE DE VALLECAS,puente-de-vallecas,Alcance,Despejado,Turismo,turismo,Pasajero,pasajero,60-64,Mujer,mujer,14,mujer%60-64%pasajero%turismo%14
2020S000043,01/01/2020,01012020,14:14,1414,2020-01-01T14:14:00Z,01012020-1414,14:00-14:59,"AUTOV. M-30, KM 11,800 CALZADA 2","autov-m-30,-km-11,800-calzada-2",,,,"autov-m-30,-km-11,800-calzada-2",PUENTE DE VALLECAS,puente-de-vallecas,Alcance,Despejado,Turismo,turismo,Conductor,conductor,45-49,Hombre,hombre,14,hombre%45-49%conductor%turismo%14
2020S000043,01/01/2020,01012020,14:14,1414,2020-01-01T14:14:00Z,01012020-1414,14:00-14:59,"AUTOV. M-30, KM 11,800 CALZADA 2","autov-m-30,-km-11,800-calzada-2",,,,"autov-m-30,-km-11,800-calzada-2",PUENTE DE VALLECAS,puente-de-vallecas,Alcance,Despejado,Turismo,turismo,Pasajero,pasajero,45-49,Mujer,mujer,14,mujer%45-49%pasajero%turismo%14
2020S000090,01/01/2020,01012020,14:10,1410,2020-01-01T14:10:00Z,01012020-1410,14:00-14:59,PLAZA. GRECIA,plaza-grecia,AVDA. LUIS ARAGONES,avda-luis-aragones,,plaza-grecia%avda-luis-aragones,SAN BLAS-CANILLEJAS,san-blas-canillejas,Alcance,Despejado,Turismo,turismo,Conductor,conductor,45-49,Hombre,hombre,,hombre%45-49%conductor%turismo
2020S000090,01/01/2020,01012020,14:10,1410,2020-01-01T14:10:00Z,01012020-1410,14:00-14:59,PLAZA. GRECIA,plaza-grecia,AVDA. LUIS ARAGONES,avda-luis-aragones,,plaza-grecia%avda-luis-aragones,SAN BLAS-CANILLEJAS,san-blas-canillejas,Alcance,Despejado,Turismo,turismo,Pasajero,pasajero,45-49,Mujer,mujer,,mujer%45-49%pasajero%turismo
2020S000090,01/01/2020,01012020,14:10,1410,2020-01-01T14:10:00Z,01012020-1410,14:00-14:59,PLAZA. GRECIA,plaza-grecia,AVDA. LUIS ARAGONES,avda-luis-aragones,,plaza-grecia%avda-luis-aragones,SAN BLAS-CANILLEJAS,san-blas-canillejas,Alcance,Despejado,Turismo,turismo,Pasajero,pasajero,,Hombre,hombre,,hombre%pasajero%turismo
2020S000090,01/01/2020,01012020,14:10,1410,2020-01-01T14:10:00Z,01012020-1410,14:00-14:59,PLAZA. GRECIA,plaza-grecia,AVDA. LUIS ARAGONES,avda-luis-aragones,,plaza-grecia%avda-luis-aragones,SAN BLAS-CANILLEJAS,san-blas-canillejas,Alcance,Despejado,Turismo,turismo,Pasajero,pasajero,,Hombre,hombre,,hombre%pasajero%turismo
2020S000090,01/01/2020,01012020,14:10,1410,2020-01-01T14:10:00Z,01012020-1410,14:00-14:59,PLAZA. GRECIA,plaza-grecia,AVDA. LUIS ARAGONES,avda-luis-aragones,,plaza-grecia%avda-luis-aragones,SAN BLAS-CANILLEJAS,san-blas-canillejas,Alcance,Despejado,Turismo,turismo,Conductor,conductor,,,,,conductor%turismo
2020S000045,01/01/2020,01012020,13:00,1300,2020-01-01T13:00:00Z,01012020-1300,13:00-13:59,AVDA. ALBUFERA,avda-albufera,,,67,avda-albufera%67,PUENTE DE VALLECAS,puente-de-vallecas,Choque contra obstáculo fijo,,Turismo,turismo,Conductor,conductor,40-44,Hombre,hombre,,hombre%40-44%conductor%turismo
2020S000047,01/01/2020,01012020,12:39,1239,2020-01-01T12:39:00Z,01012020-1239,12:00-12:59,CALL. ANSAR,call-ansar,,,82,call-ansar%82,LATINA,latina,Choque contra obstáculo fijo,Despejado,Turismo,turismo,Conductor,conductor,18-20,Hombre,hombre,14,hombre%18-20%conductor%turismo%14
2020S000198,01/01/2020,01012020,12:25,1225,2020-01-01T12:25:00Z,01012020-1225,12:00-12:59,AVDA. CIUDAD DE BARCELONA,avda-ciudad-de-barcelona,,,10,avda-ciudad-de-barcelona%10,RETIRO,retiro,Choque contra obstáculo fijo,Despejado,Turismo,turismo,Conductor,conductor,65-69,Hombre,hombre,7,hombre%65-69%conductor%turismo%7
2020S000198,01/01/2020,01012020,12:25,1225,2020-01-01T12:25:00Z,01012020-1225,12:00-12:59,AVDA. CIUDAD DE BARCELONA,avda-ciudad-de-barcelona,,,10,avda-ciudad-de-barcelona%10,RETIRO,retiro,Choque contra obstáculo fijo,Despejado,Turismo,turismo,Pasajero,pasajero,35-39,Mujer,mujer,7,mujer%35-39%pasajero%turismo%7
2020S000206,01/01/2020,01012020,12:00,1200,2020-01-01T12:00:00Z,01012020-1200,12:00-12:59,TRVA. COSTA BRAVA,trva-costa-brava,CALL. COSTA BRAVA,call-costa-brava,,trva-costa-brava%call-costa-brava,FUENCARRAL-EL PARDO,fuencarral-el-pardo,Choque contra obstáculo fijo,Despejado,Turismo,turismo,Conductor,conductor,45-49,Mujer,mujer,,mujer%45-49%conductor%turismo
2020S000206,01/01/2020,01012020,12:00,1200,2020-01-01T12:00:00Z,01012020-1200,12:00-12:59,TRVA. COSTA BRAVA,trva-costa-brava,CALL. COSTA BRAVA,call-costa-brava,,trva-costa-brava%call-costa-brava,FUENCARRAL-EL PARDO,fuencarral-el-pardo,Choque contra obstáculo fijo,Despejado,Turismo,turismo,Pasajero,pasajero,18-20,Hombre,hombre,,hombre%18-20%pasajero%turismo
2020S000206,01/01/2020,01012020,12:00,1200,2020-01-01T12:00:00Z,01012020-1200,12:00-12:59,TRVA. COSTA BRAVA,trva-costa-brava,CALL. COSTA BRAVA,call-costa-brava,,trva-costa-brava%call-costa-brava,FUENCARRAL-EL PARDO,fuencarral-el-pardo,Choque contra obstáculo fijo,Despejado,Turismo,turismo,Pasajero,pasajero,15-17,Mujer,mujer,,mujer%15-17%pasajero%turismo
2020S000022,01/01/2020,01012020,10:00,1000,2020-01-01T10:00:00Z,01012020-1000,10:00-10:59,"PLAZA. AGUSTIN GONZALEZ,  CON AVDA DAROCA","plaza-agustin-gonzalez,--con-avda-daroca",,,,"plaza-agustin-gonzalez,--con-avda-daroca",CIUDAD LINEAL,ciudad-lineal,Alcance,Despejado,Turismo,turismo,Conductor,conductor,,Hombre,hombre,14,hombre%conductor%turismo%14
2020S000022,01/01/2020,01012020,10:00,1000,2020-01-01T10:00:00Z,01012020-1000,10:00-10:59,"PLAZA. AGUSTIN GONZALEZ,  CON AVDA DAROCA","plaza-agustin-gonzalez,--con-avda-daroca",,,,"plaza-agustin-gonzalez,--con-avda-daroca",CIUDAD LINEAL,ciudad-lineal,Alcance,Despejado,Turismo,turismo,Conductor,conductor,55-59,Hombre,hombre,14,hombre%55-59%conductor%turismo%14
2020S000025,01/01/2020,01012020,10:00,1000,2020-01-01T10:00:00Z,01012020-1000,10:00-10:59,"AUTOV. M-30, +00900I","autov-m-30,-+00900i",,,,"autov-m-30,-+00900i",RETIRO,retiro,Alcance,,Turismo,turismo,Conductor,conductor,40-44,Hombre,hombre,14,hombre%40-44%conductor%turismo%14
2020S000025,01/01/2020,01012020,10:00,1000,2020-01-01T10:00:00Z,01012020-1000,10:00-10:59,"AUTOV. M-30, +00900I","autov-m-30,-+00900i",,,,"autov-m-30,-+00900i",RETIRO,retiro,Alcance,,Turismo,turismo,Conductor,conductor,21-24,Hombre,hombre,14,hombre%21-24%conductor%turismo%14
2020S000142,01/01/2020,01012020,9:40,0940,2020-01-01T09:40:00Z,01012020-0940,09:00-09:59,GINZO LIMIA,ginzo-limia,,,43,ginzo-limia%43,FUENCARRAL-EL PARDO,fuencarral-el-pardo,Choque contra obstáculo fijo,Despejado,Turismo,turismo,Conductor,conductor,,,,,conductor%turismo
2020S000142,01/01/2020,01012020,9:40,0940,2020-01-01T09:40:00Z,01012020-0940,09:00-09:59,GINZO LIMIA,ginzo-limia,,,43,ginzo-limia%43,FUENCARRAL-EL PARDO,fuencarral-el-pardo,Choque contra obstáculo fijo,Despejado,Turismo,turismo,Pasajero,pasajero,35-39,Hombre,hombre,14,hombre%35-39%pasajero%turismo%14
2020S000142,01/01/2020,01012020,9:40,0940,2020-01-01T09:40:00Z,01012020-0940,09:00-09:59,GINZO LIMIA,ginzo-limia,,,43,ginzo-limia%43,FUENCARRAL-EL PARDO,fuencarral-el-pardo,Choque contra obstáculo fijo,Despejado,Turismo,turismo,Pasajero,pasajero,30-34,Mujer,mujer,7,mujer%30-34%pasajero%turismo%7
2020S000142,01/01/2020,01012020,9:40,0940,2020-01-01T09:40:00Z,01012020-0940,09:00-09:59,GINZO LIMIA,ginzo-limia,,,43,ginzo-limia%43,FUENCARRAL-EL PARDO,fuencarral-el-pardo,Choque contra obstáculo fijo,Despejado,Turismo,turismo,Pasajero,pasajero,25-29,Hombre,hombre,14,hombre%25-29%pasajero%turismo%14
2020S000021,01/01/2020,01012020,9:30,0930,2020-01-01T09:30:00Z,01012020-0930,09:00-09:59,CALL. LUIS BUÑUEL,call-luis-buñuel,,,2,call-luis-buñuel%2,PUENTE DE VALLECAS,puente-de-vallecas,Choque contra obstáculo fijo,Despejado,Turismo,turismo,Conductor,conductor,18-20,Hombre,hombre,14,hombre%18-20%conductor%turismo%14
2020S000021,01/01/2020,01012020,9:30,0930,2020-01-01T09:30:00Z,01012020-0930,09:00-09:59,CALL. LUIS BUÑUEL,call-luis-buñuel,,,2,call-luis-buñuel%2,PUENTE DE VALLECAS,puente-de-vallecas,Choque contra obstáculo fijo,Despejado,Turismo,turismo,Conductor,conductor,,,,,conductor%turismo
2020S000020,01/01/2020,01012020,9:15,0915,2020-01-01T09:15:00Z,01012020-0915,09:00-09:59,CALL. PARADOR DEL SOL,call-parador-del-sol,CALL. FERNAN CABALLERO,call-fernan-caballero,,call-parador-del-sol%call-fernan-caballero,CARABANCHEL,carabanchel,Colisión fronto-lateral,Despejado,Turismo,turismo,Conductor,conductor,25-29,Hombre,hombre,7,hombre%25-29%conductor%turismo%7
2020S000020,01/01/2020,01012020,9:15,0915,2020-01-01T09:15:00Z,01012020-0915,09:00-09:59,CALL. PARADOR DEL SOL,call-parador-del-sol,CALL. FERNAN CABALLERO,call-fernan-caballero,,call-parador-del-sol%call-fernan-caballero,CARABANCHEL,carabanchel,Colisión fronto-lateral,Despejado,Todo terreno,todo-terreno,Conductor,conductor,25-29,Hombre,hombre,14,hombre%25-29%conductor%todo-terreno%14
2020S000020,01/01/2020,01012020,9:15,0915,2020-01-01T09:15:00Z,01012020-0915,09:00-09:59,CALL. PARADOR DEL SOL,call-parador-del-sol,CALL. FERNAN CABALLERO,call-fernan-caballero,,call-parador-del-sol%call-fernan-caballero,CARABANCHEL,carabanchel,Colisión fronto-lateral,Despejado,Todo terreno,todo-terreno,Pasajero,pasajero,25-29,Mujer,mujer,14,mujer%25-29%pasajero%todo-terreno%14
2020S000013,01/01/2020,01012020,8:30,0830,2020-01-01T08:30:00Z,01012020-0830,08:00-08:59,AVDA. LUIS ARAGONES,avda-luis-aragones,,,12,avda-luis-aragones%12,SAN BLAS-CANILLEJAS,san-blas-canillejas,Solo salida de la vía,Despejado,Turismo,turismo,Conductor,conductor,30-34,Mujer,mujer,,mujer%30-34%conductor%turismo
2020S000018,01/01/2020,01012020,7:30,0730,2020-01-01T07:30:00Z,01012020-0730,07:00-07:59,CALL. GENOVA,call-genova,,,16,call-genova%16,CENTRO,centro,Alcance,Despejado,Turismo,turismo,Conductor,conductor,45-49,Mujer,mujer,,mujer%45-49%conductor%turismo
2020S000018,01/01/2020,01012020,7:30,0730,2020-01-01T07:30:00Z,01012020-0730,07:00-07:59,CALL. GENOVA,call-genova,,,16,call-genova%16,CENTRO,centro,Alcance,Despejado,Motocicleta hasta 125cc,motocicleta-hasta-125cc,Conductor,conductor,30-34,Hombre,hombre,,hombre%30-34%conductor%motocicleta-hasta-125cc
2020S000009,01/01/2020,01012020,7:10,0710,2020-01-01T07:10:00Z,01012020-0710,07:00-07:59,CALL. FRANCISCO SILVELA,call-francisco-silvela,CALL. MALDONADO,call-maldonado,,call-francisco-silvela%call-maldonado,SALAMANCA,salamanca,Colisión fronto-lateral,Despejado,Ciclomotor,ciclomotor,Conductor,conductor,25-29,Hombre,hombre,,hombre%25-29%conductor%ciclomotor
2020S000009,01/01/2020,01012020,7:10,0710,2020-01-01T07:10:00Z,01012020-0710,07:00-07:59,CALL. FRANCISCO SILVELA,call-francisco-silvela,CALL. MALDONADO,call-maldonado,,call-francisco-silvela%call-maldonado,SALAMANCA,salamanca,Colisión fronto-lateral,Despejado,Turismo,turismo,Conductor,conductor,40-44,Hombre,hombre,,hombre%40-44%conductor%turismo
2020S000009,01/01/2020,01012020,7:10,0710,2020-01-01T07:10:00Z,01012020-0710,07:00-07:59,CALL. FRANCISCO SILVELA,call-francisco-silvela,CALL. MALDONADO,call-maldonado,,call-francisco-silvela%call-maldonado,SALAMANCA,salamanca,Colisión fronto-lateral,Despejado,Turismo,turismo,Pasajero,pasajero,55-59,Mujer,mujer,,mujer%55-59%pasajero%turismo
