N EXPEDIENTE,FECHA,HORA,DATE,HORA INTERVALO,CALLE 1,AUX-CALLE 1,CALLE 2,AUX-CALLE 2,NUMERO,CRUCE LABEL,URI-CRUCE,DISTRITO,URI-DISTRITO-Wikidata,URI-DISTRITO,TIPO ACCIDENTE,URI-TIPO ACCIDENTE,ESTADO METEREOLÓGICO,TIPO VEHÍCULO,URI-TIPO VEHÍCULO,TIPO PERSONA,URI-TIPO PERSONA,RANGO DE EDAD,SEXO,URI-SEXO,URI-PERSONA,LESIVIDAD,PERSONA LABEL
2020S000229,01/01/2020,15:00,2020-01-01T15:00:00Z,15:00-15:59,CALL. ARGÜESO,call-argüeso,,,31,CALL. ARGÜESO  - 31,call-argüeso%31,Carabanchel,https://www.wikidata.org/wiki/Q1001991,carabanchel,Colisión lateral,colisión-lateral,Despejado,Turismo,turismo,Conductor,conductor,,,,,,
2020S000229,01/01/2020,15:00,2020-01-01T15:00:00Z,15:00-15:59,CALL. ARGÜESO,call-argüeso,,,31,CALL. ARGÜESO  - 31,call-argüeso%31,Carabanchel,https://www.wikidata.org/wiki/Q1001991,carabanchel,Colisión lateral,colisión-lateral,Despejado,Turismo,turismo,Conductor,conductor,,,,,,
2020S000229,01/01/2020,15:00,2020-01-01T15:00:00Z,15:00-15:59,CALL. ARGÜESO,call-argüeso,,,31,CALL. ARGÜESO  - 31,call-argüeso%31,Carabanchel,https://www.wikidata.org/wiki/Q1001991,carabanchel,Colisión lateral,colisión-lateral,Despejado,Turismo,turismo,Conductor,conductor,,,,,,
2020S000229,01/01/2020,15:00,2020-01-01T15:00:00Z,15:00-15:59,CALL. ARGÜESO,call-argüeso,,,31,CALL. ARGÜESO  - 31,call-argüeso%31,Carabanchel,https://www.wikidata.org/wiki/Q1001991,carabanchel,Colisión lateral,colisión-lateral,Despejado,Turismo,turismo,Conductor,conductor,,,,,,
2020S000229,01/01/2020,15:00,2020-01-01T15:00:00Z,15:00-15:59,CALL. ARGÜESO,call-argüeso,,,31,CALL. ARGÜESO  - 31,call-argüeso%31,Carabanchel,https://www.wikidata.org/wiki/Q1001991,carabanchel,Colisión lateral,colisión-lateral,Despejado,Turismo,turismo,Conductor,conductor,,,,,,
2020S000032,01/01/2020,14:22,2020-01-01T14:22:00Z,14:00-14:59,CALL. ALFONSO XIII,call-alfonso-xiii,,,1,CALL. ALFONSO XIII  - 1,call-alfonso-xiii%1,Puente de Vallecas,https://www.wikidata.org/wiki/Q2003054,puente-de-vallecas,Colisión lateral,colisión-lateral,Despejado,Turismo,turismo,Conductor,conductor,55-59,Hombre,hombre,hombre%55-59,,Hombre entre 55 y 59 años
2020S000032,01/01/2020,14:22,2020-01-01T14:22:00Z,14:00-14:59,CALL. ALFONSO XIII,call-alfonso-xiii,,,1,CALL. ALFONSO XIII  - 1,call-alfonso-xiii%1,Puente de Vallecas,https://www.wikidata.org/wiki/Q2003054,puente-de-vallecas,Colisión lateral,colisión-lateral,Despejado,Turismo,turismo,Conductor,conductor,,,,,,
2020S000424,01/01/2020,14:20,2020-01-01T14:20:00Z,14:00-14:59,AVDA. FRANCISCO JAVIER SAENZ DE OIZA,avda-francisco-javier-saenz-de-oiza,GTA. JUAN DE HARO,gta-juan-de-haro,,AVDA.FRANCISCOJAVIERSAENZDEOIZA-GTA.JUANDEHARO,avda-francisco-javier-saenz-de-oiza%gta-juan-de-haro,Hortaleza,https://www.wikidata.org/wiki/Q1928529,hortaleza,Choque contra obstáculo fijo,choque-contra-obstáculo-fijo,Despejado,Motocicleta > 125cc,motocicleta->-125cc,Conductor,conductor,35-39,Hombre,hombre,hombre%35-39%1,1,Hombre entre 35 y 39 años
2020S000043,01/01/2020,14:14,2020-01-01T14:14:00Z,14:00-14:59,"AUTOV. M-30, KM 11,800 CALZADA 2","autov-m-30,-km-11,800-calzada-2",,,,"AUTOV.M-30,KM11,800CALZADA2","autov-m-30,-km-11,800-calzada-2",Puente de Vallecas,https://www.wikidata.org/wiki/Q2003054,puente-de-vallecas,Alcance,alcance,Despejado,Turismo,turismo,Conductor,conductor,40-44,Hombre,hombre,hombre%40-44%14,14,Hombre entre 40 y 44 años
2020S000043,01/01/2020,14:14,2020-01-01T14:14:00Z,14:00-14:59,"AUTOV. M-30, KM 11,800 CALZADA 2","autov-m-30,-km-11,800-calzada-2",,,,"AUTOV.M-30,KM11,800CALZADA2","autov-m-30,-km-11,800-calzada-2",Puente de Vallecas,https://www.wikidata.org/wiki/Q2003054,puente-de-vallecas,Alcance,alcance,Despejado,Turismo,turismo,Pasajero,pasajero,50-54,Mujer,mujer,mujer%50-54%1,1,Mujer entre 50 y 54 años
2020S000043,01/01/2020,14:14,2020-01-01T14:14:00Z,14:00-14:59,"AUTOV. M-30, KM 11,800 CALZADA 2","autov-m-30,-km-11,800-calzada-2",,,,"AUTOV.M-30,KM11,800CALZADA2","autov-m-30,-km-11,800-calzada-2",Puente de Vallecas,https://www.wikidata.org/wiki/Q2003054,puente-de-vallecas,Alcance,alcance,Despejado,Turismo,turismo,Conductor,conductor,30-34,Mujer,mujer,mujer%30-34%14,14,Mujer entre 30 y 34 años
2020S000043,01/01/2020,14:14,2020-01-01T14:14:00Z,14:00-14:59,"AUTOV. M-30, KM 11,800 CALZADA 2","autov-m-30,-km-11,800-calzada-2",,,,"AUTOV.M-30,KM11,800CALZADA2","autov-m-30,-km-11,800-calzada-2",Puente de Vallecas,https://www.wikidata.org/wiki/Q2003054,puente-de-vallecas,Alcance,alcance,Despejado,Turismo,turismo,Pasajero,pasajero,60-64,Mujer,mujer,mujer%60-64%14,14,Mujer entre 60 y 64 años
2020S000043,01/01/2020,14:14,2020-01-01T14:14:00Z,14:00-14:59,"AUTOV. M-30, KM 11,800 CALZADA 2","autov-m-30,-km-11,800-calzada-2",,,,"AUTOV.M-30,KM11,800CALZADA2","autov-m-30,-km-11,800-calzada-2",Puente de Vallecas,https://www.wikidata.org/wiki/Q2003054,puente-de-vallecas,Alcance,alcance,Despejado,Turismo,turismo,Conductor,conductor,45-49,Hombre,hombre,hombre%45-49%14,14,Hombre entre 45 y 49 años
2020S000043,01/01/2020,14:14,2020-01-01T14:14:00Z,14:00-14:59,"AUTOV. M-30, KM 11,800 CALZADA 2","autov-m-30,-km-11,800-calzada-2",,,,"AUTOV.M-30,KM11,800CALZADA2","autov-m-30,-km-11,800-calzada-2",Puente de Vallecas,https://www.wikidata.org/wiki/Q2003054,puente-de-vallecas,Alcance,alcance,Despejado,Turismo,turismo,Pasajero,pasajero,45-49,Mujer,mujer,mujer%45-49%14,14,Mujer entre 45 y 49 años
