Nombre_distrito,NombreDistritoURI,dbpedia:Distrito,Num_Distrito,NOMBRE_ESPECIE,NombreEspecieURI,dbpedia:Especie,Num_Unidades
Retiro,Retiro (Madrid),http://dbpedia.org/resource/Category:Retiro_(Madrid),3,Robinia pseudoacacia,Robinia pseudoacacia,http://dbpedia.org/resource/Robinia_pseudoacacia,487
Retiro,Retiro (Madrid),http://dbpedia.org/resource/Category:Retiro_(Madrid),3,Pinus pinea,Pinus pinea,http://dbpedia.org/resource/Pinus_pinea,892
Retiro,Retiro (Madrid),http://dbpedia.org/resource/Category:Retiro_(Madrid),3,Ligustrum japonicum,Ligustrum japonicum,http://dbpedia.org/resource/Ligustrum_japonicum,981
Retiro,Retiro (Madrid),http://dbpedia.org/resource/Category:Retiro_(Madrid),3,Ulmus pumila,Ulmus pumila,http://dbpedia.org/resource/Ulmus_pumila,1948
Retiro,Retiro (Madrid),http://dbpedia.org/resource/Category:Retiro_(Madrid),3,Sophora japonica,Sophora japonica,http://dbpedia.org/resource/Sophora_japonica,2297
Retiro,Retiro (Madrid),http://dbpedia.org/resource/Category:Retiro_(Madrid),3,Platanus x hybrida,Platanus hybrida,http://dbpedia.org/resource/Platanus_hybrida,2585
Salamanca,Salamanca (Madrid),http://dbpedia.org/resource/Category:Salamanca_(Madrid),4,PopulusÂ alba 'bolleana',Populus sect. Populus,http://dbpedia.org/resource/Populus_sect._Populus,361
Salamanca,Salamanca (Madrid),http://dbpedia.org/resource/Category:Salamanca_(Madrid),4,Acer negundo,Acer negundo,http://dbpedia.org/resource/Acer_negundo,404
Salamanca,Salamanca (Madrid),http://dbpedia.org/resource/Category:Salamanca_(Madrid),4,Prunus cerasifera pisardii,Prunus cerasifera,http://dbpedia.org/resource/Cherry_plum,545
Salamanca,Salamanca (Madrid),http://dbpedia.org/resource/Category:Salamanca_(Madrid),4,Robinia pseudoacacia,Robinia pseudoacacia,http://dbpedia.org/resource/Robinia_pseudoacacia,581
Salamanca,Salamanca (Madrid),http://dbpedia.org/resource/Category:Salamanca_(Madrid),4,Aesculus hippocastanum,Aesculus hippocastanum,http://dbpedia.org/resource/Aesculus_hippocastanum,667
Salamanca,Salamanca (Madrid),http://dbpedia.org/resource/Category:Salamanca_(Madrid),4,Ulmus pumila,Ulmus pumila,http://dbpedia.org/resource/Ulmus_pumila,912
Salamanca,Salamanca (Madrid),http://dbpedia.org/resource/Category:Salamanca_(Madrid),4,Pinus pinea,Pinus pinea,http://dbpedia.org/resource/Pinus_pinea,928
Salamanca,Salamanca (Madrid),http://dbpedia.org/resource/Category:Salamanca_(Madrid),4,Ligustrum japonicum,Ligustrum japonicum,http://dbpedia.org/resource/Ligustrum_japonicum,1854
Salamanca,Salamanca (Madrid),http://dbpedia.org/resource/Category:Salamanca_(Madrid),4,Platanus x hybrida,Platanus hybrida,http://dbpedia.org/resource/Platanus_hybrida,2497
Salamanca,Salamanca (Madrid),http://dbpedia.org/resource/Category:Salamanca_(Madrid),4,Sophora japonica,Sophora japonica,http://dbpedia.org/resource/Sophora_japonica,5921
CHAMARTIN,Chamartin (Madrid),http://dbpedia.org/resource/Chamartin_(Madrid),5,PopulusÂ alba 'bolleana',Populus sect. Populus,http://dbpedia.org/resource/Populus_sect._Populus,598
CHAMARTIN,Chamartin (Madrid),http://dbpedia.org/resource/Chamartin_(Madrid),5,Aesculus hippocastanum,Aesculus hippocastanum,http://dbpedia.org/resource/Aesculus_hippocastanum,645
CHAMARTIN,Chamartin (Madrid),http://dbpedia.org/resource/Chamartin_(Madrid),5,Melia azedarach,Melia azedarach,http://dbpedia.org/resource/Melia_azedarach,722
CHAMARTIN,Chamartin (Madrid),http://dbpedia.org/resource/Chamartin_(Madrid),5,Ligustrum japonicum,Ligustrum japonicum,http://dbpedia.org/resource/Ligustrum_japonicum,938
CHAMARTIN,Chamartin (Madrid),http://dbpedia.org/resource/Chamartin_(Madrid),5,Prunus cerasifera pisardii,Prunus cerasifera,http://dbpedia.org/resource/Cherry_plum,971
CHAMARTIN,Chamartin (Madrid),http://dbpedia.org/resource/Chamartin_(Madrid),5,Celtis australis,Celtis australis,http://dbpedia.org/resource/Celtis_australis,1146
CHAMARTIN,Chamartin (Madrid),http://dbpedia.org/resource/Chamartin_(Madrid),5,Robinia pseudoacacia,Robinia pseudoacacia,http://dbpedia.org/resource/Robinia_pseudoacacia,1164
CHAMARTIN,Chamartin (Madrid),http://dbpedia.org/resource/Chamartin_(Madrid),5,Pinus pinea,Pinus pinea,http://dbpedia.org/resource/Pinus_pinea,1344
CHAMARTIN,Chamartin (Madrid),http://dbpedia.org/resource/Chamartin_(Madrid),5,Ulmus pumila,Ulmus pumila,http://dbpedia.org/resource/Ulmus_pumila,2611
CHAMARTIN,Chamartin (Madrid),http://dbpedia.org/resource/Chamartin_(Madrid),5,Sophora japonica,Sophora japonica,http://dbpedia.org/resource/Sophora_japonica,3744
CHAMARTIN,Chamartin (Madrid),http://dbpedia.org/resource/Chamartin_(Madrid),5,Platanus x hybrida,Platanus hybrida,http://dbpedia.org/resource/Platanus_hybrida,6080
TETUAN,Tetuan (Madrid),http://dbpedia.org/resource/Tetuan_(Madrid),6,Cupressus sempervirens,Cupressus sempervirens,http://dbpedia.org/resource/Cupressus_sempervirens,423
TETUAN,Tetuan (Madrid),http://dbpedia.org/resource/Tetuan_(Madrid),6,Celtis australis,Celtis australis,http://dbpedia.org/resource/Celtis_australis,455
TETUAN,Tetuan (Madrid),http://dbpedia.org/resource/Tetuan_(Madrid),6,Aesculus hippocastanum,Aesculus hippocastanum,http://dbpedia.org/resource/Aesculus_hippocastanum,466
TETUAN,Tetuan (Madrid),http://dbpedia.org/resource/Tetuan_(Madrid),6,Melia azedarach,Melia azedarach,http://dbpedia.org/resource/Melia_azedarach,507
TETUAN,Tetuan (Madrid),http://dbpedia.org/resource/Tetuan_(Madrid),6,Sophora japonica,Sophora japonica,http://dbpedia.org/resource/Sophora_japonica,522
TETUAN,Tetuan (Madrid),http://dbpedia.org/resource/Tetuan_(Madrid),6,Pinus pinea,Pinus pinea,http://dbpedia.org/resource/Pinus_pinea,529
TETUAN,Tetuan (Madrid),http://dbpedia.org/resource/Tetuan_(Madrid),6,Prunus cerasifera pisardii,Prunus cerasifera,http://dbpedia.org/resource/Cherry_plum,731
TETUAN,Tetuan (Madrid),http://dbpedia.org/resource/Tetuan_(Madrid),6,Ulmus pumila,Ulmus pumila,http://dbpedia.org/resource/Ulmus_pumila,821
TETUAN,Tetuan (Madrid),http://dbpedia.org/resource/Tetuan_(Madrid),6,Ligustrum japonicum,Ligustrum japonicum,http://dbpedia.org/resource/Ligustrum_japonicum,925
TETUAN,Tetuan (Madrid),http://dbpedia.org/resource/Tetuan_(Madrid),6,Platanus x hybrida,Platanus hybrida,http://dbpedia.org/resource/Platanus_hybrida,4519
CHAMBERI,Chamberi (Madrid),http://dbpedia.org/resource/Chamberi_(Madrid),7,Pinus pinea,Pinus pinea,http://dbpedia.org/resource/Pinus_pinea,167
CHAMBERI,Chamberi (Madrid),http://dbpedia.org/resource/Chamberi_(Madrid),7,Cercis siliquastrum,Cercis siliquastrum,http://dbpedia.org/resource/Cercis_siliquastrum,183
CHAMBERI,Chamberi (Madrid),http://dbpedia.org/resource/Chamberi_(Madrid),7,Prunus cerasifera pisardii,Prunus cerasifera,http://dbpedia.org/resource/Cherry_plum,252
CHAMBERI,Chamberi (Madrid),http://dbpedia.org/resource/Chamberi_(Madrid),7,Koelreuteria paniculata,Koelreuteria paniculata,http://dbpedia.org/resource/Koelreuteria_paniculata,261
CHAMBERI,Chamberi (Madrid),http://dbpedia.org/resource/Chamberi_(Madrid),7,Aesculus hippocastanum,Aesculus hippocastanum,http://dbpedia.org/resource/Aesculus_hippocastanum,267
CHAMBERI,Chamberi (Madrid),http://dbpedia.org/resource/Chamberi_(Madrid),7,Melia azedarach,Melia azedarach,http://dbpedia.org/resource/Melia_azedarach,276
CHAMBERI,Chamberi (Madrid),http://dbpedia.org/resource/Chamberi_(Madrid),7,Robinia pseudoacacia,Robinia pseudoacacia,http://dbpedia.org/resource/Robinia_pseudoacacia,332
CHAMBERI,Chamberi (Madrid),http://dbpedia.org/resource/Chamberi_(Madrid),7,Ligustrum japonicum,Ligustrum japonicum,http://dbpedia.org/resource/Ligustrum_japonicum,639
CHAMBERI,Chamberi (Madrid),http://dbpedia.org/resource/Chamberi_(Madrid),7,Celtis australis,Celtis australis,http://dbpedia.org/resource/Celtis_australis,677
CHAMBERI,Chamberi (Madrid),http://dbpedia.org/resource/Chamberi_(Madrid),7,Ulmus pumila,Ulmus pumila,http://dbpedia.org/resource/Ulmus_pumila,875
CHAMBERI,Chamberi (Madrid),http://dbpedia.org/resource/Chamberi_(Madrid),7,Platanus x hybrida,Platanus hybrida,http://dbpedia.org/resource/Platanus_hybrida,1696
CHAMBERI,Chamberi (Madrid),http://dbpedia.org/resource/Chamberi_(Madrid),7,Sophora japonica,Sophora japonica,http://dbpedia.org/resource/Sophora_japonica,5807
FUENCARRAL - EL PARDO,Fuencarral-El Pardo (Madrid),http://dbpedia.org/resource/Fuencarral-El_Pardo_(Madrid),8,Ligustrum japonicum,Ligustrum japonicum,http://dbpedia.org/resource/Ligustrum_japonicum,1046
FUENCARRAL - EL PARDO,Fuencarral-El Pardo (Madrid),http://dbpedia.org/resource/Fuencarral-El_Pardo_(Madrid),8,Cupressus sempervirens,Cupressus sempervirens,http://dbpedia.org/resource/Cupressus_sempervirens,1196
FUENCARRAL - EL PARDO,Fuencarral-El Pardo (Madrid),http://dbpedia.org/resource/Fuencarral-El_Pardo_(Madrid),8,Morus alba,Morus alba,http://dbpedia.org/resource/Morus_alba,1381
FUENCARRAL - EL PARDO,Fuencarral-El Pardo (Madrid),http://dbpedia.org/resource/Fuencarral-El_Pardo_(Madrid),8,Aesculus hippocastanum,Aesculus hippocastanum,http://dbpedia.org/resource/Aesculus_hippocastanum,1408
FUENCARRAL - EL PARDO,Fuencarral-El Pardo (Madrid),http://dbpedia.org/resource/Fuencarral-El_Pardo_(Madrid),8,Sophora japonica,Sophora japonica,http://dbpedia.org/resource/Sophora_japonica,1412
FUENCARRAL - EL PARDO,Fuencarral-El Pardo (Madrid),http://dbpedia.org/resource/Fuencarral-El_Pardo_(Madrid),8,Populus x canadensis,Populus canadensis,http://dbpedia.org/resource/Populus_canadensis,1421
FUENCARRAL - EL PARDO,Fuencarral-El Pardo (Madrid),http://dbpedia.org/resource/Fuencarral-El_Pardo_(Madrid),8,Acer negundo,Acer negundo,http://dbpedia.org/resource/Acer_negundo,1735
FUENCARRAL - EL PARDO,Fuencarral-El Pardo (Madrid),http://dbpedia.org/resource/Fuencarral-El_Pardo_(Madrid),8,Melia azedarach,Melia azedarach,http://dbpedia.org/resource/Melia_azedarach,1798
FUENCARRAL - EL PARDO,Fuencarral-El Pardo (Madrid),http://dbpedia.org/resource/Fuencarral-El_Pardo_(Madrid),8,Prunus cerasifera pisardii,Prunus cerasifera,http://dbpedia.org/resource/Cherry_plum,2049
FUENCARRAL - EL PARDO,Fuencarral-El Pardo (Madrid),http://dbpedia.org/resource/Fuencarral-El_Pardo_(Madrid),8,Robinia pseudoacacia,Robinia pseudoacacia,http://dbpedia.org/resource/Robinia_pseudoacacia,2455
FUENCARRAL - EL PARDO,Fuencarral-El Pardo (Madrid),http://dbpedia.org/resource/Fuencarral-El_Pardo_(Madrid),8,Pinus pinea,Pinus pinea,http://dbpedia.org/resource/Pinus_pinea,3221
FUENCARRAL - EL PARDO,Fuencarral-El Pardo (Madrid),http://dbpedia.org/resource/Fuencarral-El_Pardo_(Madrid),8,Celtis australis,Celtis australis,http://dbpedia.org/resource/Celtis_australis,3847
FUENCARRAL - EL PARDO,Fuencarral-El Pardo (Madrid),http://dbpedia.org/resource/Fuencarral-El_Pardo_(Madrid),8,Ulmus pumila,Ulmus pumila,http://dbpedia.org/resource/Ulmus_pumila,5354
FUENCARRAL - EL PARDO,Fuencarral-El Pardo (Madrid),http://dbpedia.org/resource/Fuencarral-El_Pardo_(Madrid),8,Platanus x hybrida,Platanus hybrida,http://dbpedia.org/resource/Platanus_hybrida,9424
MONCLOA-ARAVACA,Moncloa-Aravaca,http://dbpedia.org/resource/Moncloa-Aravaca,9,Prunus cerasifera pisardii,Prunus cerasifera,http://dbpedia.org/resource/Cherry_plum,747
MONCLOA-ARAVACA,Moncloa-Aravaca,http://dbpedia.org/resource/Moncloa-Aravaca,9,Cupressus arizonica,Cupressus arizonica,http://dbpedia.org/resource/Cupressus_arizonica,817
MONCLOA-ARAVACA,Moncloa-Aravaca,http://dbpedia.org/resource/Moncloa-Aravaca,9,Ligustrum japonicum,Ligustrum japonicum,http://dbpedia.org/resource/Ligustrum_japonicum,941
MONCLOA-ARAVACA,Moncloa-Aravaca,http://dbpedia.org/resource/Moncloa-Aravaca,9,Celtis australis,Celtis australis,http://dbpedia.org/resource/Celtis_australis,951
MONCLOA-ARAVACA,Moncloa-Aravaca,http://dbpedia.org/resource/Moncloa-Aravaca,9,Catalpa bignonioides,Catalpa bignonioides,http://dbpedia.org/resource/Catalpa_bignonioides,988
MONCLOA-ARAVACA,Moncloa-Aravaca,http://dbpedia.org/resource/Moncloa-Aravaca,9,Robinia pseudoacacia,Robinia pseudoacacia,http://dbpedia.org/resource/Robinia_pseudoacacia,1353
MONCLOA-ARAVACA,Moncloa-Aravaca,http://dbpedia.org/resource/Moncloa-Aravaca,9,Cupressus sempervirens,Cupressus sempervirens,http://dbpedia.org/resource/Cupressus_sempervirens,1399
MONCLOA-ARAVACA,Moncloa-Aravaca,http://dbpedia.org/resource/Moncloa-Aravaca,9,Acer negundo,Acer negundo,http://dbpedia.org/resource/Acer_negundo,1988
MONCLOA-ARAVACA,Moncloa-Aravaca,http://dbpedia.org/resource/Moncloa-Aravaca,9,Pinus pinea,Pinus pinea,http://dbpedia.org/resource/Pinus_pinea,2035
MONCLOA-ARAVACA,Moncloa-Aravaca,http://dbpedia.org/resource/Moncloa-Aravaca,9,Ulmus pumila,Ulmus pumila,http://dbpedia.org/resource/Ulmus_pumila,2380
MONCLOA-ARAVACA,Moncloa-Aravaca,http://dbpedia.org/resource/Moncloa-Aravaca,9,Sophora japonica,Sophora japonica,http://dbpedia.org/resource/Sophora_japonica,2735
MONCLOA-ARAVACA,Moncloa-Aravaca,http://dbpedia.org/resource/Moncloa-Aravaca,9,Platanus x hybrida,Platanus hybrida,http://dbpedia.org/resource/Platanus_hybrida,5489
LATINA,Latina (Madrid),http://dbpedia.org/resource/Latina_(Madrid),10,Cupressus sempervirens,Cupressus sempervirens,http://dbpedia.org/resource/Cupressus_sempervirens,989
LATINA,Latina (Madrid),http://dbpedia.org/resource/Latina_(Madrid),10,Acer negundo,Acer negundo,http://dbpedia.org/resource/Acer_negundo,1063
LATINA,Latina (Madrid),http://dbpedia.org/resource/Latina_(Madrid),10,Ligustrum japonicum,Ligustrum japonicum,http://dbpedia.org/resource/Ligustrum_japonicum,1146
LATINA,Latina (Madrid),http://dbpedia.org/resource/Latina_(Madrid),10,Sophora japonica,Sophora japonica,http://dbpedia.org/resource/Sophora_japonica,1572
LATINA,Latina (Madrid),http://dbpedia.org/resource/Latina_(Madrid),10,Celtis australis,Celtis australis,http://dbpedia.org/resource/Celtis_australis,1726
LATINA,Latina (Madrid),http://dbpedia.org/resource/Latina_(Madrid),10,Prunus cerasifera subsp. Pissartii,Prunus cerasifera,http://dbpedia.org/resource/Prunus_cerasifera,1858
LATINA,Latina (Madrid),http://dbpedia.org/resource/Latina_(Madrid),10,Robinia pseudoacacia,Robinia pseudoacacia,http://dbpedia.org/resource/Robinia_pseudoacacia,2001
LATINA,Latina (Madrid),http://dbpedia.org/resource/Latina_(Madrid),10,Pinus pinea,Pinus pinea,http://dbpedia.org/resource/Pinus_pinea,2641
LATINA,Latina (Madrid),http://dbpedia.org/resource/Latina_(Madrid),10,Ulmus pumila,Ulmus pumila,http://dbpedia.org/resource/Ulmus_pumila,4442
LATINA,Latina (Madrid),http://dbpedia.org/resource/Latina_(Madrid),10,Platanus x hybrida,Platanus hybrida,http://dbpedia.org/resource/Platanus_hybrida,5338
CARABANCHEL,Carabanchel,http://dbpedia.org/resource/Carabanchel,11,Prunus cerasifera subsp. Pissartii,Prunus cerasifera,http://dbpedia.org/resource/Prunus_cerasifera,785
CARABANCHEL,Carabanchel,http://dbpedia.org/resource/Carabanchel,11,Cupressus sempervirens,Cupressus sempervirens,http://dbpedia.org/resource/Cupressus_sempervirens,911
CARABANCHEL,Carabanchel,http://dbpedia.org/resource/Carabanchel,11,Ligustrum japonicum,Ligustrum japonicum,http://dbpedia.org/resource/Ligustrum_japonicum,932
CARABANCHEL,Carabanchel,http://dbpedia.org/resource/Carabanchel,11,Aesculus hippocastanum,Aesculus hippocastanum,http://dbpedia.org/resource/Aesculus_hippocastanum,1000
CARABANCHEL,Carabanchel,http://dbpedia.org/resource/Carabanchel,11,Gleditsia triacanthos,Gleditsia triacanthos,http://dbpedia.org/resource/Gleditsia_triacanthos,1399
CARABANCHEL,Carabanchel,http://dbpedia.org/resource/Carabanchel,11,Acer negundo,Acer negundo,http://dbpedia.org/resource/Acer_negundo,1609
CARABANCHEL,Carabanchel,http://dbpedia.org/resource/Carabanchel,11,Celtis australis,Celtis australis,http://dbpedia.org/resource/Celtis_australis,1914
CARABANCHEL,Carabanchel,http://dbpedia.org/resource/Carabanchel,11,Robinia pseudoacacia,Robinia pseudoacacia,http://dbpedia.org/resource/Robinia_pseudoacacia,2401
CARABANCHEL,Carabanchel,http://dbpedia.org/resource/Carabanchel,11,Sophora japonica,Sophora japonica,http://dbpedia.org/resource/Sophora_japonica,2740
CARABANCHEL,Carabanchel,http://dbpedia.org/resource/Carabanchel,11,Ulmus pumila,Ulmus pumila,http://dbpedia.org/resource/Ulmus_pumila,2907
CARABANCHEL,Carabanchel,http://dbpedia.org/resource/Carabanchel,11,Pinus pinea,Pinus pinea,http://dbpedia.org/resource/Pinus_pinea,4338
CARABANCHEL,Carabanchel,http://dbpedia.org/resource/Carabanchel,11,Platanus x hybrida,Platanus hybrida,http://dbpedia.org/resource/Platanus_hybrida,7508
USERA,Usera,http://dbpedia.org/resource/Usera,12,Platanus orientalis,Platanus orientalis,http://dbpedia.org/resource/Platanus_orientalis,600
USERA,Usera,http://dbpedia.org/resource/Usera,12,Prunus cerasifera subsp. Pissartii,Prunus cerasifera,http://dbpedia.org/resource/Prunus_cerasifera,608
USERA,Usera,http://dbpedia.org/resource/Usera,12,Populus alba,Populus alba,http://dbpedia.org/resource/Populus_alba,676
USERA,Usera,http://dbpedia.org/resource/Usera,12,Prunus cerasifera,Prunus cerasifera,http://dbpedia.org/resource/Prunus_cerasifera,683
USERA,Usera,http://dbpedia.org/resource/Usera,12,Melia azedarach,Melia azedarach,http://dbpedia.org/resource/Melia_azedarach,705
USERA,Usera,http://dbpedia.org/resource/Usera,12,Cedrus deodara,Cedrus deodara,http://dbpedia.org/resource/Cedrus_deodara,771
USERA,Usera,http://dbpedia.org/resource/Usera,12,Acer negundo,Acer negundo,http://dbpedia.org/resource/Acer_negundo,1253
USERA,Usera,http://dbpedia.org/resource/Usera,12,Sophora japonica,Sophora japonica,http://dbpedia.org/resource/Sophora_japonica,1284
USERA,Usera,http://dbpedia.org/resource/Usera,12,Celtis australis,Celtis australis,http://dbpedia.org/resource/Celtis_australis,1315
USERA,Usera,http://dbpedia.org/resource/Usera,12,Robinia pseudoacacia,Robinia pseudoacacia,http://dbpedia.org/resource/Robinia_pseudoacacia,2115
USERA,Usera,http://dbpedia.org/resource/Usera,12,Pinus pinea,Pinus pinea,http://dbpedia.org/resource/Pinus_pinea,2143
USERA,Usera,http://dbpedia.org/resource/Usera,12,Ulmus pumila,Ulmus pumila,http://dbpedia.org/resource/Ulmus_pumila,3834
USERA,Usera,http://dbpedia.org/resource/Usera,12,Platanus x hybrida,Platanus hybrida,http://dbpedia.org/resource/Platanus_hybrida,5125
PUENTE DE VALLECAS,Puente de Vallecas,http://dbpedia.org/resource/Puente_de_Vallecas,13,Celtis australis,Celtis australis,http://dbpedia.org/resource/Celtis_australis,1110
PUENTE DE VALLECAS,Puente de Vallecas,http://dbpedia.org/resource/Puente_de_Vallecas,13,Catalpa bignonioides,Catalpa bignonioides,http://dbpedia.org/resource/Catalpa_bignonioides,1240
PUENTE DE VALLECAS,Puente de Vallecas,http://dbpedia.org/resource/Puente_de_Vallecas,13,AcerÂ pseudoplatanus,Acer pseudoplatanus,http://dbpedia.org/resource/Acer_pseudoplatanus,1287
PUENTE DE VALLECAS,Puente de Vallecas,http://dbpedia.org/resource/Puente_de_Vallecas,13,Prunus cerasifera subsp. Pissartii,Prunus cerasifera,http://dbpedia.org/resource/Prunus_cerasifera,1312
PUENTE DE VALLECAS,Puente de Vallecas,http://dbpedia.org/resource/Puente_de_Vallecas,13,Ligustrum japonicum,Ligustrum japonicum,http://dbpedia.org/resource/Ligustrum_japonicum,2146
PUENTE DE VALLECAS,Puente de Vallecas,http://dbpedia.org/resource/Puente_de_Vallecas,13,Acer negundo,Acer negundo,http://dbpedia.org/resource/Acer_negundo,2378
PUENTE DE VALLECAS,Puente de Vallecas,http://dbpedia.org/resource/Puente_de_Vallecas,13,Pinus pinea,Pinus pinea,http://dbpedia.org/resource/Pinus_pinea,2668
PUENTE DE VALLECAS,Puente de Vallecas,http://dbpedia.org/resource/Puente_de_Vallecas,13,Ulmus pumila,Ulmus pumila,http://dbpedia.org/resource/Ulmus_pumila,3213
PUENTE DE VALLECAS,Puente de Vallecas,http://dbpedia.org/resource/Puente_de_Vallecas,13,Sophora japonica,Sophora japonica,http://dbpedia.org/resource/Sophora_japonica,3268
PUENTE DE VALLECAS,Puente de Vallecas,http://dbpedia.org/resource/Puente_de_Vallecas,13,Robinia pseudoacacia,Robinia pseudoacacia,http://dbpedia.org/resource/Robinia_pseudoacacia,3729
PUENTE DE VALLECAS,Puente de Vallecas,http://dbpedia.org/resource/Puente_de_Vallecas,13,Platanus orientalis,Platanus orientalis,http://dbpedia.org/resource/Platanus_orientalis,4477
PUENTE DE VALLECAS,Puente de Vallecas,http://dbpedia.org/resource/Puente_de_Vallecas,13,Platanus x hybrida,Platanus hybrida,http://dbpedia.org/resource/Platanus_hybrida,4701
MORATALAZ,Moratalaz,http://dbpedia.org/resource/Moratalaz,14,Melia azedarach,Melia azedarach,http://dbpedia.org/resource/Melia_azedarach,561
MORATALAZ,Moratalaz,http://dbpedia.org/resource/Moratalaz,14,Catalpa bignonioides,Catalpa bignonioides,http://dbpedia.org/resource/Catalpa_bignonioides,727
MORATALAZ,Moratalaz,http://dbpedia.org/resource/Moratalaz,14,AcerÂ pseudoplatanus,Acer pseudoplatanus,http://dbpedia.org/resource/Acer_pseudoplatanus,750
MORATALAZ,Moratalaz,http://dbpedia.org/resource/Moratalaz,14,Prunus cerasifera subsp. Pissartii,Prunus cerasifera,http://dbpedia.org/resource/Prunus_cerasifera,897
MORATALAZ,Moratalaz,http://dbpedia.org/resource/Moratalaz,14,Platanus orientalis,Platanus orientalis,http://dbpedia.org/resource/Platanus_orientalis,1125
MORATALAZ,Moratalaz,http://dbpedia.org/resource/Moratalaz,14,Acer negundo,Acer negundo,http://dbpedia.org/resource/Acer_negundo,1374
