PARQUE,ParqueURI,ESPECIE,EspecieURI,UNIDADES 2019
Z.V.Distrito C-las Tablas,Z.V.DistritoC-lasTablas,Prunus cerasifera pissardii,PrunusCerasiferaPissardii,110
Z.V.Distrito C-las Tablas,Z.V.DistritoC-lasTablas,Melia azederach,MeliaAzederach,61
Z.V.Distrito C-las Tablas,Z.V.DistritoC-lasTablas,Cupressocyparis leylandii,CupressocyparisLeylandii,60
Z.V.Distrito C-las Tablas,Z.V.DistritoC-lasTablas,Liquidambar styraciflua,LiquidambarStyraciflua,46
Z.V.Distrito C-las Tablas,Z.V.DistritoC-lasTablas,Cedrus deodara,CedrusDeodara,45
Z.V.Distrito C-las Tablas,Z.V.DistritoC-lasTablas,Olea europaea,OleaEuropaea,38
Z.V.Distrito C-las Tablas,Z.V.DistritoC-lasTablas,Gleditsia triacanthos inermes,GleditsiaTriacanthosInermes,30
Z.V.Distrito C-las Tablas,Z.V.DistritoC-lasTablas,Pyrus calleryana,PyrusCalleryana,26
Z.V.Distrito C-las Tablas,Z.V.DistritoC-lasTablas,Otros,Otros,172
Parque Juan Carlos I,ParqueJuanCarlosI,Olea europaea,OleaEuropaea,2377
Parque Juan Carlos I,ParqueJuanCarlosI,Pinus pinea,PinusPinea,1243
Parque Juan Carlos I,ParqueJuanCarlosI,Catalpa bignonioides,CatalpaBignonioides,980
Parque Juan Carlos I,ParqueJuanCarlosI,Sophora japonica,SophoraJaponica,581
Parque Juan Carlos I,ParqueJuanCarlosI,Cupressocyparis leilandii,CupressocyparisLeilandii,566
Parque Juan Carlos I,ParqueJuanCarlosI,Fraxinus excelsior,FraxinusExcelsior,499
Parque Juan Carlos I,ParqueJuanCarlosI,Cupressus sempervirens,CupressusSempervirens,494
Parque Juan Carlos I,ParqueJuanCarlosI,Platanus hybrida,PlatanusHybrida,432
Parque Juan Carlos I,ParqueJuanCarlosI,Fraxinus angustifolia,FraxinusAngustifolia,314
Parque Juan Carlos I,ParqueJuanCarlosI,Populus alba,PopulusAlba,289
