Numero de Puesto,Estacion URI Final,Latitud,Longitud,Calles Linked,Calle,Calles URI Final,wikidata:PublicSpace,Numero,Direccion,Direccion URI Final,Distrito Linked,Distrito,Distritos URI Final,wikidata:districtMadrid,Barrios Linked,Barrio,Barrios URI Final,wikidata:neighborhoodMadrid,Numero de Plazas
010,http://semantic.web.es/group05/resource/bicimad/estacionbicicleta#calle-del-marques-de-la-ensenada,40.4254027,-3.6920816,"Calle del Marqués de la Ensenada, Madrid",calle del marques de la ensenada,http://semantic.web.es/group05/resource/bicimad/calle#calle-del-marques-de-la-ensenada,https://wikidata.org/wiki/Q55227717,16,Calle Del Marques De La Ensenada-16,http://semantic.web.es/group05/resource/bicimad/direccion#calle-del-marques-de-la-ensenada-16,Centro,centro,http://semantic.web.es/group05/resource/bicimad/distrito#centro,https://wikidata.org/wikiQ1763376,Justicia,justicia,http://semantic.web.es/group05/resource/bicimad/barrio#justicia,https://wikidata.org/wikiQ1992319,24
011,http://semantic.web.es/group05/resource/bicimad/estacionbicicleta#calle-de-san-andres,40.4270517,-3.7036192,calle de San Andrés,calle de san andres,http://semantic.web.es/group05/resource/bicimad/calle#calle-de-san-andres,https://wikidata.org/wiki/Q27166315,20,Calle De San Andres-20,http://semantic.web.es/group05/resource/bicimad/direccion#calle-de-san-andres-20,Centro,centro,http://semantic.web.es/group05/resource/bicimad/distrito#centro,https://wikidata.org/wikiQ1763376,Universidad,universidad,http://semantic.web.es/group05/resource/bicimad/barrio#universidad,https://wikidata.org/wikiQ10387767,24
012,http://semantic.web.es/group05/resource/bicimad/estacionbicicleta#calle-de-san-bernardo,40.4285271,-3.7062202,San Bernardo street,calle de san bernardo,http://semantic.web.es/group05/resource/bicimad/calle#calle-de-san-bernardo,https://wikidata.org/wiki/Q5740864,87,Calle De San Bernardo-87,http://semantic.web.es/group05/resource/bicimad/direccion#calle-de-san-bernardo-87,Centro,centro,http://semantic.web.es/group05/resource/bicimad/distrito#centro,https://wikidata.org/wikiQ1763376,Universidad,universidad,http://semantic.web.es/group05/resource/bicimad/barrio#universidad,https://wikidata.org/wikiQ10387767,24
013,http://semantic.web.es/group05/resource/bicimad/estacionbicicleta#calle-del-conde-duque,40.4273652,-3.7104727,calle del Conde Duque,calle del conde duque,http://semantic.web.es/group05/resource/bicimad/calle#calle-del-conde-duque,https://wikidata.org/wiki/Q27031730,22,Calle Del Conde Duque-22,http://semantic.web.es/group05/resource/bicimad/direccion#calle-del-conde-duque-22,Centro,centro,http://semantic.web.es/group05/resource/bicimad/distrito#centro,https://wikidata.org/wikiQ1763376,Universidad,universidad,http://semantic.web.es/group05/resource/bicimad/barrio#universidad,https://wikidata.org/wikiQ10387767,24
014,http://semantic.web.es/group05/resource/bicimad/estacionbicicleta#calle-de-ventura-rodriguez,40.4259913,-3.7133768,calle de Ventura Rodríguez,calle de ventura rodriguez,http://semantic.web.es/group05/resource/bicimad/calle#calle-de-ventura-rodriguez,https://wikidata.org/wiki/Q28016771,1,Calle De Ventura Rodriguez-1,http://semantic.web.es/group05/resource/bicimad/direccion#calle-de-ventura-rodriguez-1,Moncloa-Aravaca,moncloa-aravaca,http://semantic.web.es/group05/resource/bicimad/distrito#moncloa-aravaca,https://wikidata.org/wikiQ2017682,Argüelles,arguelles,http://semantic.web.es/group05/resource/bicimad/barrio#arguelles,https://wikidata.org/wikiQ64874,24
015,http://semantic.web.es/group05/resource/bicimad/estacionbicicleta#calle-del-norte,40.4262937,-3.7073611,"Calle del Norte, Madrid",calle del norte,http://semantic.web.es/group05/resource/bicimad/calle#calle-del-norte,https://wikidata.org/wiki/Q29840509,10,Calle Del Norte-10,http://semantic.web.es/group05/resource/bicimad/direccion#calle-del-norte-10,Centro,centro,http://semantic.web.es/group05/resource/bicimad/distrito#centro,https://wikidata.org/wikiQ1763376,Universidad,universidad,http://semantic.web.es/group05/resource/bicimad/barrio#universidad,https://wikidata.org/wikiQ10387767,21
016,http://semantic.web.es/group05/resource/bicimad/estacionbicicleta#calle-de-san-bernardo,40.4229421,-3.7074955,San Bernardo street,calle de san bernardo,http://semantic.web.es/group05/resource/bicimad/calle#calle-de-san-bernardo,https://wikidata.org/wiki/Q5740864,22,Calle De San Bernardo-22,http://semantic.web.es/group05/resource/bicimad/direccion#calle-de-san-bernardo-22,Centro,centro,http://semantic.web.es/group05/resource/bicimad/distrito#centro,https://wikidata.org/wikiQ1763376,Universidad,universidad,http://semantic.web.es/group05/resource/bicimad/barrio#universidad,https://wikidata.org/wikiQ10387767,21
017,http://semantic.web.es/group05/resource/bicimad/estacionbicicleta#plaza-de-carlos-cambronero,40.4231675,-3.7041859,PLAZA DE CARLOS CAMBRONERO,plaza de carlos cambronero,http://semantic.web.es/group05/resource/bicimad/calle#plaza-de-carlos-cambronero,,2,Plaza De Carlos Cambronero-2,http://semantic.web.es/group05/resource/bicimad/direccion#plaza-de-carlos-cambronero-2,Centro,centro,http://semantic.web.es/group05/resource/bicimad/distrito#centro,https://wikidata.org/wikiQ1763376,Universidad,universidad,http://semantic.web.es/group05/resource/bicimad/barrio#universidad,https://wikidata.org/wikiQ10387767,24
018,http://semantic.web.es/group05/resource/bicimad/estacionbicicleta#plaza-de-pedro-zerolo,40.4209206,-3.6995679,plaza de Pedro Zerolo,plaza de pedro zerolo,http://semantic.web.es/group05/resource/bicimad/calle#plaza-de-pedro-zerolo,https://wikidata.org/wiki/Q6080146,1,Plaza De Pedro Zerolo-1,http://semantic.web.es/group05/resource/bicimad/direccion#plaza-de-pedro-zerolo-1,Centro,centro,http://semantic.web.es/group05/resource/bicimad/distrito#centro,https://wikidata.org/wikiQ1763376,Justicia,justicia,http://semantic.web.es/group05/resource/bicimad/barrio#justicia,https://wikidata.org/wikiQ1992319,24
019,http://semantic.web.es/group05/resource/bicimad/estacionbicicleta#calle-de-prim,40.4218997,-3.6953951,"Calle de Prim, Madrid",calle de prim,http://semantic.web.es/group05/resource/bicimad/calle#calle-de-prim,https://wikidata.org/wiki/Q28916366,4,Calle De Prim-4,http://semantic.web.es/group05/resource/bicimad/direccion#calle-de-prim-4,Centro,centro,http://semantic.web.es/group05/resource/bicimad/distrito#centro,https://wikidata.org/wikiQ1763376,Justicia,justicia,http://semantic.web.es/group05/resource/bicimad/barrio#justicia,https://wikidata.org/wikiQ1992319,24
020,http://semantic.web.es/group05/resource/bicimad/estacionbicicleta#calle-de-alcala,40.4191989,-3.6952095,Calle de Alcalá,calle de alcala,http://semantic.web.es/group05/resource/bicimad/calle#calle-de-alcala,https://wikidata.org/wiki/Q2424746,49,Calle De Alcala-49,http://semantic.web.es/group05/resource/bicimad/direccion#calle-de-alcala-49,Centro,centro,http://semantic.web.es/group05/resource/bicimad/distrito#centro,https://wikidata.org/wikiQ1763376,Justicia,justicia,http://semantic.web.es/group05/resource/bicimad/barrio#justicia,https://wikidata.org/wikiQ1992319,24
020,http://semantic.web.es/group05/resource/bicimad/estacionbicicleta#calle-de-alcala,40.4191858,-3.6952901,Calle de Alcalá,calle de alcala,http://semantic.web.es/group05/resource/bicimad/calle#calle-de-alcala,https://wikidata.org/wiki/Q2424746,49,Calle De Alcala-49,http://semantic.web.es/group05/resource/bicimad/direccion#calle-de-alcala-49,Centro,centro,http://semantic.web.es/group05/resource/bicimad/distrito#centro,https://wikidata.org/wikiQ1763376,Justicia,justicia,http://semantic.web.es/group05/resource/bicimad/barrio#justicia,https://wikidata.org/wikiQ1992319,6
022,http://semantic.web.es/group05/resource/bicimad/estacionbicicleta#calle-de-jacometrezo,40.4201452,-3.7064995,calle de Jacometrezo,calle de jacometrezo,http://semantic.web.es/group05/resource/bicimad/calle#calle-de-jacometrezo,https://wikidata.org/wiki/Q5651414,1,Calle De Jacometrezo-1,http://semantic.web.es/group05/resource/bicimad/direccion#calle-de-jacometrezo-1,Centro,centro,http://semantic.web.es/group05/resource/bicimad/distrito#centro,https://wikidata.org/wikiQ1763376,Sol,sol,http://semantic.web.es/group05/resource/bicimad/barrio#sol,https://wikidata.org/wikiQ2465181,24
023,http://semantic.web.es/group05/resource/bicimad/estacionbicicleta#plaza-de-santo-domingo,40.4202137,-3.7082901,Plaza de Santo Domingo,plaza de santo domingo,http://semantic.web.es/group05/resource/bicimad/calle#plaza-de-santo-domingo,https://wikidata.org/wiki/Q6080106,S/N,Plaza De Santo Domingo-s/n,http://semantic.web.es/group05/resource/bicimad/direccion#plaza-de-santo-domingo-s/n,Centro,centro,http://semantic.web.es/group05/resource/bicimad/distrito#centro,https://wikidata.org/wikiQ1763376,Palacio,palacio,http://semantic.web.es/group05/resource/bicimad/barrio#palacio,https://wikidata.org/wikiQ2136510,24
024,http://semantic.web.es/group05/resource/bicimad/estacionbicicleta#calle-de-carlos-iii,40.417906,-3.7105866,calle de Carlos III,calle de carlos iii,http://semantic.web.es/group05/resource/bicimad/calle#calle-de-carlos-iii,https://wikidata.org/wiki/Q29004341,1,Calle De Carlos Iii-1,http://semantic.web.es/group05/resource/bicimad/direccion#calle-de-carlos-iii-1,Centro,centro,http://semantic.web.es/group05/resource/bicimad/distrito#centro,https://wikidata.org/wikiQ1763376,Palacio,palacio,http://semantic.web.es/group05/resource/bicimad/barrio#palacio,https://wikidata.org/wikiQ2136510,24
025 a,http://semantic.web.es/group05/resource/bicimad/estacionbicicleta#plaza-del-celenque-1,40.4173416,-3.7059978,PLAZA DEL CELENQUE,plaza del celenque,http://semantic.web.es/group05/resource/bicimad/calle#plaza-del-celenque,,1,Plaza Del Celenque-1,http://semantic.web.es/group05/resource/bicimad/direccion#plaza-del-celenque-1,Centro,centro,http://semantic.web.es/group05/resource/bicimad/distrito#centro,https://wikidata.org/wikiQ1763376,Sol,sol,http://semantic.web.es/group05/resource/bicimad/barrio#sol,https://wikidata.org/wikiQ2465181,24
025 b,http://semantic.web.es/group05/resource/bicimad/estacionbicicleta#plaza-del-celenque-2,40.4172593,-3.7060243,PLAZA DEL CELENQUE,plaza del celenque,http://semantic.web.es/group05/resource/bicimad/calle#plaza-del-celenque,,1,Plaza Del Celenque-1,http://semantic.web.es/group05/resource/bicimad/direccion#plaza-del-celenque-1,Centro,centro,http://semantic.web.es/group05/resource/bicimad/distrito#centro,https://wikidata.org/wikiQ1763376,Sol,sol,http://semantic.web.es/group05/resource/bicimad/barrio#sol,https://wikidata.org/wikiQ2465181,24
026,http://semantic.web.es/group05/resource/bicimad/estacionbicicleta#plaza-de-las-salesas,40.4238308,-3.6945421,"Plaza de las Salesas, Madrid",plaza de las salesas,http://semantic.web.es/group05/resource/bicimad/calle#plaza-de-las-salesas,https://wikidata.org/wiki/Q28916480,8,Plaza De Las Salesas-8,http://semantic.web.es/group05/resource/bicimad/direccion#plaza-de-las-salesas-8,Centro,centro,http://semantic.web.es/group05/resource/bicimad/distrito#centro,https://wikidata.org/wikiQ1763376,Justicia,justicia,http://semantic.web.es/group05/resource/bicimad/barrio#justicia,https://wikidata.org/wikiQ1992319,24
027,http://semantic.web.es/group05/resource/bicimad/estacionbicicleta#calle-de-jesus,40.4132831,-3.6955803,"Calle de Jesús, Madrid",calle de jesus,http://semantic.web.es/group05/resource/bicimad/calle#calle-de-jesus,https://wikidata.org/wiki/Q27051182,6,Calle De Jesus-6,http://semantic.web.es/group05/resource/bicimad/direccion#calle-de-jesus-6,Centro,centro,http://semantic.web.es/group05/resource/bicimad/distrito#centro,https://wikidata.org/wikiQ1763376,Cortes,cortes,http://semantic.web.es/group05/resource/bicimad/barrio#cortes,https://wikidata.org/wikiQ2535637,27
028,http://semantic.web.es/group05/resource/bicimad/estacionbicicleta#calle-de-alcala,40.4180695,-3.6983662,Calle de Alcalá,calle de alcala,http://semantic.web.es/group05/resource/bicimad/calle#calle-de-alcala,https://wikidata.org/wiki/Q2424746,26,Calle De Alcala-26,http://semantic.web.es/group05/resource/bicimad/direccion#calle-de-alcala-26,Centro,centro,http://semantic.web.es/group05/resource/bicimad/distrito#centro,https://wikidata.org/wikiQ1763376,Cortes,cortes,http://semantic.web.es/group05/resource/bicimad/barrio#cortes,https://wikidata.org/wikiQ2535637,24
029,http://semantic.web.es/group05/resource/bicimad/estacionbicicleta#calle-del-marques-de-cubas,40.416244,-3.6958008,calle del Marqués de Cubas,calle del marques de cubas,http://semantic.web.es/group05/resource/bicimad/calle#calle-del-marques-de-cubas,https://wikidata.org/wiki/Q19304646,25,Calle Del Marques De Cubas-25,http://semantic.web.es/group05/resource/bicimad/direccion#calle-del-marques-de-cubas-25,Centro,centro,http://semantic.web.es/group05/resource/bicimad/distrito#centro,https://wikidata.org/wikiQ1763376,Cortes,cortes,http://semantic.web.es/group05/resource/bicimad/barrio#cortes,https://wikidata.org/wikiQ2535637,24
030,http://semantic.web.es/group05/resource/bicimad/estacionbicicleta#calle-de-pavia,40.4193355,-3.7115428,calle de Pavía,calle de pavia,http://semantic.web.es/group05/resource/bicimad/calle#calle-de-pavia,https://wikidata.org/wiki/Q30816733,6,Calle De Pavia-6,http://semantic.web.es/group05/resource/bicimad/direccion#calle-de-pavia-6,Centro,centro,http://semantic.web.es/group05/resource/bicimad/distrito#centro,https://wikidata.org/wikiQ1763376,Palacio,palacio,http://semantic.web.es/group05/resource/bicimad/barrio#palacio,https://wikidata.org/wikiQ2136510,27
031,http://semantic.web.es/group05/resource/bicimad/estacionbicicleta#calle-mayor,40.4163446,-3.706625,Calle Mayor,calle mayor,http://semantic.web.es/group05/resource/bicimad/calle#calle-mayor,https://wikidata.org/wiki/Q1149052,18,Calle Mayor-18,http://semantic.web.es/group05/resource/bicimad/direccion#calle-mayor-18,Centro,centro,http://semantic.web.es/group05/resource/bicimad/distrito#centro,https://wikidata.org/wikiQ1763376,Sol,sol,http://semantic.web.es/group05/resource/bicimad/barrio#sol,https://wikidata.org/wikiQ2465181,27
032,http://semantic.web.es/group05/resource/bicimad/estacionbicicleta#plaza-de-la-provincia,40.4148511,-3.7061355,"Plaza de la Provincia, Madrid",plaza de la provincia,http://semantic.web.es/group05/resource/bicimad/calle#plaza-de-la-provincia,https://wikidata.org/wiki/Q12344133,1,Plaza De La Provincia-1,http://semantic.web.es/group05/resource/bicimad/direccion#plaza-de-la-provincia-1,Centro,centro,http://semantic.web.es/group05/resource/bicimad/distrito#centro,https://wikidata.org/wikiQ1763376,Sol,sol,http://semantic.web.es/group05/resource/bicimad/barrio#sol,https://wikidata.org/wikiQ2465181,18
033,http://semantic.web.es/group05/resource/bicimad/estacionbicicleta#calle-de-las-carretas,40.4164757,-3.7032096,calle de Carretas,calle de las carretas,http://semantic.web.es/group05/resource/bicimad/calle#calle-de-las-carretas,https://wikidata.org/wiki/Q5740952,3,Calle De Las Carretas-3,http://semantic.web.es/group05/resource/bicimad/direccion#calle-de-las-carretas-3,Centro,centro,http://semantic.web.es/group05/resource/bicimad/distrito#centro,https://wikidata.org/wikiQ1763376,Sol,sol,http://semantic.web.es/group05/resource/bicimad/barrio#sol,https://wikidata.org/wikiQ2465181,21
034,http://semantic.web.es/group05/resource/bicimad/estacionbicicleta#plaza-de-jacinto-benavente,40.4144117,-3.7035044,Plaza de Jacinto Benavente,plaza de jacinto benavente,http://semantic.web.es/group05/resource/bicimad/calle#plaza-de-jacinto-benavente,https://wikidata.org/wiki/Q6080004,S/N,Plaza De Jacinto Benavente-s/n,http://semantic.web.es/group05/resource/bicimad/direccion#plaza-de-jacinto-benavente-s/n,Centro,centro,http://semantic.web.es/group05/resource/bicimad/distrito#centro,https://wikidata.org/wikiQ1763376,Cortes,cortes,http://semantic.web.es/group05/resource/bicimad/barrio#cortes,https://wikidata.org/wikiQ2535637,24
035,http://semantic.web.es/group05/resource/bicimad/estacionbicicleta#plaza-del-cordon,40.4141792,-3.7103676,Plaza del Cordón,plaza del cordon,http://semantic.web.es/group05/resource/bicimad/calle#plaza-del-cordon,https://wikidata.org/wiki/Q52063495,1,Plaza Del Cordon-1,http://semantic.web.es/group05/resource/bicimad/direccion#plaza-del-cordon-1,Centro,centro,http://semantic.web.es/group05/resource/bicimad/distrito#centro,https://wikidata.org/wikiQ1763376,Palacio,palacio,http://semantic.web.es/group05/resource/bicimad/barrio#palacio,https://wikidata.org/wikiQ2136510,24
036,http://semantic.web.es/group05/resource/bicimad/estacionbicicleta#plaza-de-ramales,40.4168229,-3.711764,"Plaza de Ramales, Madrid",plaza de ramales,http://semantic.web.es/group05/resource/bicimad/calle#plaza-de-ramales,https://wikidata.org/wiki/Q2839150,5,Plaza De Ramales-5,http://semantic.web.es/group05/resource/bicimad/direccion#plaza-de-ramales-5,Centro,centro,http://semantic.web.es/group05/resource/bicimad/distrito#centro,https://wikidata.org/wikiQ1763376,Palacio,palacio,http://semantic.web.es/group05/resource/bicimad/barrio#palacio,https://wikidata.org/wikiQ2136510,24
037,http://semantic.web.es/group05/resource/bicimad/estacionbicicleta#plaza-de-san-francisco,40.4108606,-3.7141234,San Francisco Square,plaza de san francisco,http://semantic.web.es/group05/resource/bicimad/calle#plaza-de-san-francisco,https://wikidata.org/wiki/Q24493632,5,Plaza De San Francisco-5,http://semantic.web.es/group05/resource/bicimad/direccion#plaza-de-san-francisco-5,Centro,centro,http://semantic.web.es/group05/resource/bicimad/distrito#centro,https://wikidata.org/wikiQ1763376,Palacio,palacio,http://semantic.web.es/group05/resource/bicimad/barrio#palacio,https://wikidata.org/wikiQ2136510,24
038,http://semantic.web.es/group05/resource/bicimad/estacionbicicleta#carrera-de-san-francisco,40.4112961,-3.7114443,carrera de San Francisco,carrera de san francisco,http://semantic.web.es/group05/resource/bicimad/calle#carrera-de-san-francisco,https://wikidata.org/wiki/Q24526469,1,Carrera De San Francisco-1,http://semantic.web.es/group05/resource/bicimad/direccion#carrera-de-san-francisco-1,Centro,centro,http://semantic.web.es/group05/resource/bicimad/distrito#centro,https://wikidata.org/wikiQ1763376,Palacio,palacio,http://semantic.web.es/group05/resource/bicimad/barrio#palacio,https://wikidata.org/wikiQ2136510,24
039,http://semantic.web.es/group05/resource/bicimad/estacionbicicleta#cebada-plaza-de-la,40.4112662,-3.7090043,plaza de la Cebada,cebada plaza de la,http://semantic.web.es/group05/resource/bicimad/calle#cebada-plaza-de-la,https://wikidata.org/wiki/Q9060972,16,Cebada Plaza De La-16,http://semantic.web.es/group05/resource/bicimad/direccion#cebada-plaza-de-la-16,Centro,centro,http://semantic.web.es/group05/resource/bicimad/distrito#centro,https://wikidata.org/wikiQ1763376,Palacio,palacio,http://semantic.web.es/group05/resource/bicimad/barrio#palacio,https://wikidata.org/wikiQ2136510,27
040,http://semantic.web.es/group05/resource/bicimad/estacionbicicleta#calle-del-conde-de-romanones,40.4137865,-3.7047463,calle del Conde de Romanones,calle del conde de romanones,http://semantic.web.es/group05/resource/bicimad/calle#calle-del-conde-de-romanones,https://wikidata.org/wiki/Q28026494,2,Calle Del Conde De Romanones-2,http://semantic.web.es/group05/resource/bicimad/direccion#calle-del-conde-de-romanones-2,Centro,centro,http://semantic.web.es/group05/resource/bicimad/distrito#centro,https://wikidata.org/wikiQ1763376,Embajadores,embajadores,http://semantic.web.es/group05/resource/bicimad/barrio#embajadores,https://wikidata.org/wikiQ2449844,24
041,http://semantic.web.es/group05/resource/bicimad/estacionbicicleta#calle-de-atocha,40.412228,-3.6989898,Calle de Atocha,calle de atocha,http://semantic.web.es/group05/resource/bicimad/calle#calle-de-atocha,https://wikidata.org/wiki/Q5492657,56,Calle De Atocha-56,http://semantic.web.es/group05/resource/bicimad/direccion#calle-de-atocha-56,Centro,centro,http://semantic.web.es/group05/resource/bicimad/distrito#centro,https://wikidata.org/wikiQ1763376,Embajadores,embajadores,http://semantic.web.es/group05/resource/bicimad/barrio#embajadores,https://wikidata.org/wikiQ2449844,18
042,http://semantic.web.es/group05/resource/bicimad/estacionbicicleta#calle-de-santa-isabel,40.4107714,-3.6982294,calle de Santa Isabel,calle de santa isabel,http://semantic.web.es/group05/resource/bicimad/calle#calle-de-santa-isabel,https://wikidata.org/wiki/Q2882669,32,Calle De Santa Isabel-32,http://semantic.web.es/group05/resource/bicimad/direccion#calle-de-santa-isabel-32,Centro,centro,http://semantic.web.es/group05/resource/bicimad/distrito#centro,https://wikidata.org/wikiQ1763376,Embajadores,embajadores,http://semantic.web.es/group05/resource/bicimad/barrio#embajadores,https://wikidata.org/wikiQ2449844,24
043,http://semantic.web.es/group05/resource/bicimad/estacionbicicleta#calle-de-lavapies,40.4100889,-3.7025446,Calle de Lavapiés,calle de lavapies,http://semantic.web.es/group05/resource/bicimad/calle#calle-de-lavapies,https://wikidata.org/wiki/Q19969082,36,Calle De Lavapies-36,http://semantic.web.es/group05/resource/bicimad/direccion#calle-de-lavapies-36,Centro,centro,http://semantic.web.es/group05/resource/bicimad/distrito#centro,https://wikidata.org/wikiQ1763376,Embajadores,embajadores,http://semantic.web.es/group05/resource/bicimad/barrio#embajadores,https://wikidata.org/wikiQ2449844,24
044,http://semantic.web.es/group05/resource/bicimad/estacionbicicleta#calle-del-meson-de-paredes,40.4098162,-3.7039138,calle de Mesón de Paredes,calle del meson de paredes,http://semantic.web.es/group05/resource/bicimad/calle#calle-del-meson-de-paredes,https://wikidata.org/wiki/Q5686332,35,Calle Del Meson De Paredes-35,http://semantic.web.es/group05/resource/bicimad/direccion#calle-del-meson-de-paredes-35,Centro,centro,http://semantic.web.es/group05/resource/bicimad/distrito#centro,https://wikidata.org/wikiQ1763376,Embajadores,embajadores,http://semantic.web.es/group05/resource/bicimad/barrio#embajadores,https://wikidata.org/wikiQ2449844,21
