ID,ESTACION,MAGNITUD,PUNTO_MUESTREO,FECHA,VALOR
18_1_28079018_2015_11_17,18,1,28079018,2015-11-17T00:00:00Z,6
18_35_28079018_2015_2_21,18,35,28079018,2015-02-21T00:00:00Z,0.1
24_14_28079024_2015_7_2,24,14,28079024,2015-07-02T00:00:00Z,85
27_8_28079027_2015_11_4,27,8,28079027,2015-11-04T00:00:00Z,45
36_1_28079036_2015_3_15,36,1,28079036,2015-03-15T00:00:00Z,15
38_8_28079038_2015_6_7,38,8,28079038,2015-06-07T00:00:00Z,21
39_7_28079039_2015_11_12,39,7,28079039,2015-11-12T00:00:00Z,172
47_7_28079047_2015_2_12,47,7,28079047,2015-02-12T00:00:00Z,23
48_10_28079048_2015_7_2,48,10,28079048,2015-07-02T00:00:00Z,20
50_10_28079050_2015_1_15,50,10,28079050,2015-01-15T00:00:00Z,21
55_10_28079055_2015_6_10,55,10,28079055,2015-06-10T00:00:00Z,24
56_7_28079056_2015_1_13,56,7,28079056,2015-01-13T00:00:00Z,128
57_10_28079057_2015_4_6,57,10,28079057,2015-04-06T00:00:00Z,16
59_12_28079059_2015_6_29,59,12,28079059,2015-06-29T00:00:00Z,34
4_6_28079004_2014_9_19,4,6,28079004,2014-09-19T00:00:00Z,0.2
8_9_28079008_2014_12_19,8,9,28079008,2014-12-19T00:00:00Z,32
11_7_28079011_2014_1_29,11,7,28079011,2014-01-29T00:00:00Z,28
16_8_28079016_2014_5_3,16,8,28079016,2014-05-03T00:00:00Z,7
18_1_28079018_2014_7_30,18,1,28079018,2014-07-30T00:00:00Z,2
18_35_28079018_2014_1_4,18,35,28079018,2014-01-04T00:00:00Z,1.0
24_14_28079024_2014_4_19,24,14,28079024,2014-04-19T00:00:00Z,59
27_8_28079027_2014_12_26,27,8,28079027,2014-12-26T00:00:00Z,51
35_14_28079035_2014_8_28,35,14,28079035,2014-08-28T00:00:00Z,50
38_7_28079038_2014_11_16,38,7,28079038,2014-11-16T00:00:00Z,8
39_7_28079039_2014_4_28,39,7,28079039,2014-04-28T00:00:00Z,10
40_12_28079040_2014_7_17,40,12,28079040,2014-07-17T00:00:00Z,89
48_9_28079048_2014_10_7,48,9,28079048,2014-10-07T00:00:00Z,8
50_9_28079050_2014_1_9,50,9,28079050,2014-01-09T00:00:00Z,13
55_8_28079055_2014_4_29,55,8,28079055,2014-04-29T00:00:00Z,20
56_7_28079056_2014_2_16,56,7,28079056,2014-02-16T00:00:00Z,43
57_10_28079057_2014_6_15,57,10,28079057,2014-06-15T00:00:00Z,13
59_12_28079059_2014_9_3,59,12,28079059,2014-09-03T00:00:00Z,28
4_6_28079004_2013_11_26,4,6,28079004,2013-11-26T00:00:00Z,0.4
8_10_28079008_2013_5_7,8,10,28079008,2013-05-07T00:00:00Z,21
11_12_28079011_2013_10_21,11,12,28079011,2013-10-21T00:00:00Z,100
17_1_28079017_2013_1_18,17,1,28079017,2013-01-18T00:00:00Z,3
18_8_28079018_2013_4_20,18,8,28079018,2013-04-20T00:00:00Z,18
24_6_28079024_2013_7_26,24,6,28079024,2013-07-26T00:00:00Z,0.2
24_35_28079024_2013_2_12,24,35,28079024,2013-02-12T00:00:00Z,0.6
27_42_28079027_2013_8_9,27,42,28079027,2013-08-09T00:00:00Z,1.2
35_14_28079035_2013_11_3,35,14,28079035,2013-11-03T00:00:00Z,22
38_8_28079038_2013_1_22,38,8,28079038,2013-01-22T00:00:00Z,41
39_7_28079039_2013_4_28,39,7,28079039,2013-04-28T00:00:00Z,1
40_12_28079040_2013_8_19,40,12,28079040,2013-08-19T00:00:00Z,35
48_9_28079048_2013_11_16,48,9,28079048,2013-11-16T00:00:00Z,4
50_9_28079050_2013_2_22,50,9,28079050,2013-02-22T00:00:00Z,7
55_8_28079055_2013_5_23,55,8,28079055,2013-05-23T00:00:00Z,24
55_44_28079055_2013_9_21,55,44,28079055,2013-09-21T00:00:00Z,0.13
57_8_28079057_2013_1_4,57,8,28079057,2013-01-04T00:00:00Z,84
59_8_28079059_2013_4_3,59,8,28079059,2013-04-03T00:00:00Z,28
4_1_28079004_2012_7_4,4,1,28079004,2012-07-04T00:00:00Z,3
8_8_28079008_2012_10_8,8,8,28079008,2012-10-08T00:00:00Z,82
11_7_28079011_2012_1_3,11,7,28079011,2012-01-03T00:00:00Z,74
16_8_28079016_2012_4_5,16,8,28079016,2012-04-05T00:00:00Z,27
18_1_28079018_2012_7_10,18,1,28079018,2012-07-10T00:00:00Z,2
18_30_28079018_2012_9_22,18,30,28079018,2012-09-22T00:00:00Z,0.3
24_14_28079024_2012_2_8,24,14,28079024,2012-02-08T00:00:00Z,56
27_8_28079027_2012_9_19,27,8,28079027,2012-09-19T00:00:00Z,19
35_7_28079035_2012_12_2,35,7,28079035,2012-12-02T00:00:00Z,60
36_12_28079036_2012_2_23,36,12,28079036,2012-02-23T00:00:00Z,199
38_30_28079038_2012_5_14,38,30,28079038,2012-05-14T00:00:00Z,0.2
40_7_28079040_2012_8_15,40,7,28079040,2012-08-15T00:00:00Z,1
47_12_28079047_2012_11_10,47,12,28079047,2012-11-10T00:00:00Z,20
49_14_28079049_2012_1_30,49,14,28079049,2012-01-30T00:00:00Z,17
54_12_28079054_2012_4_27,54,12,28079054,2012-04-27T00:00:00Z,44
55_35_28079055_2012_7_21,55,35,28079055,2012-07-21T00:00:00Z,1.0
56_14_28079056_2012_10_24,56,14,28079056,2012-10-24T00:00:00Z,5
58_12_28079058_2012_1_15,58,12,28079058,2012-01-15T00:00:00Z,81
60_10_28079060_2012_4_2,60,10,28079060,2012-04-02T00:00:00Z,16
8_1_28079008_2011_7_3,8,1,28079008,2011-07-03T00:00:00Z,6
8_20_28079008_2011_11_1,8,20,28079008,2011-11-01T00:00:00Z,4.7
11_20_28079011_2011_2_13,11,20,28079011,2011-02-13T00:00:00Z,2.9
17_1_28079017_2011_5_27,17,1,28079017,2011-05-27T00:00:00Z,6
18_8_28079018_2011_9_2,18,8,28079018,2011-09-02T00:00:00Z,16
24_6_28079024_2011_12_19,24,6,28079024,2011-12-19T00:00:00Z,0.3
24_35_28079024_2011_5_21,24,35,28079024,2011-05-21T00:00:00Z,0.9
27_42_28079027_2011_9_5,27,42,28079027,2011-09-05T00:00:00Z,1.37
35_14_28079035_2011_12_3,35,14,28079035,2011-12-03T00:00:00Z,10
38_8_28079038_2011_3_2,38,8,28079038,2011-03-02T00:00:00Z,64
39_7_28079039_2011_7_26,39,7,28079039,2011-07-26T00:00:00Z,11
40_12_28079040_2011_11_7,40,12,28079040,2011-11-07T00:00:00Z,153
48_10_28079048_2011_3_19,48,10,28079048,2011-03-19T00:00:00Z,13
50_9_28079050_2011_7_28,50,9,28079050,2011-07-28T00:00:00Z,12
55_8_28079055_2011_10_21,55,8,28079055,2011-10-21T00:00:00Z,57
56_6_28079056_2011_2_13,56,6,28079056,2011-02-13T00:00:00Z,0.3
57_8_28079057_2011_6_8,57,8,28079057,2011-06-08T00:00:00Z,24
59_8_28079059_2011_10_2,59,8,28079059,2011-10-02T00:00:00Z,16
4_6_28079004_2010_1_13,4,6,28079004,2010-01-13T00:00:00Z,0.6
8_9_28079008_2010_5_3,8,9,28079008,2010-05-03T00:00:00Z,5
8_43_28079008_2010_8_18,8,43,28079008,2010-08-18T00:00:00Z,1.18
16_6_28079016_2010_11_23,16,6,28079016,2010-11-23T00:00:00Z,0.6
18_1_28079018_2010_6_3,18,1,28079018,2010-06-03T00:00:00Z,6
18_30_28079018_2010_9_3,18,30,28079018,2010-09-03T00:00:00Z,0.2
24_14_28079024_2010_4_8,24,14,28079024,2010-04-08T00:00:00Z,81
27_8_28079027_2010_12_5,27,8,28079027,2010-12-05T00:00:00Z,49
35_8_28079035_2010_2_23,35,8,28079035,2010-02-23T00:00:00Z,43
36_12_28079036_2010_5_16,36,12,28079036,2010-05-16T00:00:00Z,55
38_30_28079038_2010_8_17,38,30,28079038,2010-08-17T00:00:00Z,0.3
40_7_28079040_2010_11_21,40,7,28079040,2010-11-21T00:00:00Z,8
48_7_28079048_2010_8_3,48,7,28079048,2010-08-03T00:00:00Z,5
50_8_28079050_2010_11_24,50,8,28079050,2010-11-24T00:00:00Z,61
55_8_28079055_2010_11_24,55,8,28079055,2010-11-24T00:00:00Z,68
56_6_28079056_2010_8_29,56,6,28079056,2010-08-29T00:00:00Z,0.3
57_10_28079057_2010_5_8,57,10,28079057,2010-05-08T00:00:00Z,19
59_12_28079059_2010_8_28,59,12,28079059,2010-08-28T00:00:00Z,19
17_14_28079017_2020_5_6,17,14,28079017,2020-05-06T00:00:00Z,
50_9_28079050_2020_5_25,50,9,28079050,2020-05-25T00:00:00Z,8
57_8_28079057_2020_6_23,57,8,28079057,2020-06-23T00:00:00Z,16
