Id,Tipo Contenedor,Modelo,Descripcion Modelo,Cantidad,Lote,Distrito,Barrio,Tipo Via,Nombre,Numero,COORDENADA X,COORDENADA Y,LONGITUD,LATITUD,DIRECCION
170651,ENVASES,,Env 800,1,1,FUENCARRAL-EL PARDO,,CALLE,KANT,2,441056.26,4488113.29,-36.960.621,40.541.674,CALLE KANT. 2
170651,ENVASES,,Env 800,1,1,FUENCARRAL-EL PARDO,,CALLE,KANT,2,441056.26,4488113.29,-36.960.621,40.541.674,CALLE KANT. 2
184413,RESTO,,Res 800,1,1,FUENCARRAL-EL PARDO,,AVENIDA,VENTISQUERO DE LA CONDESA,46,439188.08,4482985.43,-37.176.289,404.953.458,AVENIDA VENTISQUERO DE LA CONDESA. 46
184413,RESTO,,Res 800,1,1,FUENCARRAL-EL PARDO,,AVENIDA,VENTISQUERO DE LA CONDESA,46,439188.08,4482985.43,-37.176.289,404.953.458,AVENIDA VENTISQUERO DE LA CONDESA. 46
246557,RESTO,,Res 800,1,1,CHAMBERI,,CALLE,ZURBARAN,9,441104.84,4475671.61,-36.943.325,404.295.981,CALLE ZURBARAN. 9
246557,RESTO,,Res 800,1,1,CHAMBERI,,CALLE,ZURBARAN,9,441104.84,4475671.61,-36.943.325,404.295.981,CALLE ZURBARAN. 9
171960,RESTO,,Res 800,1,1,LATINA,,CALLE,GRANDEZA ESPAÑOLA,51,437761.52,4473627.95,-37.335.449,404.109.445,CALLE GRANDEZA ESPAÑOLA. 51
170691,VIDRIO,,V 2200 CL,1,1,FUENCARRAL-EL PARDO,,AVENIDA,MONASTERIO DE EL ESCORIAL,87,441215.72,4484512.13,-36.938.445,405.092.449,AVENIDA MONASTERIO DE EL ESCORIAL. 87
169940,RESTO,,Res 800,1,1,FUENCARRAL-EL PARDO,,CALLE,ISLAS BAHAMAS,24,438757.09,4480995.14,-37.225.223,404.773.849,CALLE ISLAS BAHAMAS. 24
169978,RESTO,,Res 800,1,1,FUENCARRAL-EL PARDO,,CALLE,ISLA DE ZANZIBAR,8,438656.52,4481148.72,-37.237.235,40.478.761,CALLE ISLA DE ZANZIBAR. 8
171664,VIDRIO,,V 2200 CL,1,1,MONCLOA-ARAVACA,,CALLE,RIAZA,5,433734.52,4478719.96,-37.815.341,40.456.504,CALLE RIAZA. 5
171664,PAPEL-CARTON,,PC 3200 CL,1,1,MONCLOA-ARAVACA,,CALLE,RIAZA,5,433734.52,4478719.96,-37.815.341,40.456.504,CALLE RIAZA. 5
246578,VIDRIO,,V 2200 CL,1,1,FUENCARRAL-EL PARDO,,CALLE,OBANOS,5,442734.83,4483352.79,-36.758.105,404.989.074,CALLE OBANOS. 5
172520,PAPEL-CARTON,,PC 3200 CL,1,1,LATINA,,CALLE,QUERO,49,435395.27,4471367.26,-37.612.019,403.903.991,CALLE QUERO. 49
170347,ORGANICA,,O 800,1,1,FUENCARRAL-EL PARDO,,CALLE,SAN CUGAT DEL VALLES,15,440907.32,4483141.37,-36.973.565,404.968.747,CALLE SAN CUGAT DEL VALLES. 15
225515,RESTO,,Res 800,1,1,FUENCARRAL-EL PARDO,,CALLE,ANTONIO DE CABEZON,70,442432.69,4483083.13,-36.793.514,404.964.573,CALLE ANTONIO DE CABEZON. 70
170095,PAPEL-CARTON,,PC 3200 CL,1,1,FUENCARRAL-EL PARDO,,CALLE,SARRIA,65,439420.76,4480790.31,-37.146.735,404.755.884,CALLE SARRIA. 65
246593,PAPEL-CARTON,,PC 3200 CL,1,1,LATINA,,CALLE,JOSE DE CADALSO,1,434475.02,4470500.69,-37.719.546,403.825.208,CALLE JOSE DE CADALSO. 1
246593,VIDRIO,,V 2200 CL,1,1,LATINA,,CALLE,JOSE DE CADALSO,1,434475.02,4470500.69,-37.719.546,403.825.208,CALLE JOSE DE CADALSO. 1
246596,RESTO,,Res 800,1,1,FUENCARRAL-EL PARDO,,CALLE,ANTONIO DE CABEZON,31,442528.66,4482715.35,-36.781.856,404.931.508,CALLE ANTONIO DE CABEZON. 31
246607,PAPEL-CARTON,,PC 3200 CL,1,1,FUENCARRAL-EL PARDO,,CALLE,LEOPOLDO ALAS CLARIN,33,437826.62,4481359.33,-37.335.345,404.805.965,CALLE LEOPOLDO ALAS CLARIN. 33
178593,ENVASES,,Env 800,1,1,MONCLOA-ARAVACA,,CALLE,ISLAS MARIANAS,19,438750.46,4479400.07,-37.224.465,404.630.155,CALLE ISLAS MARIANAS. 19
171266,ENVASES,,Env 800,1,1,MONCLOA-ARAVACA,,CALLE,VALLE DEL SILENCIO,10,439454.21,4480012.81,-37.142.047,404.685.868,CALLE VALLE DEL SILENCIO. 10
184424,RESTO,,Res 800,1,1,CENTRO,,CALLE,DESENGAÑO,7,440331.06,4474710.06,-37.033.639,404.208.808,CALLE DESENGAÑO. 7
173305,ENVASES,,Env 3200 CL,1,1,CENTRO,,CALLE,CALATRAVA,40,439455.94,4473535.68,-37.135.671,404.102.383,CALLE CALATRAVA. 40
184424,RESTO,,Res 800,1,1,CENTRO,,CALLE,DESENGAÑO,7,440331.06,4474710.06,-37.033.639,404.208.808,CALLE DESENGAÑO. 7
171533,ORGANICA,,O 800,1,1,MONCLOA-ARAVACA,,CALLE,BAJA DE LA IGLESIA,13,433639.55,4478866.09,-37.826.694,404.578.128,CALLE BAJA DE LA IGLESIA. 13
171533,RESTO,,Res 800,1,1,MONCLOA-ARAVACA,,CALLE,BAJA DE LA IGLESIA,13,433639.55,4478866.09,-37.826.694,404.578.128,CALLE BAJA DE LA IGLESIA. 13
171537,RESTO,,Res 800,1,1,MONCLOA-ARAVACA,,CALLE,CAROLI,20,433561.13,4478776.96,-37.835.849,404.570.036,CALLE CAROLI. 20
171537,ORGANICA,,O 800,1,1,MONCLOA-ARAVACA,,CALLE,CAROLI,20,433561.13,4478776.96,-37.835.849,404.570.036,CALLE CAROLI. 20
171542,RESTO,,Res 800,1,1,MONCLOA-ARAVACA,,CALLE,CAROLI,10,433479.35,4478940.17,-37.845.664,404.584.673,CALLE CAROLI. 10
171567,RESTO,,Res 800,1,1,MONCLOA-ARAVACA,,CALLE,OLIVO,42,433628.07,4478960.62,-37.828.146,404.586.634,CALLE OLIVO. 42
171542,ORGANICA,,O 800,1,1,MONCLOA-ARAVACA,,CALLE,CAROLI,10,433479.35,4478940.17,-37.845.664,404.584.673,CALLE CAROLI. 10
171567,ORGANICA,,O 800,1,1,MONCLOA-ARAVACA,,CALLE,OLIVO,42,433628.07,4478960.62,-37.828.146,404.586.634,CALLE OLIVO. 42
171601,ORGANICA,,O 800,1,1,MONCLOA-ARAVACA,,PASEO,ERMITA,7,433811.19,4479091.04,-37.806.686,404.598.529,PASEO ERMITA. 7
171601,RESTO,,Res 800,1,1,MONCLOA-ARAVACA,,PASEO,ERMITA,7,433811.19,4479091.04,-37.806.686,404.598.529,PASEO ERMITA. 7
171622,ORGANICA,,O 800,1,1,MONCLOA-ARAVACA,,PLAZA,MARQUES DE CAMARINES,2,433590.93,4478955.3,-37.832.521,404.586.125,PLAZA MARQUES DE CAMARINES. 2
171622,RESTO,,Res 800,1,1,MONCLOA-ARAVACA,,PLAZA,MARQUES DE CAMARINES,2,433590.93,4478955.3,-37.832.521,404.586.125,PLAZA MARQUES DE CAMARINES. 2
171675,ORGANICA,,O 800,1,1,MONCLOA-ARAVACA,,CALLE,ARCOS DE LA FRONTERA,51,433520.67,4479072.77,-3.784.093,404.596.651,CALLE ARCOS DE LA FRONTERA. 51
171675,RESTO,,Res 800,1,1,MONCLOA-ARAVACA,,CALLE,ARCOS DE LA FRONTERA,51,433520.67,4479072.77,-3.784.093,404.596.651,CALLE ARCOS DE LA FRONTERA. 51
169298,ORGANICA,,O 800,1,1,TETUAN,,CALLE,CAPITAN BLANCO ARGIBAY,20,440898.33,4479605.13,-3.697.133,404.650.183,CALLE CAPITAN BLANCO ARGIBAY. 20
169327,ORGANICA,,O 800,1,1,TETUAN,,CALLE,MARQUES DE VIANA,39,440545.26,4479272.7,-37.012.662,404.619.984,CALLE MARQUES DE VIANA. 39
169327,ORGANICA,,O 800,1,1,TETUAN,,CALLE,MARQUES DE VIANA,39,440545.26,4479272.7,-37.012.662,404.619.984,CALLE MARQUES DE VIANA. 39
170535,PAPEL-CARTON,,PC 3200 CL,1,1,FUENCARRAL-EL PARDO,,CALLE,LA ESTRADA,11,441208.84,4482367.46,-36.937.267,404.899.245,CALLE LA ESTRADA. 11
171958,ORGANICA,,O 800,1,1,LATINA,,PASEO,ERMITA DEL SANTO,3,438628.72,4473555.03,-37.233.178,40.410.352,PASEO ERMITA DEL SANTO. 3
184364,ENVASES,,Env 800,1,1,CHAMBERI,,CALLE,BRAVO MURILLO,39,440179.12,4476488.59,-37.053.222,404.368.917,CALLE BRAVO MURILLO. 39
184364,ENVASES,,Env 800,1,1,CHAMBERI,,CALLE,BRAVO MURILLO,39,440179.12,4476488.59,-37.053.222,404.368.917,CALLE BRAVO MURILLO. 39
184364,ENVASES,,Env 800,1,1,CHAMBERI,,CALLE,BRAVO MURILLO,39,440179.12,4476488.59,-37.053.222,404.368.917,CALLE BRAVO MURILLO. 39
184364,ENVASES,,Env 800,1,1,CHAMBERI,,CALLE,BRAVO MURILLO,39,440179.12,4476488.59,-37.053.222,404.368.917,CALLE BRAVO MURILLO. 39
184364,ENVASES,,Env 800,1,1,CHAMBERI,,CALLE,BRAVO MURILLO,39,440179.12,4476488.59,-37.053.222,404.368.917,CALLE BRAVO MURILLO. 39
184364,ENVASES,,Env 800,1,1,CHAMBERI,,CALLE,BRAVO MURILLO,39,440179.12,4476488.59,-37.053.222,404.368.917,CALLE BRAVO MURILLO. 39
184364,RESTO,,Res 800,1,1,CHAMBERI,,CALLE,BRAVO MURILLO,39,440179.12,4476488.59,-37.053.222,404.368.917,CALLE BRAVO MURILLO. 39
184364,RESTO,,Res 800,1,1,CHAMBERI,,CALLE,BRAVO MURILLO,39,440179.12,4476488.59,-37.053.222,404.368.917,CALLE BRAVO MURILLO. 39
184364,RESTO,,Res 800,1,1,CHAMBERI,,CALLE,BRAVO MURILLO,39,440179.12,4476488.59,-37.053.222,404.368.917,CALLE BRAVO MURILLO. 39
184364,RESTO,,Res 800,1,1,CHAMBERI,,CALLE,BRAVO MURILLO,39,440179.12,4476488.59,-37.053.222,404.368.917,CALLE BRAVO MURILLO. 39
184364,RESTO,,Res 800,1,1,CHAMBERI,,CALLE,BRAVO MURILLO,39,440179.12,4476488.59,-37.053.222,404.368.917,CALLE BRAVO MURILLO. 39
184743,RESTO,,Res 800,1,1,CHAMBERI,,CALLE,ALBURQUERQUE,9,440421.74,4475842.94,-37.024.012,404.310.928,CALLE ALBURQUERQUE. 9
184743,RESTO,,Res 800,1,1,CHAMBERI,,CALLE,ALBURQUERQUE,9,440421.74,4475842.94,-37.024.012,404.310.928,CALLE ALBURQUERQUE. 9
184745,ENVASES,,Env 800,1,1,LATINA,,AVENIDA,NUESTRA SEÑORA DE VALVANERA,140,437045.95,4471729.41,-37.417.902,403.937.879,AVENIDA NUESTRA SEÑORA DE VALVANERA. 140
172804,RESTO,,Res 800,1,1,LATINA,,COLONIA,MILITAR DE CUATRO VIENTOS,52,432440.93,4469754.98,-37.958.372,403.756.408,COLONIA MILITAR DE CUATRO VIENTOS. 52
178288,PAPEL-CARTON,,PC 3200 CL,1,1,LATINA,,CALLE,SEPULVEDA,75,436973.1,4472916.42,-3.742.766,404.044.755,CALLE SEPULVEDA. 75
170003,PAPEL-CARTON,,PC 3200 CL,1,1,FUENCARRAL-EL PARDO,,AVENIDA,CARDENAL HERRERA ORIA,265,438739.52,4481291.97,-37.227.582,404.800.576,AVENIDA CARDENAL HERRERA ORIA. 265
169759,RESTO,,Res 800,1,1,FUENCARRAL-EL PARDO,,CARRETERA,EL PARDO A COLMENAR VIEJO,13,433474.83,4487674.52,-37.855.369,405.371.475,CARRETERA EL PARDO A COLMENAR VIEJO. 13
169846,RESTO,,Res 800,1,1,FUENCARRAL-EL PARDO,,CALLE,PABLO GARGALLO,33,437802.78,4480837.18,-37.337.645,40.475.891,CALLE PABLO GARGALLO. 33
169872,ENVASES,,Env 800,1,1,FUENCARRAL-EL PARDO,,CALLE,VICENTE BAENA,2,438399.33,4481390.49,-37.267.811,404.809.199,CALLE VICENTE BAENA. 2
169975,PAPEL-CARTON,,PC 3200 CL,1,1,FUENCARRAL-EL PARDO,,CALLE,ANGELITA CAMARERO,22,438345.49,4481474.97,-37.274.245,404.816.769,CALLE ANGELITA CAMARERO. 22
169750,RESTO,,Res 800,1,1,FUENCARRAL-EL PARDO,,CALLE,MURALLA,9,433939.03,4487057.57,-37.799.916,405.316.271,CALLE MURALLA. 9
169707,PAPEL-CARTON,,PC 3200 CL,1,1,FUENCARRAL-EL PARDO,,CALLE,SAN LEANDRO,9,434277.37,4485554.86,-3.775.841,405.181.173,CALLE SAN LEANDRO. 9
170007,RESTO,,Res 800,1,1,FUENCARRAL-EL PARDO,,CALLE,ISLA DE ZANZIBAR,47,438675.35,4480858.94,-37.234.734,404.761.519,CALLE ISLA DE ZANZIBAR. 47
169929,VIDRIO,,V 2200 CL,1,1,FUENCARRAL-EL PARDO,,CALLE,MARIO RECUERO,15,438344.62,4481245.35,-37.274.124,404.796.084,CALLE MARIO RECUERO. 15
169701,VIDRIO,,V 2200 CL,1,1,FUENCARRAL-EL PARDO,,CALLE,ALMENAS,106,433721.2,4487245.82,-37.825.831,405.333.055,CALLE ALMENAS. 106
170058,VIDRIO,,V 2200 CL,1,1,FUENCARRAL-EL PARDO,,PLAZA,PEÑA HORCAJO,1,438967.95,4481820.7,-37.201.143,404.848.374,PLAZA PEÑA HORCAJO. 1
170030,RESTO,,Res 800,1,1,FUENCARRAL-EL PARDO,,CALLE,OTERO Y DELAGE,104,438091.05,4480862.26,-37.303.664,404.761.385,CALLE OTERO Y DELAGE. 104
169768,RESTO,,Res 800,1,1,FUENCARRAL-EL PARDO,,CALLE,GARITA,2,433720.42,4487244.94,-37.825.922,405.332.975,CALLE GARITA. 2
170055,PAPEL-CARTON,,PC 3200 CL,1,1,FUENCARRAL-EL PARDO,,CALLE,ALEJANDRO CASONA,7,438127.77,4481548.46,-37.300.002,404.823.227,CALLE ALEJANDRO CASONA. 7
170022,RESTO,,Res 800,1,1,FUENCARRAL-EL PARDO,,CALLE,CHANTADA,49,439118.45,4480529.92,-37.182.147,404.732.206,CALLE CHANTADA. 49
169822,RESTO,,Res 800,1,1,FUENCARRAL-EL PARDO,,CALLE,PICO BALAITUS,38,438897.59,4481744.25,-3.720.937,404.841.435,CALLE PICO BALAITUS. 38
169773,PAPEL-CARTON,,PC 3200 CL,1,1,FUENCARRAL-EL PARDO,,AVENIDA,GUARDIA,17,434447.08,4485415.19,-37.738.233,405.168.726,AVENIDA GUARDIA. 17
170022,ENVASES,,Env 800,1,1,FUENCARRAL-EL PARDO,,CALLE,CHANTADA,49,439118.45,4480529.92,-37.182.147,404.732.206,CALLE CHANTADA. 49
169848,RESTO,,Res 800,1,1,FUENCARRAL-EL PARDO,,CALLE,RAMON GOMEZ DE LA SERNA,37,438702.28,4481783.61,-37.232.451,404.844.837,CALLE RAMON GOMEZ DE LA SERNA. 37
169920,ENVASES,,Env 800,1,1,FUENCARRAL-EL PARDO,,CALLE,ISLA MALAITA,9,438817.67,4480638.43,-37.217.732,40.474.176,CALLE ISLA MALAITA. 9
169918,ENVASES,,Env 800,1,1,FUENCARRAL-EL PARDO,,CALLE,OTERO Y DELAGE,56,438525.3,4480859.25,-37.252.435,404.761.436,CALLE OTERO Y DELAGE. 56
CT_21_033,ENVASES,CONT-001 C,Env 800,1,2,BARAJAS,213,CALLE,DOÑA LEONOR DE CORTINA,4,451261,4480557,-35.749.798,404.742.659,CALLE DOÑA LEONOR DE CORTINA. 4
CT_21_053,RESTO,CONT-006 C,Res 800,1,2,BARAJAS,212,CALLE,AYERBE,17,451042,4480217,-3.577.537,404.711.901,CALLE AYERBE. 17
CT_21_033,RESTO,CONT-006 C,Res 800,1,2,BARAJAS,213,CALLE,DOÑA LEONOR DE CORTINA,4,451259,4480551,-3.575.003,404.742.117,CALLE DOÑA LEONOR DE CORTINA. 4
CT_21_033,RESTO,CONT-006 C,Res 800,1,2,BARAJAS,213,CALLE,DOÑA LEONOR DE CORTINA,4,451259,4480551,-3.575.003,404.742.117,CALLE DOÑA LEONOR DE CORTINA. 4
CT_21_032,ORGANICA,CONT-031 C,O 800,1,2,BARAJAS,213,CALLE,FRAGUAS,4,451168,4480556,-35.760.768,404.742.514,CALLE FRAGUAS. 4
CT_21_022,ENVASES,CONT-001 C,Env 800,1,2,BARAJAS,213,CALLE,IBERIA,1,450981,4480763,-35.782.988,404.761.052,CALLE IBERIA. 1
CT_21_032,RESTO,CONT-006 C,Res 800,1,2,BARAJAS,213,CALLE,FRAGUAS,4,451165,4480552,-35.761.119,404.742.152,CALLE FRAGUAS. 4
CT_21_015,RESTO,CONT-006 C,Res 800,1,2,BARAJAS,213,CALLE,JUPITER,11,450791,4480799,-3.580.543,404.764.182,CALLE JUPITER. 11
CT_21_024,ORGANICA,CONT-031 C,O 800,1,2,BARAJAS,213,CALLE,PODEROSAS,29,451094,4480720,-35.769.624,404.757.245,CALLE PODEROSAS. 29
CT_21_022,RESTO,CONT-006 C,Res 800,1,2,BARAJAS,213,CALLE,IBERIA,1,450963,4480754,-35.785.104,40.476.023,CALLE IBERIA. 1
CT_21_063,RESTO,CONT-006 C,Res 800,1,2,BARAJAS,213,AVENIDA,LOGROÑO,102,451023,4479752,-35.777.252,404.669.999,AVENIDA LOGROÑO. 102
CT_21_033,ENVASES,CONT-001 C,Env 800,1,2,BARAJAS,213,CALLE,DOÑA LEONOR DE CORTINA,4,451259,4480551,-3.575.003,404.742.117,CALLE DOÑA LEONOR DE CORTINA. 4
CT_21_015,ENVASES,CONT-001 C,Env 800,1,2,BARAJAS,213,CALLE,JUPITER,11,450797,4480803,-35.804.725,404.764.546,CALLE JUPITER. 11
CT_21_011,RESTO,CONT-006 C,Res 800,1,2,BARAJAS,212,CALLE,MEDINA DE POMAR,8,450434,4477984,-35.845.346,404.510.378,CALLE MEDINA DE POMAR. 8
CT_21_016,ENVASES,CONT-001 C,Env 800,1,2,BARAJAS,213,CALLE,PAJARONES,5,450745,4480749,-35.810.817,404.759.651,CALLE PAJARONES. 5
CT_21_037,RESTO,CONT-006 C,Res 800,1,2,BARAJAS,213,CALLE,FRAGUAS,35,451204,4480461,-35.756.448,404.733.977,CALLE FRAGUAS. 35
CL_14_074,RESTO,CONT-010,Res 3200 CL ADAPT,1,2,MORATALAZ,144,AVENIDA,DOCTOR GARCIA TAPIA,66,444604,4473718,-36.529.123,404.122.392,AVENIDA DOCTOR GARCIA TAPIA. 66
CL_14_119,RESTO,CONT-010,Res 3200 CL ADAPT,1,2,MORATALAZ,143,AVENIDA,DOCTOR GARCIA TAPIA,45,444781,4473975,-36.508.486,404.145.662,AVENIDA DOCTOR GARCIA TAPIA. 45
CL_14_153,RESTO,CONT-010,Res 3200 CL ADAPT,1,2,MORATALAZ,146,CALLE,CAMINO DE LOS VINATEROS,174,445429,4473036,-36.431.307,404.061.499,CALLE CAMINO DE LOS VINATEROS. 174
CL_14_066,ENVASES,CONT-002,Env 2400 CL,1,2,MORATALAZ,144,CALLE,CAMINO DE LOS VINATEROS,30,444246,4473536,-36.571.156,404.105.758,CALLE CAMINO DE LOS VINATEROS. 30
CL_14_050,RESTO,CONT-010,Res 3200 CL ADAPT,1,2,MORATALAZ,143,CALLE,MARROQUINA,10,444801,4473136,-36.505.401,404.070.093,CALLE MARROQUINA. 10
CL_14_252,ENVASES,CONT-002,Env 2400 CL,1,2,MORATALAZ,146,CALLE,HACIENDA DE PAVONES,1,444800,4472933,-36.505.342,404.051.805,CALLE HACIENDA DE PAVONES. 1
CL_14_213,ORGANICA,CONT-101,O 2400 CL,1,2,MORATALAZ,145,CALLE,ENCOMIENDA DE PALACIOS,185,445780,4472206,-36.389.237,403.986.957,CALLE ENCOMIENDA DE PALACIOS. 185
CL_14_086,ORGANICA,CONT-101,O 2400 CL,1,2,MORATALAZ,144,CALLE,FELIX RODRIGUEZ DE LA FUENTE,16,444219,4474105,-36.574.837,404.156.998,CALLE FELIX RODRIGUEZ DE LA FUENTE. 16
CL_14_124,ORGANICA,CONT-101,O 2400 CL,1,2,MORATALAZ,143,CALLE,MARROQUINA,110,445212,4473585,-36.457.352,404.110.813,CALLE MARROQUINA. 110
CL_14_221,ORGANICA,CONT-101,O 2400 CL,1,2,MORATALAZ,146,CALLE,LUIS DE HOYOS SAINZ,18,445815,4472947,-36.385.743,404.053.733,CALLE LUIS DE HOYOS SAINZ. 18
CL_15_195,ENVASES,CONT-002,Env 2400 CL,1,2,CIUDAD-LINEAL,152,CALLE,LOS REALEJOS,7,446532,4475353,-36.303.272,404.270.944,CALLE LOS REALEJOS. 7
CL_15_247,RESTO,CONT-010,Res 3200 CL ADAPT,1,2,CIUDAD-LINEAL,152,CALLE,PUNTALLANA,2,446425,4475542,-36.316.044,404.287.901,CALLE PUNTALLANA. 2
CL_15_210,ENVASES,CONT-002,Env 2400 CL,1,2,CIUDAD-LINEAL,152,PLAZA,VILAFLOR,4,446072,4475960,-36.358.012,404.325.329,PLAZA VILAFLOR. 4
CL_15_167,ENVASES,CONT-002,Env 2400 CL,1,2,CIUDAD-LINEAL,151,CALLE,SANTA IRENE,4,444807,4474417,-36.505.805,404.185.497,CALLE SANTA IRENE. 4
CL_16_106,ORGANICA,CONT-101,O 2400 CL,1,2,HORTALEZA,164,CALLE,SANTA SUSANA,41,445161,4481069,-36.469.824,404.784.979,CALLE SANTA SUSANA. 41
CL_16_125,ORGANICA,CONT-101,O 2400 CL,1,2,HORTALEZA,164,AVENIDA,SAN LUIS,60,444584,4480350,-36.537.265,404.719.825,AVENIDA SAN LUIS. 60
CL_16_035,ORGANICA,CONT-101,O 2400 CL,1,2,HORTALEZA,164,CALLE,ANGEL LUIS DE LA HERRAN,34,444933,4480137,-36.495.912,404.700.869,CALLE ANGEL LUIS DE LA HERRAN. 34
CL_16_240,ORGANICA,CONT-101,O 2400 CL,1,2,HORTALEZA,163,CALLE,MOSCATELAR,25,445070,4478715,-36.478.521,404.572.858,CALLE MOSCATELAR. 25
