PARQUE,wikidataPARQUE,ESPECIE,wikidataESPECIE,UNIDADES,PARQUEURI,ARBOLURI
Parque de El Capricho,https://www.wikidata.org/wiki/Q2054035,Aesculus hippocastanum,https://www.wikidata.org/wiki/Q26899,79,CaprichoAlamedaOsuna,AesculusH
Parque de El Capricho,https://www.wikidata.org/wiki/Q2054035,Other,https://www.wikidata.org/wiki/Q86630688,1273,CaprichoAlamedaOsuna,
Parque de la Cuña Verde de Latina,https://www.wikidata.org/wiki/Q24024726,Pinus halepensis,https://www.wikidata.org/wiki/Q211457,3228,ODonellFuenteCarantona,PinusH
Parque de la Cuña Verde de Latina,https://www.wikidata.org/wiki/Q24024726,Pinus pinea,https://www.wikidata.org/wiki/Q106094,2786,ODonellFuenteCarantona,PinusP
Parque de la Cuña Verde de Latina,https://www.wikidata.org/wiki/Q24024726,Celtis australis,https://www.wikidata.org/wiki/Q255375,1040,ODonellFuenteCarantona,CeltisA
Parque de la Cuña Verde de Latina,https://www.wikidata.org/wiki/Q24024726,Quercus ilex,https://www.wikidata.org/wiki/Q218155,833,ODonellFuenteCarantona,QuercusI
Parque de la Cuña Verde de Latina,https://www.wikidata.org/wiki/Q24024726,Cedrus deodara,https://www.wikidata.org/wiki/Q146935,494,ODonellFuenteCarantona,CedrusD
Parque de la Cuña Verde de Latina,https://www.wikidata.org/wiki/Q24024726,Ulmus pumila,https://www.wikidata.org/wiki/Q1079824,395,ODonellFuenteCarantona,UlmusP
Parque de la Cuña Verde de Latina,https://www.wikidata.org/wiki/Q24024726,Platanus orientalis,https://www.wikidata.org/wiki/Q161105,393,ODonellFuenteCarantona,PlatantusO
Parque de la Cuña Verde de Latina,https://www.wikidata.org/wiki/Q24024726,Quercus robur,https://www.wikidata.org/wiki/Q165145,357,ODonellFuenteCarantona,QuercusR
Parque de la Cuña Verde de Latina,https://www.wikidata.org/wiki/Q24024726,Cupressus × leylandii,https://www.wikidata.org/wiki/Q1290970,255,ODonellFuenteCarantona,CupressocyparisL
Parque de la Cuña Verde de Latina,https://www.wikidata.org/wiki/Q24024726,Platanus hybrida,https://www.wikidata.org/wiki/Q59420135,254,ODonellFuenteCarantona,PlatanusH
Parque de la Cuña Verde de Latina,https://www.wikidata.org/wiki/Q24024726,Other,https://www.wikidata.org/wiki/Q86630688,3403,ODonellFuenteCarantona,
Dehesa de la Villa,https://www.wikidata.org/wiki/Q4887686,Pinus pinea,https://www.wikidata.org/wiki/Q106094,4904,DehesaVilla,PinusP
Dehesa de la Villa,https://www.wikidata.org/wiki/Q4887686,Pinus halepensis,https://www.wikidata.org/wiki/Q211457,742,DehesaVilla,PinusH
Dehesa de la Villa,https://www.wikidata.org/wiki/Q4887686,Prunus dulcis,https://www.wikidata.org/wiki/Q39918,578,DehesaVilla,PrunusD
Dehesa de la Villa,https://www.wikidata.org/wiki/Q4887686,Ulmus pumila,https://www.wikidata.org/wiki/Q1079824,271,DehesaVilla,UlmusP
Dehesa de la Villa,https://www.wikidata.org/wiki/Q4887686,Quercus ilex,https://www.wikidata.org/wiki/Q218155,218,DehesaVilla,QuercusI
Dehesa de la Villa,https://www.wikidata.org/wiki/Q4887686,Ailanthus altissima,https://www.wikidata.org/wiki/Q159570,205,DehesaVilla,AilanthusA
Dehesa de la Villa,https://www.wikidata.org/wiki/Q4887686,Fraxinus angustifolia,https://www.wikidata.org/wiki/Q518949,164,DehesaVilla,FraxinusA
Dehesa de la Villa,https://www.wikidata.org/wiki/Q4887686,Platanus hybrida,https://www.wikidata.org/wiki/Q59420135,144,DehesaVilla,PlatanusH
Dehesa de la Villa,https://www.wikidata.org/wiki/Q4887686,Gleditsia triacanthos,https://www.wikidata.org/wiki/Q157650,131,DehesaVilla,GleditsiaT
Dehesa de la Villa,https://www.wikidata.org/wiki/Q4887686,Celtis australis,https://www.wikidata.org/wiki/Q255375,115,DehesaVilla,CeltisA
Dehesa de la Villa,https://www.wikidata.org/wiki/Q4887686,Other,https://www.wikidata.org/wiki/Q86630688,1200,DehesaVilla,
Zona verde,https://www.wikidata.org/wiki/Q24021909,Pinus pinea,https://www.wikidata.org/wiki/Q106094,400,Tablas,PinusP
Zona verde,https://www.wikidata.org/wiki/Q24021909,Celtis australis,https://www.wikidata.org/wiki/Q255375,315,Tablas,CeltisA
Zona verde,https://www.wikidata.org/wiki/Q24021909,Prunus cerasifera var. pissardii,https://www.wikidata.org/wiki/Q6089457,110,Tablas,PrunusC
Zona verde,https://www.wikidata.org/wiki/Q24021909,Melia azedarach,https://www.wikidata.org/wiki/Q162171,61,Tablas,MeliaA
Zona verde,https://www.wikidata.org/wiki/Q24021909,Cupressus × leylandii,https://www.wikidata.org/wiki/Q1290970,60,Tablas,CupressocyparisL
Zona verde,https://www.wikidata.org/wiki/Q24021909,Liquidambar styraciflua,https://www.wikidata.org/wiki/Q469652,46,Tablas,LiquidambarS
Zona verde,https://www.wikidata.org/wiki/Q24021909,Cedrus deodara,https://www.wikidata.org/wiki/Q146935,45,Tablas,CedrusD
Zona verde,https://www.wikidata.org/wiki/Q24021909,Olea europaea,https://www.wikidata.org/wiki/Q37083,38,Tablas,OleaE
Zona verde,https://www.wikidata.org/wiki/Q24021909,Gleditsia triacanthos,https://www.wikidata.org/wiki/Q157650,30,Tablas,GleditsiaTInermes
Zona verde,https://www.wikidata.org/wiki/Q24021909,Pyrus calleryana,https://www.wikidata.org/wiki/Q3079266,26,Tablas,PyrusC
Zona verde,https://www.wikidata.org/wiki/Q24021909,Other,https://www.wikidata.org/wiki/Q86630688,172,Tablas,
Juan Carlos I Park,https://www.wikidata.org/wiki/Q1583169,Olea europaea,https://www.wikidata.org/wiki/Q37083,2377,ParqueJCI,OleaE
Juan Carlos I Park,https://www.wikidata.org/wiki/Q1583169,Pinus pinea,https://www.wikidata.org/wiki/Q106094,1243,ParqueJCI,PinusP
Juan Carlos I Park,https://www.wikidata.org/wiki/Q1583169,Catalpa bignonioides,https://www.wikidata.org/wiki/Q163831,980,ParqueJCI,CatalpaB
Juan Carlos I Park,https://www.wikidata.org/wiki/Q1583169,Sophora japonica,https://www.wikidata.org/wiki/Q10881597,581,ParqueJCI,SophoraJ
Juan Carlos I Park,https://www.wikidata.org/wiki/Q1583169,Cupressus × leylandii,https://www.wikidata.org/wiki/Q1290970,566,ParqueJCI,CupressocyparisL
Juan Carlos I Park,https://www.wikidata.org/wiki/Q1583169,Fraxinus excelsior,https://www.wikidata.org/wiki/Q156907,499,ParqueJCI,FraxinusE
Juan Carlos I Park,https://www.wikidata.org/wiki/Q1583169,Cupressus sempervirens,https://www.wikidata.org/wiki/Q147513,494,ParqueJCI,CupressusS
Juan Carlos I Park,https://www.wikidata.org/wiki/Q1583169,Platanus hybrida,https://www.wikidata.org/wiki/Q59420135,432,ParqueJCI,PlatanusH
Juan Carlos I Park,https://www.wikidata.org/wiki/Q1583169,Fraxinus angustifolia,https://www.wikidata.org/wiki/Q518949,314,ParqueJCI,FraxinusA
Juan Carlos I Park,https://www.wikidata.org/wiki/Q1583169,Populus alba,https://www.wikidata.org/wiki/Q146269,289,ParqueJCI,PopulusA
Juan Carlos I Park,https://www.wikidata.org/wiki/Q1583169,Other,https://www.wikidata.org/wiki/Q86630688,6539,ParqueJCI,
Parque Juan Pablo II (Madrid),https://www.wikidata.org/wiki/Q89488172,Aesculus hippocastanum,https://www.wikidata.org/wiki/Q26899,133,ParqueJPII,AesculusH
Parque Juan Pablo II (Madrid),https://www.wikidata.org/wiki/Q89488172,Pinus pinea,https://www.wikidata.org/wiki/Q106094,123,ParqueJPII,PinusP
Parque Juan Pablo II (Madrid),https://www.wikidata.org/wiki/Q89488172,Celtis australis,https://www.wikidata.org/wiki/Q255375,104,ParqueJPII,CeltisA
Parque Juan Pablo II (Madrid),https://www.wikidata.org/wiki/Q89488172,Morus alba,https://www.wikidata.org/wiki/Q157307,100,ParqueJPII,MorusA
Parque Juan Pablo II (Madrid),https://www.wikidata.org/wiki/Q89488172,Liquidambar styraciflua,https://www.wikidata.org/wiki/Q469652,80,ParqueJPII,LiquidambarS
Parque Juan Pablo II (Madrid),https://www.wikidata.org/wiki/Q89488172,Gleditsia triacanthos,https://www.wikidata.org/wiki/Q157650,66,ParqueJPII,GleditsiaT
Parque Juan Pablo II (Madrid),https://www.wikidata.org/wiki/Q89488172,Prunus dulcis,https://www.wikidata.org/wiki/Q39918,63,ParqueJPII,PrunusD
Parque Juan Pablo II (Madrid),https://www.wikidata.org/wiki/Q89488172,Trachycarpus fortunei,https://www.wikidata.org/wiki/Q158383,58,ParqueJPII,TrachycarpusF
Parque Juan Pablo II (Madrid),https://www.wikidata.org/wiki/Q89488172,Punica granatum,https://www.wikidata.org/wiki/Q13188,47,ParqueJPII,PrunusG
Parque Juan Pablo II (Madrid),https://www.wikidata.org/wiki/Q89488172,Tilia platyphyllos,https://www.wikidata.org/wiki/Q156831,46,ParqueJPII,TiliaP
Parque Juan Pablo II (Madrid),https://www.wikidata.org/wiki/Q89488172,Other,https://www.wikidata.org/wiki/Q86630688,788,ParqueJPII,
Parque Madrid Río,https://www.wikidata.org/wiki/Q6062341,Pinus pinea,https://www.wikidata.org/wiki/Q106094,3094,MadridRio,PinusP
Parque Madrid Río,https://www.wikidata.org/wiki/Q6062341,Pinus halepensis,https://www.wikidata.org/wiki/Q211457,2776,MadridRio,PinusH
Parque Madrid Río,https://www.wikidata.org/wiki/Q6062341,Platanus hybrida,https://www.wikidata.org/wiki/Q59420135,1481,MadridRio,PlatanusH
Parque Madrid Río,https://www.wikidata.org/wiki/Q6062341,Acer ×freemanii,https://www.wikidata.org/wiki/Q9577378,694,MadridRio,AcerX
Parque Madrid Río,https://www.wikidata.org/wiki/Q6062341,Populus nigra,https://www.wikidata.org/wiki/Q147064,687,MadridRio,PopulusN
Parque Madrid Río,https://www.wikidata.org/wiki/Q6062341,Aesculus hippocastanum,https://www.wikidata.org/wiki/Q26899,534,MadridRio,AesculusH
Parque Madrid Río,https://www.wikidata.org/wiki/Q6062341,Melia azedarach,https://www.wikidata.org/wiki/Q162171,504,MadridRio,MeliaA
Parque Madrid Río,https://www.wikidata.org/wiki/Q6062341,Fraxinus angustifolia,https://www.wikidata.org/wiki/Q518949,448,MadridRio,FraxinusA
Parque Madrid Río,https://www.wikidata.org/wiki/Q6062341,Ginkgo biloba,https://www.wikidata.org/wiki/Q43284,434,MadridRio,GinkgoB
Parque Madrid Río,https://www.wikidata.org/wiki/Q6062341,Tilia platyphyllos,https://www.wikidata.org/wiki/Q156831,414,MadridRio,TiliaP
Parque Madrid Río,https://www.wikidata.org/wiki/Q6062341,Other,https://www.wikidata.org/wiki/Q86630688,4727,MadridRio,
Quinta de los Molinos park,https://www.wikidata.org/wiki/Q6062479,Prunus dulcis,https://www.wikidata.org/wiki/Q39918,1674,QuintaMolinos,PrunusD
Quinta de los Molinos park,https://www.wikidata.org/wiki/Q6062479,Pinus halepensis,https://www.wikidata.org/wiki/Q211457,1313,QuintaMolinos,PinusH
Quinta de los Molinos park,https://www.wikidata.org/wiki/Q6062479,Cupressus sempervirens,https://www.wikidata.org/wiki/Q147513,609,QuintaMolinos,CupressusS
Quinta de los Molinos park,https://www.wikidata.org/wiki/Q6062479,Pinus pinea,https://www.wikidata.org/wiki/Q106094,462,QuintaMolinos,PinusP
Quinta de los Molinos park,https://www.wikidata.org/wiki/Q6062479,Eucalyptus camaldulensis,https://www.wikidata.org/wiki/Q162822,401,QuintaMolinos,EucalyptusS
Quinta de los Molinos park,https://www.wikidata.org/wiki/Q6062479,Platanus hybrida,https://www.wikidata.org/wiki/Q59420135,277,QuintaMolinos,PlatanusH
Quinta de los Molinos park,https://www.wikidata.org/wiki/Q6062479,Ulmus minor,https://www.wikidata.org/wiki/Q147487,253,QuintaMolinos,UlmusS
Quinta de los Molinos park,https://www.wikidata.org/wiki/Q6062479,Cedrus deodara,https://www.wikidata.org/wiki/Q146935,249,QuintaMolinos,CedrusD
Quinta de los Molinos park,https://www.wikidata.org/wiki/Q6062479,Gleditsia triacanthos,https://www.wikidata.org/wiki/Q157650,220,QuintaMolinos,GleditsiaT
Quinta de los Molinos park,https://www.wikidata.org/wiki/Q6062479,Ligustrum japonicum,https://www.wikidata.org/wiki/Q1209219,178,QuintaMolinos,LigustrumJ
Quinta de los Molinos park,https://www.wikidata.org/wiki/Q6062479,Other,https://www.wikidata.org/wiki/Q86630688,1503,QuintaMolinos,
Temple of Debod,https://www.wikidata.org/wiki/Q1140249,Pinus pinea,https://www.wikidata.org/wiki/Q106094,1205,ParqueOesteDebod,PinusP
Temple of Debod,https://www.wikidata.org/wiki/Q1140249,Sophora japonica,https://www.wikidata.org/wiki/Q10881597,830,ParqueOesteDebod,SophoraJ
Temple of Debod,https://www.wikidata.org/wiki/Q1140249,Platanus hybrida,https://www.wikidata.org/wiki/Q59420135,627,ParqueOesteDebod,PlatanusH
Temple of Debod,https://www.wikidata.org/wiki/Q1140249,Ligustrum japonicum,https://www.wikidata.org/wiki/Q1209219,508,ParqueOesteDebod,LigustrumJ
Temple of Debod,https://www.wikidata.org/wiki/Q1140249,Pinus halepensis,https://www.wikidata.org/wiki/Q211457,372,ParqueOesteDebod,PinusH
Temple of Debod,https://www.wikidata.org/wiki/Q1140249,Populus alba,https://www.wikidata.org/wiki/Q146269,369,ParqueOesteDebod,PopulusA
Temple of Debod,https://www.wikidata.org/wiki/Q1140249,Cedrus deodara,https://www.wikidata.org/wiki/Q146935,357,ParqueOesteDebod,CedrusD
Temple of Debod,https://www.wikidata.org/wiki/Q1140249,Prunus cerasifera var. pissardii,https://www.wikidata.org/wiki/Q6089457,317,ParqueOesteDebod,PrunusC
Temple of Debod,https://www.wikidata.org/wiki/Q1140249,Celtis australis,https://www.wikidata.org/wiki/Q255375,288,ParqueOesteDebod,CeltisA
Temple of Debod,https://www.wikidata.org/wiki/Q1140249,Cedrus atlantica,https://www.wikidata.org/wiki/Q623489,268,ParqueOesteDebod,CedrusA
Temple of Debod,https://www.wikidata.org/wiki/Q1140249,Other,https://www.wikidata.org/wiki/Q86630688,2490,ParqueOesteDebod,
Parque del Oeste,https://www.wikidata.org/wiki/Q2369398,Cedrus deodara,https://www.wikidata.org/wiki/Q146935,55,RosaledaMadrid,CedrusD
Parque del Oeste,https://www.wikidata.org/wiki/Q2369398,Acer negundo,https://www.wikidata.org/wiki/Q161166,18,RosaledaMadrid,AcerN
