Nombre_distrito,wikidataNombre_distrito,Nº_Distrito,NOMBRE_ESPECIE,wikidataNOMBRE_ESPECIE,Unidades,URIDISTRITO,URIESPECIE
Salamanca,https://www.wikidata.org/wiki/Q1773521,04,Acer negundo,https://www.wikidata.org/wiki/Q161166,404,SALAMANCA,AcerN
Salamanca,https://www.wikidata.org/wiki/Q1773521,04,Prunus cerasifera var. pissardii,https://www.wikidata.org/wiki/Q6089457,545,SALAMANCA,PrunusC
Salamanca,https://www.wikidata.org/wiki/Q1773521,04,Robinia pseudoacacia,https://www.wikidata.org/wiki/Q157417,581,SALAMANCA,RobiniaP
Salamanca,https://www.wikidata.org/wiki/Q1773521,04,Aesculus hippocastanum,https://www.wikidata.org/wiki/Q26899,667,SALAMANCA,AesculusH
Salamanca,https://www.wikidata.org/wiki/Q1773521,04,Ulmus pumila,https://www.wikidata.org/wiki/Q1079824,912,SALAMANCA,UlmusP
Salamanca,https://www.wikidata.org/wiki/Q1773521,04,Pinus pinea,https://www.wikidata.org/wiki/Q106094,928,SALAMANCA,PinusP
Salamanca,https://www.wikidata.org/wiki/Q1773521,04,Ligustrum japonicum,https://www.wikidata.org/wiki/Q1209219,1854,SALAMANCA,LigustrumJ
Salamanca,https://www.wikidata.org/wiki/Q1773521,04,Platanus ×hispanica,https://www.wikidata.org/wiki/Q161374,2497,SALAMANCA,PlatanusX
Salamanca,https://www.wikidata.org/wiki/Q1773521,04,Sophora japonica,https://www.wikidata.org/wiki/Q10881597,5921,SALAMANCA,SophoraJ
Chamartín,https://www.wikidata.org/wiki/Q1766348,05,Populus alba,https://www.wikidata.org/wiki/Q146269,598,CHAMARTÍN,PopulusABolleana
Chamartín,https://www.wikidata.org/wiki/Q1766348,05,Aesculus hippocastanum,https://www.wikidata.org/wiki/Q26899,645,CHAMARTÍN,AesculusH
Chamartín,https://www.wikidata.org/wiki/Q1766348,05,Melia azedarach,https://www.wikidata.org/wiki/Q162171,722,CHAMARTÍN,MeliaA
Chamartín,https://www.wikidata.org/wiki/Q1766348,05,Ligustrum japonicum,https://www.wikidata.org/wiki/Q1209219,938,CHAMARTÍN,LigustrumJ
Chamartín,https://www.wikidata.org/wiki/Q1766348,05,Prunus cerasifera var. pissardii,https://www.wikidata.org/wiki/Q6089457,971,CHAMARTÍN,PrunusC
Chamartín,https://www.wikidata.org/wiki/Q1766348,05,Celtis australis,https://www.wikidata.org/wiki/Q255375,1146,CHAMARTÍN,CeltisA
Chamartín,https://www.wikidata.org/wiki/Q1766348,05,Robinia pseudoacacia,https://www.wikidata.org/wiki/Q157417,1164,CHAMARTÍN,RobiniaP
Chamartín,https://www.wikidata.org/wiki/Q1766348,05,Pinus pinea,https://www.wikidata.org/wiki/Q106094,1344,CHAMARTÍN,PinusP
Chamartín,https://www.wikidata.org/wiki/Q1766348,05,Ulmus pumila,https://www.wikidata.org/wiki/Q1079824,2611,CHAMARTÍN,UlmusP
Chamartín,https://www.wikidata.org/wiki/Q1766348,05,Sophora japonica,https://www.wikidata.org/wiki/Q10881597,3744,CHAMARTÍN,SophoraJ
Chamartín,https://www.wikidata.org/wiki/Q1766348,05,Platanus ×hispanica,https://www.wikidata.org/wiki/Q161374,6080,CHAMARTÍN,PlatanusX
Tetuán,https://www.wikidata.org/wiki/Q1773540,06,Cupressus sempervirens,https://www.wikidata.org/wiki/Q147513,423,TETUAN,CupressusS
Tetuán,https://www.wikidata.org/wiki/Q1773540,06,Celtis australis,https://www.wikidata.org/wiki/Q255375,455,TETUAN,CeltisA
Tetuán,https://www.wikidata.org/wiki/Q1773540,06,Aesculus hippocastanum,https://www.wikidata.org/wiki/Q26899,466,TETUAN,AesculusH
Tetuán,https://www.wikidata.org/wiki/Q1773540,06,Melia azedarach,https://www.wikidata.org/wiki/Q162171,507,TETUAN,MeliaA
Tetuán,https://www.wikidata.org/wiki/Q1773540,06,Sophora japonica,https://www.wikidata.org/wiki/Q10881597,522,TETUAN,SophoraJ
Tetuán,https://www.wikidata.org/wiki/Q1773540,06,Pinus pinea,https://www.wikidata.org/wiki/Q106094,529,TETUAN,PinusP
Tetuán,https://www.wikidata.org/wiki/Q1773540,06,Prunus cerasifera var. pissardii,https://www.wikidata.org/wiki/Q6089457,731,TETUAN,PrunusC
Tetuán,https://www.wikidata.org/wiki/Q1773540,06,Ulmus pumila,https://www.wikidata.org/wiki/Q1079824,821,TETUAN,UlmusP
Tetuán,https://www.wikidata.org/wiki/Q1773540,06,Ligustrum japonicum,https://www.wikidata.org/wiki/Q1209219,925,TETUAN,LigustrumJ
Tetuán,https://www.wikidata.org/wiki/Q1773540,06,Platanus ×hispanica,https://www.wikidata.org/wiki/Q161374,4519,TETUAN,PlatanusX
Chamberí,https://www.wikidata.org/wiki/Q1763370,07,Pinus pinea,https://www.wikidata.org/wiki/Q106094,167,CHAMBERI,PinusP
Chamberí,https://www.wikidata.org/wiki/Q1763370,07,Judas tree,https://www.wikidata.org/wiki/Q29488,183,CHAMBERI,CercisS
Chamberí,https://www.wikidata.org/wiki/Q1763370,07,Prunus cerasifera var. pissardii,https://www.wikidata.org/wiki/Q6089457,252,CHAMBERI,PrunusC
Chamberí,https://www.wikidata.org/wiki/Q1763370,07,Koelreuteria paniculata,https://www.wikidata.org/wiki/Q844835,261,CHAMBERI,KoelreuteriaP
Chamberí,https://www.wikidata.org/wiki/Q1763370,07,Aesculus hippocastanum,https://www.wikidata.org/wiki/Q26899,267,CHAMBERI,AesculusH
Chamberí,https://www.wikidata.org/wiki/Q1763370,07,Melia azedarach,https://www.wikidata.org/wiki/Q162171,276,CHAMBERI,MeliaA
Chamberí,https://www.wikidata.org/wiki/Q1763370,07,Robinia pseudoacacia,https://www.wikidata.org/wiki/Q157417,332,CHAMBERI,RobiniaP
Chamberí,https://www.wikidata.org/wiki/Q1763370,07,Ligustrum japonicum,https://www.wikidata.org/wiki/Q1209219,639,CHAMBERI,LigustrumJ
Chamberí,https://www.wikidata.org/wiki/Q1763370,07,Celtis australis,https://www.wikidata.org/wiki/Q255375,677,CHAMBERI,CeltisA
Chamberí,https://www.wikidata.org/wiki/Q1763370,07,Ulmus pumila,https://www.wikidata.org/wiki/Q1079824,875,CHAMBERI,UlmusP
Chamberí,https://www.wikidata.org/wiki/Q1763370,07,Platanus ×hispanica,https://www.wikidata.org/wiki/Q161374,1696,CHAMBERI,PlatanusX
Chamberí,https://www.wikidata.org/wiki/Q1763370,07,Sophora japonica,https://www.wikidata.org/wiki/Q10881597,5807,CHAMBERI,SophoraJ
Fuencarral-El Pardo,https://www.wikidata.org/wiki/Q656196,08,Ligustrum japonicum,https://www.wikidata.org/wiki/Q1209219,1046,FUENCARRALPARDO,LigustrumJ
Fuencarral-El Pardo,https://www.wikidata.org/wiki/Q656196,08,Cupressus sempervirens,https://www.wikidata.org/wiki/Q147513,1196,FUENCARRALPARDO,CupressusS
Fuencarral-El Pardo,https://www.wikidata.org/wiki/Q656196,08,Morus alba,https://www.wikidata.org/wiki/Q157307,1381,FUENCARRALPARDO,MorusA
Fuencarral-El Pardo,https://www.wikidata.org/wiki/Q656196,08,Aesculus hippocastanum,https://www.wikidata.org/wiki/Q26899,1408,FUENCARRALPARDO,AesculusH
Fuencarral-El Pardo,https://www.wikidata.org/wiki/Q656196,08,Sophora japonica,https://www.wikidata.org/wiki/Q10881597,1412,FUENCARRALPARDO,SophoraJ
Fuencarral-El Pardo,https://www.wikidata.org/wiki/Q656196,08,Populus ×canadensis,https://www.wikidata.org/wiki/Q149622,1421,FUENCARRALPARDO,PopulusX
Fuencarral-El Pardo,https://www.wikidata.org/wiki/Q656196,08,Acer negundo,https://www.wikidata.org/wiki/Q161166,1735,FUENCARRALPARDO,AcerN
Fuencarral-El Pardo,https://www.wikidata.org/wiki/Q656196,08,Melia azedarach,https://www.wikidata.org/wiki/Q162171,1798,FUENCARRALPARDO,MeliaA
Fuencarral-El Pardo,https://www.wikidata.org/wiki/Q656196,08,Prunus cerasifera var. pissardii,https://www.wikidata.org/wiki/Q6089457,2049,FUENCARRALPARDO,PrunusC
Fuencarral-El Pardo,https://www.wikidata.org/wiki/Q656196,08,Robinia pseudoacacia,https://www.wikidata.org/wiki/Q157417,2455,FUENCARRALPARDO,RobiniaP
Fuencarral-El Pardo,https://www.wikidata.org/wiki/Q656196,08,Pinus pinea,https://www.wikidata.org/wiki/Q106094,3221,FUENCARRALPARDO,PinusP
Fuencarral-El Pardo,https://www.wikidata.org/wiki/Q656196,08,Celtis australis,https://www.wikidata.org/wiki/Q255375,3847,FUENCARRALPARDO,CeltisA
Fuencarral-El Pardo,https://www.wikidata.org/wiki/Q656196,08,Ulmus pumila,https://www.wikidata.org/wiki/Q1079824,5354,FUENCARRALPARDO,UlmusP
Fuencarral-El Pardo,https://www.wikidata.org/wiki/Q656196,08,Platanus ×hispanica,https://www.wikidata.org/wiki/Q161374,9424,FUENCARRALPARDO,PlatanusX
Moncloa-Aravaca,https://www.wikidata.org/wiki/Q2017682,09,Prunus cerasifera var. pissardii,https://www.wikidata.org/wiki/Q6089457,747,MONCLOAARAVACA,PrunusC
Moncloa-Aravaca,https://www.wikidata.org/wiki/Q2017682,09,Cupressus arizonica,https://www.wikidata.org/wiki/Q670040,817,MONCLOAARAVACA,CupressusA
Moncloa-Aravaca,https://www.wikidata.org/wiki/Q2017682,09,Ligustrum japonicum,https://www.wikidata.org/wiki/Q1209219,941,MONCLOAARAVACA,LigustrumJ
Moncloa-Aravaca,https://www.wikidata.org/wiki/Q2017682,09,Celtis australis,https://www.wikidata.org/wiki/Q255375,951,MONCLOAARAVACA,CeltisA
Moncloa-Aravaca,https://www.wikidata.org/wiki/Q2017682,09,Catalpa bignonioides,https://www.wikidata.org/wiki/Q163831,988,MONCLOAARAVACA,CatalpaB
Moncloa-Aravaca,https://www.wikidata.org/wiki/Q2017682,09,Robinia pseudoacacia,https://www.wikidata.org/wiki/Q157417,1353,MONCLOAARAVACA,RobiniaP
Moncloa-Aravaca,https://www.wikidata.org/wiki/Q2017682,09,Cupressus sempervirens,https://www.wikidata.org/wiki/Q147513,1399,MONCLOAARAVACA,CupressusS
Moncloa-Aravaca,https://www.wikidata.org/wiki/Q2017682,09,Acer negundo,https://www.wikidata.org/wiki/Q161166,1988,MONCLOAARAVACA,AcerN
Moncloa-Aravaca,https://www.wikidata.org/wiki/Q2017682,09,Pinus pinea,https://www.wikidata.org/wiki/Q106094,2035,MONCLOAARAVACA,PinusP
Moncloa-Aravaca,https://www.wikidata.org/wiki/Q2017682,09,Ulmus pumila,https://www.wikidata.org/wiki/Q1079824,2380,MONCLOAARAVACA,UlmusP
Moncloa-Aravaca,https://www.wikidata.org/wiki/Q2017682,09,Sophora japonica,https://www.wikidata.org/wiki/Q10881597,2735,MONCLOAARAVACA,SophoraJ
Moncloa-Aravaca,https://www.wikidata.org/wiki/Q2017682,09,Platanus ×hispanica,https://www.wikidata.org/wiki/Q161374,5489,MONCLOAARAVACA,PlatanusX
Latina,https://www.wikidata.org/wiki/Q794954,10,Cupressus sempervirens,https://www.wikidata.org/wiki/Q147513,989,LATINA,CupressusS
Latina,https://www.wikidata.org/wiki/Q794954,10,Acer negundo,https://www.wikidata.org/wiki/Q161166,1063,LATINA,AcerN
Latina,https://www.wikidata.org/wiki/Q794954,10,Ligustrum japonicum,https://www.wikidata.org/wiki/Q1209219,1146,LATINA,LigustrumJ
Latina,https://www.wikidata.org/wiki/Q794954,10,Sophora japonica,https://www.wikidata.org/wiki/Q10881597,1572,LATINA,SophoraJ
Latina,https://www.wikidata.org/wiki/Q794954,10,Celtis australis,https://www.wikidata.org/wiki/Q255375,1726,LATINA,CeltisA
Latina,https://www.wikidata.org/wiki/Q794954,10,Prunus cerasifera var. pissardii,https://www.wikidata.org/wiki/Q6089457,1858,LATINA,PrunusCPissartii
Latina,https://www.wikidata.org/wiki/Q794954,10,Robinia pseudoacacia,https://www.wikidata.org/wiki/Q157417,2001,LATINA,RobiniaP
Latina,https://www.wikidata.org/wiki/Q794954,10,Pinus pinea,https://www.wikidata.org/wiki/Q106094,2641,LATINA,PinusP
Latina,https://www.wikidata.org/wiki/Q794954,10,Ulmus pumila,https://www.wikidata.org/wiki/Q1079824,4442,LATINA,UlmusP
Latina,https://www.wikidata.org/wiki/Q794954,10,Platanus ×hispanica,https://www.wikidata.org/wiki/Q161374,5338,LATINA,PlatanusX
Carabanchel,https://www.wikidata.org/wiki/Q1001991,11,Prunus cerasifera var. pissardii,https://www.wikidata.org/wiki/Q6089457,785,CARABANCHEL,PrunusCPissartii
Carabanchel,https://www.wikidata.org/wiki/Q1001991,11,Cupressus sempervirens,https://www.wikidata.org/wiki/Q147513,911,CARABANCHEL,CupressusS
Carabanchel,https://www.wikidata.org/wiki/Q1001991,11,Ligustrum japonicum,https://www.wikidata.org/wiki/Q1209219,932,CARABANCHEL,LigustrumJ
Carabanchel,https://www.wikidata.org/wiki/Q1001991,11,Aesculus hippocastanum,https://www.wikidata.org/wiki/Q26899,1000,CARABANCHEL,AesculusH
Carabanchel,https://www.wikidata.org/wiki/Q1001991,11,Gleditsia triacanthos,https://www.wikidata.org/wiki/Q157650,1399,CARABANCHEL,GleditsiaT
Carabanchel,https://www.wikidata.org/wiki/Q1001991,11,Acer negundo,https://www.wikidata.org/wiki/Q161166,1609,CARABANCHEL,AcerN
Carabanchel,https://www.wikidata.org/wiki/Q1001991,11,Celtis australis,https://www.wikidata.org/wiki/Q255375,1914,CARABANCHEL,CeltisA
Carabanchel,https://www.wikidata.org/wiki/Q1001991,11,Robinia pseudoacacia,https://www.wikidata.org/wiki/Q157417,2401,CARABANCHEL,RobiniaP
Carabanchel,https://www.wikidata.org/wiki/Q1001991,11,Sophora japonica,https://www.wikidata.org/wiki/Q10881597,2740,CARABANCHEL,SophoraJ
Carabanchel,https://www.wikidata.org/wiki/Q1001991,11,Ulmus pumila,https://www.wikidata.org/wiki/Q1079824,2907,CARABANCHEL,UlmusP
Carabanchel,https://www.wikidata.org/wiki/Q1001991,11,Pinus pinea,https://www.wikidata.org/wiki/Q106094,4338,CARABANCHEL,PinusP
Carabanchel,https://www.wikidata.org/wiki/Q1001991,11,Platanus ×hispanica,https://www.wikidata.org/wiki/Q161374,7508,CARABANCHEL,PlatanusX
Usera,https://www.wikidata.org/wiki/Q953368,12,Platanus orientalis,https://www.wikidata.org/wiki/Q161105,600,USERA,PlatanusO
Usera,https://www.wikidata.org/wiki/Q953368,12,Prunus cerasifera var. pissardii,https://www.wikidata.org/wiki/Q6089457,608,USERA,PrunusCPissartii
Usera,https://www.wikidata.org/wiki/Q953368,12,Populus alba,https://www.wikidata.org/wiki/Q146269,676,USERA,PopulusA
Usera,https://www.wikidata.org/wiki/Q953368,12,Prunus cerasifera,https://www.wikidata.org/wiki/Q146951,683,USERA,PrunusC
Usera,https://www.wikidata.org/wiki/Q953368,12,Melia azedarach,https://www.wikidata.org/wiki/Q162171,705,USERA,MeliaA
Usera,https://www.wikidata.org/wiki/Q953368,12,Cedrus deodara,https://www.wikidata.org/wiki/Q146935,771,USERA,CedrusD
Usera,https://www.wikidata.org/wiki/Q953368,12,Acer negundo,https://www.wikidata.org/wiki/Q161166,1253,USERA,AcerN
Usera,https://www.wikidata.org/wiki/Q953368,12,Sophora japonica,https://www.wikidata.org/wiki/Q10881597,1284,USERA,SophoraJ
Usera,https://www.wikidata.org/wiki/Q953368,12,Celtis australis,https://www.wikidata.org/wiki/Q255375,1315,USERA,CeltisA
Usera,https://www.wikidata.org/wiki/Q953368,12,Robinia pseudoacacia,https://www.wikidata.org/wiki/Q157417,2115,USERA,RobiniaP
Usera,https://www.wikidata.org/wiki/Q953368,12,Pinus pinea,https://www.wikidata.org/wiki/Q106094,2143,USERA,PinusP
Usera,https://www.wikidata.org/wiki/Q953368,12,Ulmus pumila,https://www.wikidata.org/wiki/Q1079824,3834,USERA,UlmusP
Usera,https://www.wikidata.org/wiki/Q953368,12,Platanus ×hispanica,https://www.wikidata.org/wiki/Q161374,5125,USERA,PlatanusX
Puente de Vallecas,https://www.wikidata.org/wiki/Q2003054,13,Celtis australis,https://www.wikidata.org/wiki/Q255375,1110,PUENTEVALLECAS,CeltisA
Puente de Vallecas,https://www.wikidata.org/wiki/Q2003054,13,Catalpa bignonioides,https://www.wikidata.org/wiki/Q163831,1240,PUENTEVALLECAS,CatalpaB
Puente de Vallecas,https://www.wikidata.org/wiki/Q2003054,13,Acer pseudoplatanus,https://www.wikidata.org/wiki/Q156944,1287,PUENTEVALLECAS,AcerP
Puente de Vallecas,https://www.wikidata.org/wiki/Q2003054,13,Prunus cerasifera var. pissardii,https://www.wikidata.org/wiki/Q6089457,1312,PUENTEVALLECAS,PrunusCPissartii
Puente de Vallecas,https://www.wikidata.org/wiki/Q2003054,13,Ligustrum japonicum,https://www.wikidata.org/wiki/Q1209219,2146,PUENTEVALLECAS,LigustrumJ
Puente de Vallecas,https://www.wikidata.org/wiki/Q2003054,13,Acer negundo,https://www.wikidata.org/wiki/Q161166,2378,PUENTEVALLECAS,AcerN
Puente de Vallecas,https://www.wikidata.org/wiki/Q2003054,13,Pinus pinea,https://www.wikidata.org/wiki/Q106094,2668,PUENTEVALLECAS,PinusP
Puente de Vallecas,https://www.wikidata.org/wiki/Q2003054,13,Ulmus pumila,https://www.wikidata.org/wiki/Q1079824,3213,PUENTEVALLECAS,UlmusP
Puente de Vallecas,https://www.wikidata.org/wiki/Q2003054,13,Sophora japonica,https://www.wikidata.org/wiki/Q10881597,3268,PUENTEVALLECAS,SophoraJ
Puente de Vallecas,https://www.wikidata.org/wiki/Q2003054,13,Robinia pseudoacacia,https://www.wikidata.org/wiki/Q157417,3729,PUENTEVALLECAS,RobiniaP
Puente de Vallecas,https://www.wikidata.org/wiki/Q2003054,13,Platanus orientalis,https://www.wikidata.org/wiki/Q161105,4477,PUENTEVALLECAS,PlatanusO
Puente de Vallecas,https://www.wikidata.org/wiki/Q2003054,13,Platanus ×hispanica,https://www.wikidata.org/wiki/Q161374,4701,PUENTEVALLECAS,PlatanusX
Moratalaz,https://www.wikidata.org/wiki/Q2076109,14,Melia azedarach,https://www.wikidata.org/wiki/Q162171,561,MORATALAZ,MeliaA
Moratalaz,https://www.wikidata.org/wiki/Q2076109,14,Catalpa bignonioides,https://www.wikidata.org/wiki/Q163831,727,MORATALAZ,CatalpaB
Moratalaz,https://www.wikidata.org/wiki/Q2076109,14,Acer pseudoplatanus,https://www.wikidata.org/wiki/Q156944,750,MORATALAZ,AcerP
Moratalaz,https://www.wikidata.org/wiki/Q2076109,14,Prunus cerasifera var. pissardii,https://www.wikidata.org/wiki/Q6089457,897,MORATALAZ,PrunusCPissartii
Moratalaz,https://www.wikidata.org/wiki/Q2076109,14,Platanus orientalis,https://www.wikidata.org/wiki/Q161105,1125,MORATALAZ,PlatanusO
Moratalaz,https://www.wikidata.org/wiki/Q2076109,14,Acer negundo,https://www.wikidata.org/wiki/Q161166,1374,MORATALAZ,AcerN
Moratalaz,https://www.wikidata.org/wiki/Q2076109,14,Celtis australis,https://www.wikidata.org/wiki/Q255375,1493,MORATALAZ,CeltisA
Moratalaz,https://www.wikidata.org/wiki/Q2076109,14,Pinus pinea,https://www.wikidata.org/wiki/Q106094,2029,MORATALAZ,PinusP
Moratalaz,https://www.wikidata.org/wiki/Q2076109,14,Platanus ×hispanica,https://www.wikidata.org/wiki/Q161374,2037,MORATALAZ,PlatanusX
Moratalaz,https://www.wikidata.org/wiki/Q2076109,14,Ulmus pumila,https://www.wikidata.org/wiki/Q1079824,5925,MORATALAZ,UlmusP
Ciudad Lineal,https://www.wikidata.org/wiki/Q1763694,15,Pinus halepensis,https://www.wikidata.org/wiki/Q211457,967,CIUDAD LINEAL,PinusH
Ciudad Lineal,https://www.wikidata.org/wiki/Q1763694,15,Cupressus sempervirens,https://www.wikidata.org/wiki/Q147513,1005,CIUDAD LINEAL,CupressusS
Ciudad Lineal,https://www.wikidata.org/wiki/Q1763694,15,Celtis australis,https://www.wikidata.org/wiki/Q255375,1112,CIUDAD LINEAL,CeltisA
Ciudad Lineal,https://www.wikidata.org/wiki/Q1763694,15,Acer negundo,https://www.wikidata.org/wiki/Q161166,1390,CIUDAD LINEAL,AcerN
Ciudad Lineal,https://www.wikidata.org/wiki/Q1763694,15,Robinia pseudoacacia,https://www.wikidata.org/wiki/Q157417,1448,CIUDAD LINEAL,RobiniaP
Ciudad Lineal,https://www.wikidata.org/wiki/Q1763694,15,Prunus cerasifera var. pissardii,https://www.wikidata.org/wiki/Q6089457,1504,CIUDAD LINEAL,PrunusC
Ciudad Lineal,https://www.wikidata.org/wiki/Q1763694,15,Sophora japonica,https://www.wikidata.org/wiki/Q10881597,1667,CIUDAD LINEAL,SophoraJ
Ciudad Lineal,https://www.wikidata.org/wiki/Q1763694,15,Ulmus pumila,https://www.wikidata.org/wiki/Q1079824,3963,CIUDAD LINEAL,UlmusP
Ciudad Lineal,https://www.wikidata.org/wiki/Q1763694,15,Pinus pinea,https://www.wikidata.org/wiki/Q106094,4243,CIUDAD LINEAL,PinusP
Ciudad Lineal,https://www.wikidata.org/wiki/Q1763694,15,Platanus ×hispanica,https://www.wikidata.org/wiki/Q161374,4702,CIUDAD LINEAL,PlatanusX
Hortaleza,https://www.wikidata.org/wiki/Q1928529,16,Melia azedarach,https://www.wikidata.org/wiki/Q162171,1099,HORTALEZA,MeliaA
Hortaleza,https://www.wikidata.org/wiki/Q1928529,16,Ulmus minor,https://www.wikidata.org/wiki/Q147487,1197,HORTALEZA,UlmusM
Hortaleza,https://www.wikidata.org/wiki/Q1928529,16,Aesculus hippocastanum,https://www.wikidata.org/wiki/Q26899,1226,HORTALEZA,AesculusH
Hortaleza,https://www.wikidata.org/wiki/Q1928529,16,Populus alba,https://www.wikidata.org/wiki/Q146269,1257,HORTALEZA,PopulusA
Hortaleza,https://www.wikidata.org/wiki/Q1928529,16,Ligustrum japonicum,https://www.wikidata.org/wiki/Q1209219,1395,HORTALEZA,LigustrumJ
Hortaleza,https://www.wikidata.org/wiki/Q1928529,16,Ulmus pumila,https://www.wikidata.org/wiki/Q1079824,1488,HORTALEZA,UlmusP
Hortaleza,https://www.wikidata.org/wiki/Q1928529,16,Prunus cerasifera var. pissardii,https://www.wikidata.org/wiki/Q6089457,1662,HORTALEZA,PrunusC
Hortaleza,https://www.wikidata.org/wiki/Q1928529,16,Robinia pseudoacacia,https://www.wikidata.org/wiki/Q157417,2024,HORTALEZA,RobiniaP
Hortaleza,https://www.wikidata.org/wiki/Q1928529,16,Cupressus sempervirens,https://www.wikidata.org/wiki/Q147513,2066,HORTALEZA,CupressusS
Hortaleza,https://www.wikidata.org/wiki/Q1928529,16,Acer negundo,https://www.wikidata.org/wiki/Q161166,2155,HORTALEZA,AcerN
