PARQUE,ESPECIE,UNIDADES 2019,PARQUEURI,ARBOLURI
QUINTA DE LOS MOLINOS,Ligustrum japonicum,178,QuintaMolinos,LigustrumJ
QUINTA DE LOS MOLINOS,Otros,1503,QuintaMolinos
PARQUE DEL OESTE- TEMPLO DE DEBOD,Pinus pinea,1205,ParqueOesteDebod,PinusP
PARQUE DEL OESTE- TEMPLO DE DEBOD,Sophora japonica,830,ParqueOesteDebod,SophoraJ
PARQUE DEL OESTE- TEMPLO DE DEBOD,Platanus hybrida,627,ParqueOesteDebod,PlatanusH
PARQUE DEL OESTE- TEMPLO DE DEBOD,Ligustrum japonicum,508,ParqueOesteDebod,LigustrumJ
PARQUE DEL OESTE- TEMPLO DE DEBOD,Pinus halepensis,372,ParqueOesteDebod,PinusH
PARQUE DEL OESTE- TEMPLO DE DEBOD,Populus alba,369,ParqueOesteDebod,PopulusA
PARQUE DEL OESTE- TEMPLO DE DEBOD,Cedrus deodara,357,ParqueOesteDebod,CedrusD
PARQUE DEL OESTE- TEMPLO DE DEBOD,Prunus cerasifera pissardii,317,ParqueOesteDebod,PrunusC
PARQUE DEL OESTE- TEMPLO DE DEBOD,Celtis australis,288,ParqueOesteDebod,CeltisA
PARQUE DEL OESTE- TEMPLO DE DEBOD,Cedrus atlantica,268,ParqueOesteDebod,CedrusA
PARQUE DEL OESTE- TEMPLO DE DEBOD,Otros,2490,ParqueOesteDebod
ROSALEDA DE MADRID (PARQUE DEL OESTE),Cedrus deodara,55,RosaledaMadrid,CedrusD
ROSALEDA DE MADRID (PARQUE DEL OESTE),Acer negundo,18,RosaledaMadrid,AcerN
ROSALEDA DE MADRID (PARQUE DEL OESTE),Prunus cerasifera pissardii,7,RosaledaMadrid,PrunusC
ROSALEDA DE MADRID (PARQUE DEL OESTE),Thuja occidentalis,7,RosaledaMadrid,ThujaO
ROSALEDA DE MADRID (PARQUE DEL OESTE),Populus alba,5,RosaledaMadrid,PopulusA
ROSALEDA DE MADRID (PARQUE DEL OESTE),Ligustrum japonicum,3,RosaledaMadrid,LigustrumJ
ROSALEDA DE MADRID (PARQUE DEL OESTE),Quercus robur,3,RosaledaMadrid,QuercusR
ROSALEDA DE MADRID (PARQUE DEL OESTE),Betula utilis,2,RosaledaMadrid,BetulaU
ROSALEDA DE MADRID (PARQUE DEL OESTE),Cedrus libani,2,RosaledaMadrid,CedrusL
ROSALEDA DE MADRID (PARQUE DEL OESTE),Cedrus atlantica 'Glauca',2,RosaledaMadrid,CedrusAGlauca
ROSALEDA DE MADRID (PARQUE DEL OESTE),Otros,11,RosaledaMadrid
JARDINES PZA DE ORIENTE-JARDIN DEL CABO NOVAL-JARDIN DE LEPANTO,Platanus hybrida,127,PlazaOrienteCaboNovalLepanto,PlatanusH
JARDINES PZA DE ORIENTE-JARDIN DEL CABO NOVAL-JARDIN DE LEPANTO,Ligustrum lucidum,39,PlazaOrienteCaboNovalLepanto,LigustrumL
JARDINES PZA DE ORIENTE-JARDIN DEL CABO NOVAL-JARDIN DE LEPANTO,Cupressus sempervirens,33,PlazaOrienteCaboNovalLepanto,CupressusS
JARDINES PZA DE ORIENTE-JARDIN DEL CABO NOVAL-JARDIN DE LEPANTO,Taxus baccata,30,PlazaOrienteCaboNovalLepanto,TaxusB
JARDINES PZA DE ORIENTE-JARDIN DEL CABO NOVAL-JARDIN DE LEPANTO,Magnolia grandiflora,9,PlazaOrienteCaboNovalLepanto,MagnoliaG
JARDINES PZA DE ORIENTE-JARDIN DEL CABO NOVAL-JARDIN DE LEPANTO,Cedrus deodara,8,PlazaOrienteCaboNovalLepanto,CedrusD
JARDINES PZA DE ORIENTE-JARDIN DEL CABO NOVAL-JARDIN DE LEPANTO,Cupressus macrocarpa,7,PlazaOrienteCaboNovalLepanto,CupressusM
JARDINES PZA DE ORIENTE-JARDIN DEL CABO NOVAL-JARDIN DE LEPANTO,Pinus halepensis,1,PlazaOrienteCaboNovalLepanto,PinusH
PARQUE LINEAL DEL MANZANARES,Populus nigra,3961,ParqueManzanares,PopulusN
PARQUE LINEAL DEL MANZANARES,Pinus pinea,3143,ParqueManzanares,PinusP
PARQUE LINEAL DEL MANZANARES,Celtis australis,2105,ParqueManzanares,CeltisA
PARQUE LINEAL DEL MANZANARES,Fraxinus angustifolia,1128,ParqueManzanares,FraxinusA
PARQUE LINEAL DEL MANZANARES,Platanus hybrida,634,ParqueManzanares,PlatanusH
PARQUE LINEAL DEL MANZANARES,Olea europaea,499,ParqueManzanares,OleaE
PARQUE LINEAL DEL MANZANARES,Salix alba,446,ParqueManzanares,SalixA
PARQUE LINEAL DEL MANZANARES,Cupressus sempervirens,409,ParqueManzanares,CupressusS
PARQUE LINEAL DEL MANZANARES,Tilia platyphyllos,271,ParqueManzanares,TiliaP
PARQUE LINEAL DEL MANZANARES,Gleditsia triacanthos,250,ParqueManzanares,GleditsiaT
PARQUE LINEAL DEL MANZANARES,Otros,2464,ParqueManzanares
JARDINES DE SABATINI,Cupressus sempervirens,85,JardinesSabatini,CupressusS
JARDINES DE SABATINI,Pinus pinea,52,JardinesSabatini,PinusP
JARDINES DE SABATINI,Acer negundo,26,JardinesSabatini,AcerN
JARDINES DE SABATINI,Cedrus deodara,22,JardinesSabatini,CedrusD
JARDINES DE SABATINI,Magnolia grandiflora,16,JardinesSabatini,MagnoliaG
JARDINES DE SABATINI,Abies nordmanniana,8,JardinesSabatini,AbiesN
JARDINES DE SABATINI,Thuja occidentalis,5,JardinesSabatini,ThujaO
JARDINES DE SABATINI,Acer pseudoplatanus,3,JardinesSabatini,AcerP
JARDINES DE SABATINI,Cercis siliquastrum,1,JardinesSabatini,CercisS
JARDINES DE SABATINI,Ulmus minor,1,JardinesSabatini,UlmusM
JARDINES DE SABATINI,Otros,1,JardinesSabatini
PARQUE FORESTAL VALDEBEBAS,Celtis australis,1630,ParqueValdebebas,CeltisA
PARQUE FORESTAL VALDEBEBAS,Morus alba,393,ParqueValdebebas,MorusA
PARQUE FORESTAL VALDEBEBAS,Populus nigra var. Italica,375,ParqueValdebebas,PopulusNItalica
PARQUE FORESTAL VALDEBEBAS,Koelreuteria paniculata,342,ParqueValdebebas,KoelreuteriaP
PARQUE FORESTAL VALDEBEBAS,Fraxinus angustifolia,209,ParqueValdebebas,FraxinusA
PARQUE FORESTAL VALDEBEBAS,Olea europaea,159,ParqueValdebebas,OleaE
PARQUE FORESTAL VALDEBEBAS,Prunus amygdalus,139,ParqueValdebebas,PrunusA
PARQUE FORESTAL VALDEBEBAS,Pinus pinea,136,ParqueValdebebas,PinusP
PARQUE FORESTAL VALDEBEBAS,Cercis siliquastrum,119,ParqueValdebebas,CercisS
PARQUE FORESTAL VALDEBEBAS,Aesculus hippocastanum,112,ParqueValdebebas,AesculusH
PARQUE FORESTAL VALDEBEBAS,Otros,2210,ParqueValdebebas
CASA DE CAMPO,Pinus pinea,301689,CasaCampo,PinusP
CASA DE CAMPO,Quercus ilex,208792,CasaCampo,QuercusI
CASA DE CAMPO,Cupressus arizonica,33826,CasaCampo,CupressusA
CASA DE CAMPO,Ulmus sp.,30758,CasaCampo,UlmusS
CASA DE CAMPO,Fraxinus angustifolia,13575,CasaCampo,FraxinusA
CASA DE CAMPO,Pinus halepensis,9081,CasaCampo,PinusH
CASA DE CAMPO,Cupressus sempervirens,3686,CasaCampo,CupressusS
CASA DE CAMPO,Salix sp.,1493,CasaCampo,SalixS
CASA DE CAMPO,Populus nigra,1263,CasaCampo,PopulusN
CASA DE CAMPO,Acer negundo,922,CasaCampo,AcerN
CASA DE CAMPO,Otros,66751,CasaCampo
TOTAL,,785732,,
