"DISTRITO","EDIFICIO","UBICACIÓN","COORDENADA Y","COORDENADA X","TERMINALES","CONECTORES","POTENCIA","CÓDIGO","AÑO INSTALACIÓN","","","","","","","","","","","","","","","",""
"Arganzuela","A.G. Medio Ambiente y Movilidad / ","C/ Bustamante 16","4472432.48","441594.53","2","Mennekes","7,3 KW  32 A mono","PRM-AG08-04f","2018","","","","","","","","","","","","","","","",""
"Arganzuela","A.G. Medio Ambiente y Movilidad / ","C/ Bustamante 16","4472432.48","441594.53","2","Mennekes","7,3 KW  32 A mono","PRM-AG08-04g","2018","","","","","","","","","","","","","","","",""
"Arganzuela","A.G. Medio Ambiente y Movilidad / ","C/ Bustamante 16","4472432.48","441594.53","2","Mennekes","7,3 KW  32 A mono","PRM-AG08-04h","2018","","","","","","","","","","","","","","","",""
"Arganzuela","A.G. Medio Ambiente y Movilidad / ","C/ Bustamante 16","4472432.48","441594.53","2","Mennekes","7,3 KW  32 A mono","PRM-AG08-04i","2018","","","","","","","","","","","","","","","",""
"Arganzuela","A.G. Medio Ambiente y Movilidad / ","C/ Bustamante 16","4472432.48","441594.53","2","Mennekes","7,3 KW  32 A mono","PRM-AG08-05","2018","","","","","","","","","","","","","","","",""
"Arganzuela","A.G. Medio Ambiente y Movilidad / ","C/ Bustamante 16","4472432.48","441594.53","1","Mennekes","22 KW 32 A Trifásico","PRM-AG08-04j","2018","","","","","","","","","","","","","","","",""
"Arganzuela","A.G. Medio Ambiente y Movilidad / Aparcamientos","C/ Bustamante 16","4472432.48","441594.53","1","Mennekes","7,3 KW  32 A mono","PRM-AG08-02b","2017","","","","","","","","","","","","","","","",""
"Arganzuela","A.G. Medio Ambiente y Movilidad / Calidad del aire","C/ Bustamante 16","4472432.48","441594.53","1","Mennekes","7,3 KW  32 A mono","PRM-AG08-02a","2017","","","","","","","","","","","","","","","",""
"Arganzuela","A.G. Medio Ambiente y Movilidad / Control de Calidad","C/ Bustamante 16","4472432.48","441594.53","1","Mennekes","7,3 KW  32 A mono","PRM-AG08-03a","2017","","","","","","","","","","","","","","","",""
"Arganzuela","A.G. Medio Ambiente y Movilidad / Control de Calidad","C/ Bustamante 16","4472432.48","441594.53","1","Mennekes","7,3 KW  32 A mono","PRM-AG08-03b","2017","","","","","","","","","","","","","","","",""
"Arganzuela","A.G. Medio Ambiente y Movilidad / Control de Calidad","C/ Bustamante 16","4472432.48","441594.53","1","Mennekes","7,3 KW  32 A mono","PRM-AG08-03c","2017","","","","","","","","","","","","","","","",""
"Arganzuela","A.G. Medio Ambiente y Movilidad / Control de Calidad","C/ Bustamante 16","4472432.48","441594.53","1","Mennekes","7,3 KW  32 A mono","PRM-AG08-03d","2017","","","","","","","","","","","","","","","",""
"Arganzuela","A.G. Medio Ambiente y Movilidad / Inspección","C/ Bustamante 16","4472432.48","441594.53","1","Mennekes","7,3 KW  32 A mono","PRM-AG08-01a","2017","","","","","","","","","","","","","","","",""
"Arganzuela","A.G. Medio Ambiente y Movilidad / Inspección","C/ Bustamante 16","4472432.48","441594.53","1","Mennekes","7,3 KW  32 A mono","PRM-AG08-01b","2017","","","","","","","","","","","","","","","",""
"Arganzuela","A.G. Medio Ambiente y Movilidad / Inspección","C/ Bustamante 16","4472432.48","441594.53","1","Mennekes","7,3 KW  32 A mono","PRM-AG08-01c","2017","","","","","","","","","","","","","","","",""
"Arganzuela","A.G. Medio Ambiente y Movilidad / Inspección","C/ Bustamante 16","4472432.48","441594.53","1","Mennekes","7,3 KW  32 A mono","PRM-AG08-01d","2017","","","","","","","","","","","","","","","",""
"Arganzuela","A.G. Medio Ambiente y Movilidad / Inspección","C/ Bustamante 16","4472432.48","441594.53","1","Mennekes","7,3 KW  32 A mono","PRM-AG08-01e","2017","","","","","","","","","","","","","","","",""
"Arganzuela","A.G. Medio Ambiente y Movilidad / Agentes movilidad","Paseo Pontones 23","4473157.3","439442.4","1","Mennekes manguera","32 A monofásico","PRM-AG08-","2018","","","","","","","","","","","","","","","",""
