bs_id,position_x,position_y,registration_date,district_name,district_number,neighbourhood_name,neighbourhood_number,street_name,street_number,spots,longitude,latitude
182,"443541,21","4474444,72",43612,RETIRO,3,ESTRELLA,3-03,CALLE DEL ALCALDE SAINZ DE BARANDA,90,24,-3.6655023,40.4187145
183,"443212,07","4475215,51",43678,SALAMANCA,4,GOYA,4-02,CALLE DE HERMOSILLA,135,24,-3.6694506,40.4256358
184,"443563,66","4475253,54",43678,SALAMANCA,4,FUENTE DEL BERRO,4-03,PASEO DEL MARQUES DE ZAFRA,24,24,-3.6653095,40.4260023
185,"443883,24","4475147,45",43678,SALAMANCA,4,FUENTE DEL BERRO,4-03,GLORIETA DEL MARQUES DE ZAFRA,frente 4,24,-3.661533,40.4250682
186,"442466,16","4475602,3",43738,SALAMANCA,4,LISTA,4-05,CALLE DEL GENERAL PARDIÑAS,56,24,-3.6782783,40.429069
187,"443691,7","4475711,36",43655,SALAMANCA,4,FUENTE DEL BERRO,4-03,CALLE DE ALEJANDRO GONZALEZ,1,24,-3.6638407,40.4301353
188,"444111,11","4475822,61",43720,CIUDAD LINEAL,5,VENTAS,5-01,AVENIDA DE DAROCA,2,27,-3.6589062,40.4311658
189,"444399,55","4476248,37",43759,CIUDAD LINEAL,5,CONCEPCIÓN,5-04,CALLE DE LA VIRGEN DE LA ALEGRIA,18,24,-3.6555431,40.4350206
190,"442030,24","4476194,79",43678,SALAMANCA,4,CASTELLANA,4-06,CALLE DE VELAZQUEZ,91,24,-3.6834711,40.4343761
191,"442830,66","4476215,36",43700,SALAMANCA,4,GUINDALERA,4-04,CALLE DE ALONSO HEREDIA,1,18,-3.6740365,40.4346168
192,"443049,28","4475907,11",43634,SALAMANCA,4,GUINDALERA,4-04,AVENIDA DE LOS TOREROS,3,27,-3.6714315,40.431855
193,"443540,74","4475977,26",43634,SALAMANCA,4,GUINDALERA,4-04,AVENIDA DE LOS TOREROS,47,24,-3.665644,40.4325204
194,"442564,99","4476503,98",43738,SALAMANCA,4,GUINDALERA,4-04,CALLE DE FRANCISCO SILVELA,86,24,-3.6771947,40.4371986
195,"442711,2","4476730,39",43738,CHAMARTÍN,5,PROSPERIDAD,5-02,CALLE DEL PADRE INDALECIO HERNANDEZ,1,24,-3.6754913,40.4392483
196,"442749,2","4477268,2",43759,CHAMARTÍN,5,CIUDAD JARDÍN,5-03,CALLE DE SUERO DE QUIÑONES,2,24,-3.6750918,40.4440957
197,"442506,78","4478097,54",43678,CHAMARTÍN,5,EL VISO,5-01,AVENIDA DE CONCHA ESPINA,S/N,24,-3.6780252,40.4515501
198,"441342,11","4476060,39",43752,CHAMBERÍ,7,ALMAGRO,7-04,GLORIETA DE RUBEN DARIO,2,24,-3.6915713,40.4331172
199,"439369,52","4476210,1",43641,CHAMBERÍ,7,GAZTAMBIDE,7-01,CALLE DE FERNANDO EL CATOLICO,61,27,-3.7148406,40.4343244
200,"440231,49","4476129,61",43714,CHAMBERÍ,7,ARAPILES,7-02,GLORIETA DE QUEVEDO,frente 4,24,-3.704671,40.4336617
201,"440308,49","4476691,87",43759,CHAMBERÍ,7,RÍOS ROSAS,7-05,CALLE DE JOSE ABASCAL,frente al 2,24,-3.7038161,40.4387323
202,"439947,59","4476965,21",43749,CHAMBERÍ,7,VALLEHERMOSO,7-06,CALLE DE SANTANDER,S/N,24,-3.7080969,40.4411686
203,"439411,53","4477034,58",43612,CHAMBERÍ,7,VALLEHERMOSO,7-06,CALLE DEL GENERAL AMPUDIA,2,24,-3.7144239,40.4417547
204,"440286,36","4477683,16",43678,TETUÁN,6,BELLAS VISTAS,6-01,CALLE DEL DOCTOR SANTERO,1,24,-3.7041702,40.4476606
205,"440361,85","4478331,04",43634,TETUÁN,6,BELLAS VISTAS,6-01,CALLE DE NAVARRA,1,24,-3.7033408,40.4535024
206,"440732,11","4479138,12",43720,TETUÁN,6,BERRUGUETE,6-06,CALLE DEL MARQUES DE VIANA,5,24,-3.6990499,40.4607994
207,"440874,74","4479385,27",43669,TETUÁN,6,VALDEACEDERAS,6-05,CALLE DE LAS AZUCENAS,1,18,-3.6973907,40.463036
208,"441615,82","4479765,37",43738,CHAMARTÍN,5,CASTILLA,5-06,PASEO DE LA CASTELLANA,S/N,24,-3.6886852,40.4665125
209,"441606,43","4479673,82",43738,CHAMARTÍN,5,NUEVA ESPAÑA,5-05,PLAZA DE CASTILLA,9,24,-3.6887875,40.4656872
210,"440392,24","4474584,46",43662,CENTRO,1,SOL,1-06,CALLE DE LAS TRES CRUCES,9,27,-3.702631,40.4197538
211,"440400,99","4474680,19",43697,CENTRO,1,UNIVERSIDAD,1-05,CALLE DEL DESENGAÑO,3,24,-3.7025369,40.4206168
212,"439193,57","4472197,09",44008,CARABANCHEL,1,SAN ISIDRO,1-03,GLORIETA DEL MARQUES DE VADILLO,9,24,-3.7165313,40.3981605
213,"440574,99","4471162,08",44089,USERA,2,MOSCARDÓ,2-05,CALLE DE ANTONIO LOPEZ,129,24,-3.7001575,40.3889363
