Número;Gis_X;Gis_Y;Fecha de Alta;Distrito;Barrio;Calle;Nº Finca;Tipo de Reserva;Número de Plazas;Longitud;Latitud;Direccion
012;440095,53;4475560,73;41813;01  CENTRO;01-05 UNIVERSIDAD;SAN BERNARDO, CALLE, DE;87;BiciMAD;24;-3.7062202;40.4285271;SAN BERNARDO, CALLE, DE, 87, Plazas: 24
013;439733,78;4475434,65;41813;01  CENTRO;01-05 UNIVERSIDAD;CONDE DUQUE, CALLE, DEL;22;BiciMAD;24;-3.7104727;40.4273652;CONDE DUQUE, CALLE, DEL, 22, Plazas: 24
014;439486,2;4475284,13;44045;09  MONCLOA-ARAVACA;09-02 ARGÜELLES;VENTURA RODRIGUEZ, CALLE, DE;1;BiciMAD;24;-3.7133768;40.4259913;VENTURA RODRIGUEZ, CALLE, DE, 1, Plazas: 24
015;439996,77;4475313,59;43881;01  CENTRO;01-05 UNIVERSIDAD;NORTE, CALLE, DEL;10;BiciMAD;21;-3.7073611;40.4262937;NORTE, CALLE, DEL, 10, Plazas: 21
016;439982,39;4474941,66;41813;01  CENTRO;01-05 UNIVERSIDAD;SAN BERNARDO, CALLE, DE;22;BiciMAD;21;-3.7074955;40.4229421;SAN BERNARDO, CALLE, DE, 22, Plazas: 21
017;440263,35;4474964,43;41813;01  CENTRO;01-05 UNIVERSIDAD;CARLOS CAMBRONERO, PLAZA, DE;2;BiciMAD;24;-3.7041859;40.4231675;CARLOS CAMBRONERO, PLAZA, DE, 2, Plazas: 24
018;440653,13;4474711,92;41813;01  CENTRO;01-04 JUSTICIA;PEDRO ZEROLO, PLAZA, DE;1;BiciMAD;24;-3.6995679;40.4209206;PEDRO ZEROLO, PLAZA, DE, 1, Plazas: 24
019;441007,98;4474817,8;41813;01  CENTRO;01-04 JUSTICIA;PRIM, CALLE, DE;4;BiciMAD;24;-3.6953951;40.4218997;PRIM, CALLE, DE, 4, Plazas: 24
020;441021,37;4474517,89;41813;01  CENTRO;01-04 JUSTICIA;ALCALA, CALLE, DE;49;BiciMAD;24;-3.6952095;40.4191989;ALCALA, CALLE, DE, 49, Plazas: 24
020 ampliacion;441014,52;4474516,49;43291;01  CENTRO;01-04 JUSTICIA;ALCALA, CALLE, DE;49;BiciMAD;6;-3.6952901;40.4191858;ALCALA, CALLE, DE, 49, Plazas: 6
022;440064,4;4474630,53;41813;01  CENTRO;01-06 SOL;JACOMETREZO, CALLE, DE;1;BiciMAD;24;-3.7064995;40.4201452;JACOMETREZO, CALLE, DE, 1, Plazas: 24
023;439912,56;4474639,35;41813;01  CENTRO;01-01 PALACIO;SANTO DOMINGO, PLAZA, DE;S/N;BiciMAD;24;-3.7082901;40.4202137;SANTO DOMINGO, PLAZA, DE, S/N, Plazas: 24
024;439715,67;4474384,75;41813;01  CENTRO;01-01 PALACIO;CARLOS III, CALLE, DE;1;BiciMAD;24;-3.7105866;40.417906;CARLOS III, CALLE, DE, 1, Plazas: 24
025 a;440104,48;4474318,99;41813;01  CENTRO;01-06 SOL;CELENQUE, PLAZA, DEL;1;BiciMAD;24;-3.7059978;40.4173416;CELENQUE, PLAZA, DEL, 1, Plazas: 24
025 b;440102,16;4474309,87;41813;01  CENTRO;01-06 SOL;CELENQUE, PLAZA, DEL;1;BiciMAD;24;-3.7060243;40.4172593;CELENQUE, PLAZA, DEL, 1, Plazas: 24
026;441082,03;4475031,58;41813;01  CENTRO;01-04 JUSTICIA;SALESAS, PLAZA, DE LAS;8;BiciMAD;24;-3.6945421;40.4238308;SALESAS, PLAZA, DE LAS, 8, Plazas: 24
027;440984,74;4473861,49;41813;01  CENTRO;01-03 CORTES;JESUS, CALLE, DE;frente 6;BiciMAD;27;-3.6955803;40.4132831;JESUS, CALLE, DE, frente 6, Plazas: 27
028;440752,57;4474394,64;43955;01  CENTRO;01-03 CORTES;ALCALA, CALLE, DE;26;BiciMAD;24;-3.6983662;40.4180695;ALCALA, CALLE, DE, 26, Plazas: 24
029;440968,62;4474190,29;41813;01  CENTRO;01-03 CORTES;MARQUES DE CUBAS, CALLE, DEL;25;BiciMAD;24;-3.6958008;40.416244;MARQUES DE CUBAS, CALLE, DEL, 25, Plazas: 24
030;439635,83;4474544,08;41813;01  CENTRO;01-01 PALACIO;PAVIA, CALLE, DE;6;BiciMAD;27;-3.7115428;40.4193355;PAVIA, CALLE, DE, 6, Plazas: 27
031;440050,38;4474208,74;41813;01  CENTRO;01-06 SOL;MAYOR, CALLE;18;BiciMAD;27;-3.706625;40.4163446;MAYOR, CALLE, 18, Plazas: 27
032;440090,59;4474042,64;41813;01  CENTRO;01-06 SOL;PROVINCIA, PLAZA, DE LA;1;BiciMAD;18;-3.7061355;40.4148511;PROVINCIA, PLAZA, DE LA, 1, Plazas: 18
033;440340,26;4474220,99;43515;01  CENTRO;01-06 SOL;CARRETAS, CALLE, DE LAS;3;BiciMAD;21;-3.7032096;40.4164757;CARRETAS, CALLE, DE LAS, 3, Plazas: 21
034;440313,43;4473992,08;41813;01  CENTRO;01-03 CORTES;JACINTO BENAVENTE, PLAZA, DE;S/N;BiciMAD;24;-3.7035044;40.4144117;JACINTO BENAVENTE, PLAZA, DE, S/N, Plazas: 24
035;439730,93;4473970,93;41813;01  CENTRO;01-01 PALACIO;CORDON, PLAZA, DEL;1;BiciMAD;24;-3.7103676;40.4141792;CORDON, PLAZA, DEL, 1, Plazas: 24
036;439614,82;4474265,33;41813;01  CENTRO;01-01 PALACIO;RAMALES, PLAZA, DE;5;BiciMAD;24;-3.711764;40.4168229;RAMALES, PLAZA, DE, 5, Plazas: 24
037;439409,3;4473605,14;41813;01  CENTRO;01-01 PALACIO;SAN FRANCISCO, PLAZA, DE;5;BiciMAD;24;-3.7141234;40.4108606;SAN FRANCISCO, PLAZA, DE, 5, Plazas: 24
038;439637;4473651,64;41813;01  CENTRO;01-01 PALACIO;SAN FRANCISCO, CARRERA, DE;1;BiciMAD;24;-3.7114443;40.4112961;SAN FRANCISCO, CARRERA, DE, 1, Plazas: 24
039;439844;4473646,66;41813;01  CENTRO;01-01 PALACIO;CEBADA, PLAZA, DE LA;16;BiciMAD;27;-3.7090043;40.4112662;CEBADA, PLAZA, DE LA, 16, Plazas: 27
040;440207,51;4473923,52;41813;01  CENTRO;01-02 EMBAJADORES;CONDE DE ROMANONES, CALLE, DEL;2;BiciMAD;24;-3.7047463;40.4137865;CONDE DE ROMANONES, CALLE, DEL, 2, Plazas: 24
041;440694,54;4473746,65;43480;01  CENTRO;01-02 EMBAJADORES;ATOCHA, CALLE, DE;56;BiciMAD;18;-3.6989898;40.412228;ATOCHA, CALLE, DE, 56, Plazas: 18
042;440757,78;4473584,46;41813;01  CENTRO;01-02 EMBAJADORES;SANTA ISABEL, CALLE, DE;32;BiciMAD;24;-3.6982294;40.4107714;SANTA ISABEL, CALLE, DE, 32, Plazas: 24
043;440391,04;4473511,6;41813;01  CENTRO;01-02 EMBAJADORES;LAVAPIES, CALLE, DE;36;BiciMAD;24;-3.7025446;40.4100889;LAVAPIES, CALLE, DE, 36, Plazas: 24
044;440274,63;4473482,26;41813;01  CENTRO;01-02 EMBAJADORES;MESON DE PAREDES, CALLE, DEL;35;BiciMAD;21;-3.7039138;40.4098162;MESON DE PAREDES, CALLE, DEL, 35, Plazas: 21
045;439659,1;4473168,86;41813;01  CENTRO;01-02 EMBAJADORES;PUERTA DE TOLEDO, GLORIETA, DE LA;1;BiciMAD;21;-3.7111381;40.4069486;PUERTA DE TOLEDO, GLORIETA, DE LA, 1, Plazas: 21
046;439998,9;4472999,74;41813;02  ARGANZUELA;02-02 ACACIAS;RIBERA DE CURTIDORES, CALLE, DE LA;28;BiciMAD;24;-3.7071178;40.4054496;RIBERA DE CURTIDORES, CALLE, DE LA, 28, Plazas: 24
047;440368,37;4472905,07;41813;02  ARGANZUELA;02-02 ACACIAS;EMBAJADORES, GLORIETA, DE;7 B;BiciMAD;24;-3.702755;40.4046233;EMBAJADORES, GLORIETA, DE, 7 B, Plazas: 24
048;440424,7;4472996,09;41813;01  CENTRO;01-02 EMBAJADORES;EMBAJADORES, GLORIETA, DE;2;BiciMAD;24;-3.7020997;40.4054473;EMBAJADORES, GLORIETA, DE, 2, Plazas: 24
049;440667,66;4473061,04;41813;01  CENTRO;01-02 EMBAJADORES;ATOCHA, RONDA, DE;36;BiciMAD;24;-3.6992427;40.4060497;ATOCHA, RONDA, DE, 36, Plazas: 24
050;441180,67;4473307,92;41813;01  CENTRO;01-02 EMBAJADORES;SANTA ISABEL, CALLE, DE;57;BiciMAD;24;-3.69322;40.4083102;SANTA ISABEL, CALLE, DE, 57, Plazas: 24
051;441148,47;4473243,04;41813;01  CENTRO;01-02 EMBAJADORES;EMPERADOR CARLOS V, PLAZA, DEL;7;BiciMAD;27;-3.6935934;40.4077234;EMPERADOR CARLOS V, PLAZA, DEL, 7, Plazas: 27
052;440544,34;4474002,06;41813;01  CENTRO;01-03 CORTES;SANTA ANA, PLAZA, DE;9;BiciMAD;24;-3.7007838;40.4145181;SANTA ANA, PLAZA, DE, 9, Plazas: 24
053;440543,46;4473309,62;41813;01  CENTRO;01-02 EMBAJADORES;VALENCIA, CALLE, DE;frente 2;BiciMAD;24;-3.7007295;40.4082802;VALENCIA, CALLE, DE, frente 2, Plazas: 24
054;440592,35;4475345,44;41813;01  CENTRO;01-04 JUSTICIA;BARCELO, CALLE, DE;7;BiciMAD;21;-3.7003435;40.4266233;BARCELO, CALLE, DE, 7, Plazas: 21
055;440455,56;4475063,26;41813;01  CENTRO;01-05 UNIVERSIDAD;SAN ILDEFONSO, PLAZA, DE;8;BiciMAD;24;-3.7019295;40.4240716;SAN ILDEFONSO, PLAZA, DE, 8, Plazas: 24
056;440335,43;4474443,96;41813;01  CENTRO;01-06 SOL;CARMEN, PLAZA, DEL;1;BiciMAD;24;-3.7032875;40.418484;CARMEN, PLAZA, DEL, 1, Plazas: 24
057;439536,86;4475688,34;41813;01  CENTRO;01-05 UNIVERSIDAD;SANTA CRUZ DE MARCENADO, CALLE, DE;24;BiciMAD;24;-3.7128181;40.4296363;SANTA CRUZ DE MARCENADO, CALLE, DE, 24, Plazas: 24
058;440791,91;4474859,51;41813;01  CENTRO;01-04 JUSTICIA;AUGUSTO FIGUEROA, CALLE, DE;33;BiciMAD;24;-3.6979458;40.4222601;AUGUSTO FIGUEROA, CALLE, DE, 33, Plazas: 24
059;440271,27;4475221,1;41813;01  CENTRO;01-05 UNIVERSIDAD;ESPIRITU SANTO, CALLE, DEL;30;BiciMAD;21;-3.7041167;40.4254802;ESPIRITU SANTO, CALLE, DEL, 30, Plazas: 21
060;441616,3;4474541,2;41813;03  RETIRO;03-05 JERÓNIMOS;INDEPENDENCIA, PLAZA, DE LA;7;BiciMAD;24;-3.6881994;40.4194508;INDEPENDENCIA, PLAZA, DE LA, 7, Plazas: 24
061;442720,29;4474753,26;41813;03  RETIRO;03-04 IBIZA;O'DONNELL, CALLE, DE;30;BiciMAD;24;-3.675206;40.4214379;O'DONNELL, CALLE, DE, 30, Plazas: 24
062;442956,32;4474735,99;41813;03  RETIRO;03-04 IBIZA;O'DONNELL, CALLE, DE;48;BiciMAD;24;-3.6724223;40.4212986;O'DONNELL, CALLE, DE, 48, Plazas: 24
063;443103,74;4474356,79;41813;03  RETIRO;03-04 IBIZA;IBIZA, CALLE, DE;64;BiciMAD;24;-3.6706508;40.4178926;IBIZA, CALLE, DE, 64, Plazas: 24
065;441513,53;4474235,07;41813;03  RETIRO;03-05 JERÓNIMOS;ANTONIO MAURA, CALLE, DE;15;BiciMAD;24;-3.6893825;40.4166859;ANTONIO MAURA, CALLE, DE, 15, Plazas: 24
067;441190,08;4473587,45;41813;01  CENTRO;01-03 CORTES;ALMADEN, CALLE, DE;28;BiciMAD;24;-3.6931349;40.410829;ALMADEN, CALLE, DE, 28, Plazas: 24
068;441358,92;4473802,81;41813;03  RETIRO;03-05 JERÓNIMOS;ESPALTER, CALLE, DE;1;BiciMAD;21;-3.6911649;40.412781;ESPALTER, CALLE, DE, 1, Plazas: 21
069;441551,54;4473499,36;41813;03  RETIRO;03-05 JERÓNIMOS;ALFONSO XII, CALLE, DE;54;BiciMAD;27;-3.6888669;40.4100609;ALFONSO XII, CALLE, DE, 54, Plazas: 27
070;442494,99;4474064,79;41813;03  RETIRO;03-05 JERÓNIMOS;MENENDEZ PELAYO, AVENIDA, DE;frente 63;BiciMAD;24;-3.6777994;40.4152203;MENENDEZ PELAYO, AVENIDA, DE, frente 63, Plazas: 24
071;442816,22;4474149,49;41813;03  RETIRO;03-06 NIÑO JESÚS;DOCE DE OCTUBRE, CALLE, DEL;28;BiciMAD;24;-3.674021;40.4160054;DOCE DE OCTUBRE, CALLE, DEL, 28, Plazas: 24
072;443189,11;4474115,08;41813;03  RETIRO;03-06 NIÑO JESÚS;DOCTOR ESQUERDO, CALLE, DEL;62;BiciMAD;24;-3.669623;40.415721;DOCTOR ESQUERDO, CALLE, DEL, 62, Plazas: 24
073;443229,99;4473642,11;41813;03  RETIRO;03-03 ESTRELLA;ASTROS, PLAZA, DE LOS;S/N;BiciMAD;24;-3.669099;40.411463;ASTROS, PLAZA, DE LOS, S/N, Plazas: 24
074;442595,78;4473679,92;41813;03  RETIRO;03-05 JERÓNIMOS;MENENDEZ PELAYO, AVENIDA, DE;S/N;BiciMAD;24;-3.6765768;40.4117601;MENENDEZ PELAYO, AVENIDA, DE, S/N, Plazas: 24
075;442436,91;4473301,34;41813;03  RETIRO;03-05 JERÓNIMOS;MENENDEZ PELAYO, AVENIDA, DE;S/N;BiciMAD;24;-3.6784149;40.4083387;MENENDEZ PELAYO, AVENIDA, DE, S/N, Plazas: 24
076;442712,67;4473182,27;41813;03  RETIRO;03-06 NIÑO JESÚS;MEDITERRANEO, AVENIDA, DEL;19;BiciMAD;24;-3.6751544;40.4072851;MEDITERRANEO, AVENIDA, DEL, 19, Plazas: 24
077;443083,53;4473073,95;41813;03  RETIRO;03-01 PACÍFICO;CONDE DE CASAL, PLAZA, DEL;8;BiciMAD;22;-3.6707742;40.4063347;CONDE DE CASAL, PLAZA, DEL, 8, Plazas: 22
078;442755,86;4472436,57;41813;03  RETIRO;03-02 ADELFAS;CERRO DE LA PLATA, CALLE, DEL;2;BiciMAD;24;-3.6745783;40.4005704;CERRO DE LA PLATA, CALLE, DEL, 2, Plazas: 24
079;442252,73;4472937,49;41813;03  RETIRO;03-01 PACÍFICO;MENENDEZ PELAYO, AVENIDA, DE;38;BiciMAD;24;-3.6805524;40.4050482;MENENDEZ PELAYO, AVENIDA, DE, 38, Plazas: 24
080 a;441412,24;4473206,43;41813;02  ARGANZUELA;02-07 ATOCHA;CIUDAD DE BARCELONA, AVENIDA, DE LA;S/N;BiciMAD;24;-3.6904816;40.4074122;CIUDAD DE BARCELONA, AVENIDA, DE LA, S/N, Plazas: 24
080 b;441391,88;4473230,32;41813;02  ARGANZUELA;02-07 ATOCHA;CIUDAD DE BARCELONA, AVENIDA, DE LA;S/N;BiciMAD;27;-3.6907238;40.407626;CIUDAD DE BARCELONA, AVENIDA, DE LA, S/N, Plazas: 27
081;441288,14;4473447,57;41813;03  RETIRO;03-05 JERÓNIMOS;CLAUDIO MOYANO, CALLE, DE;S/N;BiciMAD;24;-3.6919663;40.4095758;CLAUDIO MOYANO, CALLE, DE, S/N, Plazas: 24
082;443177,93;4473311,29;41813;03  RETIRO;03-03 ESTRELLA;LIRA, CALLE, DE LA;frente 2;BiciMAD;24;-3.669683;40.4084793;LIRA, CALLE, DE LA, frente 2, Plazas: 24
083;442770,38;4473844,96;41813;03  RETIRO;03-06 NIÑO JESÚS;PIO BAROJA, CALLE, DE;8 B;BiciMAD;24;-3.6745339;40.4132589;PIO BAROJA, CALLE, DE, 8 B, Plazas: 24
084;442918,27;4472746,05;41813;03  RETIRO;03-02 ADELFAS;DOCTOR ESQUERDO, CALLE, DEL;191;BiciMAD;24;-3.6726923;40.4033695;DOCTOR ESQUERDO, CALLE, DEL, 191, Plazas: 24
085;442319,29;4474723,43;41813;03  RETIRO;03-05 JERÓNIMOS;MENENDEZ PELAYO, AVENIDA, DE;frente 9;BiciMAD;27;-3.6799299;40.4211415;MENENDEZ PELAYO, AVENIDA, DE, frente 9, Plazas: 27
086;441180,29;4474447,71;41904;01  CENTRO;01-03 CORTES;PRADO, PASEO, DEL;S/N;BiciMAD;21;-3.6933298;40.4185779;PRADO, PASEO, DEL, S/N, Plazas: 21
087;442016,68;4475450,66;41813;04  SALAMANCA;04-01 RECOLETOS;AYALA, CALLE, DE;44;BiciMAD;24;-3.6835631;40.4276717;AYALA, CALLE, DE, 44, Plazas: 24
088;442004,11;4475843,28;41813;04  SALAMANCA;04-06 CASTELLANA;VELAZQUEZ, CALLE, DE;73;BiciMAD;24;-3.6837471;40.4312077;VELAZQUEZ, CALLE, DE, 73, Plazas: 24
089;442728,15;4475399,8;41813;04  SALAMANCA;04-02 GOYA;AYALA, CALLE, DE;102;BiciMAD;24;-3.6751716;40.4272628;AYALA, CALLE, DE, 102, Plazas: 24
090;442000,33;4475163,96;41813;04  SALAMANCA;04-01 RECOLETOS;GOYA, CALLE, DE;18;BiciMAD;24;-3.6837297;40.4250878;GOYA, CALLE, DE, 18, Plazas: 24
090 ampliacion;442014,61;4475162,88;43115;04  SALAMANCA;04-01 RECOLETOS;GOYA, CALLE, DE;20;BiciMAD;6;-3.6835613;40.4250791;GOYA, CALLE, DE, 20, Plazas: 6
091;442417,66;4475274,35;41813;04  SALAMANCA;04-02 GOYA;HERMOSILLA, CALLE, DE;73;BiciMAD;24;-3.6788203;40.4261113;HERMOSILLA, CALLE, DE, 73, Plazas: 24
092;441767,83;4475291,85;41813;04  SALAMANCA;04-01 RECOLETOS;CLAUDIO COELLO, CALLE, DE;45;BiciMAD;24;-3.6864821;40.4262237;CLAUDIO COELLO, CALLE, DE, 45, Plazas: 24
093;441518,8;4475235,48;41813;04  SALAMANCA;04-01 RECOLETOS;GOYA, CALLE, DE;3;BiciMAD;24;-3.6894124;40.4256984;GOYA, CALLE, DE, 3, Plazas: 24
094;441407,18;4474977,73;41813;04  SALAMANCA;04-01 RECOLETOS;RECOLETOS, PASEO, DE;22;BiciMAD;21;-3.6907044;40.4233686;RECOLETOS, PASEO, DE, 22, Plazas: 21
095;441721,55;4474897;41813;04  SALAMANCA;04-01 RECOLETOS;CLAUDIO COELLO, CALLE, DE;19;BiciMAD;24;-3.6869914;40.4226634;CLAUDIO COELLO, CALLE, DE, 19, Plazas: 24
096;442140,46;4474825,84;41813;04  SALAMANCA;04-01 RECOLETOS;ALCALA, CALLE, DE;111;BiciMAD;27;-3.6820471;40.4220516;ALCALA, CALLE, DE, 111, Plazas: 27
097;442301,64;4474872,66;41813;04  SALAMANCA;04-02 GOYA;MENENDEZ PELAYO, AVENIDA, DE;1;BiciMAD;27;-3.6801515;40.4224846;MENENDEZ PELAYO, AVENIDA, DE, 1, Plazas: 27
098;442705,5;4475058,99;41813;04  SALAMANCA;04-02 GOYA;FELIPE II, AVENIDA, DE;5;BiciMAD;24;-3.6754079;40.4241911;FELIPE II, AVENIDA, DE, 5, Plazas: 24
099;442829,62;4475270,48;41813;04  SALAMANCA;04-02 GOYA;ALCANTARA, CALLE, DE;2;BiciMAD;24;-3.6739638;40.4261048;ALCANTARA, CALLE, DE, 2, Plazas: 24
100;442835,81;4475123,85;41813;04  SALAMANCA;04-02 GOYA;GOYA, CALLE, DE;99;BiciMAD;24;-3.6738777;40.4247843;GOYA, CALLE, DE, 99, Plazas: 24
101;443212,16;4474936,49;41813;04  SALAMANCA;04-02 GOYA;JORGE JUAN, CALLE, DE;131;BiciMAD;24;-3.6694246;40.4231223;JORGE JUAN, CALLE, DE, 131, Plazas: 24
102;441967,18;4474727,67;41813;04  SALAMANCA;04-01 RECOLETOS;ALCALA, CALLE, DE;95;BiciMAD;24;-3.6840806;40.4211552;ALCALA, CALLE, DE, 95, Plazas: 24
103;441766,91;4475752,49;41813;04  SALAMANCA;04-06 CASTELLANA;JOSE ORTEGA Y GASSET, CALLE, DE;4;BiciMAD;24;-3.6865351;40.4303733;JOSE ORTEGA Y GASSET, CALLE, DE, 4, Plazas: 24
104;441505,58;4475354,07;41813;04  SALAMANCA;04-01 RECOLETOS;CASTELLANA, PASEO, DE LA;4;BiciMAD;21;-3.6895792;40.4267658;CASTELLANA, PASEO, DE LA, 4, Plazas: 21
105;441684,37;4475386,27;41813;04  SALAMANCA;04-01 RECOLETOS;SERRANO, CALLE, DE;46;BiciMAD;24;-3.6874745;40.4270684;SERRANO, CALLE, DE, 46, Plazas: 24
106 a;441647,49;4475141,87;41782;04  SALAMANCA;04-01 RECOLETOS;SERRANO, CALLE, DE;32;BiciMAD;18;-3.6878868;40.4248642;SERRANO, CALLE, DE, 32, Plazas: 18
106 b;441649,86;4475157,87;41813;04  SALAMANCA;04-01 RECOLETOS;SERRANO, CALLE, DE;34;BiciMAD;18;-3.6878604;40.4250085;SERRANO, CALLE, DE, 34, Plazas: 18
107;441599,07;4474779,37;41813;04  SALAMANCA;04-01 RECOLETOS;SERRANO, CALLE, DE;8;BiciMAD;24;-3.6884243;40.4215952;SERRANO, CALLE, DE, 8, Plazas: 24
108;443111,6;4475416,83;41813;04  SALAMANCA;04-02 GOYA;MARTIRES CONCEPCIONISTAS, CALLE, DE LAS;2;BiciMAD;27;-3.670653;40.4274425;MARTIRES CONCEPCIONISTAS, CALLE, DE LAS, 2, Plazas: 27
109;442191,64;4475721,98;41813;04  SALAMANCA;04-06 CASTELLANA;JOSE ORTEGA Y GASSET, CALLE, DE;32;BiciMAD;24;-3.6815253;40.4301281;JOSE ORTEGA Y GASSET, CALLE, DE, 32, Plazas: 24
110;438921,15;4476262,7;41813;09  MONCLOA-ARAVACA;09-01 CASA DE CAMPO;MORET, PASEO, DE;S/N;BiciMAD;24;-3.7201316;40.4347654;MORET, PASEO, DE, S/N, Plazas: 24
111 a;439144,16;4476128,65;41813;07  CHAMBERÍ;07-01 GAZTAMBIDE;ARCIPRESTE DE HITA, CALLE, DEL;8;BiciMAD;24;-3.7174896;40.4335742;ARCIPRESTE DE HITA, CALLE, DEL, 8, Plazas: 24
111 b;439120,04;4476174,12;41813;07  CHAMBERÍ;07-01 GAZTAMBIDE;ARCIPRESTE DE HITA, CALLE, DEL;12;BiciMAD;24;-3.7177783;40.433982;ARCIPRESTE DE HITA, CALLE, DEL, 12, Plazas: 24
112;438517,07;4476028,6;41813;09  MONCLOA-ARAVACA;09-02 ARGÜELLES;MORET, PASEO, DE;11;BiciMAD;24;-3.7248727;40.4326267;MORET, PASEO, DE, 11, Plazas: 24
113;438865,35;4475484,09;41813;09  MONCLOA-ARAVACA;09-01 CASA DE CAMPO;PINTOR ROSALES, PASEO, DEL;frente 38;BiciMAD;24;-3.7207145;40.4277472;PINTOR ROSALES, PASEO, DEL, frente 38, Plazas: 24
114;439145,29;4475490,01;41813;09  MONCLOA-ARAVACA;09-02 ARGÜELLES;QUINTANA, CALLE, DE;13;BiciMAD;24;-3.7174151;40.4278211;QUINTANA, CALLE, DE, 13, Plazas: 24
115;439181,48;4475218,76;41813;09  MONCLOA-ARAVACA;09-02 ARGÜELLES;MARQUES DE CERRALBO, PLAZA, DEL;S/N;BiciMAD;24;-3.7169626;40.4253802;MARQUES DE CERRALBO, PLAZA, DEL, S/N, Plazas: 24
116 a;439621,73;4475069;41813;09  MONCLOA-ARAVACA;09-02 ARGÜELLES;ESPAÑA, PLAZA, DE;S/N;BiciMAD;24;-3.7117588;40.4240632;ESPAÑA, PLAZA, DE, S/N, Plazas: 24
116 b;439614,47;4475083,02;41813;09  MONCLOA-ARAVACA;09-02 ARGÜELLES;ESPAÑA, PLAZA, DE;S/N;BiciMAD;24;-3.7118457;40.4241889;ESPAÑA, PLAZA, DE, S/N, Plazas: 24
117;439020,83;4475833,31;41816;09  MONCLOA-ARAVACA;09-02 ARGÜELLES;ALTAMIRANO, CALLE, DE;24;BiciMAD;24;-3.7189152;40.4309046;ALTAMIRANO, CALLE, DE, 24, Plazas: 24
118;441605,64;4472470,47;41813;02  ARGANZUELA;02-06 PALOS DE MOGUER;JUAN MARTIN EL EMPECINADO, CALLE, DE;16;BiciMAD;24;-3.688135;40.4007959;JUAN MARTIN EL EMPECINADO, CALLE, DE, 16, Plazas: 24
119;441738,36;4472542,79;41813;02  ARGANZUELA;02-07 ATOCHA;MENDEZ ALVARO, CALLE, DE;7;BiciMAD;24;-3.6865777;40.4014567;MENDEZ ALVARO, CALLE, DE, 7, Plazas: 24
120;441043,78;4472723,55;41813;02  ARGANZUELA;02-06 PALOS DE MOGUER;PALOS DE LA FRONTERA, CALLE, DE;frente 27;BiciMAD;24;-3.6947791;40.4030362;PALOS DE LA FRONTERA, CALLE, DE, frente 27, Plazas: 24
