bs_id,position_x,position_y,district_name,district_name's URI,district_number,neighbourhood_name,neighbourhood_name's URI,neighbourhood_number,street_name,address,spots,longitude,latitude
182,443541.21,4474444.72,Retiro ,http://dbpedia.org/resource/Retiro,3,Estrella ,http://dbpedia.org/resource/Estrella,3-03,Calle Del Alcalde Sainz De Baranda,"Calle Del Alcalde Sainz De Baranda,90",24,-3.6655023,40.4187145
183,443212.07,4475215.51,Salamanca ,http://dbpedia.org/resource/Salamanca,4,Goya ,http://dbpedia.org/resource/Goya,4-02,Calle De Hermosilla,"Calle De Hermosilla,135",24,-3.6694506,40.4256358
184,443563.66,4475253.54,Salamanca ,http://dbpedia.org/resource/Salamanca,4,Fuente del Berro,http://www.wikidata.org/entity/Q3814564,4-03,Paseo Del Marques De Zafra,"Paseo Del Marques De Zafra,24",24,-3.6653095,40.4260023
185,443883.24,4475147.45,Salamanca ,http://dbpedia.org/resource/Salamanca,4,Fuente del Berro,http://www.wikidata.org/entity/Q3814564,4-03,Glorieta Del Marques De Zafra,"Glorieta Del Marques De Zafra,frente 4",24,-3.661533,40.4250682
186,442466.16,4475602.3,Salamanca ,http://dbpedia.org/resource/Salamanca,4,Lista ,http://dbpedia.org/resource/Lista,4-05,Calle Del General Pardinas,"Calle Del General Pardinas,56",24,-3.6782783,40.429069
187,443691.7,4475711.36,Salamanca ,http://dbpedia.org/resource/Salamanca,4,Fuente del Berro,http://www.wikidata.org/entity/Q3814564,4-03,Calle De Alejandro Gonzalez,"Calle De Alejandro Gonzalez,1",24,-3.6638407,40.4301353
188,444111.11,4475822.61,Ciudad Lineal,http://dbpedia.org/resource/Ciudad_Lineal,5,Ventas ,http://dbpedia.org/resource/Ventas,5-01,Avenida De Daroca,"Avenida De Daroca,2",27,-3.6589062,40.4311658
189,444399.55,4476248.37,Ciudad Lineal,http://dbpedia.org/resource/Ciudad_Lineal,5,Concepcion ,http://dbpedia.org/resource/Concepcion,5-04,Calle De La Virgen De La Alegria,"Calle De La Virgen De La Alegria,18",24,-3.6555431,40.4350206
190,442030.24,4476194.79,Salamanca ,http://dbpedia.org/resource/Salamanca,4,Castellana ,http://dbpedia.org/resource/Castellana,4-06,Calle De Velazquez,"Calle De Velazquez,91",24,-3.6834711,40.4343761
191,442830.66,4476215.36,Salamanca ,http://dbpedia.org/resource/Salamanca,4,Guindalera,http://dbpedia.org/resource/La_Guindalera,4-04,Calle De Alonso Heredia,"Calle De Alonso Heredia,1",18,-3.6740365,40.4346168
192,443049.28,4475907.11,Salamanca ,http://dbpedia.org/resource/Salamanca,4,Guindalera,http://dbpedia.org/resource/La_Guindalera,4-04,Avenida De Los Toreros,"Avenida De Los Toreros,3",27,-3.6714315,40.431855
193,443540.74,4475977.26,Salamanca ,http://dbpedia.org/resource/Salamanca,4,Guindalera,http://dbpedia.org/resource/La_Guindalera,4-04,Avenida De Los Toreros,"Avenida De Los Toreros,47",24,-3.665644,40.4325204
194,442564.99,4476503.98,Salamanca ,http://dbpedia.org/resource/Salamanca,4,Guindalera,http://dbpedia.org/resource/La_Guindalera,4-04,Calle De Francisco Silvela,"Calle De Francisco Silvela,86",24,-3.6771947,40.4371986
195,442711.2,4476730.39,Chamartin ,http://dbpedia.org/resource/Chamartin,5,Prosperidad ,http://dbpedia.org/resource/Prosperidad,5-02,Calle Del Padre Indalecio Hernandez,"Calle Del Padre Indalecio Hernandez,1",24,-3.6754913,40.4392483
196,442749.2,4477268.2,Chamartin ,http://dbpedia.org/resource/Chamartin,5,Ciudad Jardin ,http://dbpedia.org/resource/Ciudad_Jardin,5-03,Calle De Suero De Quinones,"Calle De Suero De Quinones,2",24,-3.6750918,40.4440957
197,442506.78,4478097.54,Chamartin ,http://dbpedia.org/resource/Chamartin,5,El Viso ,http://dbpedia.org/resource/El_Viso,5-01,Avenida De Concha Espina,"Avenida De Concha Espina,s/n",24,-3.6780252,40.4515501
198,441342.11,4476060.39,Chamberi ,http://dbpedia.org/resource/Chamberi,7,Almagro ,http://dbpedia.org/resource/Almagro,7-04,Glorieta De Ruben Dario,"Glorieta De Ruben Dario,2",24,-3.6915713,40.4331172
199,439369.52,4476210.1,Chamberi ,http://dbpedia.org/resource/Chamberi,7,Gaztambide ,http://dbpedia.org/resource/Gaztambide,7-01,Calle De Fernando El Catolico,"Calle De Fernando El Catolico,61",27,-3.7148406,40.4343244
200,440231.49,4476129.61,Chamberi ,http://dbpedia.org/resource/Chamberi,7,Arapiles ,http://dbpedia.org/resource/Arapiles,7-02,Glorieta De Quevedo,"Glorieta De Quevedo,frente 4",24,-3.704671,40.4336617
201,440308.49,4476691.87,Chamberi ,http://dbpedia.org/resource/Chamberi,7,Rios Rosas ,http://dbpedia.org/resource/Rios_Rosas,7-05,Calle De Jose Abascal,"Calle De Jose Abascal,frente Al 2",24,-3.7038161,40.4387323
202,439947.59,4476965.21,Chamberi ,http://dbpedia.org/resource/Chamberi,7,Vallehermoso,http://www.wikidata.org/entity/Q635308,7-06,Calle De Santander,"Calle De Santander,s/n",24,-3.7080969,40.4411686
203,439411.53,4477034.58,Chamberi ,http://dbpedia.org/resource/Chamberi,7,Vallehermoso,http://www.wikidata.org/entity/Q635308,7-06,Calle Del General Ampudia,"Calle Del General Ampudia,2",24,-3.7144239,40.4417547
204,440286.36,4477683.16,Tetuan ,http://dbpedia.org/resource/Tetuan,6,Bellas Vistas,http://dbpedia.org/resource/Bellas_Vistas,6-01,Calle Del Doctor Santero,"Calle Del Doctor Santero,1",24,-3.7041702,40.4476606
205,440361.85,4478331.04,Tetuan ,http://dbpedia.org/resource/Tetuan,6,Bellas Vistas,http://dbpedia.org/resource/Bellas_Vistas,6-01,Calle De Navarra,"Calle De Navarra,1",24,-3.7033408,40.4535024
206,440732.11,4479138.12,Tetuan ,http://dbpedia.org/resource/Tetuan,6,Berruguete ,http://dbpedia.org/resource/Berruguete,6-06,Calle Del Marques De Viana,"Calle Del Marques De Viana,5",24,-3.6990499,40.4607994
207,440874.74,4479385.27,Tetuan ,http://dbpedia.org/resource/Tetuan,6,Valdeacederas,http://dbpedia.org/resource/Valdeacederas,6-05,Calle De Las Azucenas,"Calle De Las Azucenas,1",18,-3.6973907,40.463036
208,441615.82,4479765.37,Chamartin ,http://dbpedia.org/resource/Chamartin,5,Castilla ,http://dbpedia.org/resource/Castilla,5-06,Paseo De La Castellana,"Paseo De La Castellana,s/n",24,-3.6886852,40.4665125
209,441606.43,4479673.82,Chamartin ,http://dbpedia.org/resource/Chamartin,5,Nueva Espana ,http://dbpedia.org/resource/Nueva_Espana,5-05,Plaza De Castilla,"Plaza De Castilla,9",24,-3.6887875,40.4656872
210,440392.24,4474584.46,Centro ,http://dbpedia.org/resource/Centro,1,Sol ,http://dbpedia.org/resource/Sol,1-06,Calle De Las Tres Cruces,"Calle De Las Tres Cruces,9",27,-3.702631,40.4197538
211,440400.99,4474680.19,Centro ,http://dbpedia.org/resource/Centro,1,Ciudad Universitaria ,http://dbpedia.org/resource/Ciudad_Universitaria,1-05,Calle Del Desengano,"Calle Del Desengano,3",24,-3.7025369,40.4206168
212,439193.57,4472197.09,Carabanchel,http://dbpedia.org/resource/Carabanchel,1,San Isidro ,http://dbpedia.org/resource/San_Isidro,1-03,Glorieta Del Marques De Vadillo,"Glorieta Del Marques De Vadillo,9",24,-3.7165313,40.3981605
213,440574.99,4471162.08,Usera,http://dbpedia.org/resource/Usera,2,Moscardo ,http://dbpedia.org/resource/Moscardo,2-05,Calle De Antonio Lopez,"Calle De Antonio Lopez,129",24,-3.7001575,40.3889363
