CODIGO;"ZONA VERDE / 
VIA PUBLICA";DISTRITO;DIRECCION;COMPLEMENTO DE DIRECCION ;COORD, X;COORD, Y;SISTEMA DE COORDENADAS;ESTADO;OBSERVACIONES;FECHA DATOS;LONGITUD;LATITUD
FAM_01-01_0000000049;ZV;CENTRO;PASEO DE RECOLETOS Nº 17;C/V PRIM. EN BULEVAR JUNTO ASEOS PÚBLICOS;441255,76;4474770,46;ETRS89 / UTM  Zona 30N;EN SERVICIO;;nov.-19;-36.924.701;404.214.908
FAM_01-01_0000000050;ZV;CENTRO;PLAZA JACINTO BENAVENTE Nº 2;C/V PLAZA DEL ÁNGEL;440345,47;4474000,18;ETRS89 / UTM  Zona 30N;EN SERVICIO;;nov.-19;-37.031.275;404.144.869
FAM_01-01_0000000051;ZV;CENTRO;CALLE TRES CRUCES, 1;C/V PLAZA DEL CARMEN;440338,32;4474513,31;ETRS89 / UTM  Zona 30N;EN SERVICIO;;nov.-19;-37.032.599;40.419.109
FAM_01-01_0000000052;VP;CENTRO;C/ AUGUSTO FIGUEROA Nº 41;C/V VÁLGAME DIOS;440894,84;4474833,97;ETRS89 / UTM  Zona 30N;EN SERVICIO;;nov.-19;-36.967.302;404.220.373
FAM_01-01_0000000053;ZV;CENTRO;PLAZA GUARDIAS DE CORPS, 4 ;C/V CONDE DUQUE;439731,8;4475414,52;ETRS89 / UTM  Zona 30N;EN SERVICIO;;nov.-19;-37.104.941;404.271.838
FUE_01-01_0000000054;VP;CENTRO;GRAN VÍA, 69;;439737,76;4474945,45;ETRS89 / UTM  Zona 30N;EN SERVICIO;;nov.-19;-37.103.794;404.229.586
FUE_01-01_0000000055;VP;CENTRO;CABALLERO DE GRACIA, 40;C/V GRAN VÍA, 1;440824,97;4474488,94;ETRS89 / UTM  Zona 30N;EN SERVICIO;;nov.-19;-36.975.217;404.189.242
FUE_01-01_0000000063;ZV;CENTRO;PARQUE CASINO DE LA REINA;JUNTO ÁREA CANINA;440133,39;4473044,21;ETRS89 / UTM  Zona 30N;EN SERVICIO;;nov.-19;-37.055.371;404.058.599
FUE_01-01_0000000064;ZV;CENTRO;PARQUE CASINO DE LA REINA;JUNTO ÁREA CANINA;440116,53;4473053,82;ETRS89 / UTM  Zona 30N;EN SERVICIO;;nov.-19;-37.057.367;404.059.452
FAM_01-01_0000000056;ZV;CENTRO;PASEO DE RECOLETOS 1;C/V PZA. CIBELES EN BULEVAR JUNTO PARADAS DE AUTOBÚS;441185,92;4474584,23;ETRS89 / UTM  Zona 30N;EN SERVICIO;;nov.-19;-36.932.761;404.198.082
FAM_01-01_0000000057;ZV;CENTRO;TIRSO DE MOLINA 2;JUNTO ÁREA INFANTIL;440295,29;4473761,7;ETRS89 / UTM  Zona 30N;EN SERVICIO;;nov.-19;-37.036.965;40.412.335
FAM_01-01_0000000058;VP;CENTRO;TOLEDO 40;FRENTE Nº 40;439964,21;4473787,04;ETRS89 / UTM  Zona 30N;EN SERVICIO;;nov.-19;-37.076.008;404.125.395
FAM_01-01_0000000059;VP;CENTRO;PLAZA PLATERIA DE MARTINEZ 3;;441129,77;4473799,75;ETRS89 / UTM  Zona 30N;EN SERVICIO;;nov.-19;-36.938.653;404.127.372
FAM_01-01_0000000060;VP;CENTRO;CALLE ALCALA 48;PUERTA BANCO DE ESPAÑA;441051,69;4474488,4;ETRS89 / UTM  Zona 30N;EN SERVICIO;;nov.-19;-36.948.494;404.189.354
FAM_01-01_0000000061;ZV;CENTRO;CALLE HUERTAS 71;C/V CALLE JESÚS;441001,17;4473841,53;ETRS89 / UTM  Zona 30N;EN SERVICIO;;nov.-19;-36.953.848;404.131.045
FAM_01-01_0000000062;ZV;CENTRO;CALLE SAN LUCAS 1;C/V SAN GREGORIO;440864,72;4475031,35;ETRS89 / UTM  Zona 30N;EN SERVICIO;;nov.-19;-36.971.036;404.238.133
FAM_01-01_0000000063;VP;CENTRO;CALLE MAYOR 32;C/V BORDADORES;439948,63;4474192,11;ETRS89 / UTM  Zona 30N;EN SERVICIO;;nov.-19;-37.078.227;404.161.874
FAM_01-01_0000000064;VP;CENTRO;PLAZA DE SANTIAGO 4;C/V SANTA CLARA;439695,29;4474251,51;ETRS89 / UTM  Zona 30N;EN SERVICIO;;nov.-19;-37.108.142;404.167.042
FAM_01-01_0000000065;VP;CENTRO;PLAZA CONDE DE BARAJAS 6;;439881,49;4474004,73;ETRS89 / UTM  Zona 30N;EN SERVICIO;;nov.-19;-37.085.963;404.144.946
FAM_01-01_0000000066;ZV;CENTRO;PLAZA VIRGEN DE LA PALOMA 1;C/V CALLE LA PALOMA 21;439587,39;4473309,42;ETRS89 / UTM  Zona 30N;EN SERVICIO;;nov.-19;-37.119.965;404.082.096
FAM_01-01_0000000067;VP;CENTRO;CALLE SANTA CRUZ DE MARCENADO 31;;439491,54;4475691,51;ETRS89 / UTM  Zona 30N;EN SERVICIO;;nov.-19;-37.133.527;404.296.616
FAM_01-01_0000000068;VP;CENTRO;CALLE SAN PEDRO 20;C/V GOBERNADOR;441045,86;4473662,57;ETRS89 / UTM  Zona 30N;EN SERVICIO;;nov.-19;-36.948.415;404.114.955
FAM_01-01_0000000069;ZV;CENTRO;PLAZA SANTA BARBARA 10;;440912,85;4475331,47;ETRS89 / UTM  Zona 30N;EN SERVICIO;;nov.-19;-36.965.641;404.265.203
FAM_01-01_0000000070;ZV;CENTRO;PLAZA CONDE DE MIRANDA 2;;439795,53;4474038;ETRS89 / UTM  Zona 30N;EN SERVICIO;;nov.-19;-37.096.126;40.414.788
FAM_01-01_0000000076;ZV;CENTRO;PLAZA DEL CAMPILLO DEL MUNDO NUEVO ;;439879,79;4473088,97;ETRS89 / UTM  Zona 30N;EN SERVICIO;;nov.-19;-37.085.298;404.062.448
FB_000052;ZV;CENTRO;JARDINES DE LA PLAZA DE ORIENTE;A. 3 · LEPANTO;439604,66;4474347,24;ETRS89 / UTM  Zona 30N;EN SERVICIO;;nov.-19;-37.118.915;4.041.756
FB_000051;ZV;CENTRO;JARDINES DE SABATINI;A. 1 · PLATAFORMA;439448,55;4474672,62;ETRS89 / UTM  Zona 30N;EN SERVICIO;;nov.-19;-37.137.624;404.204.798
FB_900013;ZV;CENTRO;MADRID RÍO;Z.06. - VIRGEN DEL PUERTO;438776,1;4474277,1;ETRS89 / UTM  Zona 30N;EN SERVICIO;;nov.-19;-37.216.504;404.168.676
FB_900014;ZV;CENTRO;MADRID RÍO;Z.07. - ERMITA VIRGEN DEL PUERTO;438732,8;4474119,6;ETRS89 / UTM  Zona 30N;EN SERVICIO;;nov.-19;-37.221.456;404.154.456
FUE_02-02_0000000001;ZV;ARGANZUELA;ED 3/3 MENDEZ ALVARO - DELICIAS;PLAZA DEL AMANECER EN MÉNDEZ ÁLVARO Nº3;441880,8298;4472295,84;ETRS89 / UTM  Zona 30N;EN SERVICIO;;nov.-19;-36.848.763;40.399.242
FUE_02-02_0000000002;ZV;ARGANZUELA;RAMIREZ DE PRADO;C/RAMIREZ DE PRADO Nº 5;441666,9056;4472270,393;ETRS89 / UTM  Zona 30N;EN SERVICIO;;nov.-19;-36.873.947;403.989.978
FUE_02-02_0000000003;ZV;ARGANZUELA;Z.V. PUERTO DE  BEJAR;CALLE PUERTO DE BEJAR Nº 24;441726,2999;4471118,306;ETRS89 / UTM  Zona 30N;EN SERVICIO;;nov.-19;-36.865.894;403.886.234
FUE_02-02_0000000005;ZV;ARGANZUELA;PARQUE DEL BRONCE PVF;C/BRONCE Nº 19;441652,7373;4471307,878;ETRS89 / UTM  Zona 30N;EN SERVICIO;;nov.-19;-36.874.734;40.390.326
FUE_02-02_0000000007;ZV;ARGANZUELA;PARQUE DE DELICIAS;C/PÀRROCO EUSEBIO CUENCA Nº 46;441584,4768;4471881,322;ETRS89 / UTM  Zona 30N;EN SERVICIO;;nov.-19;-36.883.302;40.395.487
FUE_02-02_0000000009;ZV;ARGANZUELA;PZA. LUCA DE TENA;PZA  LUCA DE TENA N º2;441149,1029;4472614,311;ETRS89 / UTM  Zona 30N;EN SERVICIO;;nov.-19;-36.935.279;404.020.595
FUE_02-02_0000000010;ZV;ARGANZUELA;PZA  LUCA DE TENA N º13;JARDÍN DE PALESTINA;441102,0141;4472613,682;ETRS89 / UTM  Zona 30N;FUERA DE SERVICIO;DEFICIENCIA ESTRUCTURAL;nov.-19;-36.940.827;404.020.505
FUE_02-02_0000000012;ZV;ARGANZUELA;C/PALOS DE LA FRONTERA Nº 42 ;JARDÍN DE PALESTINA;441049,3744;4472708,743;ETRS89 / UTM  Zona 30N;EN SERVICIO;;nov.-19;-36.947.118;404.029.032
FUE_02-02_0000000013;ZV;ARGANZUELA;C/CANARIAS Nº 22;JARDÍN DE PALESTINA;441021,0747;4472630,963;ETRS89 / UTM  Zona 30N;EN SERVICIO;;nov.-19;-36.950.381;404.022.005
FUE_02-02_0000000014;ZV;ARGANZUELA;PZA. RUTILIO GACIS;PLAZA RUTILIO GACIS Nº 2;440862,496;4471751,96;ETRS89 / UTM  Zona 30N;EN SERVICIO;;nov.-19;-3.696.825;403.942.707
FUE_02-02_0000000015;ZV;ARGANZUELA;PZA. PEÑUELAS;PLAZA DE LAS PEÑUELAS Nº 12;440374,2136;4472508,34;ETRS89 / UTM  Zona 30N;EN SERVICIO;;nov.-19;-3.702.649;404.010.498
FUE_02-02_0000000016;ZV;ARGANZUELA;PARQUE PEÑUELAS;PASEO ESPERANZA Nº 25 ;440150,3977;4472512,842;ETRS89 / UTM  Zona 30N;EN SERVICIO;;nov.-19;-37.052.867;404.010.743
FUE_02-02_0000000017;ZV;ARGANZUELA;POL. DE YESERIAS FASES II Y III;PASEO YESERÍAS 25;439947,8767;4472323,984;ETRS89 / UTM  Zona 30N;EN SERVICIO;;nov.-19;-37.076.552;403.993.583
FUE_02-02_0000000019;ZV;ARGANZUELA;JARDIN DEL RASTRO;Calle concejal benito martín lozano 10;439836,9336;4472997,919;ETRS89 / UTM  Zona 30N;EN SERVICIO;;nov.-19;-37.090.263;404.054.215
FUE_02-02_0000000021;ZV;ARGANZUELA;JARDIN MAESTRO PADILLA;C/SAN ALEJANDRO Nº 14;438746,6629;4472892,771;ETRS89 / UTM  Zona 30N;EN SERVICIO;;nov.-19;-37.218.641;404.043.948
FUE_02-02_0000000022;ZV;ARGANZUELA;ACACIAS - PASILLO VERDE;C/ GASÓMETRO 26. DENTRO DEL PARQUE;439901,8829;4472690,686;ETRS89 / UTM  Zona 30N;EN SERVICIO;;nov.-19;-37.082.319;404.026.585
FUE_02-02_0000000023;ZV;ARGANZUELA;ACACIAS - PASILLO VERDE;C/ GASÓMETRO 26. DENTRO DEL PARQUE;439901,8829;4472690,686;ETRS89 / UTM  Zona 30N;EN SERVICIO;;nov.-19;-37.082.319;404.026.585
FUE_02-02_0000000024;ZV;ARGANZUELA;PARQUE IMPERIAL PVF;CALLE SANTA MARÍA LA REAL DE NIEVA N º16;439064,7488;4472939,938;ETRS89 / UTM  Zona 30N;EN SERVICIO;;nov.-19;-37.181.203;40.404.843
FUE_02-02_0000000025;ZV;ARGANZUELA;MED. C/ TOLEDO;;435631,2566;4472660,027;ETRS89 / UTM  Zona 30N;EN SERVICIO;;nov.-19;-37.585.523;404.020.631
FUE_02-02_0000000027;ZV;ARGANZUELA;MED. C/ TOLEDO;;439594,64;4473082,26;ETRS89 / UTM  Zona 30N;EN SERVICIO;;nov.-19;-37.118.895;404.061.637
FUE_02-02_0000000028;ZV;ARGANZUELA;ED 2/8 VALDELASIERRA; C/VALDELASIERRA Nº 10;440179,2701;4472102;ETRS89 / UTM  Zona 30N;EN SERVICIO;;nov.-19;-37.049.079;403.973.753
FUE_02-02_0000000029;ZV;ARGANZUELA;HIERRO - ANTRACITA;C/ DEL SODIO Nº 3;441417,3844;4471208,77;ETRS89 / UTM  Zona 30N;EN SERVICIO;;nov.-19;-36.902.372;403.894.166
FUE_02-02_0000000030;ZV;ARGANZUELA;HIERRO - ANTRACITA;C/ DEL SODIO Nº 3;441432,213;4471174,59;ETRS89 / UTM  Zona 30N;EN SERVICIO;;nov.-19;-36.900.594;403.891.097
FUE_02-02_0000000031;ZV;ARGANZUELA;PARQUE ENRIQUE TIERNO GALVAN;;441987,97;4470942,712;ETRS89 / UTM  Zona 30N;EN SERVICIO;;nov.-19;-36.834.906;403.870.597
FUE_02-02_0000000033;ZV;ARGANZUELA;PARQUE ENRIQUE TIERNO GALVAN;;442166,2839;4471171,48;ETRS89 / UTM  Zona 30N;EN SERVICIO;;nov.-19;-36.814.107;40.389.133
FUE_02-02_0000000034;ZV;ARGANZUELA;PARQUE ENRIQUE TIERNO GALVAN;C/VILLARROBLEDO S/N;441885,259;4470834,183;ETRS89 / UTM  Zona 30N;EN SERVICIO;;nov.-19;-36.846.907;403.860.749
FUE_02-02_0000000035;ZV;ARGANZUELA;PARQUE MIRADOR TIERNO GALVAN PVF;C/NEBULOSAS N º2 ;441891,0304;4471698,467;ETRS89 / UTM  Zona 30N;EN SERVICIO;;nov.-19;-36.847.016;403.938.613
FUE_02-02_0000000037;ZV;ARGANZUELA;PARQUE ENRIQUE TIERNO GALVAN;EN LACOTA. C/TITÁN Nº 2;442126,2715;4471306,252;ETRS89 / UTM  Zona 30N;EN SERVICIO;;nov.-19;-36.818.943;403.903.443
FUE_02-02_0000000038;ZV;ARGANZUELA;PARQUE ENRIQUE TIERNO GALVAN;EN LA COTA. C/TITÁN Nº 2;441892,162;4471013,363;ETRS89 / UTM  Zona 30N;EN SERVICIO;;nov.-19;-36.846.258;403.876.895
FUE_02-02_0000000039;ZV;ARGANZUELA;PARQUE ENRIQUE TIERNO GALVAN;;441803,0759;4471517,317;ETRS89 / UTM  Zona 30N;EN SERVICIO;;nov.-19;-36.857.213;403.922.232
FUE_02-02_0000000040;ZV;ARGANZUELA;PARQUE ENRIQUE TIERNO GALVAN;;442001,4877;4471569,775;ETRS89 / UTM  Zona 30N;EN SERVICIO;;nov.-19;-36.833.884;403.927.097
FUE_02-02_0000000042;ZV;ARGANZUELA;PARQUE DEL BRONCE PVF;C/ANTRACITA N º 51;441720,4583;4471426,398;ETRS89 / UTM  Zona 30N;EN SERVICIO;;nov.-19;-36.866.864;403.913.984
FUE_02-02_0000000045;ZV;ARGANZUELA;JARDINES FERNANDO POO - TORRES MIRANDA;C/JAIME EL CONQUISTADOR Nº 6;440749,6469;4472152,483;ETRS89 / UTM  Zona 30N;EN SERVICIO;;nov.-19;-36.981.919;403.978.708
FUE_02-02_0000000046;ZV;ARGANZUELA;JARDIN PARROCO SANCHEZ CAMARA ED 2-15;C/MORATINES Nº24;440217,4683;4472591,542;ETRS89 / UTM  Zona 30N;EN SERVICIO;;nov.-19;-37.045.037;404.017.881
FUE_02-02_0000000047;ZV;ARGANZUELA;PARQUE PEÑUELAS;FRENTE EL Nº 31 DE PASEO ESPERANZA;440093,5368;4472398,502;ETRS89 / UTM  Zona 30N;EN SERVICIO;;nov.-19;-37.059.459;404.000.401
FUE_02-02_0000000048;ZV;ARGANZUELA;CALLE DEL TEJO Nº 3;;442406,8221;4472004,372;ETRS89 / UTM  Zona 30N;EN SERVICIO;;nov.-19;-36.786.521;403.966.528
FUE_02-02_0000000049;VP;ARGANZUELA;YESERIAS FRENTE Nº 29 FLA. 24-26;;439832,5363;4472235,505;ETRS89 / UTM  Zona 30N;EN SERVICIO;;nov.-19;-3.709.006;40.398.553
FUE_02-02_0000000050;VP;ARGANZUELA;PASEO YESERIAS;FRENTE AL Nº15;439688,538;4472330,507;ETRS89 / UTM  Zona 30N;EN SERVICIO;;nov.-19;-37.107.117;403.993.984
FUE_02-02_0000000052;ZV;ARGANZUELA;AV. PALNETARIO, 11;En zona verde cv CALLE MENESES;442125,47;4471670,41;ETRS89 / UTM  Zona 30N;EN SERVICIO;;nov.-19;-36.819.368;403.936.248
FUE_02-02_0000000053;VP;ARGANZUELA;CALLE HIERRO;CON VUELTA CALLE GRANITO;441238,39;4471659,4;ETRS89 / UTM  Zona 30N;EN SERVICIO;;nov.-19;-36.923.876;403.934.635
FUE_02-02_0000000054;VP;ARGANZUELA;CALLE AGUILÓN,11;JUNTO A ZONA INFANTIL;440567,02;4472108,5;ETRS89 / UTM  Zona 30N;EN SERVICIO;;nov.-19;-37.003.397;403.974.616
FUE_02-02_0000000055;VP;ARGANZUELA;CALLE ARIEL Nº 4;CV CALLE EROS;442305,61;4471626,11;ETRS89 / UTM  Zona 30N;EN SERVICIO;;nov.-19;-36.798.104;403.932.382
FUE_02-02_0000000056;ZV;ARGANZUELA;CALLE AMALTEA Nº 6;JUNTO ZONA INFANTIL;442090,51;4471814,14;ETRS89 / UTM  Zona 30N;EN SERVICIO;;nov.-19;-36.823.618;403.949.172
FAM_01-02_0000000057;ZV;ARGANZUELA;Calle Jacaranda s/n;c/v Almez;442359,46;4472086,99;ETRS89 / UTM  Zona 30N;EN SERVICIO;;nov.-19;-36.792.176;403.973.938
FAM_01-02_0000000058;ZV;ARGANZUELA;Paseo de Yeserías, 1;ZV junto Pista Frontón;439501,78;4472480,58;ETRS89 / UTM  Zona 30N;EN SERVICIO;;nov.-19;-37.129.266;404.007.368
FAM_01-02_0000000059;ZV;ARGANZUELA;Calle Toledo, 178;Jardines de Concha Piquer;439380,75;4472628,01;ETRS89 / UTM  Zona 30N;EN SERVICIO;;nov.-19;-37.143.668;404.020.561
FAM_01-02_0000000060;ZV;ARGANZUELA;Paseo Juan Antonio Vallejo Nájera-Botas, 1;c/v Glorieta Santa María de la Cabeza;440602,84;4472491,95;ETRS89 / UTM  Zona 30N;EN SERVICIO;;nov.-19;-36.999.534;404.009.185
FB_900020;ZV;ARGANZUELA;MADRID RÍO;Z.10. - CEDEX MARGEN IZQUIERDO;438790,4;4473362,3;ETRS89 / UTM  Zona 30N;EN SERVICIO;;nov.-19;-37.213.938;404.086.277
FB_900036;ZV;ARGANZUELA;MADRID RÍO;Z.17. -  ARGANZUELA - ESQUELETO;439641,8;4472334,9;ETRS89 / UTM  Zona 30N;EN SERVICIO;;nov.-19;-37.112.629;403.994.346
FB_900037;ZV;ARGANZUELA;MADRID RÍO;Z.17. -  ARGANZUELA - ESQUELETO;439643,7;4472334,7;ETRS89 / UTM  Zona 30N;EN SERVICIO;;nov.-19;-37.112.405;403.994.329
FB_900038;ZV;ARGANZUELA;MADRID RÍO;Z.17. -  ARGANZUELA - ESQUELETO;439642,8;4472334,7;ETRS89 / UTM  Zona 30N;EN SERVICIO;;nov.-19;-37.112.511;403.994.329
FB_900039;ZV;ARGANZUELA;MADRID RÍO;Z.17. -  ARGANZUELA - ESQUELETO;439530,6;4472240;ETRS89 / UTM  Zona 30N;EN SERVICIO;;nov.-19;-37.125.641;403.985.716
FB_900040;ZV;ARGANZUELA;MADRID RÍO;Z.17. -  ARGANZUELA - ESQUELETO;439529,9;4472239,4;ETRS89 / UTM  Zona 30N;EN SERVICIO;;nov.-19;-37.125.723;403.985.662
FB_900041;ZV;ARGANZUELA;MADRID RÍO;Z.17. -  ARGANZUELA - ESQUELETO;439529,2;4472238,7;ETRS89 / UTM  Zona 30N;EN SERVICIO;;nov.-19;-37.125.805;403.985.598
