"p","callret-1"
"http://es.dbpedia.org/property/group",8
"http://es.dbpedia.org/property/dinastía",5
"http://es.dbpedia.org/property/ordenación",2
"http://es.dbpedia.org/property/inicioMandato",14
"http://es.dbpedia.org/property/archiveDate",1
"http://es.dbpedia.org/property/almaMáter",396
"http://dbpedia.org/ontology/deathDate",3
"http://es.dbpedia.org/property/residencia",1068
"http://es.dbpedia.org/property/tipo",14
"http://es.dbpedia.org/property/auteur",1
"http://es.dbpedia.org/property/concubina",1
"http://es.dbpedia.org/property/copríncipes",2
"http://es.dbpedia.org/property/apellidoEditor",85
"http://es.dbpedia.org/property/rom",1
"http://es.dbpedia.org/property/partidPolítico",1
"http://es.dbpedia.org/property/lema",2
"http://es.dbpedia.org/property/volumen",252
"http://es.dbpedia.org/property/bisnietos",1
"http://es.dbpedia.org/property/cónyuges",6
"http://es.dbpedia.org/property/autor",846
"http://es.dbpedia.org/property/designadoPor",2
"http://dbpedia.org/ontology/wikiPageID",22781
"http://es.dbpedia.org/property/doblador",5
"http://es.dbpedia.org/property/afiliaciones",594
"http://es.dbpedia.org/property/lugarDeDescanso",63
"http://es.dbpedia.org/property/influenciadoPor",2
"http://es.dbpedia.org/property/cónguge",1
"http://es.dbpedia.org/property/imagen",11365
"http://es.dbpedia.org/property/mapa",1
"http://es.dbpedia.org/property/añoRetiro",3
"http://es.dbpedia.org/property/opinion",1
"http://es.dbpedia.org/property/jefeDeEstado",1
"http://es.dbpedia.org/property/tamañoDeEscudo",2
"http://es.dbpedia.org/property/float",2
"http://es.dbpedia.org/property/twitter",1103
"http://es.dbpedia.org/property/abuelos",1
"http://es.dbpedia.org/property/profesiûn",1
"http://es.dbpedia.org/property/wikiquote",1
"http://es.dbpedia.org/property/lugarDeFallecimiento",3223
"http://es.dbpedia.org/property/abreviaturaEnBotánica",1
"http://es.dbpedia.org/property/ministroRelExt",1
"http://es.dbpedia.org/property/titulo",18
"http://es.dbpedia.org/property/abuelo",1
"http://es.dbpedia.org/property/títuloTesis",11
"http://es.dbpedia.org/property/medio",4
"http://dbpedia.org/ontology/successor",20369
"http://es.dbpedia.org/property/issn",274
"http://es.dbpedia.org/property/dimensiones",1
"http://es.dbpedia.org/property/premio",7
"http://es.dbpedia.org/property/ubicación",500
"http://es.dbpedia.org/property/área",30
"http://es.dbpedia.org/property/sined",2
"http://es.dbpedia.org/property/precedido",16
"http://es.dbpedia.org/property/premiosOndas",2
"http://es.dbpedia.org/property/listatecnicas",3
"http://es.dbpedia.org/property/labels",1
"http://es.dbpedia.org/property/álbumexitoso",1
"http://es.dbpedia.org/property/species",1
"http://es.dbpedia.org/property/cédulaDeCiudadanía",1
"http://es.dbpedia.org/property/entrenamiento",1
"http://es.dbpedia.org/property/sucesores",14
"http://es.dbpedia.org/property/otrosNombres",42
"http://es.dbpedia.org/property/monarca",413
"http://es.dbpedia.org/property/distrit",1
"http://es.dbpedia.org/property/tratamiento",278
"http://es.dbpedia.org/property/entierro",2
"http://es.dbpedia.org/property/deadUrl",1
"http://es.dbpedia.org/property/nombreArtistico",1
"http://es.dbpedia.org/property/pmin",1
"http://es.dbpedia.org/property/poj",3
"http://es.dbpedia.org/property/authorLink",2
"http://es.dbpedia.org/property/campo1Nombre",1
"http://es.dbpedia.org/property/via",3
"http://es.dbpedia.org/property/canciller",125
"http://es.dbpedia.org/property/occupación",1
"http://es.dbpedia.org/property/blogg",1
"http://es.dbpedia.org/property/añoFallecimiento",1
"http://es.dbpedia.org/property/véaseTambién",1
"http://es.dbpedia.org/property/3a",6
"http://es.dbpedia.org/property/cadena",2
"http://es.dbpedia.org/property/presidenteDeLaRepublica",1
"http://es.dbpedia.org/property/lingua",1
"http://es.dbpedia.org/property/conocidaPor",1
"http://es.dbpedia.org/property/ejército",1
"http://es.dbpedia.org/property/coautor",2
"http://es.dbpedia.org/property/imagentamaño",1
"http://es.dbpedia.org/property/editorLink",1
"http://es.dbpedia.org/property/partidopolítico",2
"http://es.dbpedia.org/property/pieEscudo",2
"http://es.dbpedia.org/property/dictador",1
"http://es.dbpedia.org/property/conflicto",2
"http://es.dbpedia.org/property/bgcolor",1
"http://es.dbpedia.org/property/primerminis",1
"http://es.dbpedia.org/property/luarmuerte",1
"http://es.dbpedia.org/property/youtube",2
"http://es.dbpedia.org/property/pieDeFoto",11
"http://es.dbpedia.org/property/imagenes",1
"http://es.dbpedia.org/property/logo",1
"http://es.dbpedia.org/property/direction",1
"http://es.dbpedia.org/property/lugarMuerte",9
"http://es.dbpedia.org/property/surname",2
"http://es.dbpedia.org/property/causaMuerte",68
"http://es.dbpedia.org/property/editor1Last",11
"http://es.dbpedia.org/property/grupo",3
"http://es.dbpedia.org/property/hijastro",1
"http://es.dbpedia.org/property/author2Last",1
"http://dbpedia.org/ontology/spouse",5
"http://es.dbpedia.org/property/en",1
"http://es.dbpedia.org/property/vicerectoradministrativo",2
"http://es.dbpedia.org/property/imagesize",6
"http://es.dbpedia.org/property/article",2
"http://es.dbpedia.org/property/orden",1
"http://es.dbpedia.org/property/ocupaciónActual",1
"http://es.dbpedia.org/property/diputadaFederalLxiiiLegislatura",1
"http://es.dbpedia.org/property/distrto",1
"http://es.dbpedia.org/property/esposa.",1
"http://es.dbpedia.org/property/archiveUrl",1
"http://es.dbpedia.org/property/votantes",1
"http://es.dbpedia.org/property/sucedidoPor",1
"http://es.dbpedia.org/property/hijosDeSuPrimerMatrimonioConLaSeñoraBertaEstherBaptista",1
"http://es.dbpedia.org/property/primero",2
"http://es.dbpedia.org/property/sitioweb",1246
"http://es.dbpedia.org/property/significado",1
"http://es.dbpedia.org/property/b%3CscriptSrc",1
"http://es.dbpedia.org/property/profesión",2819
"http://es.dbpedia.org/property/cementerio",3
"http://es.dbpedia.org/property/ocupacion",13
"http://es.dbpedia.org/property/isbn",1071
"http://es.dbpedia.org/property/asociaciones",1
"http://es.dbpedia.org/property/orígen",1
"http://es.dbpedia.org/property/álmaMater",2
"http://es.dbpedia.org/property/país",197
"http://es.dbpedia.org/property/descendencia",5
"http://es.dbpedia.org/property/n",2
"http://es.dbpedia.org/property/4y",1
"http://es.dbpedia.org/property/predecesores",14
"http://es.dbpedia.org/property/vecesInternacional",5
"http://es.dbpedia.org/property/firma",992
"http://es.dbpedia.org/property/libro",1
"http://es.dbpedia.org/property/premios",148
"http://es.dbpedia.org/property/designadoCargo",1
"http://es.dbpedia.org/property/nombreNativo",48
"http://es.dbpedia.org/property/works",1
"http://es.dbpedia.org/property/ideologia",1
"http://es.dbpedia.org/property/3p",7
"http://es.dbpedia.org/property/color",13
"http://es.dbpedia.org/property/otrosTítulos",1
"http://es.dbpedia.org/property/rectoraInterina",1
"http://es.dbpedia.org/property/iglesia",1
"http://es.dbpedia.org/property/minutos",1
"http://es.dbpedia.org/property/consecration",1
"http://es.dbpedia.org/property/vicerectorinvestigacion",2
"http://es.dbpedia.org/property/id",308
"http://es.dbpedia.org/property/relacionados",15
"http://es.dbpedia.org/property/institución",1
