District,Neighbourhood,Place,PlaceURI,Availability,AvailabilityURI,ACCIONA,Taxify,KOKO,UFO,RIDECONGA,FLASH,LIME,WIND,BIRD,REBY RIDES,MOVO,MYGO,JUMP UBER,SJV CONSULTING
CHAMBERÍ,RÍOS ROSAS,CHAMBERÍ RÍOS ROSAS,CHAMBERÍRÍOSROSAS,AVAILABILITY CHAMBERÍ RÍOS ROSAS,AVAILABILITYCHAMBERÍRÍOSROSAS,2,2,2,2,2,2,2,2,0,0,1,0,2,2
CHAMBERÍ,VALLEHERMOSO,CHAMBERÍ VALLEHERMOSO,CHAMBERÍVALLEHERMOSO,AVAILABILITY CHAMBERÍ VALLEHERMOSO,AVAILABILITYCHAMBERÍVALLEHERMOSO,2,2,2,2,2,2,2,2,2,2,2,2,2,2
FUENCARRAL-EL PARDO,EL PARDO,FUENCARRAL-EL PARDO EL PARDO,FUENCARRAL-ELPARDOELPARDO,AVAILABILITY FUENCARRAL-EL PARDO EL PARDO,AVAILABILITYFUENCARRAL-ELPARDOELPARDO,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FUENCARRAL-EL PARDO,FUENTELARREINA,FUENCARRAL-EL PARDO FUENTELARREINA,FUENCARRAL-ELPARDOFUENTELARREINA,AVAILABILITY FUENCARRAL-EL PARDO FUENTELARREINA,AVAILABILITYFUENCARRAL-ELPARDOFUENTELARREINA,0,0,4,3,4,4,0,0,4,0,0,0,0,0
FUENCARRAL-EL PARDO,PEÑAGRANDE,FUENCARRAL-EL PARDO PEÑAGRANDE,FUENCARRAL-ELPARDOPEÑAGRANDE,AVAILABILITY FUENCARRAL-EL PARDO PEÑAGRANDE,AVAILABILITYFUENCARRAL-ELPARDOPEÑAGRANDE,0,0,12,6,12,12,12,0,12,0,0,0,12,0
FUENCARRAL-EL PARDO,DEL PILAR,FUENCARRAL-EL PARDO DEL PILAR,FUENCARRAL-ELPARDODELPILAR,AVAILABILITY FUENCARRAL-EL PARDO DEL PILAR,AVAILABILITYFUENCARRAL-ELPARDODELPILAR,3,0,3,3,3,3,3,0,3,3,3,0,3,0
FUENCARRAL-EL PARDO,LA PAZ,FUENCARRAL-EL PARDO LA PAZ,FUENCARRAL-ELPARDOLAPAZ,AVAILABILITY FUENCARRAL-EL PARDO LA PAZ,AVAILABILITYFUENCARRAL-ELPARDOLAPAZ,4,0,4,4,4,4,5,4,0,2,2,0,4,0
FUENCARRAL-EL PARDO,VALVERDE,FUENCARRAL-EL PARDO VALVERDE,FUENCARRAL-ELPARDOVALVERDE,AVAILABILITY FUENCARRAL-EL PARDO VALVERDE,AVAILABILITYFUENCARRAL-ELPARDOVALVERDE,17,0,17,12,17,17,17,0,17,0,0,0,0,0
FUENCARRAL-EL PARDO,MIRASIERRA,FUENCARRAL-EL PARDO MIRASIERRA,FUENCARRAL-ELPARDOMIRASIERRA,AVAILABILITY FUENCARRAL-EL PARDO MIRASIERRA,AVAILABILITYFUENCARRAL-ELPARDOMIRASIERRA,0,0,14,6,14,14,14,0,10,0,0,0,0,0
FUENCARRAL-EL PARDO,EL GOLOSO,FUENCARRAL-EL PARDO EL GOLOSO,FUENCARRAL-ELPARDOELGOLOSO,AVAILABILITY FUENCARRAL-EL PARDO EL GOLOSO,AVAILABILITYFUENCARRAL-ELPARDOELGOLOSO,0,0,0,0,0,47,47,0,2,0,0,0,0,0
MONCLOA-ARAVACA,CASA DE CAMPO,MONCLOA-ARAVACA CASA DE CAMPO,MONCLOA-ARAVACACASADECAMPO,AVAILABILITY MONCLOA-ARAVACA CASA DE CAMPO,AVAILABILITYMONCLOA-ARAVACACASADECAMPO,0,12,0,6,12,12,0,0,0,0,6,0,12,12
MONCLOA-ARAVACA,ARGÜELLES,MONCLOA-ARAVACA ARGÜELLES,MONCLOA-ARAVACAARGÜELLES,AVAILABILITY MONCLOA-ARAVACA ARGÜELLES,AVAILABILITYMONCLOA-ARAVACAARGÜELLES,2,2,2,2,2,2,2,2,2,2,2,0,2,2
MONCLOA-ARAVACA,CIUDAD UNIVERSITARIA,MONCLOA-ARAVACA CIUDAD UNIVERSITARIA,MONCLOA-ARAVACACIUDADUNIVERSITARIA,AVAILABILITY MONCLOA-ARAVACA CIUDAD UNIVERSITARIA,AVAILABILITYMONCLOA-ARAVACACIUDADUNIVERSITARIA,0,15,15,15,15,15,15,15,0,0,5,0,15,15
MONCLOA-ARAVACA,VALDEZARZA,MONCLOA-ARAVACA VALDEZARZA,MONCLOA-ARAVACAVALDEZARZA,AVAILABILITY MONCLOA-ARAVACA VALDEZARZA,AVAILABILITYMONCLOA-ARAVACAVALDEZARZA,0,6,6,6,6,6,6,0,0,0,4,0,6,6
MONCLOA-ARAVACA,VALDEMARÍN,MONCLOA-ARAVACA VALDEMARÍN,MONCLOA-ARAVACAVALDEMARÍN,AVAILABILITY MONCLOA-ARAVACA VALDEMARÍN,AVAILABILITYMONCLOA-ARAVACAVALDEMARÍN,0,12,0,6,0,12,12,0,12,0,0,0,0,12
MONCLOA-ARAVACA,EL PLANTÍO,MONCLOA-ARAVACA EL PLANTÍO,MONCLOA-ARAVACAELPLANTÍO,AVAILABILITY MONCLOA-ARAVACA EL PLANTÍO,AVAILABILITYMONCLOA-ARAVACAELPLANTÍO,0,7,0,5,0,7,7,0,7,0,0,0,0,7
MONCLOA-ARAVACA,ARAVACA,MONCLOA-ARAVACA ARAVACA,MONCLOA-ARAVACAARAVACA,AVAILABILITY MONCLOA-ARAVACA ARAVACA,AVAILABILITYMONCLOA-ARAVACAARAVACA,0,22,0,6,22,22,22,0,21,0,0,0,0,22
LATINA,LOS CÁRMENES,LATINA LOS CÁRMENES,LATINALOSCÁRMENES,AVAILABILITY LATINA LOS CÁRMENES,AVAILABILITYLATINALOSCÁRMENES,0,0,0,4,0,0,8,0,6,0,0,0,6,0
LATINA,PUERTA DEL ÁNGEL,LATINA PUERTA DEL ÁNGEL,LATINAPUERTADELÁNGEL,AVAILABILITY LATINA PUERTA DEL ÁNGEL,AVAILABILITYLATINAPUERTADELÁNGEL,0,0,0,5,0,0,10,0,5,0,0,0,10,0
LATINA,LUCERO,LATINA LUCERO,LATINALUCERO,AVAILABILITY LATINA LUCERO,AVAILABILITYLATINALUCERO,0,0,0,4,0,0,9,0,5,0,0,0,9,0
LATINA,ALUCHE,LATINA ALUCHE,LATINAALUCHE,AVAILABILITY LATINA ALUCHE,AVAILABILITYLATINAALUCHE,0,0,0,5,0,0,0,0,11,0,0,0,14,0
LATINA,CAMPAMENTO,LATINA CAMPAMENTO,LATINACAMPAMENTO,AVAILABILITY LATINA CAMPAMENTO,AVAILABILITYLATINACAMPAMENTO,0,0,0,3,0,0,0,0,11,0,0,0,0,0
LATINA,CUATRO VIENTOS,LATINA CUATRO VIENTOS,LATINACUATROVIENTOS,AVAILABILITY LATINA CUATRO VIENTOS,AVAILABILITYLATINACUATROVIENTOS,0,0,0,2,0,0,7,0,7,0,0,0,0,0
LATINA,LAS ÁGUILAS,LATINA LAS ÁGUILAS,LATINALASÁGUILAS,AVAILABILITY LATINA LAS ÁGUILAS,AVAILABILITYLATINALASÁGUILAS,0,0,0,5,0,0,10,0,25,0,0,0,0,0
CARABANCHEL,COMILLAS,CARABANCHEL COMILLAS,CARABANCHELCOMILLAS,AVAILABILITY CARABANCHEL COMILLAS,AVAILABILITYCARABANCHELCOMILLAS,0,0,0,4,0,0,4,0,4,0,0,0,4,0
CARABANCHEL,OPAÑEL,CARABANCHEL OPAÑEL,CARABANCHELOPAÑEL,AVAILABILITY CARABANCHEL OPAÑEL,AVAILABILITYCARABANCHELOPAÑEL,0,0,0,6,0,0,8,0,5,0,0,0,8,0
CARABANCHEL,SAN ISIDRO,CARABANCHEL SAN ISIDRO,CARABANCHELSANISIDRO,AVAILABILITY CARABANCHEL SAN ISIDRO,AVAILABILITYCARABANCHELSANISIDRO,0,0,0,6,0,0,12,0,6,0,0,0,12,0
CARABANCHEL,VISTA ALEGRE,CARABANCHEL VISTA ALEGRE,CARABANCHELVISTAALEGRE,AVAILABILITY CARABANCHEL VISTA ALEGRE,AVAILABILITYCARABANCHELVISTAALEGRE,0,0,0,6,0,0,0,0,11,0,0,0,13,0
CARABANCHEL,PUERTA BONITA,CARABANCHEL PUERTA BONITA,CARABANCHELPUERTABONITA,AVAILABILITY CARABANCHEL PUERTA BONITA,AVAILABILITYCARABANCHELPUERTABONITA,0,0,0,6,0,0,9,0,9,6,0,0,15,0
CARABANCHEL,BUENAVISTA,CARABANCHEL BUENAVISTA,CARABANCHELBUENAVISTA,AVAILABILITY CARABANCHEL BUENAVISTA,AVAILABILITYCARABANCHELBUENAVISTA,0,0,0,8,0,0,0,0,42,0,0,0,0,0
CARABANCHEL,ABRANTES,CARABANCHEL ABRANTES,CARABANCHELABRANTES,AVAILABILITY CARABANCHEL ABRANTES,AVAILABILITYCARABANCHELABRANTES,0,0,0,4,0,0,0,0,11,0,0,0,11,0
USERA,ORCASITAS,USERA ORCASITAS,USERAORCASITAS,AVAILABILITY USERA ORCASITAS,AVAILABILITYUSERAORCASITAS,0,0,0,5,0,0,5,0,5,3,0,0,8,0
USERA,ORCASUR,USERA ORCASUR,USERAORCASUR,AVAILABILITY USERA ORCASUR,AVAILABILITYUSERAORCASUR,0,0,0,5,0,0,0,0,5,0,0,0,10,0
USERA,SAN FERMÍN,USERA SAN FERMÍN,USERASANFERMÍN,AVAILABILITY USERA SAN FERMÍN,AVAILABILITYUSERASANFERMÍN,0,0,0,6,0,0,11,0,8,0,0,0,11,0
USERA,ALMENDRALES,USERA ALMENDRALES,USERAALMENDRALES,AVAILABILITY USERA ALMENDRALES,AVAILABILITYUSERAALMENDRALES,0,0,0,5,0,0,4,0,6,0,0,0,7,0
USERA,MOSCARDÓ,USERA MOSCARDÓ,USERAMOSCARDÓ,AVAILABILITY USERA MOSCARDÓ,AVAILABILITYUSERAMOSCARDÓ,0,0,0,6,0,0,7,0,3,0,0,0,7,0
USERA,ZOFÍO,USERA ZOFÍO,USERAZOFÍO,AVAILABILITY USERA ZOFÍO,AVAILABILITYUSERAZOFÍO,0,0,0,4,0,0,6,0,6,0,0,0,6,0
USERA,PRADOLONGO,USERA PRADOLONGO,USERAPRADOLONGO,AVAILABILITY USERA PRADOLONGO,AVAILABILITYUSERAPRADOLONGO,0,0,0,5,0,0,5,0,5,3,0,0,8,0
PUENTE DE VALLECAS,ENTREVÍAS,PUENTE DE VALLECAS ENTREVÍAS,PUENTEDEVALLECASENTREVÍAS,AVAILABILITY PUENTE DE VALLECAS ENTREVÍAS,AVAILABILITYPUENTEDEVALLECASENTREVÍAS,0,0,0,5,0,0,20,0,20,3,0,0,23,0
PUENTE DE VALLECAS,SAN DIEGO,PUENTE DE VALLECAS SAN DIEGO,PUENTEDEVALLECASSANDIEGO,AVAILABILITY PUENTE DE VALLECAS SAN DIEGO,AVAILABILITYPUENTEDEVALLECASSANDIEGO,0,0,0,5,0,0,14,0,10,0,0,0,10,0
PUENTE DE VALLECAS,PALOMERAS BAJAS,PUENTE DE VALLECAS PALOMERAS BAJAS,PUENTEDEVALLECASPALOMERASBAJAS,AVAILABILITY PUENTE DE VALLECAS PALOMERAS BAJAS,AVAILABILITYPUENTEDEVALLECASPALOMERASBAJAS,0,0,0,5,0,0,20,0,20,1,0,0,21,0
PUENTE DE VALLECAS,PALOMERAS SURESTE,PUENTE DE VALLECAS PALOMERAS SURESTE,PUENTEDEVALLECASPALOMERASSURESTE,AVAILABILITY PUENTE DE VALLECAS PALOMERAS SURESTE,AVAILABILITYPUENTEDEVALLECASPALOMERASSURESTE,0,0,0,4,0,0,0,0,11,0,0,0,15,0
PUENTE DE VALLECAS,PORTAZGO,PUENTE DE VALLECAS PORTAZGO,PUENTEDEVALLECASPORTAZGO,AVAILABILITY PUENTE DE VALLECAS PORTAZGO,AVAILABILITYPUENTEDEVALLECASPORTAZGO,0,0,0,4,0,0,0,0,9,0,0,0,12,0
PUENTE DE VALLECAS,NUMANCIA,PUENTE DE VALLECAS NUMANCIA,PUENTEDEVALLECASNUMANCIA,AVAILABILITY PUENTE DE VALLECAS NUMANCIA,AVAILABILITYPUENTEDEVALLECASNUMANCIA,0,0,0,5,0,0,11,0,11,0,0,0,11,0
MORATALAZ,PAVONES,MORATALAZ PAVONES,MORATALAZPAVONES,AVAILABILITY MORATALAZ PAVONES,AVAILABILITYMORATALAZPAVONES,0,0,0,2,0,0,0,0,3,0,0,0,4,0
MORATALAZ,HORCAJO,MORATALAZ HORCAJO,MORATALAZHORCAJO,AVAILABILITY MORATALAZ HORCAJO,AVAILABILITYMORATALAZHORCAJO,0,0,0,2,0,0,2,0,1,0,0,0,2,0
MORATALAZ,MARROQUINA,MORATALAZ MARROQUINA,MORATALAZMARROQUINA,AVAILABILITY MORATALAZ MARROQUINA,AVAILABILITYMORATALAZMARROQUINA,0,0,0,3,0,0,7,0,5,0,0,0,5,0
MORATALAZ,MEDIA LEGUA,MORATALAZ MEDIA LEGUA,MORATALAZMEDIALEGUA,AVAILABILITY MORATALAZ MEDIA LEGUA,AVAILABILITYMORATALAZMEDIALEGUA,0,0,0,2,0,0,4,0,2,1,0,0,2,0
MORATALAZ,FONTARRÓN,MORATALAZ FONTARRÓN,MORATALAZFONTARRÓN,AVAILABILITY MORATALAZ FONTARRÓN,AVAILABILITYMORATALAZFONTARRÓN,0,0,0,2,0,0,0,0,2,0,0,0,3,0
MORATALAZ,VINATEROS,MORATALAZ VINATEROS,MORATALAZVINATEROS,AVAILABILITY MORATALAZ VINATEROS,AVAILABILITYMORATALAZVINATEROS,0,0,0,2,0,0,2,0,1,0,0,0,2,0
CIUDAD LINEAL,VENTAS,CIUDAD LINEAL VENTAS,CIUDADLINEALVENTAS,AVAILABILITY CIUDAD LINEAL VENTAS,AVAILABILITYCIUDADLINEALVENTAS,0,0,0,8,0,8,8,0,1,0,0,8,8,8
CIUDAD LINEAL,PUEBLO NUEVO,CIUDAD LINEAL PUEBLO NUEVO,CIUDADLINEALPUEBLONUEVO,AVAILABILITY CIUDAD LINEAL PUEBLO NUEVO,AVAILABILITYCIUDADLINEALPUEBLONUEVO,0,0,0,8,0,10,10,0,2,0,0,10,10,10
CIUDAD LINEAL,QUINTANA,CIUDAD LINEAL QUINTANA,CIUDADLINEALQUINTANA,AVAILABILITY CIUDAD LINEAL QUINTANA,AVAILABILITYCIUDADLINEALQUINTANA,5,0,0,5,0,5,5,0,0,4,0,0,5,5
CIUDAD LINEAL,LA CONCEPCIÓN,CIUDAD LINEAL LA CONCEPCIÓN,CIUDADLINEALLACONCEPCIÓN,AVAILABILITY CIUDAD LINEAL LA CONCEPCIÓN,AVAILABILITYCIUDADLINEALLACONCEPCIÓN,5,0,0,5,0,5,5,0,0,4,0,0,5,5
CIUDAD LINEAL,SAN PASCUAL,CIUDAD LINEAL SAN PASCUAL,CIUDADLINEALSANPASCUAL,AVAILABILITY CIUDAD LINEAL SAN PASCUAL,AVAILABILITYCIUDADLINEALSANPASCUAL,3,0,3,3,0,3,3,0,1,0,0,3,3,3
CIUDAD LINEAL,SAN JUAN BAUTISTA,CIUDAD LINEAL SAN JUAN BAUTISTA,CIUDADLINEALSANJUANBAUTISTA,AVAILABILITY CIUDAD LINEAL SAN JUAN BAUTISTA,AVAILABILITYCIUDADLINEALSANJUANBAUTISTA,2,0,2,2,0,2,2,0,0,2,2,2,2,2
CIUDAD LINEAL,COLINA,CIUDAD LINEAL COLINA,CIUDADLINEALCOLINA,AVAILABILITY CIUDAD LINEAL COLINA,AVAILABILITYCIUDADLINEALCOLINA,1,0,1,1,0,1,1,0,1,1,1,1,1,1
CIUDAD LINEAL,ATALAYA,CIUDAD LINEAL ATALAYA,CIUDADLINEALATALAYA,AVAILABILITY CIUDAD LINEAL ATALAYA,AVAILABILITYCIUDADLINEALATALAYA,5,0,0,0,0,0,0,0,0,0,0,0,0,0
CIUDAD LINEAL,COSTILLARES,CIUDAD LINEAL COSTILLARES,CIUDADLINEALCOSTILLARES,AVAILABILITY CIUDAD LINEAL COSTILLARES,AVAILABILITYCIUDADLINEALCOSTILLARES,5,0,5,5,0,5,5,0,0,4,0,0,5,5
HORTALEZA,PALOMAS,HORTALEZA PALOMAS,HORTALEZAPALOMAS,AVAILABILITY HORTALEZA PALOMAS,AVAILABILITYHORTALEZAPALOMAS,0,4,0,4,0,4,5,0,4,4,0,0,4,0
HORTALEZA,PIOVERA,HORTALEZA PIOVERA,HORTALEZAPIOVERA,AVAILABILITY HORTALEZA PIOVERA,AVAILABILITYHORTALEZAPIOVERA,0,9,0,6,0,9,16,0,7,2,0,0,9,0
HORTALEZA,CANILLAS,HORTALEZA CANILLAS,HORTALEZACANILLAS,AVAILABILITY HORTALEZA CANILLAS,AVAILABILITYHORTALEZACANILLAS,0,11,11,6,0,11,19,0,8,4,0,0,11,0
HORTALEZA,PINAR DEL REY,HORTALEZA PINAR DEL REY,HORTALEZAPINARDELREY,AVAILABILITY HORTALEZA PINAR DEL REY,AVAILABILITYHORTALEZAPINARDELREY,11,11,11,6,0,11,11,0,11,0,0,0,11,0
HORTALEZA,APÓSTOL SANTIAGO,HORTALEZA APÓSTOL SANTIAGO,HORTALEZAAPÓSTOLSANTIAGO,AVAILABILITY HORTALEZA APÓSTOL SANTIAGO,AVAILABILITYHORTALEZAAPÓSTOLSANTIAGO,4,4,4,4,0,4,4,0,3,0,0,0,4,0
