CODIGO;CODIGO_CORTO;ESTACION;DIRECCION;LONGITUD_ETRS89;LATITUD_ETRS89;ALTITUD;COD_TIPO;NOM_TIPO;NO2;SO2;CO;PM10;PM2_5;O3;BTX;HC;COD_VIA;VIA_CLASE;VIA_PAR;VIA_NOMBRE;Fecha alta;COORDENADA_X_ETRS89;COORDENADA_Y_ETRS89;LONGITUD;LATITUD
28079038;38;Cuatro Caminos;Avda. Pablo Iglesias esq. C/ Marqués de Lema;"3°42'25.64""O";"40°26'43.97""N";699;UT;Urbana tráfico;X;X;;X;X;;X;;554550;AVENIDA;DE;PABLO IGLESIAS;01/11/1998;440033,4632;4477450,211;-3.7071303;40.4455439
28079039;39;Barrio del Pilar;Avd. Betanzos esq. C/  Monforte de Lemos ;"3°42'41.53""O";"40°28'41.64""N";676;UT;Urbana tráfico;X;;X;;;X;;;514425;AVENIDA;DE;MONFORTE DE LEMOS;01/05/1998;439689,0496;4481081,619;-3.7115364;40.4782322
28079040;40;Vallecas;C/ Arroyo del Olivar  esq. C/  Río Grande. ;"3°39'5.50""O";"40°23'17.33""N";677;UF;Urbana fondo;X;X;;X;;;;;75500;CALLE;DEL;ARROYO DEL OLIVAR;30/09/1999;444701,6871;4471043,01;-3.6515286;40.3881478
28079047;47;Mendez Alvaro;C/ Juan de Mariana / Pza. Amanecer Mendez Alvaro;"3°41'12.57""O";"40°23'53.17""N";600;UF;Urbana fondo;X;;;X;X;;;;414800;CALLE;DE;JUAN DE MARIANA;21/12/2009;441715,4303;4472170,249;-3.6868138;40.3980991
28079048;48;Castellana;C/ Jose Gutierrez Abascal;"3°41'25.34""O";"40°26'23.61""N";680;UT;Urbana tráfico;X;;;X;X;;;;401400;CALLE;DE;JOSE GUTIERREZ ABASCAL;01/02/2010;441449,6341;4476811,42;-3.6903729;40.4398904
28079049;49;Parque del Retiro;Paseo Venezuela- Casa de Vacas;3º 40' 57''O;40º 24' 52''N;662;UF;Urbana fondo;X;;;;;X;;;905011;PASEO;DE;VENEZUELA;01/01/2010;442095,52;4473981,74;-3.6824999999999900;40.41444444444440
28079050;50;Plaza Castilla;Plaza Castilla (Canal);"3°41'19.48""O";"40°27'56.10""N";728;UT;Urbana tráfico;X;;;X;X;;;;154500;PLAZA;DE;CASTILLA;01/02/2010;441609,9474;4479662,346;-3.6887449;40.4655841
28079054;54;Ensanche de Vallecas;Avda La Gavia / Avda. Las Suertes;"3°36'43.70""O";"40°22'22.84""N";629;UF;Urbana fondo;X;;;;;X;;;31000516;AVENIDA;DE;LA GAVIA;11/12/2009;448033,2263;4469339,044;-3.6121394;40.3730118
28079055;55;Urb. Embajada;C/ Riaño (Barajas) ;"3°34'50.03""O";"40°27'44.51""N";619;UF;Urbana fondo;X;;;X;;;X;X;639250;CALLE;DE;RIAÑO;20/01/2010;450778,8839;4479238,863;-3.5805649;40.4623628
28079056;56;Pza. Elíptica; Pza. Elíptica - Avda. Oporto;"3°43'7.54""O";"40°23'6.10""N";605;UT;Urbana tráfico;X;;X;X;X;X;;;293200;PLAZA;;ELIPTICA;18/01/2010;438991,9161;4470741,548;-3.7187679;40.3850336
28079057;57;Sanchinarro;C/ Princesa de Eboli esq C/ Maria Tudor;"3°39'37.86""O";"40°29'39.12""N";700;UF;Urbana fondo;X;X;X;X;;;;;31000002;CALLE;DE LA;PRINCESA DE EBOLI;23/11/2009;444026,808;4482820,581;-3.6605173;40.4942012
28079058;58;El Pardo;Avda. La Guardia;"3°46'28.62""O";"40°31'4.97""N";612;S;Suburbana;X;;;;;X;;;348500;AVENIDA;DE LA;GUARDIA;01/12/2009;434381,6;4485548,7;-3.7746101;40.5180701
28079059;59;Juan Carlos I;Parque Juan Carlos I (frente oficinas mantenimiento);"3º 36' 33""O";40º 27' 55''N;660;S;Suburbana;X;;;;;X;;;1111;;;;14/12/2009;447744,4666;4479077,678;-3.6163407;40.4607255
28079060;60;Tres Olivos;Plaza Tres Olivos ;"3°41'23.03""O";"40°30'1.97""N";715;UF;Urbana fondo;X;;;X;;X;;;1427;PLAZA;DE LOS;TRES OLIVOS;08/02/2010;441556,7005;4483543,994;-3.6897308;40.5005477
