COD_TIPO_DATO;TIPO_DATO;IDENTIFICADOR_MINT;COD_NDP;DIRECCION_COMPLETA;DIRECCION AUXILIAR;COD_VIAL;CLASE_VIAL;PARTICULAS_VIAL;NOMBRE_VIAL;TIPO_NÚMERO;NÚMERO;COD_BARRIO;BARRIO;COD_DISTRITO;DISTRITO;UTMX;UTMY;LATITUD;LONGITUD;DÍA SEMANA;TURNO;HORA INICIO;HORA FINAL;DIRRECCIONHORA
;Punto Limpio Móvil;;;Calle  Joaquín María López, 54 ;;;Calle;;Joaquín María López;número;54;;;07;CHAMBERI;439312,53;4476603,04;40.43786013;-3.715549993;MARTES;MAÑANA;8:45;10:15;Calle  Joaquín María López, 54  (MARTES MAÑANA 8:45- 10:15)
;Punto Limpio Móvil;;;Calle  Diligencia, 22 Intersección con Calle la Violetera, frente al Vivero de Empresas;Intersección con Calle la Violetera, frente al Vivero de Empresas;;Calle;;Diligencia;número;22;;;13;PUENTE VALLECAS;444302,77;4470488,95;40.38313013;-3.656179994;MARTES;MAÑANA;8:45;10:15;Calle  Diligencia, 22 Intersección con Calle la Violetera, frente al Vivero de Empresas (MARTES MAÑANA 8:45- 10:15)
;Punto Limpio Móvil;;;Calle  Fernando Poo,  Frente el número 36, esquina Divino Vallés;Frente el número 36, esquina Divino Vallés;;Calle;;Fernando Poo;;;;;02;ARGANZUELA;440606,99;4472014,76;40.39662013;-3.699859994;MARTES;MAÑANA;10:30;12:00;Calle  Fernando Poo,  Frente el número 36, esquina Divino Vallés (MARTES MAÑANA 10:30- 12:00)
;Punto Limpio Móvil;;;Calle  Arrieta, 15 ;;;Calle;;Arrieta;número;15;;;01;CENTRO;439675,80;4474526,50;40.41918013;-3.711069993;MARTES;MAÑANA;10:30;12:00;Calle  Arrieta, 15  (MARTES MAÑANA 10:30- 12:00)
;Punto Limpio Móvil;;;Calle  Ponzano, 2 ;;;Calle;;Ponzano;número;2;;;07;CHAMBERI;440684,85;4476491,04;40.43695013;-3.699359994;MARTES;MAÑANA;10:30;12:00;Calle  Ponzano, 2  (MARTES MAÑANA 10:30- 12:00)
;Punto Limpio Móvil;;;Avenida  San Diego, 78 Intersección con Calle Manuel Maroto;Intersección con Calle Manuel Maroto;;Avenida;;San Diego;número;78;;;13;PUENTE VALLECAS;443184,53;4471012,40;40.38777013;-3.669399994;MARTES;MAÑANA;10:30;12:00;Avenida  San Diego, 78 Intersección con Calle Manuel Maroto (MARTES MAÑANA 10:30- 12:00)
;Punto Limpio Móvil;;;Paseo  Delicias, 68 ;;;Paseo;;Delicias;número;68;;;02;ARGANZUELA;441080,38;4472315,18;40.39936013;-3.694309994;MARTES;MAÑANA;12:15;13:45;Paseo  Delicias, 68  (MARTES MAÑANA 12:15- 13:45)
;Punto Limpio Móvil;;;Calle  Francisco de Rojas, 11 ;;;Calle;;Francisco de Rojas;número;11;;;07;CHAMBERI;440624,47;4475722,24;40.43002013;-3.699999994;MARTES;MAÑANA;12:15;13:45;Calle  Francisco de Rojas, 11  (MARTES MAÑANA 12:15- 13:45)
;Punto Limpio Móvil;;;Calle  Enrique García Álvarez,  Frente al número 10;Frente al número 10;;Calle;;Enrique García Álvarez;;;;;18;VILLA DE VALLECAS;447815,84;4470316,07;40.38180013;-3.614779994;MARTES;MAÑANA;12:15;13:45;Calle  Enrique García Álvarez,  Frente al número 10 (MARTES MAÑANA 12:15- 13:45)
;Punto Limpio Móvil;;;Calle  Fray Luis de León,  Intersección con Calle Juan Sebastian Elcano, 17;Intersección con Calle Juan Sebastian Elcano, 17;;Calle;;Fray Luis de León;;;;;02;ARGANZUELA;440713,46;4472921,95;40.40480013;-3.698689994;MARTES;TARDE;14:00;15:30;Calle  Fray Luis de León,  Intersección con Calle Juan Sebastian Elcano, 17 (MARTES TARDE 14:00- 15:30)
;Punto Limpio Móvil;;;Calle  García de Paredes, 82 ;;;Calle;;García de Paredes;número;82;;;07;CHAMBERI;441208,65;4476442,50;40.43655013;-3.693179994;MARTES;TARDE;14:00;15:30;Calle  García de Paredes, 82  (MARTES TARDE 14:00- 15:30)
;Punto Limpio Móvil;;;Avenida  Celio Villalba,  Intersección con Calle Manizales;Intersección con Calle Manizales;;Avenida;;Celio Villalba;;;;;16;HORTALEZA;446022,61;4480624,50;40.47455013;-3.636779994;MARTES;TARDE;14:00;15:30;Avenida  Celio Villalba,  Intersección con Calle Manizales (MARTES TARDE 14:00- 15:30)
;Punto Limpio Móvil;;;Calle  Marismas, 24 ;;;Calle;;Marismas;número;24;;;13;PUENTE VALLECAS;444538,49;4472519,71;40.40144013;-3.653579994;MARTES;TARDE;14:00;15:30;Calle  Marismas, 24  (MARTES TARDE 14:00- 15:30)
;Punto Limpio Móvil;;;Calle  Fuentespina, 10 ;;;Calle;;Fuentespina;número;10;;;18;VILLA DE VALLECAS;448482,94;4470052,83;40.37947013;-3.606899994;MARTES;TARDE;14:00;15:30;Calle  Fuentespina, 10  (MARTES TARDE 14:00- 15:30)
;Punto Limpio Móvil;;;Calle  Arganda, 2 Frente al número 2;Frente al número 2;;Calle;;Arganda;número;2;;;02;ARGANZUELA;439813,61;4472287,38;40.399104;-3.709351;MARTES;TARDE;15:45;17:15;Calle  Arganda, 2 Frente al número 2 (MARTES TARDE 15:45- 17:15)
;Punto Limpio Móvil;;;Plaza  San Juan de la Cruz, 3 Intersección con Calle Fernández de la Hoz;Intersección con Calle Fernández de la Hoz;;Plaza;;San Juan de la Cruz;número;3;;;07;CHAMBERI;441112,59;4476955,00;40.44116013;-3.694359994;MARTES;TARDE;15:45;17:15;Plaza  San Juan de la Cruz, 3 Intersección con Calle Fernández de la Hoz (MARTES TARDE 15:45- 17:15)
;Punto Limpio Móvil;;;Calle  Alcalá, 287 Intersección con Calle Buen Gobernador;Intersección con Calle Buen Gobernador;;Calle;;Alcalá;número;287;;;15;CIUDAD LINEAL;444506,16;4475947,80;40.43232013;-3.654259994;MARTES;TARDE;15:45;17:15;Calle  Alcalá, 287 Intersección con Calle Buen Gobernador (MARTES TARDE 15:45- 17:15)
;Punto Limpio Móvil;;;Calle  Dolores Barranco, 50 ;;;Calle;;Dolores Barranco;número;50;;;12;USERA;440003,69;4470544,29;40.38333013;-3.706829993;MARTES;TARDE;15:45;17:15;Calle  Dolores Barranco, 50  (MARTES TARDE 15:45- 17:15)
;Punto Limpio Móvil;;;Calle  Cobre,  Frente al número 5;Frente al número 5;;Calle;;Cobre;;;;;02;ARGANZUELA;441506,60;4471686,88;40.39373013;-3.689229994;MARTES;TARDE;17:30;19:00;Calle  Cobre,  Frente al número 5 (MARTES TARDE 17:30- 19:00)
;Punto Limpio Móvil;;;Calle  Segovia, 20 ;;;Calle;;Segovia;número;20;;;01;CENTRO;439571,88;4473948,99;40.41397013;-3.712239993;MARTES;TARDE;17:30;19:00;Calle  Segovia, 20  (MARTES TARDE 17:30- 19:00)
;Punto Limpio Móvil;;;Calle  Vallehermoso,  Frente al número 50;Frente al número 50;;Calle;;Vallehermoso;;;;;07;CHAMBERI;439898,35;4476357,44;40.43569013;-3.708619993;MARTES;TARDE;17:30;19:00;Calle  Vallehermoso,  Frente al número 50 (MARTES TARDE 17:30- 19:00)
;Punto Limpio Móvil;;;Calle  Hermanos Machado,  Intersección con Calle Los Collados;Intersección con Calle Los Collados;;Calle;;Hermanos Machado;;;;;15;CIUDAD LINEAL;444949,64;4475812,43;40.43113013;-3.649019994;MARTES;TARDE;17:30;19:00;Calle  Hermanos Machado,  Intersección con Calle Los Collados (MARTES TARDE 17:30- 19:00)
;Punto Limpio Móvil;;;Carretera  de Canillas, 39 Intersección con Calle Andrés Obispo;Intersección con Calle Andrés Obispo;;Carretera;;de Canillas;número;39;;;16;HORTALEZA;445060,54;4479364,92;40.46314013;-3.648019994;MARTES;TARDE;17:30;19:00;Carretera  de Canillas, 39 Intersección con Calle Andrés Obispo (MARTES TARDE 17:30- 19:00)
;Punto Limpio Móvil;;;Calle  Rafael Fernández Hijicos, 32 ;;;Calle;;Rafael Fernández Hijicos;número;32;;;13;PUENTE VALLECAS;446071,56;4471283,04;40.39040013;-3.635409994;MARTES;TARDE;17:30;19:00;Calle  Rafael Fernández Hijicos, 32  (MARTES TARDE 17:30- 19:00)
;Punto Limpio Móvil;;;Calle  Embajadores, 274 ;;;Calle;;Embajadores;número;274;;;02;ARGANZUELA;441501,17;4470772,24;40.38549013;-3.689209994;MARTES;TARDE;19:15;20:45;Calle  Embajadores, 274  (MARTES TARDE 19:15- 20:45)
;Punto Limpio Móvil;;;Avenida  Islas Filipinas, 32 ;;;Avenida;;Islas Filipinas;número;32;;;07;CHAMBERI;439926,37;4476890,05;40.44049013;-3.708339993;MARTES;TARDE;19:15;20:45;Avenida  Islas Filipinas, 32  (MARTES TARDE 19:15- 20:45)
;Punto Limpio Móvil;;;Avenida  Madroños, 61 ;;;Avenida;;Madroños;número;61;;;16;HORTALEZA;446340,39;4478598,57;40.45632013;-3.632859994;MARTES;TARDE;19:15;20:45;Avenida  Madroños, 61  (MARTES TARDE 19:15- 20:45)
;Punto Limpio Móvil;;;Calle  Fresnedillas, 9 ;;;Calle;;Fresnedillas;número;9;;;08;FUENCARRAL;437078,57;4481062,92;40.47787013;-3.742329993;MIÉRCOLES;MAÑANA;7:00;8:30;Calle  Fresnedillas, 9  (MIÉRCOLES MAÑANA 7:00- 8:30)
;Punto Limpio Móvil;;;Avenida  de Asturias, 6 En la vía de servicio;En la vía de servicio;;Avenida;;de Asturias;número;6;;;06;TETUAN;441261,48;4479932,15;40.46799013;-3.692879994;MIÉRCOLES;MAÑANA;7:00;8:30;Avenida  de Asturias, 6 En la vía de servicio (MIÉRCOLES MAÑANA 7:00- 8:30)
;Punto Limpio Móvil;;;Calle  Ribadavia, 27 Lateral frente a supermercado;Lateral frente a supermercado;;Calle;;Ribadavia;número;27;;;08;FUENCARRAL;439928,95;4480487,78;40.47290013;-3.708649993;MIÉRCOLES;MAÑANA;8:45;10:15;Calle  Ribadavia, 27 Lateral frente a supermercado (MIÉRCOLES MAÑANA 8:45- 10:15)
;Punto Limpio Móvil;;;Calle  Sor Ángela de la Cruz, 12 ;;;Calle;;Sor Ángela de la Cruz;número;12;;;06;TETUAN;441204,79;4478974,60;40.45936013;-3.693459994;MIÉRCOLES;MAÑANA;8:45;10:15;Calle  Sor Ángela de la Cruz, 12  (MIÉRCOLES MAÑANA 8:45- 10:15)
;Punto Limpio Móvil;;;Camino  Ganapanes,  Intersección con Calle La Bañeza;Intersección con Calle La Bañeza;;Camino;;Ganapanes;;;;;08;FUENCARRAL;439312,67;4480804,68;40.47571013;-3.715949993;MIÉRCOLES;MAÑANA;10:30;12:00;Camino  Ganapanes,  Intersección con Calle La Bañeza (MIÉRCOLES MAÑANA 10:30- 12:00)
;Punto Limpio Móvil;;;Avenida  Complutense, s/n Frente Servicio de Informática;Frente Servicio de Informática;;Avenida;;Complutense;número;s/n;;;09;MONCLOA-ARAVACA;438300,24;4478098,82;40.45126013;-3.727629993;MIÉRCOLES;MAÑANA;10:30;12:00;Avenida  Complutense, s/n Frente Servicio de Informática (MIÉRCOLES MAÑANA 10:30- 12:00)
;Punto Limpio Móvil;;;Avenida  Hellin, 17 ;;;Avenida;;Hellin;número;17;;;20;SAN BLAS-CANILLEJAS;447762,06;4475755,67;40.43080013;-3.615859994;MIÉRCOLES;MAÑANA;10:30;12:00;Avenida  Hellin, 17  (MIÉRCOLES MAÑANA 10:30- 12:00)
;Punto Limpio Móvil;;;Calle  Sangenjo, 12 ;;;Calle;;Sangenjo;número;12;;;08;FUENCARRAL;440461,07;4481732,36;40.48415013;-3.702489994;MIÉRCOLES;MAÑANA;12:15;13:45;Calle  Sangenjo, 12  (MIÉRCOLES MAÑANA 12:15- 13:45)
;Punto Limpio Móvil;;;Calle  Carpintería,  Intersección con Calle Amposta;Intersección con Calle Amposta;;Calle;;Carpintería;;;;;20;SAN BLAS-CANILLEJAS;447187,13;4475180,25;40.42558013;-3.622589994;MIÉRCOLES;MAÑANA;12:15;13:45;Calle  Carpintería,  Intersección con Calle Amposta (MIÉRCOLES MAÑANA 12:15- 13:45)
;Punto Limpio Móvil;;;Calle  Marqués de Viana, 70 ;;;Calle;;Marqués de Viana;número;70;;;06;TETUAN;440293,07;4479480,24;40.46385013;-3.704259993;MIÉRCOLES;MAÑANA;12:15;13:45;Calle  Marqués de Viana, 70  (MIÉRCOLES MAÑANA 12:15- 13:45)
;Punto Limpio Móvil;;;Calle  Capitán Blanco Argibay, 134 ;;;Calle;;Capitán Blanco Argibay;número;134;;;06;TETUAN;440294,35;4479853,22;40.46721013;-3.704279993;MIÉRCOLES;TARDE;14:00;15:30;Calle  Capitán Blanco Argibay, 134  (MIÉRCOLES TARDE 14:00- 15:30)
;Punto Limpio Móvil;;;Plaza  de Coimbra,  Junto al semáforo;Junto al semáforo;;Plaza;;de Coimbra;;;;;11;CARABANCHEL;438568,90;4470537,06;40.38316051;-3.723731631;MIÉRCOLES;TARDE;15:45;17:15;Plaza  de Coimbra,  Junto al semáforo (MIÉRCOLES TARDE 15:45- 17:15)
;Punto Limpio Móvil;;;Calle  San Restituto, 24 ;;;Calle;;San Restituto;número;24;;;09;MONCLOA-ARAVACA;439653,21;4479618,59;40.46505013;-3.711819993;MIÉRCOLES;TARDE;15:45;17:15;Calle  San Restituto, 24  (MIÉRCOLES TARDE 15:45- 17:15)
;Punto Limpio Móvil;;;Avenida  Pablo Iglesias, 36 ;;;Avenida;;Pablo Iglesias;número;36;;;06;TETUAN;439881,60;4477758,48;40.44831013;-3.708949993;MIÉRCOLES;TARDE;15:45;17:15;Avenida  Pablo Iglesias, 36  (MIÉRCOLES TARDE 15:45- 17:15)
;Punto Limpio Móvil;;;Calle  Santa María Magdalena, 18 ;;;Calle;;Santa María Magdalena;número;18;;;05;CHAMARTIN;443152,84;4479362,51;40.46299013;-3.670519994;JUEVES;MAÑANA;7:00;8:30;Calle  Santa María Magdalena, 18  (JUEVES MAÑANA 7:00- 8:30)
;Punto Limpio Móvil;;;Avenida  San Luis, 27 ;;;Avenida;;San Luis;número;27;;;16;HORTALEZA;444307,38;4480241,88;40.47099013;-3.656979994;JUEVES;MAÑANA;7:00;8:30;Avenida  San Luis, 27  (JUEVES MAÑANA 7:00- 8:30)
;Punto Limpio Móvil;;;Calle  Marqués de Lozoya,  Frente al número 26;Frente al número 26;;Calle;;Marqués de Lozoya;;;;;03;RETIRO;443735,01;4474353,96;40.41791013;-3.663209994;JUEVES;MAÑANA;7:00;8:30;Calle  Marqués de Lozoya,  Frente al número 26 (JUEVES MAÑANA 7:00- 8:30)
;Punto Limpio Móvil;;;Calle  Minerva,  Intersección con Calle Campo de la Torre, 19;Intersección con Calle Campo de la Torre, 19;;Calle;;Minerva;;;;;19;VICALVARO;448630,35;4471993,27;40.39696013;-3.605319994;JUEVES;MAÑANA;7:00;8:30;Calle  Minerva,  Intersección con Calle Campo de la Torre, 19 (JUEVES MAÑANA 7:00- 8:30)
;Punto Limpio Móvil;;;Avenida  Pío XII, 46 ;;;Avenida;;Pío XII;número;46;;;05;CHAMARTIN;442890,96;4479932,86;40.46811013;-3.673659994;JUEVES;MAÑANA;8:45;10:15;Avenida  Pío XII, 46  (JUEVES MAÑANA 8:45- 10:15)
;Punto Limpio Móvil;;;Calle  Estíbaliz, 28 Intersección con Calle Pablo Serano;Intersección con Calle Pablo Serano;;Calle;;Estíbaliz;número;28;;;16;HORTALEZA;445059,54;4480153,07;40.47024013;-3.648099994;JUEVES;MAÑANA;8:45;10:15;Calle  Estíbaliz, 28 Intersección con Calle Pablo Serano (JUEVES MAÑANA 8:45- 10:15)
;Punto Limpio Móvil;;;Calle  Ibiza, 60 ;;;Calle;;Ibiza;número;60;;;03;RETIRO;443060,56;4474360,16;40.41792013;-3.671159994;JUEVES;MAÑANA;8:45;10:15;Calle  Ibiza, 60  (JUEVES MAÑANA 8:45- 10:15)
;Punto Limpio Móvil;;;Calle  General López Pozas, 16 ;;;Calle;;General López Pozas;número;16;;;05;CHAMARTIN;441894,15;4479631,93;40.46533013;-3.685389994;JUEVES;MAÑANA;10:30;12:00;Calle  General López Pozas, 16  (JUEVES MAÑANA 10:30- 12:00)
;Punto Limpio Móvil;;;Calle  Amado Nervo,  Frente al número 12;Frente al número 12;;Calle;;Amado Nervo;;;;;03;RETIRO;442788,50;4473396,48;40.40922013;-3.674279994;JUEVES;MAÑANA;10:30;12:00;Calle  Amado Nervo,  Frente al número 12 (JUEVES MAÑANA 10:30- 12:00)
;Punto Limpio Móvil;;;Calle  Príncipe de Vergara, 248 ;;;Calle;;Príncipe de Vergara;número;248;;;05;CHAMARTIN;442572,62;4478331,25;40.45366013;-3.677269994;JUEVES;MAÑANA;12:15;13:45;Calle  Príncipe de Vergara, 248  (JUEVES MAÑANA 12:15- 13:45)
;Punto Limpio Móvil;;;Calle  Valderribas, 25 C ;;;Calle;;Valderribas;número;25 C;;;03;RETIRO;443125,43;4472621,32;40.40226013;-3.670239994;JUEVES;MAÑANA;12:15;13:45;Calle  Valderribas, 25 C  (JUEVES MAÑANA 12:15- 13:45)
;Punto Limpio Móvil;;;Avenida  Manuel Fraga Iribarne, 35 ;;;Avenida;;Manuel Fraga Iribarne;número;35;;;21;BARAJAS;448402,34;4482129,60;40.48826013;-3.608829994;JUEVES;TARDE;14:00;15:30;Avenida  Manuel Fraga Iribarne, 35  (JUEVES TARDE 14:00- 15:30)
;Punto Limpio Móvil;;;Paseo  Reina Cristina,  Frente al número 5, intersección a la Calle Julián Gayarre;Frente al número 5, intersección a la Calle Julián Gayarre;;Paseo;;Reina Cristina;;;;;03;RETIRO;442007,41;4473121,63;40.40669013;-3.683459994;JUEVES;TARDE;14:00;15:30;Paseo  Reina Cristina,  Frente al número 5, intersección a la Calle Julián Gayarre (JUEVES TARDE 14:00- 15:30)
;Punto Limpio Móvil;;;Calle  Téllez, 26 Intersección con Calle León Gil Palacio;Intersección con Calle León Gil Palacio;;Calle;;Téllez;número;26;;;03;RETIRO;442345,67;4472637,26;40.40235013;-3.679429994;JUEVES;TARDE;15:45;17:15;Calle  Téllez, 26 Intersección con Calle León Gil Palacio (JUEVES TARDE 15:45- 17:15)
;Punto Limpio Móvil;;;Calle  Sofía,  Intersección con Calle Bélgica, 205;Intersección con Calle Bélgica, 205;;Calle;;Sofía;;;;;20;SAN BLAS-CANILLEJAS;448969,61;4475577,51;40.42927013;-3.601609994;JUEVES;TARDE;19:15;20:45;Calle  Sofía,  Intersección con Calle Bélgica, 205 (JUEVES TARDE 19:15- 20:45)
;Punto Limpio Móvil;;;Calle  San Modesto,  Intersección con Calle Isidro Fernández;Intersección con Calle Isidro Fernández;;Calle;;San Modesto;;;;;08;FUENCARRAL;441903,66;4481728,79;40.48422013;-3.685469994;VIERNES;MAÑANA;7:00;8:30;Calle  San Modesto,  Intersección con Calle Isidro Fernández (VIERNES MAÑANA 7:00- 8:30)
;Punto Limpio Móvil;;;Avenida  Abrantes, 40 Frente Calle Faro;Frente Calle Faro;;Avenida;;Abrantes;número;40;;;11;CARABANCHEL;438286,77;4470380,60;40.38173013;-3.727039993;VIERNES;MAÑANA;8:45;10:15;Avenida  Abrantes, 40 Frente Calle Faro (VIERNES MAÑANA 8:45- 10:15)
;Punto Limpio Móvil;;;Calle  Caballero de la Blanca Luna, 1 ;;;Calle;;Caballero de la Blanca Luna;número;1;;;08;FUENCARRAL;441762,46;4484058,83;40.50520013;-3.687349994;VIERNES;MAÑANA;8:45;10:15;Calle  Caballero de la Blanca Luna, 1  (VIERNES MAÑANA 8:45- 10:15)
;Punto Limpio Móvil;;;Avenida  Padre Piquer, 13 Junto a Correos;Junto a Correos;;Avenida;;Padre Piquer;número;13;;;10;LATINA;434848,14;4471779,49;40.39407013;-3.767689993;VIERNES;MAÑANA;10:30;12:00;Avenida  Padre Piquer, 13 Junto a Correos (VIERNES MAÑANA 10:30- 12:00)
;Punto Limpio Móvil;;;Avenida  Rosales,  Intersección con Calle Tántalo;Intersección con Calle Tántalo;;Avenida;;Rosales;;;;;17;VILLAVERDE;442294,55;4467199,50;40.35336013;-3.679539994;VIERNES;MAÑANA;10:30;12:00;Avenida  Rosales,  Intersección con Calle Tántalo (VIERNES MAÑANA 10:30- 12:00)
;Punto Limpio Móvil;;;Calle  Pico Milano, 9 ;;;Calle;;Pico Milano;número;9;;;08;FUENCARRAL;439592,55;4481975,77;40.48628013;-3.712759993;VIERNES;MAÑANA;12:15;13:45;Calle  Pico Milano, 9  (VIERNES MAÑANA 12:15- 13:45)
;Punto Limpio Móvil;;;Calle  Yébenes, 110 Frente al número 217;Frente al número 217;;Calle;;Yébenes;número;110;;;10;LATINA;436214,39;4471552,40;40.39213013;-3.751569993;VIERNES;MAÑANA;12:15;13:45;Calle  Yébenes, 110 Frente al número 217 (VIERNES MAÑANA 12:15- 13:45)
;Punto Limpio Móvil;;;Calle  Arroyo de la Bulera,  Frente al número 11;Frente al número 11;;Calle;;Arroyo de la Bulera;;;;;17;VILLAVERDE;442204,91;4465591,73;40.33887013;-3.680449994;VIERNES;MAÑANA;12:15;13:45;Calle  Arroyo de la Bulera,  Frente al número 11 (VIERNES MAÑANA 12:15- 13:45)
;Punto Limpio Móvil;;;Calle  Mariblanca, 18-20 Entre los número 18 y 20;Entre los número 18 y 20;;Calle;;Mariblanca;número;18-20;;;12;USERA;440065,32;4471458,49;40.39157013;-3.706189993;VIERNES;TARDE;14:00;15:30;Calle  Mariblanca, 18-20 Entre los número 18 y 20 (VIERNES TARDE 14:00- 15:30)
;Punto Limpio Móvil;;;Calle  Alférez Juan Usera, 36 ;;;Calle;;Alférez Juan Usera;número;36;;;11;CARABANCHEL;437947,11;4471907,52;40.39546013;-3.731189993;VIERNES;TARDE;15:45;17:15;Calle  Alférez Juan Usera, 36  (VIERNES TARDE 15:45- 17:15)
;Punto Limpio Móvil;;;Calle  Elfo, 55-57 ;;;Calle;;Elfo;número;55-57;;;15;CIUDAD LINEAL;444683,80;4476110,77;40.43380013;-3.652179994;VIERNES;TARDE;15:45;17:15;Calle  Elfo, 55-57  (VIERNES TARDE 15:45- 17:15)
;Punto Limpio Móvil;;;Calle  Joaquín Lorenzo, 106 ;;;Calle;;Joaquín Lorenzo;número;106;;;08;FUENCARRAL;437626,69;4480819,66;40.47572013;-3.735839993;VIERNES;TARDE;15:45;17:15;Calle  Joaquín Lorenzo, 106  (VIERNES TARDE 15:45- 17:15)
