DIRECCION_COMPLETA,COD_DISTRITO,DISTRITO,LATITUD,LONGITUD,DÍA SEMANA,HORA INICIO,HORA FINAL
"Plaza  San Juan de la Cruz, 3 Intersección con Calle Fernández de la Hoz",07,CHAMBERI,40.44116013,-3.694359994,MARTES,15:45,17:15
"Calle  Alcalá, 287 Intersección con Calle Buen Gobernador",15,CIUDAD LINEAL,40.43232013,-3.654259994,MARTES,15:45,17:15
"Calle  Dolores Barranco, 50",12,USERA,40.38333013,-3.706829993,MARTES,15:45,17:15
"Calle  Cobre,  Frente al número 5",02,ARGANZUELA,40.39373013,-3.689229994,MARTES,17:30,19:00
"Calle  Segovia, 20",01,CENTRO,40.41397013,-3.712239993,MARTES,17:30,19:00
"Calle  Vallehermoso,  Frente al número 50",07,CHAMBERI,40.43569013,-3.708619993,MARTES,17:30,19:00
"Calle  Hermanos Machado,  Intersección con Calle Los Collados",15,CIUDAD LINEAL,40.43113013,-3.649019994,MARTES,17:30,19:00
"Carretera  de Canillas, 39 Intersección con Calle Andrés Obispo",16,HORTALEZA,40.46314013,-3.648019994,MARTES,17:30,19:00
"Calle  Rafael Fernández Hijicos, 32",13,PUENTE VALLECAS,40.39040013,-3.635409994,MARTES,17:30,19:00
"Calle  Embajadores, 274",02,ARGANZUELA,40.38549013,-3.689209994,MARTES,19:15,20:45
"Avenida  Islas Filipinas, 32",07,CHAMBERI,40.44049013,-3.708339993,MARTES,19:15,20:45
"Avenida  Madroños, 61",16,HORTALEZA,40.45632013,-3.632859994,MARTES,19:15,20:45
"Calle  Fresnedillas, 9",08,FUENCARRAL,40.47787013,-3.742329993,MIÉRCOLES,7:00,8:30
"Avenida  de Asturias, 6 En la vía de servicio",06,TETUAN,40.46799013,-3.692879994,MIÉRCOLES,7:00,8:30
"Calle  Ribadavia, 27 Lateral frente a supermercado",08,FUENCARRAL,40.47290013,-3.708649993,MIÉRCOLES,8:45,10:15
"Calle  Sor Ángela de la Cruz, 12",06,TETUAN,40.45936013,-3.693459994,MIÉRCOLES,8:45,10:15
"Camino  Ganapanes,  Intersección con Calle La Bañeza",08,FUENCARRAL,40.47571013,-3.715949993,MIÉRCOLES,10:30,12:00
"Avenida  Complutense, s/n Frente Servicio de Informática",09,MONCLOA-ARAVACA,40.45126013,-3.727629993,MIÉRCOLES,10:30,12:00
"Avenida  Hellin, 17",20,SAN BLAS-CANILLEJAS,40.43080013,-3.615859994,MIÉRCOLES,10:30,12:00
"Calle  Sangenjo, 12",08,FUENCARRAL,40.48415013,-3.702489994,MIÉRCOLES,12:15,13:45
"Calle  Carpintería,  Intersección con Calle Amposta",20,SAN BLAS-CANILLEJAS,40.42558013,-3.622589994,MIÉRCOLES,12:15,13:45
"Calle  Marqués de Viana, 70",06,TETUAN,40.46385013,-3.704259993,MIÉRCOLES,12:15,13:45
"Calle  Capitán Blanco Argibay, 134",06,TETUAN,40.46721013,-3.704279993,MIÉRCOLES,14:00,15:30
"Plaza  de Coimbra,  Junto al semáforo",11,CARABANCHEL,40.38316051,-3.723731631,MIÉRCOLES,15:45,17:15
"Calle  San Restituto, 24",09,MONCLOA-ARAVACA,40.46505013,-3.711819993,MIÉRCOLES,15:45,17:15
"Avenida  Pablo Iglesias, 36",06,TETUAN,40.44831013,-3.708949993,MIÉRCOLES,15:45,17:15
"Calle  Santa María Magdalena, 18",05,CHAMARTIN,40.46299013,-3.670519994,JUEVES,7:00,8:30
"Avenida  San Luis, 27",16,HORTALEZA,40.47099013,-3.656979994,JUEVES,7:00,8:30
"Calle  Marqués de Lozoya,  Frente al número 26",03,RETIRO,40.41791013,-3.663209994,JUEVES,7:00,8:30
"Calle  Minerva,  Intersección con Calle Campo de la Torre, 19",19,VICALVARO,40.39696013,-3.605319994,JUEVES,7:00,8:30
"Avenida  Pío XII, 46",05,CHAMARTIN,40.46811013,-3.673659994,JUEVES,8:45,10:15
"Calle  Estíbaliz, 28 Intersección con Calle Pablo Serano",16,HORTALEZA,40.47024013,-3.648099994,JUEVES,8:45,10:15
"Calle  Ibiza, 60",03,RETIRO,40.41792013,-3.671159994,JUEVES,8:45,10:15
"Calle  General López Pozas, 16",05,CHAMARTIN,40.46533013,-3.685389994,JUEVES,10:30,12:00
"Calle  Amado Nervo,  Frente al número 12",03,RETIRO,40.40922013,-3.674279994,JUEVES,10:30,12:00
"Calle  Príncipe de Vergara, 248",05,CHAMARTIN,40.45366013,-3.677269994,JUEVES,12:15,13:45
"Calle  Valderribas, 25 C",03,RETIRO,40.40226013,-3.670239994,JUEVES,12:15,13:45
"Avenida  Manuel Fraga Iribarne, 35",21,BARAJAS,40.48826013,-3.608829994,JUEVES,14:00,15:30
"Paseo  Reina Cristina,  Frente al número 5, intersección a la Calle Julián Gayarre",03,RETIRO,40.40669013,-3.683459994,JUEVES,14:00,15:30
"Calle  Téllez, 26 Intersección con Calle León Gil Palacio",03,RETIRO,40.40235013,-3.679429994,JUEVES,15:45,17:15
"Calle  Sofía,  Intersección con Calle Bélgica, 205",20,SAN BLAS-CANILLEJAS,40.42927013,-3.601609994,JUEVES,19:15,20:45
"Calle  San Modesto,  Intersección con Calle Isidro Fernández",08,FUENCARRAL,40.48422013,-3.685469994,VIERNES,7:00,8:30
"Avenida  Abrantes, 40 Frente Calle Faro",11,CARABANCHEL,40.38173013,-3.727039993,VIERNES,8:45,10:15
"Calle  Caballero de la Blanca Luna, 1",08,FUENCARRAL,40.50520013,-3.687349994,VIERNES,8:45,10:15
"Avenida  Padre Piquer, 13 Junto a Correos",10,LATINA,40.39407013,-3.767689993,VIERNES,10:30,12:00
"Avenida  Rosales,  Intersección con Calle Tántalo",17,VILLAVERDE,40.35336013,-3.679539994,VIERNES,10:30,12:00
"Calle  Pico Milano, 9",08,FUENCARRAL,40.48628013,-3.712759993,VIERNES,12:15,13:45
"Calle  Yébenes, 110 Frente al número 217",10,LATINA,40.39213013,-3.751569993,VIERNES,12:15,13:45
"Calle  Arroyo de la Bulera,  Frente al número 11",17,VILLAVERDE,40.33887013,-3.680449994,VIERNES,12:15,13:45
"Calle  Mariblanca, 18-20 Entre los número 18 y 20",12,USERA,40.39157013,-3.706189993,VIERNES,14:00,15:30
"Calle  Alférez Juan Usera, 36",11,CARABANCHEL,40.39546013,-3.731189993,VIERNES,15:45,17:15
"Calle  Elfo, 55-57",15,CIUDAD LINEAL,40.43380013,-3.652179994,VIERNES,15:45,17:15
"Calle  Joaquín Lorenzo, 106",08,FUENCARRAL,40.47572013,-3.735839993,VIERNES,15:45,17:15
"Avenida  Apóstoles, 13 Intersección con Paseo de los Olivos",10,LATINA,40.40567013,-3.739699993,VIERNES,15:45,17:15
"Calle  Virgen de las Cruces, 2-4",12,USERA,40.37825013,-3.692449994,VIERNES,15:45,17:15
"Plaza  de la Parroquia, 16",11,CARABANCHEL,40.37993013,-3.741849993,VIERNES,17:30,19:00
"Calle  Pablo Casals,  Frente al número 10",10,LATINA,40.41020013,-3.724709993,VIERNES,17:30,19:00
"Calle  Pico de Artilleros, 55",14,MORATALAZ,40.40481013,-3.641189994,VIERNES,17:30,19:00
"Calle  la Canción del Olvido, 47",17,VILLAVERDE,40.35701013,-3.699809994,VIERNES,19:15,20:45
"Calle  Barquillo, 4",01,CENTRO,40.41969013,-3.695529994,SABADO,7:00,8:30
"Calle  Lope de Vega,  Frente al número 36",01,CENTRO,40.41438013,-3.697449994,SABADO,8:45,10:15
"Calle  Jose Ortega y Gasset, 8",04,SALAMANCA,40.43020013,-3.686059994,SABADO,8:45,10:15
"Avenida  Pablo Iglesias, 55",09,MONCLOA-ARAVACA,40.45058013,-3.710829993,SABADO,10:30,12:00
"Calle  Juan Bravo, 35-37 Intersección con Calle General Pardiñas",04,SALAMANCA,40.43269013,-3.678079994,SABADO,10:30,12:00
"Calle  Nicolasa Gómez,  Frente al número 80",20,SAN BLAS-CANILLEJAS,40.43846013,-3.611789994,SABADO,10:30,12:00
"Plaza  Tirso de Molina, 16 Zona de carga y descarga",01,CENTRO,40.41259013,-3.704569993,SABADO,12:15,13:45
"Calle  Ribera de Manzanares, 125 Intersección con Calle Acantilado",09,MONCLOA-ARAVACA,40.42943013,-3.733359993,SABADO,12:15,13:45
"Calle  del Pilar de Zaragoza, 57 Itersección con Calle José Picón",04,SALAMANCA,40.43575013,-3.671359994,SABADO,12:15,13:45
"Calle  Arriaza,  Frente al número 10. Intersección con Calle Ilustración",09,MONCLOA-ARAVACA,40.42125013,-3.716109993,SABADO,14:00,15:30
"Calle  Berlín, 3",04,SALAMANCA,40.44147013,-3.663359994,SABADO,14:00,15:30
"Calle  Espíritu Santo, 26 Entro los números 26 y 28. Zona de carga y descarga",01,CENTRO,40.42546013,-3.703639993,SABADO,15:45,17:15
"Plaza  Lavapiés, 8 Zona de carga y descarga",01,CENTRO,40.40868013,-3.701249994,SABADO,15:45,17:15
"Calle  Luis Moya Blanco, 27",16,HORTALEZA,40.49606013,-3.616409994,SABADO,15:45,17:15
"Calle  Doctor Esquerdo, 47",04,SALAMANCA,40.42316013,-3.668589994,SABADO,15:45,17:15
"Calle  Miguel Servet, 15 Zona de carga y descarga",01,CENTRO,40.40727013,-3.700779994,SABADO,17:30,19:00
"Calle  Silva, 25",01,CENTRO,40.4218911,-3.705691,SABADO,17:30,19:00
"Calle  General Díaz Porlier, 41",04,SALAMANCA,40.42837013,-3.677029994,SABADO,17:30,19:00
"Calle  Villanueva, 20 Intersección con Calle Claudio Coello",04,SALAMANCA,40.42242013,-3.687069994,SABADO,19:15,20:45
"Calle  Estrella Polar, 22",03,RETIRO,40.41085914,-3.666186786,LUNES,7:00,8:30
"Calle  Jerónima Llorente, 65",06,TETUAN,40.45332738,-3.708129826,LUNES,7:00,8:30
"Calle  Pinar de San José, 13",11,CARABANCHEL,40.36405652,-3.76208289,LUNES,7:00,8:30
"Paseo  Lanceros, 2",10,LATINA,40.37910205,-3.79289123,LUNES,7:00,8:30
"Plaza  El Pardo, 1 Intersección con Calle Carboneros",08,FUENCARRAL,40.52027135,-3.777549085,LUNES,7:00,8:30
"Avenida  Menéndez Pelayo,  Frente al número 29, en la acera de El Retiro",03,RETIRO,40.41864668,-3.679030573,LUNES,8:45,10:15
"Calle  Cerro de Minguete, 9",08,FUENCARRAL,40.48673425,-3.719531943,LUNES,8:45,10:15
"Calle  Francos Rodríguez, 57",06,TETUAN,40.45680834,-3.709264743,LUNES,8:45,10:15
"Avenida  Nuestra Señora de Fátima, 15",11,CARABANCHEL,40.38586625,-3.744391677,LUNES,8:45,10:15
"Calle  Villasandino, 35",10,LATINA,40.40570434,-3.752934046,LUNES,8:45,10:15
"Avenida  Cardenal Herrera Oria, 259",08,FUENCARRAL,40.48015632,-3.722328509,LUNES,10:30,12:00
"Avenida  Menéndez Pelayo, 95",03,RETIRO,40.40670603,-3.679105448,LUNES,10:30,12:00
"Calle  Antonio Leyva, 77 Frente al Instituto Carderón de la Barca",11,CARABANCHEL,40.387688,-3.716653,LUNES,10:30,12:00
"Paseo  de los Jesuitas, 42",10,LATINA,40.40870061,-3.734961308,LUNES,10:30,12:00
"Calle  Cándido Mateos, 17",08,FUENCARRAL,40.4738771,-3.718525244,LUNES,12:15,13:45
"Calle  Carlos Daban,  Frente al número 28",11,CARABANCHEL,40.39751151,-3.731708393,LUNES,12:15,13:45
"Calle  Doctor Esquerdo, 152",03,RETIRO,40.40368003,-3.672931679,LUNES,12:15,13:45
"Calle  Virgen de África, 14",15,CIUDAD LINEAL,40.43834992,-3.653981217,LUNES,12:15,13:45
"Glorieta  de los Cármenes,  Entre las salidas de Calle Gallur y Calle Alhambra",10,LATINA,40.39569796,-3.743411287,LUNES,12:15,13:45
"Plaza  de la Remonta, 3",06,TETUAN,40.46457158,-3.697613671,LUNES,12:15,13:45
"Avenida   Alfonso XIII, 65",05,CHAMARTIN,40.45413668,-3.667255232,LUNES,14:00,15:30
"Avenida  de Asturias, 44",06,TETUAN,40.47081088,-3.696958818,LUNES,14:00,15:30
"Calle  Agastia, 42 Frente al número 42",15,CIUDAD LINEAL,40.44556187,-3.65100177,LUNES,14:00,15:30
"Calle  Laguna, 121",11,CARABANCHEL,40.38831619,-3.741772099,LUNES,14:00,15:30
"Calle  Ocaña, 149",10,LATINA,40.38640227,-3.753163133,LUNES,14:00,15:30
"Calle  Seco, 2",03,RETIRO,40.39926602,-3.671943717,LUNES,14:00,15:30
"Calle  Fermín Caballero, 49-51",08,FUENCARRAL,40.48426912,-3.706580057,LUNES,14:00,15:30
"Avenida  Oporto, 33",11,CARABANCHEL,40.38542445,-3.724508546,LUNES,15:45,17:15
"Calle  Camarena, 235 Frente al número 296",10,LATINA,40.38631089,-3.757199396,LUNES,15:45,17:15
"Calle  Cañas,  Frente al número 13",15,CIUDAD LINEAL,40.45793674,-3.659440281,LUNES,15:45,17:15
"Calle  Doctor Esquerdo, 94 Esquina Avenida de Nazaret, frente al número 125",03,RETIRO,40.41173813,-3.669933119,LUNES,15:45,17:15
"Calle  Julio Palacios, 10",08,FUENCARRAL,40.41173813,-3.669933119,LUNES,15:45,17:15
"Plaza  del Perú,  Intersección con Avenida Pío XII",05,CHAMARTIN,40.46050652,-3.676366952,LUNES,15:45,17:15
"Avenida  Alberto Alcocer, 28",05,CHAMARTIN,40.45847985,-3.683840815,LUNES,17:30,19:00
"Calle  Arturo Soria, 242",15,CIUDAD LINEAL,40.46558716,-3.66539655,LUNES,17:30,19:00
"Calle  Clara Campoamor,  Frente al número 75",11,CARABANCHEL,40.37957467,-3.732811665,LUNES,17:30,19:00
"Calle  Fuente del Tiro, 17",10,LATINA,40.38361228,-3.780577319,LUNES,17:30,19:00
"Calle  Narváez, 82",03,RETIRO,40.41659121,-3.676571862,LUNES,17:30,19:00
"Calle  Nuestra Señora de Valverde, 17",08,FUENCARRAL,40.49226604,-3.686740229,LUNES,17:30,19:00
"Calle  Poeta Joan Maragall, 45 Frente al número 54, intersección con Calle de Rosario Pino",06,TETUAN,40.46230582,-3.691785867,LUNES,17:30,19:00
"Calle  Afueras a Valverde, 23",08,FUENCARRAL,40.49736629,-3.688979853,LUNES,19:15,20:45
"Calle  Enrique Larreta, 14",05,CHAMARTIN,40.46866386,-3.68659163,LUNES,19:15,20:45
"Calle  Mazarambroz, 4 Intersección con Calle Cazalegas y Calle Carranque",11,CARABANCHEL,40.37511067,-3.727948897,LUNES,19:15,20:45
"Calle  Oliva de Plasencia, 1",10,LATINA,40.37854039,-3.779432297,LUNES,19:15,20:45
"Calle  Conde Duque, 30",01,CENTRO,40.42779649,-3.710134496,MARTES,7:00,8:30
"Calle  Cooperativa Eléctrica, 18",13,PUENTE VALLECAS,40.37459162,-3.660513091,MARTES,7:00,8:30
"Calle  Guetaria, 47 Intersección con Calle Villabona",12,USERA,40.36914712,-3.715520337,MARTES,7:00,8:30
"Calle  Peñaranda de Bracamonte, 53",18,VILLA DE VALLECAS,40.366697,-3.61093895,MARTES,7:00,8:30
"Calle  Pradoluengo, 243",21,BARAJAS,40.45128409,-3.582005708,MARTES,7:00,8:30
"Avenida  Villa de Vallecas, 13",18,VILLA DE VALLECAS,40.36959542,-3.618936523,MARTES,8:45,10:15
"Calle  Simca, 4 Intersección con Calle Dodge",12,USERA,40.36637303,-3.710087199,MARTES,8:45,10:15
"Plaza  Navío, 1",21,BARAJAS,40.45572379,-3.588317484,MARTES,8:45,10:15
"Glorieta  Ruíz Jiménez, 8",01,CENTRO,40.42924193,-3.705722844,MARTES,8:45,10:15
"Avenida  Orcasur, 44 Intersección con Calle Arenas del Rey, junto al Centro de Salud",12,USERA,40.36555568,-3.700722153,MARTES,10:30,12:00
"Bulevar  Naturaleza, 13",18,VILLA DE VALLECAS,40.37232002,-3.629789046,MARTES,10:30,12:00
"Calle  Rioja, 27",21,BARAJAS,40.45993074,-3.585311084,MARTES,10:30,12:00
"Calle  Andaluces, 9",13,PUENTE VALLECAS,40.38992802,-3.636609339,MARTES,12:15,13:45
"Calle  Periana, 6",12,USERA,40.36838731,-3.688532197,MARTES,12:15,13:45
"Calle  Santa Isabel, 47",01,CENTRO,40.40958069,-3.696127206,MARTES,12:15,13:45
"Plaza  Mayor de Barajas, 19",21,BARAJAS,40.47350059,-3.57734166,MARTES,12:15,13:45
"Calle  del Santuario,  Intersección con Calle Hijas de Jesús y Calle San Antonio de Padua",12,USERA,40.38496415,-3.700148519,MARTES,14:00,15:30
"Plaza  Santa Bárbara, 5",01,CENTRO,40.42748313,-3.696388041,MARTES,14:00,15:30
"Calle  Humanes, 27",13,PUENTE VALLECAS,40.39524315,-3.645605693,MARTES,15:45,17:15
"Calle  Montearagón, 11",16,HORTALEZA,40.46341089,-3.658435542,MARTES,15:45,17:15
"Calle  Príncipe, 18",01,CENTRO,40.41528547,-3.700364984,MARTES,15:45,17:15
"Avenida  Rafaela Ybarra, 20",12,USERA,40.38196732,-3.711373636,MARTES,17:30,19:00
"Avenida  de Buenos Aires, 25",13,PUENTE VALLECAS,40.3875944,-3.652783229,MARTES,19:15,20:45
"Calle  Ezequiel Solana, 73",15,CIUDAD LINEAL,40.42845615,-3.643037113,MARTES,19:15,20:45
"Calle  Ribera de Curtidores, 37- (A, B, C)",01,CENTRO,40.40656682,-3.707154966,MARTES,19:15,20:45
"Calle  Manuel Noya, 15",12,USERA,40.38677762,-3.712415205,MARTES,19:15,20:45
"Avenida  Victoria, 77",09,MONCLOA-ARAVACA,40.47396543,-3.834073426,MIÉRCOLES,7:00,8:30
"Calle  Trompas, 15",10,LATINA,40.37142604,-3.7656181,MIÉRCOLES,7:00,8:30
"Avenida  Institución Libre de Enseñanza, 1",20,SAN BLAS-CANILLEJAS,40.43772165,-3.637609719,MIÉRCOLES,7:00,8:30
"Calle  Joaquín Turina, 62",11,CARABANCHEL,40.37223546,-3.758420175,MIÉRCOLES,7:00,8:30
"Paseo  Alberto Palacios, 1 Intersección con Plaza Ágata",17,VILLAVERDE,40.34647541,-3.709357091,MIÉRCOLES,7:00,8:30
"Avenida  Valdemarín, 71 A Intersección con Calle Cisne",09,MONCLOA-ARAVACA,40.47011006,-3.778391577,MIÉRCOLES,8:45,10:15
"Calle  Castillo de Uclés,  Intersección con Calle Castillo de Simancas y frente a Calle Yuncos, 1",20,SAN BLAS-CANILLEJAS,40.43015635,-3.623234722,MIÉRCOLES,8:45,10:15
"Calle  Guareña,  Al lado Auditorio Paco de Lucia",10,LATINA,40.38522206,-3.764791741,MIÉRCOLES,8:45,10:15
"Plaza  de los Navarros,  Entre Calle Albares de la Ribera y Calle Alberca de Zancara",11,CARABANCHEL,40.37425336,-3.742139687,MIÉRCOLES,8:45,10:15
"Paseo  Alberto Palacios, 76",17,VILLAVERDE,40.34368355,-3.715528398,MIÉRCOLES,8:45,10:15
"Calle  Godella,  Detrás del número 100, en la plaza frente al 116",17,VILLAVERDE,40.340762,-3.688466,MIÉRCOLES,10:30,12:00
"Calle  Illescas, 117",10,LATINA,40.39350783,-3.761277537,MIÉRCOLES,10:30,12:00
"Calle  Lope de Haro, 36",06,TETUAN,40.45674114,-3.704672112,MIÉRCOLES,10:30,12:00
"Calle  Toboso, 134",11,CARABANCHEL,40.39348348,-3.736663419,MIÉRCOLES,10:30,12:00
"Calle  Antonio López, 88",11,CARABANCHEL,40.39382375,-3.707727615,MIÉRCOLES,12:15,13:45
"Calle  Berrocal, 14",17,VILLAVERDE,40.34739104,-3.677737378,MIÉRCOLES,12:15,13:45
"Calle  Cardaño, 8 En la Plaza Patricio Martínez",10,LATINA,40.39655217,-3.770445426,MIÉRCOLES,12:15,13:45
"Calle  Marqués de Urquijo, 2",09,MONCLOA-ARAVACA,40.43060674,-3.716657855,MIÉRCOLES,12:15,13:45
"Calle  Casalarreina, 3 Intersección con Plaza de la Vicalvarada",19,VICALVARO,40.409418,-3.610567255,MIÉRCOLES,14:00,15:30
"Calle  Ciudadania, 6",17,VILLAVERDE,40.35647756,-3.692286994,MIÉRCOLES,14:00,15:30
"Calle  Francos Rodríguez, 102",09,MONCLOA-ARAVACA,40.45790876,-3.712783422,MIÉRCOLES,14:00,15:30
"Calle  Nuria, 59 En frente del Centro Comercial",08,FUENCARRAL,40.49339779,-3.707919056,MIÉRCOLES,14:00,15:30
"Calle  San Braulio,  En la acera del Mercado Municipal de San Isidro, frente al número 3",11,CARABANCHEL,40.39156704,-3.724995152,MIÉRCOLES,14:00,15:30
"Calle  Tembleque , 64",10,LATINA,40.39518922,-3.760300561,MIÉRCOLES,14:00,15:30
"Calle  Alhambra,  Acera de enfrente al número 30",10,LATINA,40.40088914,-3.744586083,MIÉRCOLES,15:45,17:15
"Avenida  Monasterio de Silos, 85",08,FUENCARRAL,40.50978743,-3.691979444,MIÉRCOLES,15:45,17:15
"Calle  Tertulia,  Intersección con Calle Círculo",17,VILLAVERDE,40.36226806,-3.693017119,MIÉRCOLES,15:45,17:15
"Calle  Villardondiego, 39-41",19,VICALVARO,40.40445729,-3.60804054,MIÉRCOLES,15:45,17:15
"Calle  Aviador Zorita, 42",06,TETUAN,40.45114155,-3.69802484,MIÉRCOLES,17:30,19:00
"Calle  Estella, 21",08,FUENCARRAL,40.49712684,-3.674421941,MIÉRCOLES,17:30,19:00
"Calle  Eugenia de Montijo, 76",11,CARABANCHEL,40.37913785,-3.747337904,MIÉRCOLES,17:30,19:00
"Calle  Higueras, 45",10,LATINA,40.40532577,-3.745103375,MIÉRCOLES,17:30,19:00
"Calle  La del Manojo de Rosas, 14",17,VILLAVERDE,40.35988379,-3.697565708,MIÉRCOLES,17:30,19:00
"Calle  Golondrina,  Frente a Avenida del Talgo, 234",09,MONCLOA-ARAVACA,40.44751121,-3.785085494,MIÉRCOLES,17:30,19:00
"Calle  Minerva, 7",19,VICALVARO,40.40383525,-3.598022415,MIÉRCOLES,17:30,19:00
"Avenida  Santo Domingo de la Calzada, 27",08,FUENCARRAL,40.50708261,-3.669166507,MIÉRCOLES,19:15,20:45
"Calle  Abad Juan Catalán, 52-56",19,VICALVARO,40.40648092,-3.592453479,MIÉRCOLES,19:15,20:45
"Calle  Caramuel, 6 Entre los números 6 y 8",10,LATINA,40.41311972,-3.727129825,MIÉRCOLES,19:15,20:45
"Calle  Mutual, 2 Intersección con Avenida de la Peseta",11,CARABANCHEL,40.36346589,-3.747378466,MIÉRCOLES,19:15,20:45
"Calle  La del Manojo de Rosas, 95",17,VILLAVERDE,40.35313432,-3.698461892,MIÉRCOLES,19:15,20:45
"Calle  Orense, 9",06,TETUAN,40.44776383,-3.69555288,MIÉRCOLES,19:15,20:45
"Calle  Virgen de los Rosales,  Acera de enfrente al número 88",09,MONCLOA-ARAVACA,40.45358,-3.779036127,MIÉRCOLES,19:15,20:45
"Avenida  Gran Vía del Suereste, 55",18,VILLA DE VALLECAS,40.35728524,-3.59317915,JUEVES,7:00,8:30
"Calle  Santa Marta, 15",13,PUENTE VALLECAS,40.40275803,-3.662025225,JUEVES,7:00,8:30
"Paseo  Marqués de Zafra, 32",04,SALAMANCA,40.42570533,-3.664329592,JUEVES,7:00,8:30
"Avenida  Gran Vía del Suereste, 11",18,VILLA DE VALLECAS,40.36404321,-3.587633913,JUEVES,8:45,10:15
"Calle  Goya, 107",04,SALAMANCA,40.42480849,-3.673029266,JUEVES,8:45,10:15
"Calle  Pergamino,  Frente al número 30",19,VICALVARO,40.39466194,-3.623704718,JUEVES,8:45,10:15
"Camino  Valderribas, 99",13,PUENTE VALLECAS,40.40237793,-3.668196679,JUEVES,8:45,10:15
"Avenida  Las Suertes,  Frente al número 67",18,VILLA DE VALLECAS,40.36441415,-3.593433734,JUEVES,10:30,12:00
"Calle  Cordel de Pavones, 46",19,VICALVARO,40.39783703,-3.619708485,JUEVES,10:30,12:00
"Calle  Moscatelar, 35",16,HORTALEZA,40.45729245,-3.646516762,JUEVES,10:30,12:00
"Calle  Narváez, 44",04,SALAMANCA,40.41996042,-3.676307861,JUEVES,10:30,12:00
"Calle  Ramírez Tomé, 38",13,PUENTE VALLECAS,40.38878583,-3.646501324,JUEVES,10:30,12:00
"Avenida  de Buenos Aires, 99",13,PUENTE VALLECAS,40.37947003,-3.65273719,JUEVES,12:15,13:45
