LATINA;Cuatro Vientos;0;0;0;2;0;0;7;0;7;0;0;0;0;0;16;;
LATINA;Las Águilas;0;0;0;5;0;0;10;0;25;0;0;0;0;0;40;;
LATINA;Total;0;0;0;28;0;0;44;0;70;0;0;0;39;0;181;;
CARABANCHEL;Comillas;0;0;0;4;0;0;4;0;4;0;0;0;4;0;16;;
CARABANCHEL;Opañel;0;0;0;6;0;0;8;0;5;0;0;0;8;0;27;;
CARABANCHEL;San Isidro;0;0;0;6;0;0;12;0;6;0;0;0;12;0;36;;
CARABANCHEL;Vista Alegre;0;0;0;6;0;0;0;0;11;0;0;0;13;0;30;;
CARABANCHEL;Puerta Bonita;0;0;0;6;0;0;9;0;9;6;0;0;15;0;45;;
CARABANCHEL;Buenavista;0;0;0;8;0;0;0;0;42;0;0;0;0;0;50;;
CARABANCHEL;Abrantes;0;0;0;4;0;0;0;0;11;0;0;0;11;0;26;;
CARABANCHEL;Total;0;0;0;40;0;0;33;0;88;6;0;0;63;0;230;;
USERA;Orcasitas;0;0;0;5;0;0;5;0;5;3;0;0;8;0;26;;
USERA;Orcasur;0;0;0;5;0;0;0;0;5;0;0;0;10;0;20;;
USERA;San Fermín;0;0;0;6;0;0;11;0;8;0;0;0;11;0;36;;
USERA;Almendrales;0;0;0;5;0;0;4;0;6;0;0;0;7;0;22;;
USERA;Moscardó;0;0;0;6;0;0;7;0;3;0;0;0;7;0;23;;
USERA;Zofío;0;0;0;4;0;0;6;0;6;0;0;0;6;0;22;;
USERA;Pradolongo;0;0;0;5;0;0;5;0;5;3;0;0;8;0;26;;
USERA;Total;0;0;0;36;0;0;38;0;38;6;0;0;57;0;175;;
PUENTE DE VALLECAS;Entrevías;0;0;0;5;0;0;20;0;20;3;0;0;23;0;71;;
PUENTE DE VALLECAS;San Diego;0;0;0;5;0;0;14;0;10;0;0;0;10;0;39;;
PUENTE DE VALLECAS;Palomeras Bajas;0;0;0;5;0;0;20;0;20;1;0;0;21;0;67;;
PUENTE DE VALLECAS;Palomeras Sureste;0;0;0;4;0;0;0;0;11;0;0;0;15;0;30;;
PUENTE DE VALLECAS;Portazgo;0;0;0;4;0;0;0;0;9;0;0;0;12;0;25;;
PUENTE DE VALLECAS;Numancia;0;0;0;5;0;0;11;0;11;0;0;0;11;0;38;;
PUENTE DE VALLECAS;Total;0;0;0;28;0;0;65;0;81;4;0;0;92;0;270;;
MORATALAZ;Pavones;0;0;0;2;0;0;0;0;3;0;0;0;4;0;9;;
MORATALAZ;Horcajo;0;0;0;2;0;0;2;0;1;0;0;0;2;0;7;;
MORATALAZ;Marroquina;0;0;0;3;0;0;7;0;5;0;0;0;5;0;20;;
MORATALAZ;Media Legua;0;0;0;2;0;0;4;0;2;1;0;0;2;0;11;;
MORATALAZ;Fontarrón;0;0;0;2;0;0;0;0;2;0;0;0;3;0;7;;
MORATALAZ;Vinateros;0;0;0;2;0;0;2;0;1;0;0;0;2;0;7;;
MORATALAZ;Total;0;0;0;13;0;0;15;0;14;1;0;0;18;0;61;;
CIUDAD LINEAL;Ventas;0;0;0;8;0;8;8;0;1;0;0;8;8;8;49;;
CIUDAD LINEAL;Pueblo Nuevo;0;0;0;8;0;10;10;0;2;0;0;10;10;10;60;;
CIUDAD LINEAL;Quintana;5;0;0;5;0;5;5;0;0;4;0;0;5;5;34;;
CIUDAD LINEAL;La Concepción;5;0;0;5;0;5;5;0;0;4;0;0;5;5;34;;
CIUDAD LINEAL;San Pascual;3;0;3;3;0;3;3;0;1;0;0;3;3;3;25;;
CIUDAD LINEAL;San Juan Bautista;2;0;2;2;0;2;2;0;0;2;2;2;2;2;20;;
CIUDAD LINEAL;Colina;1;0;1;1;0;1;1;0;1;1;1;1;1;1;11;;
CIUDAD LINEAL;Atalaya;5;0;0;0;0;0;0;0;0;0;0;0;0;0;5;;
CIUDAD LINEAL;Costillares;5;0;5;5;0;5;5;0;0;4;0;0;5;5;39;;
CIUDAD LINEAL;Total;26;0;11;37;0;39;39;0;5;15;3;24;39;39;277;;
HORTALEZA;Palomas;0;4;0;4;0;4;5;0;4;4;0;0;4;0;29;;
HORTALEZA;Piovera;0;9;0;6;0;9;16;0;7;2;0;0;9;0;58;;
HORTALEZA;Canillas;0;11;11;6;0;11;19;0;8;4;0;0;11;0;81;;
HORTALEZA;Pinar del Rey;11;11;11;6;0;11;11;0;11;0;0;0;11;0;83;;
HORTALEZA;Apóstol Santiago;4;4;4;4;0;4;4;0;3;0;0;0;4;0;31;;
HORTALEZA;Valdefuentes;29;29;29;12;0;29;30;0;24;0;0;0;0;0;182;;
HORTALEZA;Total;44;68;55;38;0;68;85;0;57;10;0;0;39;0;464;;
VILLAVERDE;San Andrés;0;0;0;8;0;0;0;0;72;0;0;0;0;0;80;;
VILLAVERDE;San Cristóbal;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;;
VILLAVERDE;Butarque;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
VILLAVERDE;Los Rosales;0;0;0;6;0;0;20;0;14;0;0;0;0;0;40;;
VILLAVERDE;Los Ángeles;0;0;0;6;0;0;22;0;18;0;0;0;0;0;46;;
VILLAVERDE;Total;0;0;0;20;0;0;42;0;105;0;0;0;0;0;167;;
VILLA DE VALLECAS;Casco Histórico de Vallecas;0;0;0;20;0;0;0;0;85;0;0;0;0;0;105;;
VILLA DE VALLECAS;Santa Eugenia;0;0;0;4;0;0;12;0;8;0;0;0;0;0;24;;
VILLA DE VALLECAS;Total;0;0;0;24;0;0;12;0;93;0;0;0;0;0;129;;
VICÁLVARO;Casco Histórico de Vicálvaro;0;0;0;20;0;0;68;0;48;0;0;0;0;0;136;;
VICÁLVARO;Ambroz;0;0;0;6;0;0;0;0;9;0;0;0;0;0;15;;
VICÁLVARO;Total;0;0;0;26;0;0;68;0;57;0;0;0;0;0;151;;
SAN BLAS-CANILLEJAS;Simancas;0;0;0;6;0;11;4;0;6;0;0;0;11;0;38;;
SAN BLAS-CANILLEJAS;Hellín;0;0;0;3;0;0;2;0;2;5;0;0;5;0;17;;
SAN BLAS-CANILLEJAS;Amposta;0;0;0;2;0;0;1;0;1;2;0;0;2;0;8;;
SAN BLAS-CANILLEJAS;Arcos;0;0;0;4;0;0;10;0;5;0;0;0;5;0;24;;
SAN BLAS-CANILLEJAS;Rosas;0;0;0;6;0;0;9;0;5;0;0;0;9;0;29;;
SAN BLAS-CANILLEJAS;Rejas;0;0;0;0;0;0;0;0;0;34;0;0;0;0;34;;
SAN BLAS-CANILLEJAS;Canillejas;0;0;0;6;0;11;4;0;7;0;0;0;11;0;39;;
SAN BLAS-CANILLEJAS;El Salvador;0;0;0;6;0;7;0;0;5;0;0;0;7;0;25;;
SAN BLAS-CANILLEJAS;Total;0;0;0;33;0;29;30;0;31;41;0;0;50;0;214;;
BARAJAS;Alameda de Osuna;0;0;0;6;0;12;12;0;12;0;0;0;0;0;42;;
BARAJAS;Aeropuerto;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;;
BARAJAS;Casco Histórico de Barajas;0;0;0;6;0;6;0;0;4;0;0;0;0;0;16;;
BARAJAS;Timón;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
BARAJAS;Corralejos;0;0;0;0;0;15;15;0;5;0;0;0;0;0;35;;
BARAJAS;Total;0;0;0;12;0;33;27;0;23;0;0;0;0;0;95;;
;TOTAL; 179   ; 259   ; 258   ; 530   ; 226   ; 461   ; 775   ; 136   ; 797   ; 189   ; 125   ; 90   ; 566   ; 230   ; 4.821   ;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
