COD_VIA,VIA_CLASE,VIA_PAR,VIA_NOMBRE,VIA_NOMBRE_ACENTOS,DISTRITO
10600,CALLE,DE,AGUSTIN DE ROJAS,AGUSTÍN DE ROJAS,5
10100,CALLE,DE,AGUSTIN DURAN,AGUSTÍN DURÁN,4
2643,CALLE,DE,AGUSTIN GARCIA MALLA,AGUSTÍN GARCÍA MALLA,18
31001046,PLAZA,DE,AGUSTIN GONZALEZ,AGUSTÍN GONZÁLEZ,15
10260,CALLE,DE,AGUSTIN LARA,AGUSTÍN LARA,9
10400,CALLE,DE,AGUSTIN QUEROL,AGUSTÍN QUEROL,3
10500,CALLE,DE,AGUSTIN RODRIGUEZ BONAT,AGUSTÍN RODRÍGUEZ BONAT,11
10800,CALLE,DE,AGUSTIN VIÑAMATA,AGUSTÍN VIÑAMATA,3
10900,CALLE,DE,AGUSTINA DE ARAGON,AGUSTINA DE ARAGÓN,4
11100,CALLE,DE,AGUSTINA FIERRA,AGUSTINA FIERRA,11
11300,CALLE,DE LOS,AHIJONES,AHIJONES,13
11450,PASAJE,DE,AHILLONES,AHILLONES,16
11500,AVENIDA,DE LOS,AHONES,AHONES,16
11550,PLAZA,DEL,AHORRO,AHORRO,17
31000677,CALLE,DE LOS,AHUMAOS,AHUMAOS,19
11800,CALLE,DEL,AILANTO,AILANTO,6
915,CALLE,DE,AINSA,AÍNSA,20
2734,CALLE,DEL,AIRE,AIRE,21
11900,CALLE,DE,AIZGORRI,AIZGORRI,4
12000,CALLE,DE,AJALVIR,AJALVIR,9
775601,CALLE,DEL,AJENJO,AJENJO,9
12300,CALLE,DE,AJOFRIN,AJOFRÍN,20
12300,CALLE,DE,AJOFRIN,AJOFRÍN,20
12350,PASEO,DE LOS,ALABARDEROS,ALABARDEROS,10
2313,CALLE,DEL,ALABASTRO,ALABASTRO,2
12400,CALLE,DE LA,ALADIERNA,ALADIERNA,17
12500,CALLE,DE,ALAGON,ALAGÓN,21
12600,CALLE,DE,ALAJATE,ALAJATE,12
12700,CALLE,DEL,ALAMBIQUE,ALAMBIQUE,20
12800,CALLE,DE LA,ALAMEDA,ALAMEDA,1
31000371,CALLE,DE LA,ALAMEDA DE LA FUENTE,ALAMEDA DE LA FUENTE,19
31000371,CALLE,DE LA,ALAMEDA DE LA FUENTE,ALAMEDA DE LA FUENTE,21
13000,PASEO,DE LA,ALAMEDA DE OSUNA,ALAMEDA DE OSUNA,16
13000,PASEO,DE LA,ALAMEDA DE OSUNA,ALAMEDA DE OSUNA,21
31000506,CALLE,DE,ALAMEDA DEL VALLE,ALAMEDA DEL VALLE,18
13200,CALLE,DE,ALAMEDILLA,ALAMEDILLA,2
1189,PASEO,DE LAS,ALAMEDILLAS,ALAMEDILLAS,8
13400,CALLE,DEL,ALAMILLO,ALAMILLO,1
13500,PLAZA,DEL,ALAMILLO,ALAMILLO,1
13600,CALLE,DEL,ALAMO,ÁLAMO,1
1978,PUENTE,DEL,ALAMO NEGRO,ÁLAMO NEGRO,9
1978,PUENTE,DEL,ALAMO NEGRO,ÁLAMO NEGRO,9
31001239,CALLE,DE,ALAN TURING,ALAN TURING,13
13900,CALLE,DE,ALANIS,ALANIS,21
14000,CALLE,DE,ALAR DEL REY,ALAR DEL REY,21
14100,CALLE,DE,ALARICO,ALARICO,11
14200,CALLE,DE,ALARO,ALARÓ,21
14250,TRAVESÍA,DE,ALARO,ALARÓ,21
14300,CALLE,DE LAS,ALAS,ALAS,21
14400,CALLE,DEL,ALATERNO,ALATERNO,5
14500,CALLE,DE,ALAVA,ÁLAVA,15
14600,CALLE,DEL,ALBA,ALBA,16
14700,CALLE,DE,ALBA DE TORMES,ALBA DE TORMES,11
14750,CALLE,DE,ALBACETE,ALBACETE,15
14800,CALLE,DE,ALBADALEJO,ALBADALEJO,20
14900,CALLE,DE LA,ALBAHACA,ALBAHACA,16
15050,CALLE,DE,ALBAICIN,ALBAICÍN,12
15100,CALLE,DE,ALBAIDA,ALBAIDA,20
15200,CALLE,DE,ALBALA,ALBALÁ,20
15300,CALLE,DE,ALBALATE DEL ARZOBISPO,ALBALATE DEL ARZOBISPO,13
2455,CALLE,DE,ALBANIA,ALBANIA,20
15400,CALLE,DE LA,ALBAÑILERIA,ALBAÑILERÍA,20
983,CALLE,DEL,ALBARDIN,ALBARDÍN,12
15500,CALLE,DE,ALBARES DE LA RIBERA,ALBARES DE LA RIBERA,11
15600,CALLE,DEL,ALBARICOQUE,ALBARICOQUE,11
15700,CALLE,DE,ALBARRACIN,ALBARRACÍN,20
15800,CALLE,DE,ALBASANZ,ALBASANZ,20
15900,CALLE,DE,ALBATANA,ALBATANA,16
16000,CALLE,DEL,ALBATROS,ALBATROS,11
16100,CALLE,DE,ALBELDA,ALBELDA,15
16200,CALLE,DE,ALBENDIEGO,ALBENDIEGO,6
16300,CALLE,DE,ALBENIZ,ALBÉNIZ,10
16400,CALLE,DE,ALBENTOSA,ALBENTOSA,11
16400,CALLE,DE,ALBENTOSA,ALBENTOSA,11
16700,CALLE,DEL,ALBERCHE,ALBERCHE,2
16700,CALLE,DEL,ALBERCHE,ALBERCHE,3
1159,PASAJE,DEL,ALBERCHE,ALBERCHE,3
16800,CALLE,DE,ALBERDI,ALBERDI,6
905194,CARRETERA,DEL,ALBERGUE JUVENIL,ALBERGUE JUVENIL,9
17100,CALLE,DE,ALBERIQUE,ALBERIQUE,20
17100,CALLE,DE,ALBERIQUE,ALBERIQUE,20
31002035,CALLE,DE,ALBERT CAMUS,ALBERT CAMUS,11
17200,CALLE,DE,ALBERTO AGUILERA,ALBERTO AGUILERA,1
17200,CALLE,DE,ALBERTO AGUILERA,ALBERTO AGUILERA,7
17200,CALLE,DE,ALBERTO AGUILERA,ALBERTO AGUILERA,7
17300,AVENIDA,DE,ALBERTO ALCOCER,ALBERTO ALCOCER,5
17300,AVENIDA,DE,ALBERTO ALCOCER,ALBERTO ALCOCER,5
17400,CALLE,DE,ALBERTO BOSCH,ALBERTO BOSCH,3
31001914,CALLE,DE,ALBERTO DE PALACIO,ALBERTO DE PALACIO,16
17550,CALLE,DE,ALBERTO INSUA,ALBERTO INSÚA,8
17600,CALLE,DE,ALBERTO LEON PERALTA,ALBERTO LEÓN PERALTA,5
17700,CALLE,DE,ALBERTO MARCOS,ALBERTO MARCOS,18
17800,CALLE,DE,ALBERTO MARTIN ARTAJO,ALBERTO MARTÍN ARTAJO,4
17900,CALLE,DE,ALBERTO PALACIOS,ALBERTO PALACIOS,17
18100,PASEO,DE,ALBERTO PALACIOS,ALBERTO PALACIOS,17
31000678,CALLE,DE,ALBERTO SANCHEZ,ALBERTO SÁNCHEZ,19
18200,CALLE,DE,ALBINO HERNANDEZ LAZARO,ALBINO HERNÁNDEZ LÁZARO,17
18300,CALLE,DE,ALBOREA,ALBOREA,11
18500,CALLE,DE,ALBOX,ALBOX,11
18600,AVENIDA,DE LA,ALBUFERA,ALBUFERA,13
18600,AVENIDA,DE LA,ALBUFERA,ALBUFERA,13
18600,AVENIDA,DE LA,ALBUFERA,ALBUFERA,13
18600,AVENIDA,DE LA,ALBUFERA,ALBUFERA,13
18600,AVENIDA,DE LA,ALBUFERA,ALBUFERA,13
18750,CALLE,DE,ALBUÑUELAS,ALBUÑUELAS,12
18800,CALLE,DE,ALBURQUERQUE,ALBURQUERQUE,7
18850,CALLE,DE,ALCACER TEJARES,ALCÁCER TEJARES,19
18900,CALLE,DE,ALCALA,ALCALÁ,1
18900,CALLE,DE,ALCALA,ALCALÁ,1
18900,CALLE,DE,ALCALA,ALCALÁ,1
18900,CALLE,DE,ALCALA,ALCALÁ,3
18900,CALLE,DE,ALCALA,ALCALÁ,4
18900,CALLE,DE,ALCALA,ALCALÁ,4
18900,CALLE,DE,ALCALA,ALCALÁ,4
18900,CALLE,DE,ALCALA,ALCALÁ,4
18900,CALLE,DE,ALCALA,ALCALÁ,15
18900,CALLE,DE,ALCALA,ALCALÁ,15
18900,CALLE,DE,ALCALA,ALCALÁ,15
18900,CALLE,DE,ALCALA,ALCALÁ,15
18900,CALLE,DE,ALCALA,ALCALÁ,20
18900,CALLE,DE,ALCALA,ALCALÁ,20
18900,CALLE,DE,ALCALA,ALCALÁ,20
18900,CALLE,DE,ALCALA,ALCALÁ,20
18900,CALLE,DE,ALCALA,ALCALÁ,20
19100,CALLE,DE,ALCALA DE GUADAIRA,ALCALÁ DE GUADAIRA,13
19000,CALLE,DE,ALCALA GALIANO,ALCALÁ GALIANO,7
19110,CALLE,DEL,ALCALDE ALFONSO VAZQUEZ,ALCALDE ALFONSO VÁZQUEZ,13
31000121,CALLE,DEL,ALCALDE ALVAREZ DE VILLAAMIL,ALCALDE ÁLVAREZ DE VILLAAMIL,16
31001811,CALLE,DEL,ALCALDE ANDRES MADRID DAVILA,ALCALDE ANDRÉS MADRID DÁVILA,19
31000120,CALLE,DEL,ALCALDE ARISTIZABAL MANCHON,ALCALDE ARISTIZÁBAL MANCHÓN,16
19115,PLAZA,DEL,ALCALDE BRELL,ALCALDE BRELL,11
31000119,CALLE,DEL,ALCALDE CONDE DE MIRASOL,ALCALDE CONDE DE MIRASOL,16
31005201,GLORIETA,DEL,ALCALDE DE CANILLAS CIPRIANO SANTILLANA MORENO,ALCALDE DE CANILLAS CIPRIANO SANTILLANA MORENO,16
31005202,GLORIETA,DEL,ALCALDE DE CANILLAS JOAQUIN HERAS JIMENEZ,ALCALDE DE CANILLAS JOAQUÍN HERAS JIMÉNEZ,16
