COD_VIA,VIA_CLASE,URI,VIA_PAR,VIA_NOMBRE,VIA_NOMBRE_ACENTOS,DISTRITO
4100,CALLE,CALLEDEACEUCHAL,DE,ACEUCHAL,ACEUCHAL,11
928,PLAZA,PLAZADE LAACHICORIA,DE LA,ACHICORIA,ACHICORIA,10
4200,CALLE,CALLEDEACHURI,DE,ACHURI,ACHURI,15
901,CALLE,CALLEDEACONCAGUA,DE,ACONCAGUA,ACONCAGUA,16
901,CALLE,CALLEDEACONCAGUA,DE,ACONCAGUA,ACONCAGUA,16
4400,CALLE,CALLEDELACONITO,DEL,ACONITO,ACÓNITO,6
4450,CALLE,CALLEDE LAACUARELA,DE LA,ACUARELA,ACUARELA,21
4500,CALLE,CALLEDEACUARIO,DE,ACUARIO,ACUARIO,21
4600,CALLE,CALLEDELACUEDUCTO,DEL,ACUEDUCTO,ACUEDUCTO,6
31000190,CALLE,CALLEDELACUEDUCTO DE SEGOVIA,DEL,ACUEDUCTO DE SEGOVIA,ACUEDUCTO DE SEGOVIA,11
4700,CALLE,CALLEDELACUERDO,DEL,ACUERDO,ACUERDO,1
31000289,CALLE,CALLEDEADAM SMITH,DE,ADAM SMITH,ADAM SMITH,8
4750,CALLE,CALLEDEADANERO,DE,ADANERO,ADANERO,10
4900,CALLE,CALLEDEADELA BALBOA,DE,ADELA BALBOA,ADELA BALBOA,6
5000,CALLE,CALLEDE LASADELFAS,DE LAS,ADELFAS,ADELFAS,3
389800,CALLE,CALLEDEADELINA PATTI,DE,ADELINA PATTI,ADELINA PATTI,8
5200,CALLE,CALLEDEADEMUZ,DE,ADEMUZ,ADEMUZ,11
31000496,CALLE,CALLEDEADOLFO BIOY CASARES,DE,ADOLFO BIOY CASARES,ADOLFO BIOY CASARES,18
31000486,CALLE,CALLEDEADOLFO MARSILLACH,DE,ADOLFO MARSILLACH,ADOLFO MARSILLACH,18
969,CALLE,CALLEDEADONIS,DE,ADONIS,ADONIS,10
5300,CALLE,CALLEDEADORA,DE,ADORA,ADORA,12
5400,CALLE,CALLEDEADRA,DE,ADRA,ADRA,13
5600,CALLE,CALLEDEADRADA DE HAZA,DE,ADRADA DE HAZA,ADRADA DE HAZA,13
5700,CALLE,CALLEDEADRIAN ANDRES,DE,ADRIAN ANDRES,ADRIÁN ANDRÉS,9
5900,CALLE,CALLEDEADRIAN PULIDO,DE,ADRIAN PULIDO,ADRIÁN PULIDO,6
31000084,CALLE,CALLEDEADRIANO DE UTRECHT,DE,ADRIANO DE UTRECHT,ADRIANO DE UTRECHT,16
6000,CALLE,CALLEDE LAADUANA,DE LA,ADUANA,ADUANA,1
6300,CALLE,CALLEDE LAAERONAVE,DE LA,AERONAVE,AERONAVE,21
1126,CAMINO,CAMINODELAEROPUERTO,DEL,AEROPUERTO,AEROPUERTO,21
1006,CALLE,CALLEDELAFECTO,DEL,AFECTO,AFECTO,17
1022,CALLE,CALLEDE LOSAFLUENTES,DE LOS,AFLUENTES,AFLUENTES,17
6600,CALLE,CALLEDEAFUERAS A SAN ROQUE,DE,AFUERAS A SAN ROQUE,AFUERAS A SAN ROQUE,8
6700,CALLE,CALLEDEAFUERAS A VALVERDE,DE,AFUERAS A VALVERDE,AFUERAS A VALVERDE,8
6700,CALLE,CALLEDEAFUERAS A VALVERDE,DE,AFUERAS A VALVERDE,AFUERAS A VALVERDE,8
6800,CALLE,CALLEDEAGAMI,DE,AGAMI,AGAMI,15
7000,CALLE,CALLEDEAGASTIA,DE,AGASTIA,AGASTIA,15
7000,CALLE,CALLEDEAGASTIA,DE,AGASTIA,AGASTIA,15
7000,CALLE,CALLEDEAGASTIA,DE,AGASTIA,AGASTIA,15
7000,CALLE,CALLEDEAGASTIA,DE,AGASTIA,AGASTIA,15
7100,CALLE,CALLEDEAGATA,DE,AGATA,ÁGATA,17
7200,PLAZA,PLAZADEAGATA,DE,AGATA,ÁGATA,17
31001351,CALLE,CALLEDEAGATHA CHRISTIE,DE,AGATHA CHRISTIE,AGATHA CHRISTIE,16
7300,CALLE,CALLEDELAGAVE,DEL,AGAVE,ÁGAVE,6
2826,CALLE,CALLEDEAGES,DE,AGES,AGÉS,8
7400,CALLE,CALLEDEAGILA,DE,AGILA,AGILA,10
7600,CALLE,CALLEDEAGOSTO,DE,AGOSTO,AGOSTO,20
7700,CALLE,CALLEDELAGRACEJO,DEL,AGRACEJO,AGRACEJO,6
7800,CALLE,CALLEDEAGRAMUNT,DE,AGRAMUNT,AGRAMUNT,21
7850,CALLE,CALLEDEAGREDA,DE,AGREDA,ÁGREDA,16
31001268,PLAZA,"PLAZADEAGUA, AZUCARILLOS Y AGUARDIENTE",DE,"AGUA, AZUCARILLOS Y AGUARDIENTE","AGUA, AZUCARILLOS Y AGUARDIENTE",17
31001268,PLAZA,"PLAZADEAGUA, AZUCARILLOS Y AGUARDIENTE",DE,"AGUA, AZUCARILLOS Y AGUARDIENTE","AGUA, AZUCARILLOS Y AGUARDIENTE",17
7900,CALLE,CALLEDELAGUACATE,DEL,AGUACATE,AGUACATE,11
8000,PLAZA,PLAZADELAGUADOR,DEL,AGUADOR,AGUADOR,11
8100,CALLE,CALLEDEAGUADULCE,DE,AGUADULCE,AGUADULCE,21
8200,CALLE,CALLEDEAGUARON,DE,AGUARON,AGUARÓN,9
8300,CALLE,CALLEDE LASAGUAS,DE LAS,AGUAS,AGUAS,1
8400,CALLE,CALLEDEAGUAVIVA,DE,AGUAVIVA,AGUAVIVA,20
8500,CALLE,CALLEDEAGUEDA DIEZ,DE,AGUEDA DIEZ,ÁGUEDA DÍEZ,11
8600,PLAZA,PLAZADEAGUEDA DIEZ,DE,AGUEDA DIEZ,ÁGUEDA DÍEZ,11
838,CALLE,CALLEDEAGUETOL,DE,AGUETOL,AGUETOL,21
8700,CALLE,CALLEDELAGUILA,DEL,AGUILA,ÁGUILA,1
905563,CAMINO,CAMINODELAGUILA DE SAN JORGE,DEL,AGUILA DE SAN JORGE,ÁGUILA DE SAN JORGE,8
8800,CALLE,CALLEDEAGUILAFUENTE,DE,AGUILAFUENTE,AGUILAFUENTE,9
8900,CALLE,CALLEDEAGUILAR DE CAMPOO,DE,AGUILAR DE CAMPOO,AGUILAR DE CAMPOO,9
9100,CALLE,CALLEDEAGUILAR DEL RIO,DE,AGUILAR DEL RIO,AGUILAR DEL RÍO,11
9200,CALLE,CALLEDE LASAGUILEÑAS,DE LAS,AGUILEÑAS,AGUILEÑAS,6
9300,CALLE,CALLEDEAGUILON,DE,AGUILON,AGUILÓN,2
9500,CALLE,CALLEDEAGUIRRE,DE,AGUIRRE,AGUIRRE,4
9600,CALLE,CALLEDE LAAGUJA,DE LA,AGUJA,AGUJA,20
9900,CALLE,CALLEDEAGUSTIN CALVO,DE,AGUSTIN CALVO,AGUSTÍN CALVO,16
9800,CALLE,CALLEDEAGUSTIN DE BETANCOURT,DE,AGUSTIN DE BETANCOURT,AGUSTÍN DE BETANCOURT,7
10200,CALLE,CALLEDEAGUSTIN DE FOXA,DE,AGUSTIN DE FOXA,AGUSTÍN DE FOXÁ,5
2263,CALLE,CALLEDEAGUSTIN DE ITURBIDE,DE,AGUSTIN DE ITURBIDE,AGUSTÍN DE ITURBIDE,16
10600,CALLE,CALLEDEAGUSTIN DE ROJAS,DE,AGUSTIN DE ROJAS,AGUSTÍN DE ROJAS,5
10100,CALLE,CALLEDEAGUSTIN DURAN,DE,AGUSTIN DURAN,AGUSTÍN DURÁN,4
2643,CALLE,CALLEDEAGUSTIN GARCIA MALLA,DE,AGUSTIN GARCIA MALLA,AGUSTÍN GARCÍA MALLA,18
31001046,PLAZA,PLAZADEAGUSTIN GONZALEZ,DE,AGUSTIN GONZALEZ,AGUSTÍN GONZÁLEZ,15
10260,CALLE,CALLEDEAGUSTIN LARA,DE,AGUSTIN LARA,AGUSTÍN LARA,9
10400,CALLE,CALLEDEAGUSTIN QUEROL,DE,AGUSTIN QUEROL,AGUSTÍN QUEROL,3
10500,CALLE,CALLEDEAGUSTIN RODRIGUEZ BONAT,DE,AGUSTIN RODRIGUEZ BONAT,AGUSTÍN RODRÍGUEZ BONAT,11
10800,CALLE,CALLEDEAGUSTIN VIÑAMATA,DE,AGUSTIN VIÑAMATA,AGUSTÍN VIÑAMATA,3
10900,CALLE,CALLEDEAGUSTINA DE ARAGON,DE,AGUSTINA DE ARAGON,AGUSTINA DE ARAGÓN,4
11100,CALLE,CALLEDEAGUSTINA FIERRA,DE,AGUSTINA FIERRA,AGUSTINA FIERRA,11
11300,CALLE,CALLEDE LOSAHIJONES,DE LOS,AHIJONES,AHIJONES,13
11500,AVENIDA,AVENIDADE LOSAHONES,DE LOS,AHONES,AHONES,16
11550,PLAZA,PLAZADELAHORRO,DEL,AHORRO,AHORRO,17
31000677,CALLE,CALLEDE LOSAHUMAOS,DE LOS,AHUMAOS,AHUMAOS,19
11800,CALLE,CALLEDELAILANTO,DEL,AILANTO,AILANTO,6
915,CALLE,CALLEDEAINSA,DE,AINSA,AÍNSA,20
2734,CALLE,CALLEDELAIRE,DEL,AIRE,AIRE,21
11900,CALLE,CALLEDEAIZGORRI,DE,AIZGORRI,AIZGORRI,4
12000,CALLE,CALLEDEAJALVIR,DE,AJALVIR,AJALVIR,9
775601,CALLE,CALLEDELAJENJO,DEL,AJENJO,AJENJO,9
12300,CALLE,CALLEDEAJOFRIN,DE,AJOFRIN,AJOFRÍN,20
12300,CALLE,CALLEDEAJOFRIN,DE,AJOFRIN,AJOFRÍN,20
12350,PASEO,PASEODE LOSALABARDEROS,DE LOS,ALABARDEROS,ALABARDEROS,10
2313,CALLE,CALLEDELALABASTRO,DEL,ALABASTRO,ALABASTRO,2
12400,CALLE,CALLEDE LAALADIERNA,DE LA,ALADIERNA,ALADIERNA,17
12500,CALLE,CALLEDEALAGON,DE,ALAGON,ALAGÓN,21
12600,CALLE,CALLEDEALAJATE,DE,ALAJATE,ALAJATE,12
12700,CALLE,CALLEDELALAMBIQUE,DEL,ALAMBIQUE,ALAMBIQUE,20
12800,CALLE,CALLEDE LAALAMEDA,DE LA,ALAMEDA,ALAMEDA,1
31000371,CALLE,CALLEDE LAALAMEDA DE LA FUENTE,DE LA,ALAMEDA DE LA FUENTE,ALAMEDA DE LA FUENTE,19
31000371,CALLE,CALLEDE LAALAMEDA DE LA FUENTE,DE LA,ALAMEDA DE LA FUENTE,ALAMEDA DE LA FUENTE,21
13000,PASEO,PASEODE LAALAMEDA DE OSUNA,DE LA,ALAMEDA DE OSUNA,ALAMEDA DE OSUNA,16
13000,PASEO,PASEODE LAALAMEDA DE OSUNA,DE LA,ALAMEDA DE OSUNA,ALAMEDA DE OSUNA,21
31000506,CALLE,CALLEDEALAMEDA DEL VALLE,DE,ALAMEDA DEL VALLE,ALAMEDA DEL VALLE,18
13200,CALLE,CALLEDEALAMEDILLA,DE,ALAMEDILLA,ALAMEDILLA,2
1189,PASEO,PASEODE LASALAMEDILLAS,DE LAS,ALAMEDILLAS,ALAMEDILLAS,8
13400,CALLE,CALLEDELALAMILLO,DEL,ALAMILLO,ALAMILLO,1
13500,PLAZA,PLAZADELALAMILLO,DEL,ALAMILLO,ALAMILLO,1
13600,CALLE,CALLEDELALAMO,DEL,ALAMO,ÁLAMO,1
31001239,CALLE,CALLEDEALAN TURING,DE,ALAN TURING,ALAN TURING,13
13900,CALLE,CALLEDEALANIS,DE,ALANIS,ALANIS,21
14000,CALLE,CALLEDEALAR DEL REY,DE,ALAR DEL REY,ALAR DEL REY,21
14100,CALLE,CALLEDEALARICO,DE,ALARICO,ALARICO,11
14200,CALLE,CALLEDEALARO,DE,ALARO,ALARÓ,21
14300,CALLE,CALLEDE LASALAS,DE LAS,ALAS,ALAS,21
14400,CALLE,CALLEDELALATERNO,DEL,ALATERNO,ALATERNO,5
14500,CALLE,CALLEDEALAVA,DE,ALAVA,ÁLAVA,15
14600,CALLE,CALLEDELALBA,DEL,ALBA,ALBA,16
14700,CALLE,CALLEDEALBA DE TORMES,DE,ALBA DE TORMES,ALBA DE TORMES,11
14750,CALLE,CALLEDEALBACETE,DE,ALBACETE,ALBACETE,15
14800,CALLE,CALLEDEALBADALEJO,DE,ALBADALEJO,ALBADALEJO,20
14900,CALLE,CALLEDE LAALBAHACA,DE LA,ALBAHACA,ALBAHACA,16
15050,CALLE,CALLEDEALBAICIN,DE,ALBAICIN,ALBAICÍN,12
15100,CALLE,CALLEDEALBAIDA,DE,ALBAIDA,ALBAIDA,20
15200,CALLE,CALLEDEALBALA,DE,ALBALA,ALBALÁ,20
15300,CALLE,CALLEDEALBALATE DEL ARZOBISPO,DE,ALBALATE DEL ARZOBISPO,ALBALATE DEL ARZOBISPO,13
2455,CALLE,CALLEDEALBANIA,DE,ALBANIA,ALBANIA,20
15400,CALLE,CALLEDE LAALBAÑILERIA,DE LA,ALBAÑILERIA,ALBAÑILERÍA,20
983,CALLE,CALLEDELALBARDIN,DEL,ALBARDIN,ALBARDÍN,12
15500,CALLE,CALLEDEALBARES DE LA RIBERA,DE,ALBARES DE LA RIBERA,ALBARES DE LA RIBERA,11
15600,CALLE,CALLEDELALBARICOQUE,DEL,ALBARICOQUE,ALBARICOQUE,11
15700,CALLE,CALLEDEALBARRACIN,DE,ALBARRACIN,ALBARRACÍN,20
15800,CALLE,CALLEDEALBASANZ,DE,ALBASANZ,ALBASANZ,20
15900,CALLE,CALLEDEALBATANA,DE,ALBATANA,ALBATANA,16
16000,CALLE,CALLEDELALBATROS,DEL,ALBATROS,ALBATROS,11
16100,CALLE,CALLEDEALBELDA,DE,ALBELDA,ALBELDA,15
16200,CALLE,CALLEDEALBENDIEGO,DE,ALBENDIEGO,ALBENDIEGO,6
16300,CALLE,CALLEDEALBENIZ,DE,ALBENIZ,ALBÉNIZ,10
16400,CALLE,CALLEDEALBENTOSA,DE,ALBENTOSA,ALBENTOSA,11
16400,CALLE,CALLEDEALBENTOSA,DE,ALBENTOSA,ALBENTOSA,11
16700,CALLE,CALLEDELALBERCHE,DEL,ALBERCHE,ALBERCHE,2
16700,CALLE,CALLEDELALBERCHE,DEL,ALBERCHE,ALBERCHE,3
16800,CALLE,CALLEDEALBERDI,DE,ALBERDI,ALBERDI,6
905194,CARRETERA,CARRETERADELALBERGUE JUVENIL,DEL,ALBERGUE JUVENIL,ALBERGUE JUVENIL,9
17100,CALLE,CALLEDEALBERIQUE,DE,ALBERIQUE,ALBERIQUE,20
17100,CALLE,CALLEDEALBERIQUE,DE,ALBERIQUE,ALBERIQUE,20
31002035,CALLE,CALLEDEALBERT CAMUS,DE,ALBERT CAMUS,ALBERT CAMUS,11
17200,CALLE,CALLEDEALBERTO AGUILERA,DE,ALBERTO AGUILERA,ALBERTO AGUILERA,1
17200,CALLE,CALLEDEALBERTO AGUILERA,DE,ALBERTO AGUILERA,ALBERTO AGUILERA,7
17200,CALLE,CALLEDEALBERTO AGUILERA,DE,ALBERTO AGUILERA,ALBERTO AGUILERA,7
17300,AVENIDA,AVENIDADEALBERTO ALCOCER,DE,ALBERTO ALCOCER,ALBERTO ALCOCER,5
17300,AVENIDA,AVENIDADEALBERTO ALCOCER,DE,ALBERTO ALCOCER,ALBERTO ALCOCER,5
17400,CALLE,CALLEDEALBERTO BOSCH,DE,ALBERTO BOSCH,ALBERTO BOSCH,3
31001914,CALLE,CALLEDEALBERTO DE PALACIO,DE,ALBERTO DE PALACIO,ALBERTO DE PALACIO,16
17550,CALLE,CALLEDEALBERTO INSUA,DE,ALBERTO INSUA,ALBERTO INSÚA,8
17600,CALLE,CALLEDEALBERTO LEON PERALTA,DE,ALBERTO LEON PERALTA,ALBERTO LEÓN PERALTA,5
17700,CALLE,CALLEDEALBERTO MARCOS,DE,ALBERTO MARCOS,ALBERTO MARCOS,18
17800,CALLE,CALLEDEALBERTO MARTIN ARTAJO,DE,ALBERTO MARTIN ARTAJO,ALBERTO MARTÍN ARTAJO,4
17900,CALLE,CALLEDEALBERTO PALACIOS,DE,ALBERTO PALACIOS,ALBERTO PALACIOS,17
18100,PASEO,PASEODEALBERTO PALACIOS,DE,ALBERTO PALACIOS,ALBERTO PALACIOS,17
31000678,CALLE,CALLEDEALBERTO SANCHEZ,DE,ALBERTO SANCHEZ,ALBERTO SÁNCHEZ,19
18200,CALLE,CALLEDEALBINO HERNANDEZ LAZARO,DE,ALBINO HERNANDEZ LAZARO,ALBINO HERNÁNDEZ LÁZARO,17
18300,CALLE,CALLEDEALBOREA,DE,ALBOREA,ALBOREA,11
18500,CALLE,CALLEDEALBOX,DE,ALBOX,ALBOX,11
18600,AVENIDA,AVENIDADE LAALBUFERA,DE LA,ALBUFERA,ALBUFERA,13
18600,AVENIDA,AVENIDADE LAALBUFERA,DE LA,ALBUFERA,ALBUFERA,13
18600,AVENIDA,AVENIDADE LAALBUFERA,DE LA,ALBUFERA,ALBUFERA,13
18600,AVENIDA,AVENIDADE LAALBUFERA,DE LA,ALBUFERA,ALBUFERA,13
18600,AVENIDA,AVENIDADE LAALBUFERA,DE LA,ALBUFERA,ALBUFERA,13
18750,CALLE,CALLEDEALBUÑUELAS,DE,ALBUÑUELAS,ALBUÑUELAS,12
18800,CALLE,CALLEDEALBURQUERQUE,DE,ALBURQUERQUE,ALBURQUERQUE,7
18850,CALLE,CALLEDEALCACER TEJARES,DE,ALCACER TEJARES,ALCÁCER TEJARES,19
18900,CALLE,CALLEDEALCALA,DE,ALCALA,ALCALÁ,1
18900,CALLE,CALLEDEALCALA,DE,ALCALA,ALCALÁ,1
18900,CALLE,CALLEDEALCALA,DE,ALCALA,ALCALÁ,1
18900,CALLE,CALLEDEALCALA,DE,ALCALA,ALCALÁ,3
18900,CALLE,CALLEDEALCALA,DE,ALCALA,ALCALÁ,4
18900,CALLE,CALLEDEALCALA,DE,ALCALA,ALCALÁ,4
18900,CALLE,CALLEDEALCALA,DE,ALCALA,ALCALÁ,4
18900,CALLE,CALLEDEALCALA,DE,ALCALA,ALCALÁ,4
18900,CALLE,CALLEDEALCALA,DE,ALCALA,ALCALÁ,15
18900,CALLE,CALLEDEALCALA,DE,ALCALA,ALCALÁ,15
18900,CALLE,CALLEDEALCALA,DE,ALCALA,ALCALÁ,15
18900,CALLE,CALLEDEALCALA,DE,ALCALA,ALCALÁ,15
18900,CALLE,CALLEDEALCALA,DE,ALCALA,ALCALÁ,20
18900,CALLE,CALLEDEALCALA,DE,ALCALA,ALCALÁ,20
18900,CALLE,CALLEDEALCALA,DE,ALCALA,ALCALÁ,20
18900,CALLE,CALLEDEALCALA,DE,ALCALA,ALCALÁ,20
18900,CALLE,CALLEDEALCALA,DE,ALCALA,ALCALÁ,20
19100,CALLE,CALLEDEALCALA DE GUADAIRA,DE,ALCALA DE GUADAIRA,ALCALÁ DE GUADAIRA,13
19000,CALLE,CALLEDEALCALA GALIANO,DE,ALCALA GALIANO,ALCALÁ GALIANO,7
19110,CALLE,CALLEDELALCALDE ALFONSO VAZQUEZ,DEL,ALCALDE ALFONSO VAZQUEZ,ALCALDE ALFONSO VÁZQUEZ,13
31000121,CALLE,CALLEDELALCALDE ALVAREZ DE VILLAAMIL,DEL,ALCALDE ALVAREZ DE VILLAAMIL,ALCALDE ÁLVAREZ DE VILLAAMIL,16
31001811,CALLE,CALLEDELALCALDE ANDRES MADRID DAVILA,DEL,ALCALDE ANDRES MADRID DAVILA,ALCALDE ANDRÉS MADRID DÁVILA,19
31000120,CALLE,CALLEDELALCALDE ARISTIZABAL MANCHON,DEL,ALCALDE ARISTIZABAL MANCHON,ALCALDE ARISTIZÁBAL MANCHÓN,16
19115,PLAZA,PLAZADELALCALDE BRELL,DEL,ALCALDE BRELL,ALCALDE BRELL,11
31000119,CALLE,CALLEDELALCALDE CONDE DE MIRASOL,DEL,ALCALDE CONDE DE MIRASOL,ALCALDE CONDE DE MIRASOL,16
31005201,GLORIETA,GLORIETADELALCALDE DE CANILLAS CIPRIANO SANTILLANA MORENO,DEL,ALCALDE DE CANILLAS CIPRIANO SANTILLANA MORENO,ALCALDE DE CANILLAS CIPRIANO SANTILLANA MORENO,16
31005202,GLORIETA,GLORIETADELALCALDE DE CANILLAS JOAQUIN HERAS JIMENEZ,DEL,ALCALDE DE CANILLAS JOAQUIN HERAS JIMENEZ,ALCALDE DE CANILLAS JOAQUÍN HERAS JIMÉNEZ,16
31005200,GLORIETA,GLORIETADELALCALDE DE CANILLAS LUIS HERAS JIMENEZ,DEL,ALCALDE DE CANILLAS LUIS HERAS JIMENEZ,ALCALDE DE CANILLAS LUIS HERAS JIMÉNEZ,16
31005209,GLORIETA,GLORIETADELALCALDE DE CANILLAS MARCO AREVALO PEREZ,DEL,ALCALDE DE CANILLAS MARCO AREVALO PEREZ,ALCALDE DE CANILLAS MARCO ARÉVALO PÉREZ,16
31005208,GLORIETA,GLORIETADELALCALDE DE CANILLAS VICENTE LILLO SOLER,DEL,ALCALDE DE CANILLAS VICENTE LILLO SOLER,ALCALDE DE CANILLAS VICENTE LILLO SOLER,16
31005197,GLORIETA,GLORIETADELALCALDE DE HORTALEZA ANDRES MOLPECERES BARCELO,DEL,ALCALDE DE HORTALEZA ANDRES MOLPECERES BARCELO,ALCALDE DE HORTALEZA ANDRÉS MOLPECERES BARCELÓ,16
31005198,GLORIETA,GLORIETADELALCALDE DE HORTALEZA ANGEL MARTINEZ LORENZO,DEL,ALCALDE DE HORTALEZA ANGEL MARTINEZ LORENZO,ALCALDE DE HORTALEZA ÁNGEL MARTÍNEZ LORENZO,16
31005211,GLORIETA,GLORIETADELALCALDE DE HORTALEZA RAFAEL ORTEGA LOPEZ,DEL,ALCALDE DE HORTALEZA RAFAEL ORTEGA LOPEZ,ALCALDE DE HORTALEZA RAFAEL ORTEGA LÓPEZ,16
19135,CALLE,CALLEDELALCALDE GARRIDO JUARISTI,DEL,ALCALDE GARRIDO JUARISTI,ALCALDE GARRIDO JUARISTI,14
19135,CALLE,CALLEDELALCALDE GARRIDO JUARISTI,DEL,ALCALDE GARRIDO JUARISTI,ALCALDE GARRIDO JUARISTI,14
31000123,CALLE,CALLEDELALCALDE HENCHE DE LA PLATA,DEL,ALCALDE HENCHE DE LA PLATA,ALCALDE HENCHE DE LA PLATA,16
750950,CALLE,CALLEDELALCALDE JUAN DE MATA SEVILLANO,DEL,ALCALDE JUAN DE MATA SEVILLANO,ALCALDE JUAN DE MATA SEVILLANO,19
19200,CALLE,CALLEDELALCALDE LOPEZ CASERO,DEL,ALCALDE LOPEZ CASERO,ALCALDE LÓPEZ CASERO,15
19200,CALLE,CALLEDELALCALDE LOPEZ CASERO,DEL,ALCALDE LOPEZ CASERO,ALCALDE LÓPEZ CASERO,15
950,CALLE,CALLEDELALCALDE LUIS MARICHALAR,DEL,ALCALDE LUIS MARICHALAR,ALCALDE LUIS MARICHALAR,14
19210,CALLE,CALLEDELALCALDE LUIS SILVELA,DEL,ALCALDE LUIS SILVELA,ALCALDE LUIS SILVELA,20
19250,CALLE,CALLEDELALCALDE MARTIN DE ALZAGA,DEL,ALCALDE MARTIN DE ALZAGA,ALCALDE MARTÍN DE ALZAGA,9
