DIRECCION_COMPLETA 1,DIRECCION1,URI,NUMBER,COD_DISTRITO,DISTRITO,LATITUD,LONGITUD,DÍA SEMANA,HORA INICIO,HORA FINAL
Calle  Joaquín María López,Joaquín María López,PVMJoaquínMaríaLópez54,54,7,CHAMBERI,40.43786013,-3.715549993,MARTES,8:45,10:15
Calle  Diligencia,Diligencia,PVMDiligencia22,22,13,PUENTE VALLECAS,40.38313013,-3.656179994,MARTES,8:45,10:15
Calle  Fernando Poo,Fernando Poo,PVMFernandoPoo36,36,2,ARGANZUELA,40.39662013,-3.699859994,MARTES,10:30,12:00
Calle  Arrieta,Arrieta,PVMArrieta15,15,1,CENTRO,40.41918013,-3.711069993,MARTES,10:30,12:00
Calle  Ponzano,Ponzano,PVMPonzano2,2,7,CHAMBERI,40.43695013,-3.699359994,MARTES,10:30,12:00
Avenida  San Diego,San Diego,PVMSanDiego78,78,13,PUENTE VALLECAS,40.38777013,-3.669399994,MARTES,10:30,12:00
Paseo  Delicias,Delicias,PVMDelicias68,68,2,ARGANZUELA,40.39936013,-3.694309994,MARTES,12:15,13:45
Calle  Francisco de Rojas,Francisco de Rojas,PVMFranciscodeRojas11,11,7,CHAMBERI,40.43002013,-3.699999994,MARTES,12:15,13:45
Calle  Enrique García Álvarez,Enrique García Álvarez,PVMEnriqueGarcíaÁlvarez10,10,18,VILLA DE VALLECAS,40.38180013,-3.614779994,MARTES,12:15,13:45
Calle  Fray Luis de León,Fray Luis de León,PVMFrayLuisdeLeón17,17,2,ARGANZUELA,40.40480013,-3.698689994,MARTES,14:00,15:30
Calle  García de Paredes,García de Paredes,PVMGarcíadeParedes82,82,7,CHAMBERI,40.43655013,-3.693179994,MARTES,14:00,15:30
Avenida  Celio Villalba,Celio Villalba,PVMCelioVillalba,,16,HORTALEZA,40.47455013,-3.636779994,MARTES,14:00,15:30
Calle  Marismas,Marismas,PVMMarismas24,24,13,PUENTE VALLECAS,40.40144013,-3.653579994,MARTES,14:00,15:30
Calle  Fuentespina,Fuentespina,PVMFuentespina10,10,18,VILLA DE VALLECAS,40.37947013,-3.606899994,MARTES,14:00,15:30
Calle  Arganda,Arganda,PVMArganda2,2,2,ARGANZUELA,40.399104,-3.709351,MARTES,15:45,17:15
Plaza  San Juan de la Cruz,San Juan de la Cruz,PVMSanJuandelaCruz3,3,7,CHAMBERI,40.44116013,-3.694359994,MARTES,15:45,17:15
Calle  Alcalá,Alcalá,PVMAlcalá287,287,15,CIUDAD LINEAL,40.43232013,-3.654259994,MARTES,15:45,17:15
Calle  Dolores Barranco,Dolores Barranco,PVMDoloresBarranco50,50,12,USERA,40.38333013,-3.706829993,MARTES,15:45,17:15
Calle  Cobre,Cobre,PVMCobre5,5,2,ARGANZUELA,40.39373013,-3.689229994,MARTES,17:30,19:00
Calle  Segovia,Segovia,PVMSegovia20,20,1,CENTRO,40.41397013,-3.712239993,MARTES,17:30,19:00
Calle  Vallehermoso,Vallehermoso,PVMVallehermoso50,50,7,CHAMBERI,40.43569013,-3.708619993,MARTES,17:30,19:00
Calle  Hermanos Machado,Hermanos Machado,PVMHermanosMachado,,15,CIUDAD LINEAL,40.43113013,-3.649019994,MARTES,17:30,19:00
Carretera  de Canillas,Carretera  de Canillas,PVMCarreteradeCanillas39,39,16,HORTALEZA,40.46314013,-3.648019994,MARTES,17:30,19:00
Calle  Rafael Fernández Hijicos,Rafael Fernández Hijicos,PVMRafaelFernándezHijicos32,32,13,PUENTE VALLECAS,40.39040013,-3.635409994,MARTES,17:30,19:00
Calle  Embajadores,Embajadores,PVMEmbajadores274,274,2,ARGANZUELA,40.38549013,-3.689209994,MARTES,19:15,20:45
Avenida  Islas Filipinas,Islas Filipinas,PVMIslasFilipinas32,32,7,CHAMBERI,40.44049013,-3.708339993,MARTES,19:15,20:45
Avenida  Madroños,Madroños,PVMMadroños61,61,16,HORTALEZA,40.45632013,-3.632859994,MARTES,19:15,20:45
Calle  Fresnedillas,Fresnedillas,PVMFresnedillas9,9,8,FUENCARRAL,40.47787013,-3.742329993,MIÉRCOLES,7:00,8:30
Avenida  de Asturias,de Asturias,PVMdeAsturias6,6,6,TETUAN,40.46799013,-3.692879994,MIÉRCOLES,7:00,8:30
Calle  Ribadavia,Ribadavia,PVMRibadavia27,27,8,FUENCARRAL,40.47290013,-3.708649993,MIÉRCOLES,8:45,10:15
Calle  Sor Ángela de la Cruz,Sor Ángela de la Cruz,PVMSorÁngeladelaCruz12,12,6,TETUAN,40.45936013,-3.693459994,MIÉRCOLES,8:45,10:15
Camino  Ganapanes,Camino  Ganapanes,PVMCaminoGanapanes,,8,FUENCARRAL,40.47571013,-3.715949993,MIÉRCOLES,10:30,12:00
Avenida  Complutense,Complutense,PVMComplutenses/n,s/n,9,MONCLOA-ARAVACA,40.45126013,-3.727629993,MIÉRCOLES,10:30,12:00
Avenida  Hellin,Hellin,PVMHellin17,17,20,SAN BLAS-CANILLEJAS,40.43080013,-3.615859994,MIÉRCOLES,10:30,12:00
Calle  Sangenjo,Sangenjo,PVMSangenjo12,12,8,FUENCARRAL,40.48415013,-3.702489994,MIÉRCOLES,12:15,13:45
Calle  Carpintería,Carpintería,PVMCarpintería,,20,SAN BLAS-CANILLEJAS,40.42558013,-3.622589994,MIÉRCOLES,12:15,13:45
Calle  Marqués de Viana,Marqués de Viana,PVMMarquésdeViana70,70,6,TETUAN,40.46385013,-3.704259993,MIÉRCOLES,12:15,13:45
Calle  Capitán Blanco Argibay,Capitán Blanco Argibay,PVMCapitánBlancoArgibay134,134,6,TETUAN,40.46721013,-3.704279993,MIÉRCOLES,14:00,15:30
Plaza  de Coimbra,de Coimbra,PVMdeCoimbra,,11,CARABANCHEL,40.38316051,-3.723731631,MIÉRCOLES,15:45,17:15
Calle  San Restituto,San Restituto,PVMSanRestituto24,24,9,MONCLOA-ARAVACA,40.46505013,-3.711819993,MIÉRCOLES,15:45,17:15
Avenida  Pablo Iglesias,Pablo Iglesias,PVMPabloIglesias36,36,6,TETUAN,40.44831013,-3.708949993,MIÉRCOLES,15:45,17:15
Calle  Santa María Magdalena,Santa María Magdalena,PVMSantaMaríaMagdalena18,18,5,CHAMARTIN,40.46299013,-3.670519994,JUEVES,7:00,8:30
Avenida  San Luis,San Luis,PVMSanLuis27,27,16,HORTALEZA,40.47099013,-3.656979994,JUEVES,7:00,8:30
Calle  Marqués de Lozoya,Marqués de Lozoya,PVMMarquésdeLozoya26,26,3,RETIRO,40.41791013,-3.663209994,JUEVES,7:00,8:30
Calle  Minerva,Minerva,PVMMinerva19,19,19,VICALVARO,40.39696013,-3.605319994,JUEVES,7:00,8:30
Avenida  Pío XII,Pío XII,PVMPíoXII46,46,5,CHAMARTIN,40.46811013,-3.673659994,JUEVES,8:45,10:15
Calle  Estíbaliz,Estíbaliz,PVMEstíbaliz28,28,16,HORTALEZA,40.47024013,-3.648099994,JUEVES,8:45,10:15
Calle  Ibiza,Ibiza,PVMIbiza60,60,3,RETIRO,40.41792013,-3.671159994,JUEVES,8:45,10:15
Calle  General López Pozas,General López Pozas,PVMGeneralLópezPozas16,16,5,CHAMARTIN,40.46533013,-3.685389994,JUEVES,10:30,12:00
Calle  Amado Nervo,Amado Nervo,PVMAmadoNervo12,12,3,RETIRO,40.40922013,-3.674279994,JUEVES,10:30,12:00
Calle  Príncipe de Vergara,Príncipe de Vergara,PVMPríncipedeVergara248,248,5,CHAMARTIN,40.45366013,-3.677269994,JUEVES,12:15,13:45
Calle  Valderribas,Valderribas,PVMValderribas25,25,3,RETIRO,40.40226013,-3.670239994,JUEVES,12:15,13:45
Avenida  Manuel Fraga Iribarne,Manuel Fraga Iribarne,PVMManuelFragaIribarne35,35,21,BARAJAS,40.48826013,-3.608829994,JUEVES,14:00,15:30
Paseo  Reina Cristina,Reina Cristina,PVMReinaCristina5,5,3,RETIRO,40.40669013,-3.683459994,JUEVES,14:00,15:30
Calle  Téllez,Téllez,PVMTéllez26,26,3,RETIRO,40.40235013,-3.679429994,JUEVES,15:45,17:15
Calle  Sofía,Sofía,PVMSofía205,205,20,SAN BLAS-CANILLEJAS,40.42927013,-3.601609994,JUEVES,19:15,20:45
Calle  San Modesto,San Modesto,PVMSanModesto,,8,FUENCARRAL,40.48422013,-3.685469994,VIERNES,7:00,8:30
Avenida  Abrantes,Abrantes,PVMAbrantes40,40,11,CARABANCHEL,40.38173013,-3.727039993,VIERNES,8:45,10:15
Calle  Caballero de la Blanca Luna,Caballero de la Blanca Luna,PVMCaballerodelaBlancaLuna1,1,8,FUENCARRAL,40.50520013,-3.687349994,VIERNES,8:45,10:15
Avenida  Padre Piquer,Padre Piquer,PVMPadrePiquer13,13,10,LATINA,40.39407013,-3.767689993,VIERNES,10:30,12:00
Avenida  Rosales,Rosales,PVMRosales,,17,VILLAVERDE,40.35336013,-3.679539994,VIERNES,10:30,12:00
Calle  Pico Milano,Pico Milano,PVMPicoMilano9,9,8,FUENCARRAL,40.48628013,-3.712759993,VIERNES,12:15,13:45
Calle  Yébenes,Yébenes,PVMYébenes110,110,10,LATINA,40.39213013,-3.751569993,VIERNES,12:15,13:45
Calle  Arroyo de la Bulera,Arroyo de la Bulera,PVMArroyodelaBulera11,11,17,VILLAVERDE,40.33887013,-3.680449994,VIERNES,12:15,13:45
Calle  Mariblanca,Mariblanca,PVMMariblanca18,18,12,USERA,40.39157013,-3.706189993,VIERNES,14:00,15:30
Calle  Alférez Juan Usera,Alférez Juan Usera,PVMAlférezJuanUsera36,36,11,CARABANCHEL,40.39546013,-3.731189993,VIERNES,15:45,17:15
Calle  Elfo,Elfo,PVMElfo55,55,15,CIUDAD LINEAL,40.43380013,-3.652179994,VIERNES,15:45,17:15
Calle  Joaquín Lorenzo,Joaquín Lorenzo,PVMJoaquínLorenzo106,106,8,FUENCARRAL,40.47572013,-3.735839993,VIERNES,15:45,17:15
Avenida  Apóstoles,Apóstoles,PVMApóstoles13,13,10,LATINA,40.40567013,-3.739699993,VIERNES,15:45,17:15
Calle  Virgen de las Cruces,Virgen de las Cruces,PVMVirgendelasCruces2,2,12,USERA,40.37825013,-3.692449994,VIERNES,15:45,17:15
Plaza  de la Parroquia,de la Parroquia,PVMdelaParroquia16,16,11,CARABANCHEL,40.37993013,-3.741849993,VIERNES,17:30,19:00
Calle  Pablo Casals,Pablo Casals,PVMPabloCasals10,10,10,LATINA,40.41020013,-3.724709993,VIERNES,17:30,19:00
Calle  Pico de Artilleros,Pico de Artilleros,PVMPicodeArtilleros55,55,14,MORATALAZ,40.40481013,-3.641189994,VIERNES,17:30,19:00
Calle  la Canción del Olvido,la Canción del Olvido,PVMlaCancióndelOlvido47,47,17,VILLAVERDE,40.35701013,-3.699809994,VIERNES,19:15,20:45
Calle  Barquillo,Barquillo,PVMBarquillo4,4,1,CENTRO,40.41969013,-3.695529994,SABADO,7:00,8:30
Calle  Lope de Vega,Lope de Vega,PVMLopedeVega36,36,1,CENTRO,40.41438013,-3.697449994,SABADO,8:45,10:15
Calle  Jose Ortega y Gasset,Jose Ortega y Gasset,PVMJoseOrtegayGasset8,8,4,SALAMANCA,40.43020013,-3.686059994,SABADO,8:45,10:15
Avenida  Pablo Iglesias,Pablo Iglesias,PVMPabloIglesias55,55,9,MONCLOA-ARAVACA,40.45058013,-3.710829993,SABADO,10:30,12:00
Calle  Juan Bravo,Juan Bravo,PVMJuanBravo35-37,35-37,4,SALAMANCA,40.43269013,-3.678079994,SABADO,10:30,12:00
Calle  Nicolasa Gómez,Nicolasa Gómez,PVMNicolasaGómez80,80,20,SAN BLAS-CANILLEJAS,40.43846013,-3.611789994,SABADO,10:30,12:00
Plaza  Tirso de Molina,Tirso de Molina,PVMTirsodeMolina16,16,1,CENTRO,40.41259013,-3.704569993,SABADO,12:15,13:45
Calle  Ribera de Manzanares,Ribera de Manzanares,PVMRiberadeManzanares125,125,9,MONCLOA-ARAVACA,40.42943013,-3.733359993,SABADO,12:15,13:45
Calle  del Pilar de Zaragoza,del Pilar de Zaragoza,PVMdelPilardeZaragoza57,57,4,SALAMANCA,40.43575013,-3.671359994,SABADO,12:15,13:45
Calle  Arriaza,Arriaza,PVMArriaza10,10,9,MONCLOA-ARAVACA,40.42125013,-3.716109993,SABADO,14:00,15:30
Calle  Berlín,Berlín,PVMBerlín3,3,4,SALAMANCA,40.44147013,-3.663359994,SABADO,14:00,15:30
Calle  Espíritu Santo,Espíritu Santo,PVMEspírituSanto26,26,1,CENTRO,40.42546013,-3.703639993,SABADO,15:45,17:15
Plaza  Lavapiés,Lavapiés,PVMLavapiés8,8,1,CENTRO,40.40868013,-3.701249994,SABADO,15:45,17:15
Calle  Luis Moya Blanco,Luis Moya Blanco,PVMLuisMoyaBlanco27,27,16,HORTALEZA,40.49606013,-3.616409994,SABADO,15:45,17:15
Calle  Doctor Esquerdo,Doctor Esquerdo,PVMDoctorEsquerdo47,47,4,SALAMANCA,40.42316013,-3.668589994,SABADO,15:45,17:15
Calle  Miguel Servet,Miguel Servet,PVMMiguelServet15,15,1,CENTRO,40.40727013,-3.700779994,SABADO,17:30,19:00
Calle  Silva,Silva,PVMSilva25,25,1,CENTRO,40.4218911,-3.705691,SABADO,17:30,19:00
Calle  General Díaz Porlier,General Díaz Porlier,PVMGeneralDíazPorlier41,41,4,SALAMANCA,40.42837013,-3.677029994,SABADO,17:30,19:00
Calle  Villanueva,Villanueva,PVMVillanueva20,20,4,SALAMANCA,40.42242013,-3.687069994,SABADO,19:15,20:45
Calle  Estrella Polar,Estrella Polar,PVMEstrellaPolar22,22,3,RETIRO,40.41085914,-3.666186786,LUNES,7:00,8:30
Calle  Jerónima Llorente,Jerónima Llorente,PVMJerónimaLlorente65,65,6,TETUAN,40.45332738,-3.708129826,LUNES,7:00,8:30
Calle  Pinar de San José,Pinar de San José,PVMPinardeSanJosé13,13,11,CARABANCHEL,40.36405652,-3.76208289,LUNES,7:00,8:30
Paseo  Lanceros,Lanceros,PVMLanceros2,2,10,LATINA,40.37910205,-3.79289123,LUNES,7:00,8:30
Plaza  El Pardo,El Pardo,PVMElPardo1,1,8,FUENCARRAL,40.52027135,-3.777549085,LUNES,7:00,8:30
Avenida  Menéndez Pelayo,Menéndez Pelayo,PVMMenéndezPelayo29,29,3,RETIRO,40.41864668,-3.679030573,LUNES,8:45,10:15
Calle  Cerro de Minguete,Cerro de Minguete,PVMCerrodeMinguete9,9,8,FUENCARRAL,40.48673425,-3.719531943,LUNES,8:45,10:15
Calle  Francos Rodríguez,Francos Rodríguez,PVMFrancosRodríguez57,57,6,TETUAN,40.45680834,-3.709264743,LUNES,8:45,10:15
Avenida  Nuestra Señora de Fátima,Nuestra Señora de Fátima,PVMNuestraSeñoradeFátima15,15,11,CARABANCHEL,40.38586625,-3.744391677,LUNES,8:45,10:15
Calle  Villasandino,Villasandino,PVMVillasandino35,35,10,LATINA,40.40570434,-3.752934046,LUNES,8:45,10:15
Avenida  Cardenal Herrera Oria,Cardenal Herrera Oria,PVMCardenalHerreraOria259,259,8,FUENCARRAL,40.48015632,-3.722328509,LUNES,10:30,12:00
Avenida  Menéndez Pelayo,Menéndez Pelayo,PVMMenéndezPelayo95,95,3,RETIRO,40.40670603,-3.679105448,LUNES,10:30,12:00
Calle  Antonio Leyva,Antonio Leyva,PVMAntonioLeyva77,77,11,CARABANCHEL,40.387688,-3.716653,LUNES,10:30,12:00
Paseo  de los Jesuitas,de los Jesuitas,PVMdelosJesuitas42,42,10,LATINA,40.40870061,-3.734961308,LUNES,10:30,12:00
Calle  Cándido Mateos,Cándido Mateos,PVMCándidoMateos17,17,8,FUENCARRAL,40.4738771,-3.718525244,LUNES,12:15,13:45
Calle  Carlos Daban,Carlos Daban,PVMCarlosDaban28,28,11,CARABANCHEL,40.39751151,-3.731708393,LUNES,12:15,13:45
Calle  Doctor Esquerdo,Doctor Esquerdo,PVMDoctorEsquerdo152,152,3,RETIRO,40.40368003,-3.672931679,LUNES,12:15,13:45
Calle  Virgen de África,Virgen de África,PVMVirgendeÁfrica14,14,15,CIUDAD LINEAL,40.43834992,-3.653981217,LUNES,12:15,13:45
Glorieta  de los Cármenes,Glorieta  de los Cármenes,PVMGlorietadelosCármenes,,10,LATINA,40.39569796,-3.743411287,LUNES,12:15,13:45
Plaza  de la Remonta,de la Remonta,PVMdelaRemonta3,3,6,TETUAN,40.46457158,-3.697613671,LUNES,12:15,13:45
Avenida   Alfonso XIII,Alfonso XIII,PVMAlfonsoXIII65,65,5,CHAMARTIN,40.45413668,-3.667255232,LUNES,14:00,15:30
Avenida  de Asturias,de Asturias,PVMdeAsturias44,44,6,TETUAN,40.47081088,-3.696958818,LUNES,14:00,15:30
Calle  Agastia,Agastia,PVMAgastia42,42,15,CIUDAD LINEAL,40.44556187,-3.65100177,LUNES,14:00,15:30
Calle  Laguna,Laguna,PVMLaguna121,121,11,CARABANCHEL,40.38831619,-3.741772099,LUNES,14:00,15:30
Calle  Ocaña,Ocaña,PVMOcaña149,149,10,LATINA,40.38640227,-3.753163133,LUNES,14:00,15:30
Calle  Seco,Seco,PVMSeco2,2,3,RETIRO,40.39926602,-3.671943717,LUNES,14:00,15:30
Calle  Fermín Caballero,Fermín Caballero,PVMFermínCaballero49-51,49-51,8,FUENCARRAL,40.48426912,-3.706580057,LUNES,14:00,15:30
Avenida  Oporto,Oporto,PVMOporto33,33,11,CARABANCHEL,40.38542445,-3.724508546,LUNES,15:45,17:15
Calle  Camarena,Camarena,PVMCamarena235,235,10,LATINA,40.38631089,-3.757199396,LUNES,15:45,17:15
Calle  Cañas,Cañas,PVMCañas13,13,15,CIUDAD LINEAL,40.45793674,-3.659440281,LUNES,15:45,17:15
Calle  Doctor Esquerdo,Doctor Esquerdo,PVMDoctorEsquerdo94,94,3,RETIRO,40.41173813,-3.669933119,LUNES,15:45,17:15
Calle  Julio Palacios,Julio Palacios,PVMJulioPalacios10,10,8,FUENCARRAL,40.41173813,-3.669933119,LUNES,15:45,17:15
Plaza  del Perú,del Perú,PVMdelPerú,,5,CHAMARTIN,40.46050652,-3.676366952,LUNES,15:45,17:15
Avenida  Alberto Alcocer,Alberto Alcocer,PVMAlbertoAlcocer28,28,5,CHAMARTIN,40.45847985,-3.683840815,LUNES,17:30,19:00
Calle  Arturo Soria,Arturo Soria,PVMArturoSoria242,242,15,CIUDAD LINEAL,40.46558716,-3.66539655,LUNES,17:30,19:00
Calle  Clara Campoamor,Clara Campoamor,PVMClaraCampoamor75,75,11,CARABANCHEL,40.37957467,-3.732811665,LUNES,17:30,19:00
Calle  Fuente del Tiro,Fuente del Tiro,PVMFuentedelTiro17,17,10,LATINA,40.38361228,-3.780577319,LUNES,17:30,19:00
Calle  Narváez,Narváez,PVMNarváez82,82,3,RETIRO,40.41659121,-3.676571862,LUNES,17:30,19:00
Calle  Nuestra Señora de Valverde,Nuestra Señora de Valverde,PVMNuestraSeñoradeValverde17,17,8,FUENCARRAL,40.49226604,-3.686740229,LUNES,17:30,19:00
Calle  Poeta Joan Maragall,Poeta Joan Maragall,PVMPoetaJoanMaragall45,45,6,TETUAN,40.46230582,-3.691785867,LUNES,17:30,19:00
Calle  Afueras a Valverde,Afueras a Valverde,PVMAfuerasaValverde23,23,8,FUENCARRAL,40.49736629,-3.688979853,LUNES,19:15,20:45
Calle  Enrique Larreta,Enrique Larreta,PVMEnriqueLarreta14,14,5,CHAMARTIN,40.46866386,-3.68659163,LUNES,19:15,20:45
Calle  Mazarambroz,Mazarambroz,PVMMazarambroz4,4,11,CARABANCHEL,40.37511067,-3.727948897,LUNES,19:15,20:45
Calle  Oliva de Plasencia,Oliva de Plasencia,PVMOlivadePlasencia1,1,10,LATINA,40.37854039,-3.779432297,LUNES,19:15,20:45
Calle  Conde Duque,Conde Duque,PVMCondeDuque30,30,1,CENTRO,40.42779649,-3.710134496,MARTES,7:00,8:30
Calle  Cooperativa Eléctrica,Cooperativa Eléctrica,PVMCooperativaEléctrica18,18,13,PUENTE VALLECAS,40.37459162,-3.660513091,MARTES,7:00,8:30
Calle  Guetaria,Guetaria,PVMGuetaria47,47,12,USERA,40.36914712,-3.715520337,MARTES,7:00,8:30
Calle  Peñaranda de Bracamonte,Peñaranda de Bracamonte,PVMPeñarandadeBracamonte53,53,18,VILLA DE VALLECAS,40.366697,-3.61093895,MARTES,7:00,8:30
Calle  Pradoluengo,Pradoluengo,PVMPradoluengo243,243,21,BARAJAS,40.45128409,-3.582005708,MARTES,7:00,8:30
Avenida  Villa de Vallecas,Villa de Vallecas,PVMVilladeVallecas13,13,18,VILLA DE VALLECAS,40.36959542,-3.618936523,MARTES,8:45,10:15
Calle  Simca,Simca,PVMSimca4,4,12,USERA,40.36637303,-3.710087199,MARTES,8:45,10:15
Plaza  Navío,Navío,PVMNavío1,1,21,BARAJAS,40.45572379,-3.588317484,MARTES,8:45,10:15
Glorieta  Ruíz Jiménez,Glorieta  Ruíz Jiménez,PVMGlorietaRuízJiménez8,8,1,CENTRO,40.42924193,-3.705722844,MARTES,8:45,10:15
Avenida  Orcasur,Orcasur,PVMOrcasur44,44,12,USERA,40.36555568,-3.700722153,MARTES,10:30,12:00
Bulevar  Naturaleza,Bulevar  Naturaleza,PVMBulevarNaturaleza13,13,18,VILLA DE VALLECAS,40.37232002,-3.629789046,MARTES,10:30,12:00
Calle  Rioja,Rioja,PVMRioja27,27,21,BARAJAS,40.45993074,-3.585311084,MARTES,10:30,12:00
Calle  Andaluces,Andaluces,PVMAndaluces9,9,13,PUENTE VALLECAS,40.38992802,-3.636609339,MARTES,12:15,13:45
Calle  Periana,Periana,PVMPeriana6,6,12,USERA,40.36838731,-3.688532197,MARTES,12:15,13:45
Calle  Santa Isabel,Santa Isabel,PVMSantaIsabel47,47,1,CENTRO,40.40958069,-3.696127206,MARTES,12:15,13:45
Plaza  Mayor de Barajas,Mayor de Barajas,PVMMayordeBarajas19,19,21,BARAJAS,40.47350059,-3.57734166,MARTES,12:15,13:45
Calle  del Santuario,del Santuario,PVMdelSantuario,,12,USERA,40.38496415,-3.700148519,MARTES,14:00,15:30
Plaza  Santa Bárbara,Santa Bárbara,PVMSantaBárbara5,5,1,CENTRO,40.42748313,-3.696388041,MARTES,14:00,15:30
Calle  Humanes,Humanes,PVMHumanes27,27,13,PUENTE VALLECAS,40.39524315,-3.645605693,MARTES,15:45,17:15
Calle  Montearagón,Montearagón,PVMMontearagón11,11,16,HORTALEZA,40.46341089,-3.658435542,MARTES,15:45,17:15
Calle  Príncipe,Príncipe,PVMPríncipe18,18,1,CENTRO,40.41528547,-3.700364984,MARTES,15:45,17:15
Avenida  Rafaela Ybarra,Rafaela Ybarra,PVMRafaelaYbarra20,20,12,USERA,40.38196732,-3.711373636,MARTES,17:30,19:00
Avenida  de Buenos Aires,de Buenos Aires,PVMdeBuenosAires25,25,13,PUENTE VALLECAS,40.3875944,-3.652783229,MARTES,19:15,20:45
Calle  Ezequiel Solana,Ezequiel Solana,PVMEzequielSolana73,73,15,CIUDAD LINEAL,40.42845615,-3.643037113,MARTES,19:15,20:45
Calle  Ribera de Curtidores,Ribera de Curtidores,PVMRiberadeCurtidores37-,37-,1,CENTRO,40.40656682,-3.707154966,MARTES,19:15,20:45
Calle  Manuel Noya,Manuel Noya,PVMManuelNoya15,15,12,USERA,40.38677762,-3.712415205,MARTES,19:15,20:45
Avenida  Victoria,Victoria,PVMVictoria77,77,9,MONCLOA-ARAVACA,40.47396543,-3.834073426,MIÉRCOLES,7:00,8:30
Calle  Trompas,Trompas,PVMTrompas15,15,10,LATINA,40.37142604,-3.7656181,MIÉRCOLES,7:00,8:30
Avenida  Institución Libre de Enseñanza,Institución Libre de Enseñanza,PVMInstituciónLibredeEnseñanza1,1,20,SAN BLAS-CANILLEJAS,40.43772165,-3.637609719,MIÉRCOLES,7:00,8:30
Calle  Joaquín Turina,Joaquín Turina,PVMJoaquínTurina62,62,11,CARABANCHEL,40.37223546,-3.758420175,MIÉRCOLES,7:00,8:30
Paseo  Alberto Palacios,Alberto Palacios,PVMAlbertoPalacios1,1,17,VILLAVERDE,40.34647541,-3.709357091,MIÉRCOLES,7:00,8:30
Avenida  Valdemarín,Valdemarín,PVMValdemarín71,71,9,MONCLOA-ARAVACA,40.47011006,-3.778391577,MIÉRCOLES,8:45,10:15
Calle  Castillo de Uclés,Castillo de Uclés,PVMCastillodeUclés1,1,20,SAN BLAS-CANILLEJAS,40.43015635,-3.623234722,MIÉRCOLES,8:45,10:15
Calle  Guareña,Guareña,PVMGuareña,,10,LATINA,40.38522206,-3.764791741,MIÉRCOLES,8:45,10:15
Plaza  de los Navarros,de los Navarros,PVMdelosNavarros,,11,CARABANCHEL,40.37425336,-3.742139687,MIÉRCOLES,8:45,10:15
Paseo  Alberto Palacios,Alberto Palacios,PVMAlbertoPalacios76,76,17,VILLAVERDE,40.34368355,-3.715528398,MIÉRCOLES,8:45,10:15
Calle  Godella,Godella,PVMGodella116,116,17,VILLAVERDE,40.340762,-3.688466,MIÉRCOLES,10:30,12:00
Calle  Illescas,Illescas,PVMIllescas117,117,10,LATINA,40.39350783,-3.761277537,MIÉRCOLES,10:30,12:00
Calle  Lope de Haro,Lope de Haro,PVMLopedeHaro36,36,6,TETUAN,40.45674114,-3.704672112,MIÉRCOLES,10:30,12:00
Calle  Toboso,Toboso,PVMToboso134,134,11,CARABANCHEL,40.39348348,-3.736663419,MIÉRCOLES,10:30,12:00
