res_tra_registro_tipo,res_tra_razon_social,res_tra_nif,res_tra_direccion_tipo_vial,res_tra_direccion_via_nombre,res_tra_direccion_muni_desc,res_tra_direccion_cod_postal,res_tra_residuo_ler_desc
REGISTRO TRANSPORTISTAS RESIDUOS NO PELIGROSOS,"BARSEGA, S.L.",B78996162,CALLE,DE GALILEO,Madrid,28003,MEZCLAS BITUMINOSAS DISTINTAS DE LAS ESPECIFICADAS EN EL CÓDIGO 170301.
REGISTRO TRANSPORTISTAS RESIDUOS NO PELIGROSOS,"TRANSPORTES FUERTES PENDIENTES, S.L.",B79002515,PLAZA,CHINCHÓN,Getafe,28909,LODOS DE DESTINTADO PROCEDENTES DEL RECICLADO DE PAPEL.
REGISTRO TRANSPORTISTAS RESIDUOS NO PELIGROSOS,"G.L.A. TRANSPORTES ARCEHOR, S.L.",B79008280,AVDA,QUITAPESARES,Villaviciosa de Odón,28670,RESIDUOS DE LA EXTRACCIÓN DE MINERALES NO METÁLICOS.
REGISTRO TRANSPORTISTAS RESIDUOS NO PELIGROSOS,"RECICLAJES  LOPEZ, S.L.",B79011110,CMNO,GRIÑON,Parla,28984,LIMADURAS Y VIRUTAS DE METALES FÉRREOS.
REGISTRO TRANSPORTISTAS RESIDUOS NO PELIGROSOS,"ACIMSA OBRAS Y SERVICIOS, S.L.",B79062295,CALLE,PORTUGAL,Mejorada del Campo,28840,EQUIPOS DESECHADOS DISTINTOS DE LOS ESPECIFICADOS EN LOS CÓDIGOS 16 02 09 A 16 02 13.
REGISTRO TRANSPORTISTAS RESIDUOS NO PELIGROSOS,"PEJUCAR, S.L.",B79073169,CALLE,HILADOS,Torrejón de Ardoz,28850,MEZCLAS BITUMINOSAS DISTINTAS DE LAS ESPECIFICADAS EN EL CÓDIGO 170301.
REGISTRO TRANSPORTISTAS RESIDUOS NO PELIGROSOS,"RECUPERACIONES CARLOS GARCIA, S.L.",B79088175,VREDA,YEGUAS,Arganda del Rey,28500,"COBRE, BRONCE Y LATÓN."
REGISTRO TRANSPORTISTAS RESIDUOS NO PELIGROSOS,"INDUSOLDER, S.L.",B79141776,CALLE,J,"Rozas de Madrid, Las",28230,GRANZAS Y ESPUMAS DISTINTAS DE LAS ESPECIFICADAS EN EL CÓDIGO 10 08 10.
REGISTRO TRANSPORTISTAS RESIDUOS NO PELIGROSOS,"CEGRE, S.L.",B79148375,CTRA,M-413,Moraleja de Enmedio,28950,"MEZCLAS DE HORMIGÓN, LADRILLOS, TEJAS Y MATERIALES CERÁMICOS, DISTINTOS DE LAS ESPECIFICADAS EN EL CÓDIGO 17 01 06"
REGISTRO TRANSPORTISTAS RESIDUOS NO PELIGROSOS,"CONTENEDORES Y EXCAVACIONES MÓSTOLES, S.L.",B79151676,CALLE,C POLÍGONO INDUSTRIAL 1,Móstoles,28938,HORMIGÓN.
REGISTRO TRANSPORTISTAS RESIDUOS NO PELIGROSOS,"EXCAVACIONES VENEGAS, S.L.",B79156519,AVDA,DON JUAN DE BORBÓN,Getafe,28903,"RESIDUOS MEZCLADOS DE CONSTRUCCIÓN Y DEMOLICIÓN DISTINTOS DE LOS ESPECIFICADOS EN LOS CÓDIGOS 170901, 170902 Y 170903."
REGISTRO TRANSPORTISTAS RESIDUOS NO PELIGROSOS,"TRANSPORTES E. SAEZ, S.L.",B79158481,PASEO,DE LOS POZOS,Torres de la Alameda,28813,MEZCLAS BITUMINOSAS DISTINTAS DE LAS ESPECIFICADAS EN EL CÓDIGO 170301.
REGISTRO TRANSPORTISTAS RESIDUOS NO PELIGROSOS,"JABONERO Y MORALEDA, S.L.",B79159596,CMNO,DE LA ERMITA,"Santos de la Humosa, Los",28817,VEHÍCULOS AL FINAL DE SU VIDA UTIL QUE NO CONTENGAN LÍQUIDOS NI OTROS COMPONENTES PELIGROSOS.
REGISTRO TRANSPORTISTAS RESIDUOS NO PELIGROSOS,"CONSTRUCCIONES ALEMAR, S.L.",B79164059,CALLE,RINCONADA DEL CANAL,Torrelaguna,28180,HORMIGÓN.
REGISTRO TRANSPORTISTAS RESIDUOS PELIGROSOS (INTERMEDIARIO),"RECUPERACIONES GARCIA E HIJOS, S.L.",B79185385,CALLE,DE LOS TORNEROS,Getafe,28906,BATERÍAS DE PLOMO.
REGISTRO TRANSPORTISTAS RESIDUOS NO PELIGROSOS,"MARROPE, S.L.",B79206348,CALLE,CAMINO DE LEGANÉS,Móstoles,28937,MEZCLAS BITUMINOSAS DISTINTAS DE LAS ESPECIFICADAS EN EL CÓDIGO 170301.
REGISTRO TRANSPORTISTAS RESIDUOS NO PELIGROSOS,"TOMAS MARTIN ONTENIENTE, S.L.",B79209284,CALLE,MONTIJA,Madrid,28035,LIMADURAS Y VIRUTAS DE METALES FÉRREOS.
REGISTRO TRANSPORTISTAS RESIDUOS PELIGROSOS (INTERMEDIARIO),"GRUPO DE BLAS RECUPERACIONES, S.L.",B79213161,CALLE,PUERTO PAJARES,Leganés,28919,"ENVASES METÁLICOS, INCLUIDOS LOS RECIPIENTES A PRESIÓN VACÍOS, QUE CONTIENEN UNA MATRIZ POROSA SÓLIDA  PELIGROSA (POR EJEMPLO, AMIANTO)."
REGISTRO TRANSPORTISTAS RESIDUOS NO PELIGROSOS,"PEDRO CHOZAS, S.L.",B79215893,CTRA,"MIRAFLORES GUADALIX, KM.",Miraflores de la Sierra,28792,RESIDUOS DE GRAVA Y ROCAS TRITURADAS DISTINTOS DE LOS MENCIONADOS EN EL CÓDIGO 01 04 07.
REGISTRO TRANSPORTISTAS RESIDUOS NO PELIGROSOS,"TRANSPORTES EDE, S.L.",B79235099,CALLE,DE LOS TULIPANES,Colmenar Viejo,28770,LODOS DE DESTINTADO PROCEDENTES DEL RECICLADO DE PAPEL.
REGISTRO TRANSPORTISTAS RESIDUOS NO PELIGROSOS,"GARMAN GESTIÓN, S.L.",B79235289,CALLE,PUERTO ALMENARA,Leganés,28914,CONSERVANTES DE LA MADERA NO ESPECIFICADOS EN OTRAS CATEGORÍA.
REGISTRO TRANSPORTISTAS RESIDUOS NO PELIGROSOS,"EXCAVACIONES CARMENA, S.L.",B79237665,CALLE,CAMPORREAL,Arganda del Rey,28500,LODOS DE LAVADO Y LIMPIEZA.
REGISTRO TRANSPORTISTAS RESIDUOS NO PELIGROSOS,"EUROPEAN CLEANING, S.L.",B79248472,CALLE,CEDRO,Ciempozuelos,28350,MEZCLAS DE RESIDUOS MUNICIPALES.
REGISTRO TRANSPORTISTAS RESIDUOS NO PELIGROSOS,LUIS RASO SL,B79264248,CALLE,LAS CASTELLANAS,San Fernando de Henares,28830,MADERA.
REGISTRO TRANSPORTISTAS RESIDUOS NO PELIGROSOS,"TRANSPORTES ALCARAZ E HIJOS, S.L.",B79274783,AVDA,VIRGEN DEL VAL,Alcalá de Henares,28804,CENIZAS VOLANTES DE CARBÓN.
REGISTRO TRANSPORTISTAS RESIDUOS NO PELIGROSOS,"TRANSPORTES LA BAÑEZA, S.L.",B79301586,CALLE,DE LA BAÑEZA,Fuenlabrada,28947,"CENIZAS DE HOGAR, ESCORIAS Y POLVO DE CALDERA (EXCEPTO EL POLVO DE CALDERA ESPECIFICADO EN EL CÓDIGO10 01 04)."
REGISTRO TRANSPORTISTAS RESIDUOS NO PELIGROSOS,"SHOWROOM BARRAL, S.L.U.",B79317897,AVDA,DE LA CAÑADA,Coslada,28823,RESIDUOS DE CORTEZA Y CORCHO.
REGISTRO TRANSPORTISTAS RESIDUOS NO PELIGROSOS,"AUTOMU, S.L.",B79339255,CALLE,DEL TIROL,Galapagar,28260,"MEZCLAS DE HORMIGÓN, LADRILLOS, TEJAS Y MATERIALES CERÁMICOS, DISTINTOS DE LAS ESPECIFICADAS EN EL CÓDIGO 17 01 06"
REGISTRO TRANSPORTISTAS RESIDUOS NO PELIGROSOS,"H.R.M., S.L.",B79350435,CALLE,DE MIGUEL FLETA,Madrid,28037,RESIDUOS DE TÓNER DE IMPRESIÓN DISTINTOS DE LOS ESPECIFICADOS EN EL CÓDIGO 08 03 17.
REGISTRO TRANSPORTISTAS RESIDUOS NO PELIGROSOS,"EXCAVACIONES RIVAS, S.L.",B79376190,CALLE,DE LA GAVIOTA,Rivas-Vaciamadrid,28529,MEZCLAS BITUMINOSAS DISTINTAS DE LAS ESPECIFICADAS EN EL CÓDIGO 170301.
REGISTRO TRANSPORTISTAS RESIDUOS NO PELIGROSOS,"LUCAS TRANS, S.L.",B79405700,CALLE,PLATINO,Torrejón de Ardoz,28850,LODOS DE DESTINTADO PROCEDENTES DEL RECICLADO DE PAPEL.
REGISTRO TRANSPORTISTAS RESIDUOS NO PELIGROSOS,"TRANSPORTES PITA E HIJOS, S.L.",B79414108,CALLE,REAL,Valdemoro,28340,"RESIDUOS MEZCLADOS DE CONSTRUCCIÓN Y DEMOLICIÓN DISTINTOS DE LOS ESPECIFICADOS EN LOS CÓDIGOS 170901, 170902 Y 170903."
REGISTRO TRANSPORTISTAS RESIDUOS NO PELIGROSOS,"DISMER EXPRES, S.L",B79416087,CALLE,DE LA PIROTÉCNIA,Madrid,28052,METALES FÉRREOS.
REGISTRO TRANSPORTISTAS RESIDUOS NO PELIGROSOS,"JULIAN OLIVAS E HIJO, S.L.",B79420253,CALLE,POZUELO,Colmenar de Oreja,28380,MEZCLAS BITUMINOSAS DISTINTAS DE LAS ESPECIFICADAS EN EL CÓDIGO 170301.
REGISTRO TRANSPORTISTAS RESIDUOS NO PELIGROSOS,"EUROPEA DE SERVICIOS Y PLAGAS, S.L. (EUROSIP)",B79424198,CALLE,VALDERRAMATA,Valdemoro,28340,"RESIDUOS CUYA RECOGIDA Y ELIMINACIÓN NO ES OBJETO DE REQUISITOS ESPECIALES PARA PREVENIR INFECCIONES (POR EJEMPLO, VENDAJES, VACIADOS DE YESO, ROPA BLANCA, ROPA DESECHABLE, PAÑALES)."
REGISTRO TRANSPORTISTAS RESIDUOS NO PELIGROSOS,"TRANSPORTES BUSTILLO E HIJOS, S.L.",B79432399,CALLE,SANTA ANA,Majadahonda,28220,LODOS Y RESIDUOS DE PERFORACIONES QUE CONTIENEN AGUA DULCE.
REGISTRO TRANSPORTISTAS RESIDUOS NO PELIGROSOS,"SEMARTIN, S.L.",B79433124,CTRA,M 521 QUIJORNA,Villanueva de la Cañada,28691,MEZCLAS BITUMINOSAS DISTINTAS DE LAS ESPECIFICADAS EN EL CÓDIGO 170301.
REGISTRO TRANSPORTISTAS RESIDUOS NO PELIGROSOS,"MUDANZAS LUIS LOPEZ, S.L.",B79443396,CALLE,DE LUIS I,Madrid,28031,PAPEL Y CARTÓN
REGISTRO TRANSPORTISTAS RESIDUOS NO PELIGROSOS,"HERMANOS GARCIA E HIJOS, S.L.",B79455564,LUGAR,GRUPO ESCOLAR,Arganda del Rey,28000,MATERIALES DE AISLAMIENTO DISTINTOS DE LOS ESPECIFICADOS EN LOS CÓDIGOS 17 06 01 Y 17 06 03.
REGISTRO TRANSPORTISTAS RESIDUOS PELIGROSOS (INTERMEDIARIO),"G.T.D. MENSAJEROS, S.L.",B79467866,CALLE,ALBASANZ,Madrid,28037,"EQUIPOS ELÉCTRICOS Y ELECTRÓNICOS DESECHADOS, DISTINTOS DE LOS ESPECIFICADOS EN LOS CÓDIGOS 20 01 21 Y 20 01 23 QUE CONTIENEN COMPONENTES PELIGROSOS."
REGISTRO TRANSPORTISTAS RESIDUOS NO PELIGROSOS,"EMPRESA MUJERES DE ANIMACION SOCIOCULTURAL, S.L.",B79490710,CALLE,MONTERA,Madrid,28013,ACEITES Y GRASAS COMESTIBLES
REGISTRO TRANSPORTISTAS RESIDUOS NO PELIGROSOS,"EXCAVACIONES, DERRIBOS Y TRANSPORTES J. CLEMENTE, S.L.",B79495396,CALLE,MARIE CURIE,Rivas-Vaciamadrid,28529,MEZCLAS BITUMINOSAS DISTINTAS DE LAS ESPECIFICADAS EN EL CÓDIGO 170301.
REGISTRO TRANSPORTISTAS RESIDUOS NO PELIGROSOS,"TRANSPORTES Y OBRAS JMC, S.L.",B79496071,CTRA,VALDEMINGOMEZ KM,Madrid,28051,"MEZCLAS DE HORMIGÓN, LADRILLOS, TEJAS Y MATERIALES CERÁMICOS, DISTINTOS DE LAS ESPECIFICADAS EN EL CÓDIGO 17 01 06"
REGISTRO TRANSPORTISTAS RESIDUOS NO PELIGROSOS,"NEUMATICOS EL VAL, SL",B79507653,CALLE,VIA COMPLUTENSE,Alcalá de Henares,28805,NEUMÁTICOS FUERA DE USO.
REGISTRO TRANSPORTISTAS RESIDUOS PELIGROSOS (INTERMEDIARIO),"FETRANS PER, S.L.",B79520623,CALLE,DEL GOBERNADOR,Aranjuez,28300,LODOS DE FONDOS DE TANQUES.
REGISTRO TRANSPORTISTAS RESIDUOS NO PELIGROSOS,"TRAEXMIBE, S.L.",B79541751,AVDA,REYES CATÓLICOS,Majadahonda,28220,"MEZCLAS DE HORMIGÓN, LADRILLOS, TEJAS Y MATERIALES CERÁMICOS, DISTINTOS DE LAS ESPECIFICADAS EN EL CÓDIGO 17 01 06"
REGISTRO TRANSPORTISTAS RESIDUOS NO PELIGROSOS,"TRANSPORTES Y EXCAVACIONES DESCALZO E HIJOS, S.L.",B79569968,CALLE,CRISTO,Majadahonda,28220,HORMIGÓN.
REGISTRO TRANSPORTISTAS RESIDUOS NO PELIGROSOS,"CEYSA EXCAVACIONES, S.L.",B79581427,CMNO,COSLADA,Madrid,28022,PAPEL Y CARTÓN.
REGISTRO TRANSPORTISTAS RESIDUOS NO PELIGROSOS,"GARCIA-FRAILE Y DIAZ, S.L.",B79610648,CALLE,DE LA ENCOMIENDA,Villarejo de Salvanés,28590,RESIDUOS DE CORTEZA Y CORCHO.
REGISTRO TRANSPORTISTAS RESIDUOS NO PELIGROSOS,"EUROTIJ, S.L.",B79783437,CALLE,MAYOR,Redueña,28721,RESIDUOS DE POLVO Y ARENILLA DISTINTOS DE LOS MENCIONADOS EN EL CÓDIGO 01 03 07.
REGISTRO TRANSPORTISTAS RESIDUOS NO PELIGROSOS,"ACOMETIDAS RODRIGUEZ, S.L.",B79810529,CALLE,ISLA DE LA ALEGRANZA,San Sebastián de los Reyes,28700,LODOS ROJOS DE LA PRODUCCIÓN DE ALÚMINA DISTINTOS DE LOS MENCIONADOS EN EL CÓDIGO 01 03 07.
REGISTRO TRANSPORTISTAS RESIDUOS NO PELIGROSOS,"ELOLA, S.L.",B79826657,CALLE,DE DICIEMBRE,Madrid,28022,ENVASES DE PLÁSTICO.
REGISTRO TRANSPORTISTAS RESIDUOS NO PELIGROSOS,"BENJAMIN GARCIA E HIJOS, S.L.",B79833638,CALLE,DE LA SOLEDAD,Morata de Tajuña,28530,HORMIGÓN.
REGISTRO TRANSPORTISTAS RESIDUOS NO PELIGROSOS,"FJD COSTA RICA, S.L.",B79840518,CALLE,DE LAS PALMAS,Móstoles,28938,MEZCLAS BITUMINOSAS DISTINTAS DE LAS ESPECIFICADAS EN EL CÓDIGO 170301.
REGISTRO TRANSPORTISTAS RESIDUOS NO PELIGROSOS,"CERAMICA NAVALCARNERO, S.L.",B79841987,CALLE,DE LA CONSTITUCIÓN,Navalcarnero,28600,MEZCLAS BITUMINOSAS DISTINTAS DE LAS ESPECIFICADAS EN EL CÓDIGO 170301.
REGISTRO TRANSPORTISTAS RESIDUOS NO PELIGROSOS,"GRUAS Y CONTENEDORES, S.L.",B79844692,CALLE,DEL MAESTRO ARBOS,Madrid,28045,"MEZCLAS DE HORMIGÓN, LADRILLOS, TEJAS Y MATERIALES CERÁMICOS, DISTINTOS DE LAS ESPECIFICADAS EN EL CÓDIGO 17 01 06"
REGISTRO TRANSPORTISTAS RESIDUOS NO PELIGROSOS,"LOSER PISCINAS Y JARDIN, S.L.",B79855029,CALLE,DIEGO DE ESQUIVEL,Villamanta,28610,"MEZCLAS DE HORMIGÓN, LADRILLOS, TEJAS Y MATERIALES CERÁMICOS, DISTINTOS DE LAS ESPECIFICADAS EN EL CÓDIGO 17 01 06"
REGISTRO TRANSPORTISTAS RESIDUOS NO PELIGROSOS,"TRANSPORTES V.A.V. CUENCA, S.L.",B79859898,CALLE,MAYOR,Pezuela de las Torres,28812,"RESIDUOS MEZCLADOS DE CONSTRUCCIÓN Y DEMOLICIÓN DISTINTOS DE LOS ESPECIFICADOS EN LOS CÓDIGOS 170901, 170902 Y 170903."
REGISTRO TRANSPORTISTAS RESIDUOS NO PELIGROSOS,"VAOSAN, SL",B79865747,CALLE,DE LOS REYES,Rascafría,28740,MEZCLAS BITUMINOSAS DISTINTAS DE LAS ESPECIFICADAS EN EL CÓDIGO 170301.
REGISTRO TRANSPORTISTAS RESIDUOS NO PELIGROSOS,"FON DESA, S.L.",B79893087,CALLE,DE BUCÉFALO,Humanes de Madrid,28970,LODOS DE FOSAS SÉPTICAS.
REGISTRO TRANSPORTISTAS RESIDUOS NO PELIGROSOS,"HERMANOS SERRANO PRESOL, S.L.",B79896593,CALLE,CONCEJO,Soto del Real,28791,"HECES DE ANIMALES, ORINA Y ESTIÉRCOL (INCLUIDA PAJA PODRIDA) Y EFLUENTES, RECOGIDOS SELECTIVAMENTE Y TRATADOS FUERA DEL  LUGAR DONDE SE GENERAN."
REGISTRO TRANSPORTISTAS RESIDUOS PELIGROSOS (INTERMEDIARIO),"RECUPERACIONES DE RESIDUOS PETROLIFEROS, S.L.",B79901229,CALLE,SEGOVIA,Arganda del Rey,28500,LÍQUIDOS  ACUOSOS DE LIMPIEZA.
REGISTRO TRANSPORTISTAS RESIDUOS NO PELIGROSOS,"TRANSPORTES ALARSE, S.L.",B79906186,CMNO,DE LA POVEDA,Arganda del Rey,28500,"MEZCLAS DE HORMIGÓN, LADRILLOS, TEJAS Y MATERIALES CERÁMICOS, DISTINTOS DE LAS ESPECIFICADAS EN EL CÓDIGO 17 01 06"
REGISTRO TRANSPORTISTAS RESIDUOS NO PELIGROSOS,"TRANSPORTES EEP MARTIN MAESTRO, S.L.",B79915567,PLAZA,DE ESPAÑA,Sevilla la Nueva,28609,METALES NO FÉRREOS.
REGISTRO TRANSPORTISTAS RESIDUOS PELIGROSOS (INTERMEDIARIO),"TRANSXTAR, S.L.",B79917191,AVDA,LEALTAD,Getafe,28906,BATERÍAS DE PLOMO.
REGISTRO TRANSPORTISTAS RESIDUOS NO PELIGROSOS,"ANDRES PEINADO E HIJOS, S.L.",B79918702,CALLE,DEL MEDIODÍA,"Cabrera, La",28751,LODOS Y RESIDUOS DE PERFORACIONES QUE CONTIENEN AGUA DULCE.
REGISTRO TRANSPORTISTAS RESIDUOS PELIGROSOS (INTERMEDIARIO),"DIVICONFE, S.L.",B79932844,CALLE,DEL COTO DE DOÑANA,Pinto,28320,LODOS Y RESIDUOS DE PERFORACIONES QUE CONTIENEN HIDROCARBUROS.
REGISTRO TRANSPORTISTAS RESIDUOS NO PELIGROSOS,"VICEMO, S.L.",B79939146,CALLE,SALUD,"Molar, El",28710,RESIDUOS DE GRAVA Y ROCAS TRITURADAS DISTINTOS DE LOS MENCIONADOS EN EL CÓDIGO 01 04 07.
REGISTRO TRANSPORTISTAS RESIDUOS PELIGROSOS (INTERMEDIARIO),"VENTAS Y SERVICIOS TECNICOS DEL CENTRO, S.L.",B79948899,CALLE,DEL PLOMO,San Martín de la Vega,28330,"ACEITES MINERALES NO CLORADOS DE MOTOR, DE TRANSMISIÓN MECÁNICA Y LUBRICANTES."
REGISTRO TRANSPORTISTAS RESIDUOS NO PELIGROSOS,"FELIPE CONCHA, S.L.",B79953113,CALLE,TORROJA,Getafe,28904,MEZCLAS BITUMINOSAS DISTINTAS DE LAS ESPECIFICADAS EN EL CÓDIGO 170301.
REGISTRO TRANSPORTISTAS RESIDUOS NO PELIGROSOS,"TRANSPORTES SALGADO TORRES E HIJOS, S.L.",B79961785,CALLE,VÍA COMPLUTENSE,Alcalá de Henares,28805,ESCORIAS DE HORNO.
REGISTRO TRANSPORTISTAS RESIDUOS NO PELIGROSOS,"SANJUTRANS, S.L.",B79965745,PLAZA,ONDARRETA,Alcorcón,28923,RESIDUOS DE HORMIGÓN Y LODOS DE HORMIGÓN.
REGISTRO TRANSPORTISTAS RESIDUOS NO PELIGROSOS,"JESUS MARTIN GONZALEZ RUIZ, S.L.",B79965968,CALLE,ARACATACA,Madrid,28033,"MEZCLAS DE HORMIGÓN, LADRILLOS, TEJAS Y MATERIALES CERÁMICOS, DISTINTOS DE LAS ESPECIFICADAS EN EL CÓDIGO 17 01 06"
REGISTRO TRANSPORTISTAS RESIDUOS NO PELIGROSOS,"CONTENEDORES MARTÍN, S.L.",B79972840,CALLE,VILLAREJO DE SALVANÉS,Getafe,28906,RESIDUOS DE TEJIDOS DE VEGETALES.
REGISTRO TRANSPORTISTAS RESIDUOS NO PELIGROSOS,"DON MELON, S.L.",B79980421,CTRA,DE ARANJUEZ,Villaconejos,28360,"HECES DE ANIMALES, ORINA Y ESTIÉRCOL (INCLUIDA PAJA PODRIDA) Y EFLUENTES, RECOGIDOS SELECTIVAMENTE Y TRATADOS FUERA DEL  LUGAR DONDE SE GENERAN."
REGISTRO TRANSPORTISTAS RESIDUOS NO PELIGROSOS,"MACOTRANS 2, S.L.",B79981569,CALLE,DE JULIÁN CAMARILLO,Madrid,28037,MEZCLAS BITUMINOSAS DISTINTAS DE LAS ESPECIFICADAS EN EL CÓDIGO 170301.
REGISTRO TRANSPORTISTAS RESIDUOS NO PELIGROSOS,"COMATRADI, S.L.",B80008485,CALLE,DE SAN JOSÉ ARTESANO,Alcobendas,28108,RESIDUOS DE TINTAS DISTINTOS DE LOS ESPECIFICADOS EN EL CÓDIGO 08 03 12.
REGISTRO TRANSPORTISTAS RESIDUOS PELIGROSOS (INTERMEDIARIO),"ARZAM, S.L.",B80014319,CALLE,EL PRADERÓN,Galapagar,28260,LODOS DE FONDOS DE TANQUES.
REGISTRO TRANSPORTISTAS RESIDUOS NO PELIGROSOS,"JUSDADO GRUAS Y TRANSPORTES, S.L.",B80024417,CALLE,DE JOAQUÍN TURINA,Colmenar Viejo,28770,NEUMÁTICOS FUERA DE USO.
REGISTRO TRANSPORTISTAS RESIDUOS NO PELIGROSOS,"EXCLUSIVAS DEL CONFORT, S.L.",B80027329,CALLE,DEL HORCAJO,Pinto,28320,RESIDUOS VOLUMINOSOS.
REGISTRO TRANSPORTISTAS RESIDUOS NO PELIGROSOS,"EQUIPAMIENTO MEDIOAMBIENTAL Y BIOTECNOLOGIA, S.L..",B80043821,CALLE,DE LOS CHISPEROS,Madrid,28047,RESIDUOS DE TINTAS DISTINTOS DE LOS ESPECIFICADOS EN EL CÓDIGO 08 03 12.
REGISTRO TRANSPORTISTAS RESIDUOS NO PELIGROSOS,CARMEPLAST,B80044027,CALLE,TORREJÓN,Parla,28980,METALES FÉRREOS.
REGISTRO TRANSPORTISTAS RESIDUOS PELIGROSOS (INTERMEDIARIO),"FANOSA, S.L.",B80055379,AVDA,DE JUAN DE LA CIERVA,Getafe,28902,RESIDUOS QUE CONTIENEN SUSTANCIAS PELIGROSAS PROCEDENTES DE LA TRANSFORMACIÓN FÍSICA Y QUÍMICA DE MINERALES NO METÁLICOS.
REGISTRO TRANSPORTISTAS RESIDUOS NO PELIGROSOS,"JOSE M. ALVAREZ DISTRIBUCION, S.L.",B80058001,CALLE,DE TABLADA,Madrid,28039,PAPEL Y CARTÓN
REGISTRO TRANSPORTISTAS RESIDUOS NO PELIGROSOS,"RECIPAR, S.L.",B80058696,AVDA,DEL PADRE PIQUER,Madrid,28024,RESIDUOS DE CORTEZA Y MADERA.
REGISTRO TRANSPORTISTAS RESIDUOS NO PELIGROSOS,"GRUAS Y TRANSPORTES FRANMA, S.L.",B80070428,CALLE,DE FEDERICO GARCÍA LORCA,Torres de la Alameda,28813,"MEZCLAS DE HORMIGÓN, LADRILLOS, TEJAS Y MATERIALES CERÁMICOS, DISTINTOS DE LAS ESPECIFICADAS EN EL CÓDIGO 17 01 06"
REGISTRO TRANSPORTISTAS RESIDUOS NO PELIGROSOS,"ALQUIFER, S.L.",B80075120,CALLE,DE MARÍA TUBAU,Madrid,28050,MEZCLAS BITUMINOSAS DISTINTAS DE LAS ESPECIFICADAS EN EL CÓDIGO 170301.
REGISTRO TRANSPORTISTAS RESIDUOS NO PELIGROSOS,"TRANSPAULAR, SL",B80079429,CALLE,DE LA COSTANA,Rascafría,28740,MEZCLAS BITUMINOSAS DISTINTAS DE LAS ESPECIFICADAS EN EL CÓDIGO 170301.
REGISTRO TRANSPORTISTAS RESIDUOS NO PELIGROSOS,"TOGEX, S.L.",B80089436,CALLE,DE LOS MANZANOS,San Sebastián de los Reyes,28700,"MEZCLAS DE HORMIGÓN, LADRILLOS, TEJAS Y MATERIALES CERÁMICOS, DISTINTOS DE LAS ESPECIFICADAS EN EL CÓDIGO 17 01 06"
REGISTRO TRANSPORTISTAS RESIDUOS NO PELIGROSOS,"ALMACEN F.MARTIN, S.L.",B80091937,CALLE,DE LA MADERA,Rivas-Vaciamadrid,28522,MEZCLAS BITUMINOSAS DISTINTAS DE LAS ESPECIFICADAS EN EL CÓDIGO 170301.
REGISTRO TRANSPORTISTAS RESIDUOS NO PELIGROSOS,TRANSPORTES Y EXCAVACIONES HNOS. GALAN MORENO S.L.,B80093982,CALLE,C,Móstoles,28938,TIERRA Y PIEDRA DISTINTAS DE LAS ESPECIFICADAS EN EL CÓDIGO 17 05 03.
REGISTRO TRANSPORTISTAS RESIDUOS NO PELIGROSOS,"RECOMETAL, S.L.",B80097835,CTRA,"MARAÑOSA, KM.",Pinto,28320,"MEZCLAS DE HORMIGÓN, LADRILLOS, TEJAS Y MATERIALES CERÁMICOS, DISTINTOS DE LAS ESPECIFICADAS EN EL CÓDIGO 17 01 06"
REGISTRO TRANSPORTISTAS RESIDUOS NO PELIGROSOS,"FELITRANS, S.L.",B80111941,CALLE,DE SALVADIÓS,Colmenar Viejo,28770,PLÁSTICO.
REGISTRO TRANSPORTISTAS RESIDUOS NO PELIGROSOS,"COORDINADORA DE TRANSPORTES Y MERCANCIAS, ORDAX, S.L.",B80132145,CALLE,DE NÚÑEZ DE BALBOA,Madrid,28006,PAPEL Y CARTÓN
REGISTRO TRANSPORTISTAS RESIDUOS NO PELIGROSOS,"TRANSPORTES ARRANQUE, S.L.",B80138217,CMNO,BAJO DE LOS LLANOS,Madrid,28021,MEZCLAS BITUMINOSAS DISTINTAS DE LAS ESPECIFICADAS EN EL CÓDIGO 170301.
REGISTRO TRANSPORTISTAS RESIDUOS PELIGROSOS (INTERMEDIARIO),"METALES VELA, S.L.",B80147390,CALLE,CONFIANZA,Getafe,28906,"EQUIPOS ELÉCTRICOS Y ELECTRÓNICOS DESECHADOS, DISTINTOS DE LOS ESPECIFICADOS EN LOS CÓDIGOS 20 01 21 Y 20 01 23 QUE CONTIENEN COMPONENTES PELIGROSOS."
REGISTRO TRANSPORTISTAS RESIDUOS NO PELIGROSOS,"DESGUACES CRIMAJU, S.L.",B80147820,RONDA,DE CASTILLA ESTE,Torrejón de la Calzada,28991,LIMADURAS Y VIRUTAS DE METALES FÉRREOS.
REGISTRO TRANSPORTISTAS RESIDUOS NO PELIGROSOS,"CONTENEDORES TORRES AGULLO, S.L. (CONTA, S.L.)",B80154495,CMNO,VEGA,San Fernando de Henares,28830,MEZCLAS BITUMINOSAS DISTINTAS DE LAS ESPECIFICADAS EN EL CÓDIGO 170301.
REGISTRO TRANSPORTISTAS RESIDUOS NO PELIGROSOS,"GUFERTRANS, S.L.",B80175235,CALLE,DE LUIS I,Madrid,28031,PAPEL Y CARTÓN
