res_tra_registro_tipo,res_tra_razon_social,res_tra_nif,res_tra_direccion_tipo_vial,res_tra_direccion_via_nombre,res_tra_direccion_muni_desc,res_tra_direccion_cod_postal,res_tra_residuo_ler_desc
REGISTRO TRANSPORTISTAS RESIDUOS NO PELIGROSOS,"TECNIAVAL SOLUCIONES INTEGRALES, S.L.",B86506912,CALLE,CASAS MIRAVETE,Madrid,28031,ACEITES Y GRASAS COMESTIBLES
REGISTRO TRANSPORTISTAS RESIDUOS NO PELIGROSOS,"GESTIONES Y RECUPERACIONES LOPEZ, S.L.",B86511904,CALLE,EULALIA SAUQUILLO,Torrejón de la Calzada,28991,"SERRÍN, VIRUTAS, RECORTES, MADERA, TABLEROS DE PARTÍCULAS Y CHAPAS DISTINTOS DE LOS MENCIONADOS EN EL CÓDIGO 03 01 04."
REGISTRO TRANSPORTISTAS RESIDUOS NO PELIGROSOS,"HERMANOS HERNAN GODOY, S.L.",B86520400,CALLE,DE JOSÉ ARCONES GIL,Madrid,28017,MEZCLAS BITUMINOSAS DISTINTAS DE LAS ESPECIFICADAS EN EL CÓDIGO 170301.
REGISTRO TRANSPORTISTAS RESIDUOS NO PELIGROSOS,"JASA MEDIATION AND INVESTMENTS, S.L.",B86541737,CALLE,DESPEÑAPERROS,Arganda del Rey,28500,MATERIALES INADECUADOS PARA EL CONSUMO O LA ELABORACIÓN.
REGISTRO TRANSPORTISTAS RESIDUOS NO PELIGROSOS,"OPTIMUS GESTION LOGISTICA, S.L.",B86559333,CALLE,MANUEL ALONSO,Moralzarzal,28411,PAPEL Y CARTÓN
REGISTRO TRANSPORTISTAS RESIDUOS PELIGROSOS (INTERMEDIARIO),"BATERIAS EXPERTS, S.L.",B86571239,AVDA,DE CASTILLA,San Fernando de Henares,28830,BATERÍAS DE PLOMO.
REGISTRO TRANSPORTISTAS RESIDUOS NO PELIGROSOS,"GESTION Y TRATAMIENTO DE ACEITES USADOS, S.L.",B86575826,AVDA,FONDO DEL TOMILLAR,Torrelodones,28250,ACEITES Y GRASAS COMESTIBLES
REGISTRO TRANSPORTISTAS RESIDUOS NO PELIGROSOS,"SOLUCIONES EMPRESARIALES SOSTENIBLES, S.L.",B86591146,AVDA,REY JUAN CARLOS I,Leganés,28916,"SERRÍN, VIRUTAS, RECORTES, MADERA, TABLEROS DE PARTÍCULAS Y CHAPAS DISTINTOS DE LOS MENCIONADOS EN EL CÓDIGO 03 01 04."
REGISTRO TRANSPORTISTAS RESIDUOS NO PELIGROSOS,"BIOSTAR & PARTNERS, S.L.",B86603578,CALLE,FUERTEVENTURA,San Sebastián de los Reyes,28703,NEUMÁTICOS FUERA DE USO.
REGISTRO TRANSPORTISTAS RESIDUOS NO PELIGROSOS,"ROMERO E HIJOS TRANSPORTES Y RECUPERACIONES, S.L.",B86605227,AVDA,DE RETAMAS,Alcorcón,28922,RESIDUOS DE POLVO Y ARENILLA DISTINTOS DE LOS MENCIONADOS EN EL CÓDIGO 01 03 07.
REGISTRO TRANSPORTISTAS RESIDUOS NO PELIGROSOS,"TRANSPORTES JASENA, S.L.",B86613825,CALLE,GABRIELA MISTRAL,Alcorcón,28922,"SERRÍN, VIRUTAS, RECORTES, MADERA, TABLEROS DE PARTÍCULAS Y CHAPAS DISTINTOS DE LOS MENCIONADOS EN EL CÓDIGO 03 01 04."
REGISTRO TRANSPORTISTAS RESIDUOS NO PELIGROSOS,"PELLET MADERAS CEPA, S.L.",B86614393,CALLE,DEL PADRE CLARET,Madrid,28002,ENVASES DE MADERA.
REGISTRO TRANSPORTISTAS RESIDUOS NO PELIGROSOS,"DALSA INSTALACIONES ELECTRICAS, S.L.",B86615697,AVDA,DE LA CONSTITUCIÓN,Cadalso de los Vidrios,28640,HORMIGÓN.
REGISTRO TRANSPORTISTAS RESIDUOS NO PELIGROSOS,"DSR CONTENEDORES, S.L.",B86621752,CALLE,MAR DEL NORTE,Coslada,28821,CONSERVANTES DE LA MADERA NO ESPECIFICADOS EN OTRAS CATEGORÍA.
REGISTRO TRANSPORTISTAS RESIDUOS NO PELIGROSOS,"EVACONS CONTENEDORES, S.L.",B86622107,AVDA,DE CIRCUNVALACIÓN,Paracuellos de Jarama,28860,CONSERVANTES DE LA MADERA NO ESPECIFICADOS EN OTRAS CATEGORÍA.
REGISTRO TRANSPORTISTAS RESIDUOS NO PELIGROSOS,ECO AL CUADRADO SL,B86624442,RONDA,DE ATOCHA,Madrid,28012,NEUMÁTICOS FUERA DE USO.
REGISTRO TRANSPORTISTAS RESIDUOS NO PELIGROSOS,"NEDANOR, S.L.",B86625522,AVDA,DE LA RECOMBA,Leganés,28914,ENVASES DE PAPEL Y CARTÓN.
REGISTRO TRANSPORTISTAS RESIDUOS NO PELIGROSOS,"RECICLAJE D.H., S.L.",B86625738,CALLE,DE MÓSTOLES,Fuenlabrada,28942,PAPEL Y CARTÓN
REGISTRO TRANSPORTISTAS RESIDUOS NO PELIGROSOS,"PALETS RAFA, S.L.",B86628229,CALLE,DEL LILO,Ciempozuelos,28350,ACEITES Y GRASAS COMESTIBLES
REGISTRO TRANSPORTISTAS RESIDUOS NO PELIGROSOS,"ANTOSORIA RECUPERACIONES, S.L.",B86633922,CALLE,GAS,Leganés,28917,VEHÍCULOS AL FINAL DE SU VIDA UTIL QUE NO CONTENGAN LÍQUIDOS NI OTROS COMPONENTES PELIGROSOS.
REGISTRO TRANSPORTISTAS RESIDUOS NO PELIGROSOS,"TRANSPORTES RUMIFEL, S.L.",B86635885,CALLE,PRESIDENTE JOSÉ MARÍA AZNAR,Arganda del Rey,28500,HORMIGÓN.
REGISTRO TRANSPORTISTAS RESIDUOS NO PELIGROSOS,"MARGUITRANS 2013, S.L.",B86641024,CALLE,BARRIO ALTO,Villaconejos,28360,"HECES DE ANIMALES, ORINA Y ESTIÉRCOL (INCLUIDA PAJA PODRIDA) Y EFLUENTES, RECOGIDOS SELECTIVAMENTE Y TRATADOS FUERA DEL  LUGAR DONDE SE GENERAN."
REGISTRO TRANSPORTISTAS RESIDUOS NO PELIGROSOS,PALETS MARÍA LUISA JIMÉNEZ S.L.,B86641933,CALLE,DE CIUDAD DE FRÍAS,Madrid,28021,MADERA DISTINTA DE LA ESPECIFICADA EN EL CÓDIGO 20 01 37.
REGISTRO TRANSPORTISTAS RESIDUOS NO PELIGROSOS,"ASFALTADOS Y PAVIMENTOS ASFALVIAS, S.L.",B86644788,CALLE,DEL MARQUÉS DE URQUIJO,Madrid,28008,HORMIGÓN.
REGISTRO TRANSPORTISTAS RESIDUOS NO PELIGROSOS,"DESARROLLO E IMPULSO DE GESTION 2013, S.L.",B86648243,CALLE,PUENTEÁREAS,Soto del Real,28791,RESIDUOS DE GRAVA Y ROCAS TRITURADAS DISTINTOS DE LOS MENCIONADOS EN EL CÓDIGO 01 04 07.
REGISTRO TRANSPORTISTAS RESIDUOS NO PELIGROSOS,"PALETS VILLASTILLA, S.L.",B86655875,PLAZA,PALMERAS,Torrejón de Ardoz,28850,MADERA DISTINTA DE LA ESPECIFICADA EN EL CÓDIGO 19 12 06.
REGISTRO TRANSPORTISTAS RESIDUOS PELIGROSOS (INTERMEDIARIO),"GESTION TRANSPORTES TRANSILVIA, S.L.",B86657848,CALLE,DE LA GAVIOTA,Madrid,28025,RESIDUOS DE TÓNER DE IMPRESIÓN QUE CONTIENEN SUSTANCIAS PELIGROSAS.
REGISTRO TRANSPORTISTAS RESIDUOS NO PELIGROSOS,"UNIVERSAL DE RECICLADOS, S.L.",B86663556,AVDA,10ª,Torrejón de la Calzada,28991,METALES FÉRREOS.
REGISTRO TRANSPORTISTAS RESIDUOS NO PELIGROSOS,RECUPERACIONES DE HIERRO Y METALES VICALVARO SL,B86679693,AVDA,PARQUE,Madrid,28052,METALES FÉRREOS.
REGISTRO TRANSPORTISTAS RESIDUOS PELIGROSOS (INTERMEDIARIO),"ASESORAMIENTO, TRANSPORTE, RECICLAJE Y VALORIZACION, S.L.",B86681426,CALLE,MIRADOR DEL PEÑÓN DE IFACH,Collado Villalba,28400,RESIDUOS DE ADHESIVOS Y SELLANTES QUE CONTIENEN DISOLVENTES ORGÁNICOS U OTRAS SUSTANCIAS PELIGROSAS.
REGISTRO TRANSPORTISTAS RESIDUOS NO PELIGROSOS,"PALETS SAUCO TRUST, S.L.",B86686185,CALLE,DE LA FUENTE DEL BERRO,Madrid,28009,RESIDUOS DE CORTEZA Y CORCHO.
REGISTRO TRANSPORTISTAS RESIDUOS NO PELIGROSOS,"CONTENEDORES CIBELES, S.L.",B86688322,TRVA,MIÑO,Camarma de Esteruelas,28816,LODOS DEL TRATAMIENTO IN SITU DE EFLUENTES DISTINTOS DE LOS MENCIONADOS EN EL CÓDIGO 06 05 02.
REGISTRO TRANSPORTISTAS RESIDUOS NO PELIGROSOS,"MEMORIAL CENTER SAN ANTONIO ABAD, S.L.",B86691532,CALLE,DE MIGUEL DE CERVANTES,Paracuellos de Jarama,28860,RESIDUOS CUYA RECOGIDA Y ELIMINACIÓN NO ES OBJETO DE REQUISITOS ESPECIALES PARA PREVENIR INFECCIONES.
REGISTRO TRANSPORTISTAS RESIDUOS NO PELIGROSOS,"LOPP JOCAR, S.L.",B86695343,CALLE,DE LA CERÁMICA,Madrid,28038,MEZCLAS BITUMINOSAS DISTINTAS DE LAS ESPECIFICADAS EN EL CÓDIGO 170301.
