planta_año,planta_clasificacion_envases,planta_tipo_residuo_desc,planta_tipo_residuo_cantidad
2014,Colmenar Viejo,Plásticos (kg),6506580
2014,Colmenar Viejo,Vidrio (kg),0
2014,Colmenar Viejo,Papel y cartón (kg),21260
2014,Colmenar Viejo,Briks (kg),1777840
2014,Colmenar Viejo,Otros materiales (kg),1654240
2014,Nueva Rendija,Metales (kg),1180960
2014,Nueva Rendija,Plásticos (kg),3679800
2014,Nueva Rendija,Vidrio (kg),0
2014,Nueva Rendija,Papel y cartón (kg),166400
2014,Nueva Rendija,Briks (kg),812140
2014,Nueva Rendija,Otros materiales (kg),1101980
2014,Fuenlabrada,Metales (kg),1009410
2014,Fuenlabrada,Plásticos (kg),2162760
2014,Fuenlabrada,Vidrio (kg),25120
2014,Fuenlabrada,Papel y cartón (kg),0
2014,Fuenlabrada,Briks (kg),599340
2014,Fuenlabrada,Otros materiales (kg),1162700
2014,La Paloma,Metales (kg),3164000
2014,La Paloma,Plásticos (kg),0
2014,La Paloma,Vidrio (kg),517000
2014,La Paloma,Papel y cartón (kg),1633000
2014,La Paloma,Briks (kg),1556000
2014,La Paloma,Otros materiales (kg),9496000
2014,Las Dehesas,Metales (kg),2107000
2014,Las Dehesas,Plásticos (kg),0
2014,Las Dehesas,Vidrio (kg),0
2014,Las Dehesas,Papel y cartón (kg),1300000
2014,Las Dehesas,Briks (kg),546000
2014,Las Dehesas,Otros materiales (kg),3360000
2015,Pinto,Metales (kg),1886340
2015,Pinto,Plásticos (kg),7424800
2015,Pinto,Vidrio (kg),58660
2015,Pinto,Papel y cartón (kg),198840
2015,Pinto,Briks (kg),2059840
2015,Pinto,Otros materiales (kg),95000
2015,Colmenar Viejo,Metales (kg),2016900
2015,Colmenar Viejo,Plásticos (kg),6651740
2015,Colmenar Viejo,Vidrio (kg),0
2015,Colmenar Viejo,Papel y cartón (kg),54580
2015,Colmenar Viejo,Briks (kg),1625700
2015,Colmenar Viejo,Otros materiales (kg),0
2015,Nueva Rendija,Metales (kg),1028940
2015,Nueva Rendija,Plásticos (kg),4426240
2015,Nueva Rendija,Vidrio (kg),0
2015,Nueva Rendija,Papel y cartón (kg),131480
2015,Nueva Rendija,Briks (kg),697420
2015,Nueva Rendija,Otros materiales (kg),183220
2015,Fuenlabrada,Metales (kg),1051860
2015,Fuenlabrada,Plásticos (kg),3513080
2015,Fuenlabrada,Vidrio (kg),47520
2015,Fuenlabrada,Papel y cartón (kg),0
2015,Fuenlabrada,Briks (kg),776940
2015,Fuenlabrada,Otros materiales (kg),96900
2015,La Paloma,Metales (kg),2342000
2015,La Paloma,Plásticos (kg),8537000
2015,La Paloma,Vidrio (kg),428000
2015,La Paloma,Papel y cartón (kg),1645000
2015,La Paloma,Briks (kg),1408000
2015,La Paloma,Otros materiales (kg),227000
2015,Las Dehesas,Metales (kg),2339000
2015,Las Dehesas,Plásticos (kg),3799000
2015,Las Dehesas,Vidrio (kg),0
2015,Las Dehesas,Papel y cartón (kg),1252000
2015,Las Dehesas,Briks (kg),724000
2015,Las Dehesas,Otros materiales (kg),130000
2016,Pinto,Metales (kg),2387100
2016,Pinto,Plásticos (kg),10260900
2016,Pinto,Vidrio (kg),36380
2016,Pinto,Papel y cartón (kg),155660
2016,Pinto,Briks (kg),2599360
2016,Pinto,Otros materiales (kg),756800
2016,Colmenar Viejo,Metales (kg),1285980
2016,Colmenar Viejo,Plásticos (kg),5120840
2016,Colmenar Viejo,Vidrio (kg),0
2016,Colmenar Viejo,Papel y cartón (kg),63400
2016,Colmenar Viejo,Briks (kg),1169560
2016,Colmenar Viejo,Otros materiales (kg),0
2016,Nueva Rendija,Metales (kg),779600
2016,Nueva Rendija,Plásticos (kg),5183980
2016,Nueva Rendija,Vidrio (kg),0
2016,Nueva Rendija,Papel y cartón (kg),138600
2016,Nueva Rendija,Briks (kg),722540
2016,Nueva Rendija,Otros materiales (kg),267980
2016,Fuenlabrada,Metales (kg),984020
2016,Fuenlabrada,Plásticos (kg),4380940
2016,Fuenlabrada,Vidrio (kg),44180
2016,Fuenlabrada,Papel y cartón (kg),32500
2016,Fuenlabrada,Briks (kg),735800
2016,Fuenlabrada,Otros materiales (kg),10740
2016,La Paloma,Metales (kg),2135000
2016,La Paloma,Plásticos (kg),998700
2016,La Paloma,Vidrio (kg),461000
2016,La Paloma,Papel y cartón (kg),1579000
2016,La Paloma,Briks (kg),1581000
2016,La Paloma,Otros materiales (kg),263000
2016,Las Dehesas,Metales (kg),2155000
2016,Las Dehesas,Plásticos (kg),4147000
2016,Las Dehesas,Vidrio (kg),0
2016,Las Dehesas,Papel y cartón (kg),1171000
2016,Las Dehesas,Briks (kg),723000
2016,Las Dehesas,Otros materiales (kg),158000
2017,Pinto,Metales (kg),2369180
2017,Pinto,Plásticos (kg),14625940
2017,Pinto,Vidrio (kg),22200
2017,Pinto,Papel y cartón (kg),47760
2017,Pinto,Briks (kg),357920
2017,Pinto,Otros materiales (kg),593000
2017,Colmenar Viejo,Metales (kg),1127540
2017,Colmenar Viejo,Plásticos (kg),5240040
2017,Colmenar Viejo,Vidrio (kg),0
2017,Colmenar Viejo,Papel y cartón (kg),0
2017,Colmenar Viejo,Briks (kg),1035600
2017,Colmenar Viejo,Otros materiales (kg),0
2017,Nueva Rendija,Metales (kg),790780
2017,Nueva Rendija,Plásticos (kg),6016900
2017,Nueva Rendija,Vidrio (kg),0
2017,Nueva Rendija,Papel y cartón (kg),83400
2017,Nueva Rendija,Briks (kg),805600
2017,Nueva Rendija,Otros materiales (kg),338860
2017,Fuenlabrada,Metales (kg),960640
2017,Fuenlabrada,Plásticos (kg),4936220
2017,Fuenlabrada,Vidrio (kg),0
2017,Fuenlabrada,Papel y cartón (kg),0
2017,Fuenlabrada,Briks (kg),866140
2017,Fuenlabrada,Otros materiales (kg),266780
2017,La Paloma,Metales (kg),2099000
2017,La Paloma,Plásticos (kg),10555000
2017,La Paloma,Vidrio (kg),551000
2017,La Paloma,Papel y cartón (kg),1513000
2017,La Paloma,Briks (kg),1498000
2017,La Paloma,Otros materiales (kg),302000
2017,Las Dehesas,Metales (kg),2219000
2017,Las Dehesas,Plásticos (kg),5850000
2017,Las Dehesas,Vidrio (kg),0
2017,Las Dehesas,Papel y cartón (kg),1401000
2017,Las Dehesas,Briks (kg),819000
2017,Las Dehesas,Otros materiales (kg),225000
