Centro_codigo,Actividad_extraexcolar_codigo,Actividad_extraexcolar_descrip
28005374,031,PROGRAMA ACOMPAÑAMIENTO Y APOYO ESCOLAR  EDUCACIÓN PRIMARIA
28005404,031,PROGRAMA ACOMPAÑAMIENTO Y APOYO ESCOLAR  EDUCACIÓN PRIMARIA
28005465,031,PROGRAMA ACOMPAÑAMIENTO Y APOYO ESCOLAR  EDUCACIÓN PRIMARIA
28005477,031,PROGRAMA ACOMPAÑAMIENTO Y APOYO ESCOLAR  EDUCACIÓN PRIMARIA
28005490,031,PROGRAMA ACOMPAÑAMIENTO Y APOYO ESCOLAR  EDUCACIÓN PRIMARIA
28005519,031,PROGRAMA ACOMPAÑAMIENTO Y APOYO ESCOLAR  EDUCACIÓN PRIMARIA
28005568,031,PROGRAMA ACOMPAÑAMIENTO Y APOYO ESCOLAR  EDUCACIÓN PRIMARIA
28005571,031,PROGRAMA ACOMPAÑAMIENTO Y APOYO ESCOLAR  EDUCACIÓN PRIMARIA
28005601,031,PROGRAMA ACOMPAÑAMIENTO Y APOYO ESCOLAR  EDUCACIÓN PRIMARIA
28005623,031,PROGRAMA ACOMPAÑAMIENTO Y APOYO ESCOLAR  EDUCACIÓN PRIMARIA
28005635,031,PROGRAMA ACOMPAÑAMIENTO Y APOYO ESCOLAR  EDUCACIÓN PRIMARIA
28005660,031,PROGRAMA ACOMPAÑAMIENTO Y APOYO ESCOLAR  EDUCACIÓN PRIMARIA
28005696,031,PROGRAMA ACOMPAÑAMIENTO Y APOYO ESCOLAR  EDUCACIÓN PRIMARIA
28005714,031,PROGRAMA ACOMPAÑAMIENTO Y APOYO ESCOLAR  EDUCACIÓN PRIMARIA
28005726,031,PROGRAMA ACOMPAÑAMIENTO Y APOYO ESCOLAR  EDUCACIÓN PRIMARIA
28005738,150,PROGRAMA 4ºESO+EMPRESA
28005741,031,PROGRAMA ACOMPAÑAMIENTO Y APOYO ESCOLAR  EDUCACIÓN PRIMARIA
28005787,150,PROGRAMA 4ºESO+EMPRESA
28005878,031,PROGRAMA ACOMPAÑAMIENTO Y APOYO ESCOLAR  EDUCACIÓN PRIMARIA
28005881,031,PROGRAMA ACOMPAÑAMIENTO Y APOYO ESCOLAR  EDUCACIÓN PRIMARIA
28005911,031,PROGRAMA ACOMPAÑAMIENTO Y APOYO ESCOLAR  EDUCACIÓN PRIMARIA
28005933,031,PROGRAMA ACOMPAÑAMIENTO Y APOYO ESCOLAR  EDUCACIÓN PRIMARIA
28006007,031,PROGRAMA ACOMPAÑAMIENTO Y APOYO ESCOLAR  EDUCACIÓN PRIMARIA
28006019,150,PROGRAMA 4ºESO+EMPRESA
28006056,031,PROGRAMA ACOMPAÑAMIENTO Y APOYO ESCOLAR  EDUCACIÓN PRIMARIA
28006071,031,PROGRAMA ACOMPAÑAMIENTO Y APOYO ESCOLAR  EDUCACIÓN PRIMARIA
28006159,031,PROGRAMA ACOMPAÑAMIENTO Y APOYO ESCOLAR  EDUCACIÓN PRIMARIA
28006160,031,PROGRAMA ACOMPAÑAMIENTO Y APOYO ESCOLAR  EDUCACIÓN PRIMARIA
28006172,031,PROGRAMA ACOMPAÑAMIENTO Y APOYO ESCOLAR  EDUCACIÓN PRIMARIA
28006184,031,PROGRAMA ACOMPAÑAMIENTO Y APOYO ESCOLAR  EDUCACIÓN PRIMARIA
28006196,031,PROGRAMA ACOMPAÑAMIENTO Y APOYO ESCOLAR  EDUCACIÓN PRIMARIA
28006202,031,PROGRAMA ACOMPAÑAMIENTO Y APOYO ESCOLAR  EDUCACIÓN PRIMARIA
28006251,031,PROGRAMA ACOMPAÑAMIENTO Y APOYO ESCOLAR  EDUCACIÓN PRIMARIA
28006366,031,PROGRAMA ACOMPAÑAMIENTO Y APOYO ESCOLAR  EDUCACIÓN PRIMARIA
28006378,150,PROGRAMA 4ºESO+EMPRESA
28006411,031,PROGRAMA ACOMPAÑAMIENTO Y APOYO ESCOLAR  EDUCACIÓN PRIMARIA
28007103,150,PROGRAMA 4ºESO+EMPRESA
28007127,150,PROGRAMA 4ºESO+EMPRESA
28007139,150,PROGRAMA 4ºESO+EMPRESA
28007152,150,PROGRAMA 4ºESO+EMPRESA
28007395,150,PROGRAMA 4ºESO+EMPRESA
28007826,150,PROGRAMA 4ºESO+EMPRESA
28007917,150,PROGRAMA 4ºESO+EMPRESA
28007954,150,PROGRAMA 4ºESO+EMPRESA
28008405,150,PROGRAMA 4ºESO+EMPRESA
28008703,150,PROGRAMA 4ºESO+EMPRESA
28008946,150,PROGRAMA 4ºESO+EMPRESA
28008958,150,PROGRAMA 4ºESO+EMPRESA
28009291,150,PROGRAMA 4ºESO+EMPRESA
28009446,150,PROGRAMA 4ºESO+EMPRESA
28009458,150,PROGRAMA 4ºESO+EMPRESA
28009549,150,PROGRAMA 4ºESO+EMPRESA
28009604,150,PROGRAMA 4ºESO+EMPRESA
28009641,150,PROGRAMA 4ºESO+EMPRESA
28009781,150,PROGRAMA 4ºESO+EMPRESA
28009793,150,PROGRAMA 4ºESO+EMPRESA
28010357,031,PROGRAMA ACOMPAÑAMIENTO Y APOYO ESCOLAR  EDUCACIÓN PRIMARIA
28010412,031,PROGRAMA ACOMPAÑAMIENTO Y APOYO ESCOLAR  EDUCACIÓN PRIMARIA
28010461,031,PROGRAMA ACOMPAÑAMIENTO Y APOYO ESCOLAR  EDUCACIÓN PRIMARIA
28010497,031,PROGRAMA ACOMPAÑAMIENTO Y APOYO ESCOLAR  EDUCACIÓN PRIMARIA
28010539,031,PROGRAMA ACOMPAÑAMIENTO Y APOYO ESCOLAR  EDUCACIÓN PRIMARIA
28010552,031,PROGRAMA ACOMPAÑAMIENTO Y APOYO ESCOLAR  EDUCACIÓN PRIMARIA
28010591,031,PROGRAMA ACOMPAÑAMIENTO Y APOYO ESCOLAR  EDUCACIÓN PRIMARIA
28010655,031,PROGRAMA ACOMPAÑAMIENTO Y APOYO ESCOLAR  EDUCACIÓN PRIMARIA
28010680,031,PROGRAMA ACOMPAÑAMIENTO Y APOYO ESCOLAR  EDUCACIÓN PRIMARIA
28010710,031,PROGRAMA ACOMPAÑAMIENTO Y APOYO ESCOLAR  EDUCACIÓN PRIMARIA
28010783,031,PROGRAMA ACOMPAÑAMIENTO Y APOYO ESCOLAR  EDUCACIÓN PRIMARIA
28010813,031,PROGRAMA ACOMPAÑAMIENTO Y APOYO ESCOLAR  EDUCACIÓN PRIMARIA
28010862,031,PROGRAMA ACOMPAÑAMIENTO Y APOYO ESCOLAR  EDUCACIÓN PRIMARIA
28010916,031,PROGRAMA ACOMPAÑAMIENTO Y APOYO ESCOLAR  EDUCACIÓN PRIMARIA
28010928,031,PROGRAMA ACOMPAÑAMIENTO Y APOYO ESCOLAR  EDUCACIÓN PRIMARIA
28010931,031,PROGRAMA ACOMPAÑAMIENTO Y APOYO ESCOLAR  EDUCACIÓN PRIMARIA
28010965,031,PROGRAMA ACOMPAÑAMIENTO Y APOYO ESCOLAR  EDUCACIÓN PRIMARIA
28010977,031,PROGRAMA ACOMPAÑAMIENTO Y APOYO ESCOLAR  EDUCACIÓN PRIMARIA
28010990,031,PROGRAMA ACOMPAÑAMIENTO Y APOYO ESCOLAR  EDUCACIÓN PRIMARIA
28011040,031,PROGRAMA ACOMPAÑAMIENTO Y APOYO ESCOLAR  EDUCACIÓN PRIMARIA
28011258,150,PROGRAMA 4ºESO+EMPRESA
28011477,150,PROGRAMA 4ºESO+EMPRESA
28011490,150,PROGRAMA 4ºESO+EMPRESA
28011593,150,PROGRAMA 4ºESO+EMPRESA
28011623,150,PROGRAMA 4ºESO+EMPRESA
28011647,150,PROGRAMA 4ºESO+EMPRESA
28011726,150,PROGRAMA 4ºESO+EMPRESA
28011945,150,PROGRAMA 4ºESO+EMPRESA
28011970,150,PROGRAMA 4ºESO+EMPRESA
28012640,150,PROGRAMA 4ºESO+EMPRESA
28012688,150,PROGRAMA 4ºESO+EMPRESA
28012767,150,PROGRAMA 4ºESO+EMPRESA
28012949,150,PROGRAMA 4ºESO+EMPRESA
28013036,150,PROGRAMA 4ºESO+EMPRESA
28013191,150,PROGRAMA 4ºESO+EMPRESA
28013255,150,PROGRAMA 4ºESO+EMPRESA
28013280,150,PROGRAMA 4ºESO+EMPRESA
28013292,150,PROGRAMA 4ºESO+EMPRESA
28013309,031,PROGRAMA ACOMPAÑAMIENTO Y APOYO ESCOLAR  EDUCACIÓN PRIMARIA
28013395,150,PROGRAMA 4ºESO+EMPRESA
28013450,150,PROGRAMA 4ºESO+EMPRESA
28013565,150,PROGRAMA 4ºESO+EMPRESA
28013590,150,PROGRAMA 4ºESO+EMPRESA
28013607,150,PROGRAMA 4ºESO+EMPRESA
28013723,150,PROGRAMA 4ºESO+EMPRESA
28013759,150,PROGRAMA 4ºESO+EMPRESA
28013802,150,PROGRAMA 4ºESO+EMPRESA
28013838,150,PROGRAMA 4ºESO+EMPRESA
28013851,150,PROGRAMA 4ºESO+EMPRESA
28013863,150,PROGRAMA 4ºESO+EMPRESA
28013899,150,PROGRAMA 4ºESO+EMPRESA
28013899,030,PROGRAMA REFUERZA
28014065,150,PROGRAMA 4ºESO+EMPRESA
28014193,150,PROGRAMA 4ºESO+EMPRESA
28014235,150,PROGRAMA 4ºESO+EMPRESA
28014272,031,PROGRAMA ACOMPAÑAMIENTO Y APOYO ESCOLAR  EDUCACIÓN PRIMARIA
28014417,150,PROGRAMA 4ºESO+EMPRESA
28014454,150,PROGRAMA 4ºESO+EMPRESA
28014478,150,PROGRAMA 4ºESO+EMPRESA
28014533,150,PROGRAMA 4ºESO+EMPRESA
28014570,150,PROGRAMA 4ºESO+EMPRESA
28014651,150,PROGRAMA 4ºESO+EMPRESA
28014958,150,PROGRAMA 4ºESO+EMPRESA
28015392,150,PROGRAMA 4ºESO+EMPRESA
28015471,150,PROGRAMA 4ºESO+EMPRESA
28015495,150,PROGRAMA 4ºESO+EMPRESA
28015550,150,PROGRAMA 4ºESO+EMPRESA
28015653,150,PROGRAMA 4ºESO+EMPRESA
28015756,150,PROGRAMA 4ºESO+EMPRESA
28015756,030,PROGRAMA REFUERZA
28015847,150,PROGRAMA 4ºESO+EMPRESA
28016271,150,PROGRAMA 4ºESO+EMPRESA
28016694,150,PROGRAMA 4ºESO+EMPRESA
28016712,150,PROGRAMA 4ºESO+EMPRESA
28017182,150,PROGRAMA 4ºESO+EMPRESA
28017649,150,PROGRAMA 4ºESO+EMPRESA
28017753,150,PROGRAMA 4ºESO+EMPRESA
28017844,150,PROGRAMA 4ºESO+EMPRESA
28018344,150,PROGRAMA 4ºESO+EMPRESA
28018344,030,PROGRAMA REFUERZA
28018356,187,ESCUELA DEPORTIVA: PIRAGÜISMO
28018356,150,PROGRAMA 4ºESO+EMPRESA
28018356,030,PROGRAMA REFUERZA
28018356,173,ESCUELA DEPORTIVA: FUTBOL SALA
28018356,184,ESCUELA DEPORTIVA: VOLEIBOL
28018381,187,ESCUELA DEPORTIVA: PIRAGÜISMO
28018381,186,ESCUELA DEPORTIVA: LUCHA
28018381,173,ESCUELA DEPORTIVA: FUTBOL SALA
28018381,184,ESCUELA DEPORTIVA: VOLEIBOL
28018381,150,PROGRAMA 4ºESO+EMPRESA
28018381,030,PROGRAMA REFUERZA
28018393,031,PROGRAMA ACOMPAÑAMIENTO Y APOYO ESCOLAR  EDUCACIÓN PRIMARIA
28018435,184,ESCUELA DEPORTIVA: VOLEIBOL
28018435,030,PROGRAMA REFUERZA
28018435,150,PROGRAMA 4ºESO+EMPRESA
28018435,173,ESCUELA DEPORTIVA: FUTBOL SALA
28018460,184,ESCUELA DEPORTIVA: VOLEIBOL
28018460,173,ESCUELA DEPORTIVA: FUTBOL SALA
28018460,030,PROGRAMA REFUERZA
28018460,150,PROGRAMA 4ºESO+EMPRESA
28018472,030,PROGRAMA REFUERZA
28018903,186,ESCUELA DEPORTIVA: LUCHA
28018903,030,PROGRAMA REFUERZA
28018903,150,PROGRAMA 4ºESO+EMPRESA
28018903,176,ESCUELA DEPORTIVA: HOCKEY
28018903,170,ESCUELA DEPORTIVA: ESGRIMA
28018903,173,ESCUELA DEPORTIVA: FUTBOL SALA
28019142,150,PROGRAMA 4ºESO+EMPRESA
28019300,150,PROGRAMA 4ºESO+EMPRESA
28019348,150,PROGRAMA 4ºESO+EMPRESA
28019351,187,ESCUELA DEPORTIVA: PIRAGÜISMO
28019351,186,ESCUELA DEPORTIVA: LUCHA
28019351,180,ESCUELA DEPORTIVA: SALVAMENTO Y SOCORRISMO
28019351,169,ESCUELA DEPORTIVA: CICLISMO
28019351,165,ESCUELA DEPORTIVA: BALONCESTO
28019351,150,PROGRAMA 4ºESO+EMPRESA
28019351,166,ESCUELA DEPORTIVA: BADMINTON
28019351,174,ESCUELA DEPORTIVA: GIMNASIA
28019397,031,PROGRAMA ACOMPAÑAMIENTO Y APOYO ESCOLAR  EDUCACIÓN PRIMARIA
28019464,150,PROGRAMA 4ºESO+EMPRESA
28019464,030,PROGRAMA REFUERZA
28019567,031,PROGRAMA ACOMPAÑAMIENTO Y APOYO ESCOLAR  EDUCACIÓN PRIMARIA
28019592,150,PROGRAMA 4ºESO+EMPRESA
28019762,150,PROGRAMA 4ºESO+EMPRESA
