municipio_distrito;fecha_informe;casos_confirmados_ultimos_14dias;tasa_incidencia_acumulada_ultimos_14dias;casos_confirmados_totales;tasa_incidencia_acumulada_total;codigo_geometria
Algete;2020/04/23 07:00:00;18;87,33;98;475,47;0091
Mejorada del Campo;2020/04/23 07:00:00;21;90,23;166;713,24;0843
Loeches;2020/04/23 07:00:00;;34,13;48;546,01;0758
Parla;2020/04/23 07:00:00;79;60,71;659;506,44;1065
Fuentidueña de Tajo;2020/04/23 07:00:00;;0;16;779,35;0604
Ambite;2020/04/23 07:00:00;;168,92;7;1182,43;0112
Torremocha de Jarama;2020/04/23 07:00:00;;0;8;785,08;1533
Anchuelo;2020/04/23 07:00:00;;0;7;550,75;0127
Los Molinos;2020/04/23 07:00:00;7;159,49;45;1025,29;0875
Soto del Real;2020/04/23 07:00:00;7;79,55;59;670,53;1441
Valverde de Alcalá;2020/04/23 07:00:00;;0;6;1290,32;1662
Fuente el Saz de Jarama;2020/04/23 07:00:00;10;149,34;27;403,23;0590
Horcajo de la Sierra-Aoslos;2020/04/23 07:00:00;;0;;2068,97;0702
Valdeolmos-Alalpardo;2020/04/23 07:00:00;;72,53;11;265,96;1625
Campo Real;2020/04/23 07:00:00;;16,1;23;370,37;0339
Valdeavero;2020/04/23 07:00:00;;0;7;450,45;1564
Villamanrique de Tajo;2020/04/23 07:00:00;;142,25;;426,74;1739
Cobeña;2020/04/23 07:00:00;35;471,19;64;861,6;0416
Fresnedillas de la Oliva;2020/04/23 07:00:00;;254,45;7;445,29;0565
Valdilecha;2020/04/23 07:00:00;;170,47;17;579,61;1659
El Berrueco;2020/04/23 07:00:00;;131,58;8;1052,63;0210
Pezuela de las Torres;2020/04/23 07:00:00;;0;;237,53;1111
Villar del Olmo;2020/04/23 07:00:00;;0;;198,91;1795
Guadarrama;2020/04/23 07:00:00;69;430,39;155;966,82;0685
San Martín de Valdeiglesias;2020/04/23 07:00:00;21;248,26;73;862,99;1338
Torrelodones;2020/04/23 07:00:00;55;231,9;164;691,49;1527
Boadilla del Monte;2020/04/23 07:00:00;68;124,61;269;492,94;0225
Torrejón de Velasco;2020/04/23 07:00:00;;22,82;17;387,95;1505
Santorcaz;2020/03/08 07:00:00;;0;;0;1369
Villanueva de Perales;2020/04/23 07:00:00;;0;;319,9;1782
Tielmes;2020/04/23 07:00:00;;113,21;31;1169,81;1467
San Sebastián de los Reyes;2020/04/23 07:00:00;108;120,97;435;487,25;1343
Guadalix de la Sierra;2020/04/23 07:00:00;;80,46;32;514,97;0679
Humanes de Madrid;2020/04/23 07:00:00;18;91,17;99;501,44;0730
Chinchón;2020/04/23 07:00:00;;37,52;24;450,2;0528
Cadalso de los Vidrios;2020/04/23 07:00:00;;65,81;7;230,34;0318
Hoyo de Manzanares;2020/04/23 07:00:00;7;83;25;296,42;0724
Torrejón de la Calzada;2020/04/23 07:00:00;11;123,99;33;371,96;1492
Estremera;2020/04/23 07:00:00;;317,46;8;634,92;0552
Corpa;2020/04/23 07:00:00;;0;6;841,51;0480
Meco;2020/04/23 07:00:00;7;48,93;123;859,84;0838
Madarcos;2020/04/23 07:00:00;;0;;0;0783
Zarzalejo;2020/04/23 07:00:00;10;603,14;13;784,08;1837
Arganda del Rey;2020/04/23 07:00:00;36;64,99;311;561,48;0148
Collado Mediano;2020/04/23 07:00:00;15;215,58;28;402,41;0468
Daganzo de Arriba;2020/04/23 07:00:00;;19,6;40;391,96;0534
Manzanares El Real;2020/04/23 07:00:00;10;113,12;34;384,62;0822
Buitrago del Lozoya;2020/04/23 07:00:00;;159,24;14;743,1;0278
Valdelaguna;2020/04/23 07:00:00;;0;;106,72;1570
Valdepiélagos;2020/04/23 07:00:00;;0;;0;1631
Casarrubuelos;2020/04/23 07:00:00;;26,47;10;264,69;0360
Miraflores de la Sierra;2020/04/23 07:00:00;;81,86;32;523,9;0856
Paracuellos de Jarama;2020/04/23 07:00:00;6;23,74;66;261,19;1049
El Vellón;2020/04/23 07:00:00;;0;12;612,87;1684
Lozoya;2020/04/23 07:00:00;;0;;172,12;0761
Collado Villalba;2020/04/23 07:00:00;140;219,85;414;650,14;0474
Colmenarejo;2020/04/23 07:00:00;19;208,11;38;416,21;0442
Prádena del Rincón;2020/04/23 07:00:00;;0;;0;1179
La Cabrera;2020/04/23 07:00:00;;74,99;11;412,45;0301
Sevilla la Nueva;2020/04/23 07:00:00;42;450,74;77;826,36;1415
La Acebeda;2020/04/23 07:00:00;;0;;0;0014
Redueña;2020/04/23 07:00:00;;384,62;;769,23;1219
Colmenar de Oreja;2020/04/23 07:00:00;6;74,7;25;311,25;0437
Rozas de Puerto Real;2020/04/23 07:00:00;;377,36;;566,04;1283
Valdemanco;2020/04/23 07:00:00;;109,41;;109,41;1586
Brunete;2020/04/23 07:00:00;17;158,35;68;633,38;0262
Titulcia;2020/04/23 07:00:00;;76,16;7;533,13;1473
Villa del Prado;2020/04/23 07:00:00;46;705,52;102;1564,42;1718
Lozoyuela-Navas-Sieteiglesias;2020/04/23 07:00:00;;0;;230,95;9015
Quijorna;2020/04/23 07:00:00;8;232,63;20;581,56;1198
Valdemoro;2020/04/23 07:00:00;70;92,13;627;825,18;1610
Tres Cantos;2020/04/23 07:00:00;47;98,49;300;628,64;9036
Torrelaguna;2020/04/23 07:00:00;;63,03;16;336,13;1512
Rivas-Vaciamadrid;2020/04/23 07:00:00;52;58,99;505;572,89;1230
El Atazar;2020/04/23 07:00:00;;0;;0;0164
Pedrezuela;2020/04/23 07:00:00;6;101,83;21;356,42;1087
Santa María de la Alameda;2020/04/23 07:00:00;;159,49;;159,49;1356
Horcajuelo de la Sierra;2020/04/23 07:00:00;;0;;0;0719
Arroyomolinos;2020/04/23 07:00:00;26;82,81;144;458,66;0151
Moralzarzal;2020/04/23 07:00:00;9;69,09;63;483,65;0908
Canencia;2020/04/23 07:00:00;;0;;223,71;0344
Villarejo de Salvanés;2020/04/23 07:00:00;;13,63;33;449,9;1809
Serranillos del Valle;2020/04/23 07:00:00;;120,05;27;648,26;1408
Villaviciosa de Odón;2020/04/23 07:00:00;29;104,19;177;635,89;1816
Camarma de Esteruelas;2020/04/23 07:00:00;6;81,79;41;558,89;0323
Robledo de Chavela;2020/04/23 07:00:00;12;281,03;22;515,22;1258
Patones;2020/04/23 07:00:00;;369,69;;924,21;1071
Navalagamella;2020/04/23 07:00:00;;38,31;6;229,89;0954
Rascafría;2020/04/23 07:00:00;;60,1;;300,48;1202
El Boalo;2020/04/23 07:00:00;12;159,83;36;479,49;0231
Majadahonda;2020/04/23 07:00:00;112;155,93;474;659,93;0800
Torrejón de la Calzada;2020/04/14 07:00:00;8;90,17;21;236,7;1492
Estremera;2020/04/14 07:00:00;;396,83;6;476,19;0552
Corpa;2020/04/14 07:00:00;;0;6;841,51;0480
Meco;2020/04/14 07:00:00;23;160,78;116;810,91;0838
Madarcos;2020/04/14 07:00:00;;0;;0;0783
Zarzalejo;2020/04/14 07:00:00;;120,63;;241,25;1837
Arganda del Rey;2020/04/14 07:00:00;114;205,82;275;496,49;0148
Collado Mediano;2020/04/14 07:00:00;10;143,72;15;215,58;0468
Daganzo de Arriba;2020/04/14 07:00:00;10;97,99;35;342,97;0534
Manzanares El Real;2020/04/14 07:00:00;10;113,12;28;316,74;0822
Buitrago del Lozoya;2020/04/14 07:00:00;;53,08;11;583,86;0278
Valdelaguna;2020/04/14 07:00:00;;106,72;;106,72;1570
Valdepiélagos;2020/04/14 07:00:00;;0;;0;1631
Casarrubuelos;2020/04/14 07:00:00;;79,41;9;238,22;0360
Miraflores de la Sierra;2020/04/14 07:00:00;8;130,98;30;491,16;0856
Paracuellos de Jarama;2020/04/14 07:00:00;24;94,98;61;241,4;1049
El Vellón;2020/04/14 07:00:00;;102,15;11;561,8;1684
Lozoya;2020/04/14 07:00:00;;0;;172,12;0761
Collado Villalba;2020/04/14 07:00:00;108;169,6;274;430,28;0474
Colmenarejo;2020/04/14 07:00:00;13;142,39;26;284,78;0442
Villavieja del Lozoya;2020/04/14 07:00:00;;0;;0;1821
Prádena del Rincón;2020/04/14 07:00:00;;0;;0;1179
La Cabrera;2020/04/14 07:00:00;;187,48;10;374,95;0301
Sevilla la Nueva;2020/04/14 07:00:00;29;311,23;43;461,47;1415
La Acebeda;2020/04/14 07:00:00;;0;;0;0014
Redueña;2020/04/14 07:00:00;;0;;384,62;1219
Robledillo de la Jara;2020/04/14 07:00:00;;1250;;1250;1245
La Serna del Monte;2020/04/14 07:00:00;;0;;0;1381
Colmenar de Oreja;2020/04/14 07:00:00;7;87,15;21;261,45;0437
Rozas de Puerto Real;2020/04/14 07:00:00;;188,68;;188,68;1283
Valdemanco;2020/04/14 07:00:00;;109,41;;109,41;1586
Brunete;2020/04/14 07:00:00;10;93,14;51;475,04;0262
Bustarviejo;2020/03/06 07:00:00;;0;;0;0284
Valdelaguna;2020/04/13 07:00:00;;106,72;;106,72;1570
San Fernando de Henares;2020/04/23 07:00:00;74;187,66;366;928,18;1300
Villalbilla;2020/04/23 07:00:00;7;50,44;87;626,89;1723
El Escorial;2020/04/23 07:00:00;42;259,87;84;519,74;0549
Colmenar del Arroyo;2020/04/23 07:00:00;;115,94;;289,86;0421
Torrejón de Ardoz;2020/04/23 07:00:00;85;64,7;908;691,15;1489
Piñuécar-Gandullas;2020/04/23 07:00:00;;0;;0;1147
Brea de Tajo;2020/04/23 07:00:00;;381,68;;954,2;0259
El Molar;2020/04/23 07:00:00;10;111,88;33;369,21;0869
Belmonte de Tajo;2020/04/23 07:00:00;;60,1;;240,38;0199
Torres de la Alameda;2020/04/23 07:00:00;14;179,97;71;912,71;1548
Somosierra;2020/04/23 07:00:00;;0;;1162,79;1436
Alpedrete;2020/04/23 07:00:00;23;157,8;102;699,83;0105
Orusco de Tajuña;2020/04/23 07:00:00;;80,39;17;1366,56;1028
La Hiruela;2020/04/23 07:00:00;;0;;1754,39;0698
Cervera de Buitrago;2020/04/23 07:00:00;;1333,33;;2000;0395
Getafe;2020/04/23 07:00:00;210;114,52;1085;591,69;0650
Ribatejada;2020/04/23 07:00:00;;0;;127,71;1224
Villaconejos;2020/04/23 07:00:00;;0;8;236,13;1701
Valdetorres de Jarama;2020/04/23 07:00:00;;88,95;15;333,56;1646
Madrid-Retiro;2020/04/22 07:00:00;172;144,15;1246;1044,28;079603
Madrid-Salamanca;2020/04/22 07:00:00;212;145,1;1384;947,27;079604
Madrid-Centro;2020/04/22 07:00:00;232;172,05;1011;749,73;079601
Madrid-Arganzuela;2020/04/22 07:00:00;254;165,15;1394;906,35;079602
Madrid-Chamartín;2020/04/22 07:00:00;228;156,33;1370;939,33;079605
Madrid-Tetuán;2020/04/22 07:00:00;335;211,99;1869;1182,74;079606
Madrid-Chamberí;2020/04/22 07:00:00;281;201,61;1310;939,88;079607
Madrid-Fuencarral-El Pardo;2020/04/22 07:00:00;459;186,63;2575;1047,01;079608
Madrid-Moncloa-Aravaca;2020/04/22 07:00:00;258;216,05;1096;917,78;079609
Madrid-Latina;2020/04/22 07:00:00;455;191;2372;995,73;079610
Madrid-Carabanchel;2020/04/22 07:00:00;437;172,66;2308;911,9;079611
Madrid-Usera;2020/04/22 07:00:00;206;147,42;1239;886,64;079612
Madrid-Puente de Vallecas;2020/04/22 07:00:00;378;160,95;2706;1152,19;079613
Madrid-San Blas - Canillejas;2020/04/22 07:00:00;208;131,53;1283;811,3;079620
Madrid-Barajas;2020/04/22 07:00:00;60;122,59;386;788,64;079621
Madrid-Moratalaz;2020/04/22 07:00:00;202;213,6;1192;1260,44;079614
Madrid-Ciudad Lineal;2020/04/22 07:00:00;377;174,31;1949;901,13;079615
Madrid-Hortaleza;2020/04/22 07:00:00;272;144,54;1558;827,9;079616
Madrid-Villaverde;2020/04/22 07:00:00;244;163,82;1261;846,62;079617
Madrid-Villa de Vallecas;2020/04/22 07:00:00;115;104,2;1104;1000,32;079618
Madrid-Vicálvaro;2020/04/22 07:00:00;102;141,49;715;991,8;079619
Pozuelo de Alarcón;2020/04/22 07:00:00;156;180,51;630;728,98;1150
Alcorcón;2020/04/22 07:00:00;305;178,87;1534;899,63;0072
Navalcarnero;2020/04/22 07:00:00;23;78,5;139;474,44;0967
San Agustín del Guadalix;2020/04/22 07:00:00;22;164,44;53;396,14;1296
Las Rozas de Madrid;2020/04/22 07:00:00;133;138,81;627;654,39;1277
Moraleja de Enmedio;2020/04/22 07:00:00;;77,88;21;408,88;0894
Valdaracete;2020/04/22 07:00:00;;164,2;;821,02;1551
Pozuelo del Rey;2020/04/22 07:00:00;;87,18;;174,37;1163
Puebla de la Sierra;2020/04/22 07:00:00;;0;;0;1185
Perales de Tajuña;2020/04/22 07:00:00;;0;7;238,5;1104
Valdemorillo;2020/04/22 07:00:00;16;127,82;40;319,54;1603
Navalafuente;2020/04/22 07:00:00;;138,03;6;414,08;0941
Velilla de San Antonio;2020/04/22 07:00:00;16;130,76;62;506,7;1678
Villanueva de la Cañada;2020/04/22 07:00:00;38;177,2;105;489,62;1760
Villanueva del Pardillo;2020/04/22 07:00:00;18;104,77;74;430,73;1776
Nuevo Baztán;2020/04/22 07:00:00;;47,8;28;446,14;1006
Villamantilla;2020/04/22 07:00:00;;0;7;485,77;1757
Villamanta;2020/04/22 07:00:00;;156,56;11;430,53;1744
Cabanillas de la Sierra;2020/04/22 07:00:00;;132,28;9;1190,48;0297
Cenicientos;2020/04/22 07:00:00;;245,94;19;934,58;0376
Puentes Viejas;2020/04/22 07:00:00;;147,28;;294,55;9020
Aranjuez;2020/04/22 07:00:00;59;98,98;406;681,13;0133
Cercedilla;2020/04/22 07:00:00;27;384,29;91;1295,19;0382
Santorcaz;2020/04/22 07:00:00;;0;7;790,07;1369
Coslada;2020/04/22 07:00:00;149;182,46;749;917,21;0493
Morata de Tajuña;2020/04/22 07:00:00;7;91,11;87;1132,37;0915
Robregordo;2020/04/22 07:00:00;;0;;0;1261
Navarredonda y San Mamés;2020/04/22 07:00:00;;775,19;;1550,39;0973
Venturada;2020/04/22 07:00:00;;46,23;;138,7;1697
Navacerrada;2020/04/22 07:00:00;;100,94;14;471,06;0936
Montejo de la Sierra;2020/04/22 07:00:00;;0;;283,29;0881
Fresno de Torote;2020/04/22 07:00:00;;45,02;14;630,35;0571
Pinilla del Valle;2020/04/22 07:00:00;;0;;0;1126
Valdemaqueda;2020/04/22 07:00:00;;128,04;;512,16;1599
Villanueva de Perales;2020/04/16 07:00:00;;127,96;;319,9;1782
Tielmes;2020/04/16 07:00:00;;113,21;29;1094,34;1467
San Sebastián de los Reyes;2020/04/16 07:00:00;184;206,1;385;431,25;1343
Guadalix de la Sierra;2020/04/16 07:00:00;9;144,83;28;450,6;0679
Humanes de Madrid;2020/04/16 07:00:00;23;116,5;88;445,73;0730
Chinchón;2020/04/16 07:00:00;10;187,58;23;431,44;0528
Cadalso de los Vidrios;2020/04/16 07:00:00;;65,81;7;230,34;0318
Hoyo de Manzanares;2020/04/16 07:00:00;;47,43;21;248,99;0724
Torrejón de la Calzada;2020/04/16 07:00:00;15;169,07;28;315,6;1492
Estremera;2020/04/16 07:00:00;6;476,19;7;555,56;0552
Corpa;2020/04/16 07:00:00;;0;6;841,51;0480
Meco;2020/04/16 07:00:00;16;111,85;117;817,9;0838
Madarcos;2020/04/16 07:00:00;;0;;0;0783
Zarzalejo;2020/04/16 07:00:00;;120,63;;241,25;1837
Arganda del Rey;2020/04/16 07:00:00;102;184,15;285;514,54;0148
Collado Mediano;2020/04/16 07:00:00;11;158,09;18;258,7;0468
Daganzo de Arriba;2020/04/16 07:00:00;7;68,59;37;362,57;0534
Manzanares El Real;2020/04/16 07:00:00;10;113,12;30;339,37;0822
Buitrago del Lozoya;2020/04/16 07:00:00;;159,24;13;690,02;0278
Valdelaguna;2020/04/16 07:00:00;;0;;106,72;1570
Chapinería;2020/04/22 07:00:00;;0;6;257,73;0513
Ciempozuelos;2020/04/22 07:00:00;22;89,46;168;683,15;0409
Ajalvir;2020/04/22 07:00:00;;106,11;12;254,67;0029
San Lorenzo de El Escorial;2020/04/22 07:00:00;46;250,42;107;582,5;1317
Gascones;2020/04/22 07:00:00;;0;;0;0647
San Martín de la Vega;2020/04/22 07:00:00;14;73,03;73;380,8;1322
Móstoles;2020/04/22 07:00:00;420;200,78;1768;845,19;0920
Leganés;2020/04/22 07:00:00;421;221,74;2697;1420,51;0745
Braojos;2020/04/22 07:00:00;;0;;975,61;0246
Cubas de la Sagra;2020/04/22 07:00:00;6;93,56;21;327,46;0506
Algete;2020/04/22 07:00:00;18;87,33;96;465,77;0091
Mejorada del Campo;2020/04/22 07:00:00;26;111,71;166;713,24;0843
Loeches;2020/04/22 07:00:00;;34,13;48;546,01;0758
Parla;2020/04/22 07:00:00;84;64,55;655;503,37;1065
Fuentidueña de Tajo;2020/04/22 07:00:00;;0;16;779,35;0604
Ambite;2020/04/22 07:00:00;;168,92;7;1182,43;0112
Torremocha de Jarama;2020/04/22 07:00:00;;0;8;785,08;1533
Anchuelo;2020/04/22 07:00:00;;78,68;7;550,75;0127
Los Molinos;2020/04/22 07:00:00;8;182,27;43;979,72;0875
Soto del Real;2020/04/22 07:00:00;7;79,55;59;670,53;1441
Valverde de Alcalá;2020/04/22 07:00:00;;0;6;1290,32;1662
Fuente el Saz de Jarama;2020/04/22 07:00:00;11;164,28;27;403,23;0590
Horcajo de la Sierra-Aoslos;2020/04/22 07:00:00;;0;;2068,97;0702
Valdeolmos-Alalpardo;2020/04/22 07:00:00;;48,36;10;241,78;1625
Campo Real;2020/04/22 07:00:00;;16,1;23;370,37;0339
Valdeavero;2020/04/22 07:00:00;;0;7;450,45;1564
Villamanrique de Tajo;2020/04/22 07:00:00;;142,25;;426,74;1739
Cobeña;2020/04/22 07:00:00;35;471,19;63;848,14;0416
Fresnedillas de la Oliva;2020/04/22 07:00:00;;254,45;7;445,29;0565
Valdilecha;2020/04/22 07:00:00;;170,47;17;579,61;1659
El Berrueco;2020/04/22 07:00:00;;131,58;7;921,05;0210
Pezuela de las Torres;2020/04/22 07:00:00;;0;;237,53;1111
Villar del Olmo;2020/04/22 07:00:00;;0;;198,91;1795
Guadarrama;2020/04/22 07:00:00;57;355,54;142;885,73;0685
San Martín de Valdeiglesias;2020/04/22 07:00:00;20;236,43;70;827,52;1338
Torrelodones;2020/04/22 07:00:00;51;215,04;158;666,19;1527
Boadilla del Monte;2020/04/22 07:00:00;70;128,28;263;481,95;0225
Torrejón de Velasco;2020/04/22 07:00:00;;22,82;17;387,95;1505
Villanueva de Perales;2020/04/22 07:00:00;;63,98;;319,9;1782
Tielmes;2020/04/22 07:00:00;;113,21;31;1169,81;1467
San Sebastián de los Reyes;2020/04/22 07:00:00;125;140,02;433;485,01;1343
Guadalix de la Sierra;2020/04/22 07:00:00;7;112,65;32;514,97;0679
Humanes de Madrid;2020/04/22 07:00:00;16;81,04;97;491,31;0730
Chinchón;2020/04/22 07:00:00;;93,79;24;450,2;0528
Cadalso de los Vidrios;2020/04/22 07:00:00;;65,81;7;230,34;0318
Hoyo de Manzanares;2020/04/22 07:00:00;7;83;25;296,42;0724
Torrejón de la Calzada;2020/04/22 07:00:00;11;123,99;32;360,69;1492
Estremera;2020/04/22 07:00:00;;317,46;8;634,92;0552
Corpa;2020/04/22 07:00:00;;0;6;841,51;0480
Meco;2020/04/22 07:00:00;7;48,93;123;859,84;0838
Madarcos;2020/04/22 07:00:00;;0;;0;0783
Zarzalejo;2020/04/22 07:00:00;10;603,14;13;784,08;1837
Arganda del Rey;2020/04/22 07:00:00;38;68,61;309;557,87;0148
Collado Mediano;2020/04/22 07:00:00;12;172,46;25;359,3;0468
Daganzo de Arriba;2020/04/22 07:00:00;;29,4;40;391,96;0534
Manzanares El Real;2020/04/22 07:00:00;9;101,81;33;373,3;0822
Buitrago del Lozoya;2020/04/22 07:00:00;;159,24;14;743,1;0278
Valdelaguna;2020/04/22 07:00:00;;0;;106,72;1570
Valdepiélagos;2020/04/22 07:00:00;;0;;0;1631
Casarrubuelos;2020/04/22 07:00:00;;0;9;238,22;0360
Miraflores de la Sierra;2020/04/22 07:00:00;;81,86;31;507,53;0856
Paracuellos de Jarama;2020/04/22 07:00:00;6;23,74;65;257,23;1049
El Vellón;2020/04/22 07:00:00;;0;12;612,87;1684
Lozoya;2020/04/22 07:00:00;;0;;172,12;0761
Collado Villalba;2020/04/22 07:00:00;139;218,28;399;626,58;0474
Robledillo de la Jara;2020/04/21 07:00:00;;0;;1250;1245
Colmenarejo;2020/04/22 07:00:00;17;186,2;36;394,3;0442
Villavieja del Lozoya;2020/04/22 07:00:00;;0;;0;1821
Prádena del Rincón;2020/04/22 07:00:00;;0;;0;1179
La Cabrera;2020/04/22 07:00:00;;74,99;11;412,45;0301
Sevilla la Nueva;2020/04/22 07:00:00;47;504,4;77;826,36;1415
La Acebeda;2020/04/22 07:00:00;;0;;0;0014
Redueña;2020/04/22 07:00:00;;0;;384,62;1219
Robledillo de la Jara;2020/04/22 07:00:00;;0;;1250;1245
La Serna del Monte;2020/04/22 07:00:00;;0;;0;1381
Colmenar de Oreja;2020/04/22 07:00:00;6;74,7;25;311,25;0437
Rozas de Puerto Real;2020/04/22 07:00:00;;377,36;;566,04;1283
Valdemanco;2020/04/22 07:00:00;;109,41;;109,41;1586
Brunete;2020/04/22 07:00:00;15;139,72;66;614,75;0262
Titulcia;2020/04/22 07:00:00;;76,16;7;533,13;1473
Villa del Prado;2020/04/22 07:00:00;50;766,87;100;1533,74;1718
Lozoyuela-Navas-Sieteiglesias;2020/04/22 07:00:00;;0;;230,95;9015
Quijorna;2020/04/22 07:00:00;8;232,63;20;581,56;1198
Valdemoro;2020/04/22 07:00:00;68;89,49;621;817,29;1610
Tres Cantos;2020/04/22 07:00:00;52;108,96;299;626,55;9036
Torrelaguna;2020/04/22 07:00:00;;42,02;15;315,13;1512
Rivas-Vaciamadrid;2020/04/22 07:00:00;54;61,26;501;568,35;1230
El Atazar;2020/04/22 07:00:00;;0;;0;0164
Pedrezuela;2020/04/22 07:00:00;8;135,78;22;373,39;1087
Santa María de la Alameda;2020/04/22 07:00:00;;79,74;;79,74;1356
Horcajuelo de la Sierra;2020/04/22 07:00:00;;0;;0;0719
Arroyomolinos;2020/04/22 07:00:00;30;95,55;143;455,47;0151
Moralzarzal;2020/04/22 07:00:00;10;76,77;62;475,97;0908
Canencia;2020/04/22 07:00:00;;0;;223,71;0344
Villarejo de Salvanés;2020/04/22 07:00:00;;27,27;33;449,9;1809
Serranillos del Valle;2020/04/22 07:00:00;8;192,08;27;648,26;1408
Villaviciosa de Odón;2020/04/22 07:00:00;32;114,96;173;621,52;1816
Camarma de Esteruelas;2020/04/22 07:00:00;;68,16;40;545,26;0323
Robledo de Chavela;2020/04/22 07:00:00;12;281,03;22;515,22;1258
Patones;2020/04/22 07:00:00;;369,69;;924,21;1071
Navalagamella;2020/04/22 07:00:00;;38,31;6;229,89;0954
Rascafría;2020/04/22 07:00:00;;60,1;;300,48;1202
El Boalo;2020/04/22 07:00:00;12;159,83;35;466,17;0231
Majadahonda;2020/04/22 07:00:00;103;143,4;457;636,26;0800
Batres;2020/04/22 07:00:00;;0;8;475,06;0170
Alcobendas;2020/04/22 07:00:00;158;135;637;544,26;0066
Alcalá de Henares;2020/04/22 07:00:00;184;94,05;2178;1113,22;0053
Colmenar Viejo;2020/04/22 07:00:00;78;153,69;317;624,61;0455
San Fernando de Henares;2020/04/22 07:00:00;93;235,85;365;925,64;1300
Villalbilla;2020/04/22 07:00:00;9;64,85;87;626,89;1723
El Escorial;2020/04/22 07:00:00;36;222,74;78;482,61;0549
Colmenar del Arroyo;2020/04/22 07:00:00;;115,94;;289,86;0421
Torrejón de Ardoz;2020/04/22 07:00:00;105;79,92;902;686,58;1489
Piñuécar-Gandullas;2020/04/22 07:00:00;;0;;0;1147
Brea de Tajo;2020/04/22 07:00:00;;381,68;;954,2;0259
El Molar;2020/04/22 07:00:00;11;123,07;33;369,21;0869
Belmonte de Tajo;2020/04/22 07:00:00;;60,1;;240,38;0199
Torres de la Alameda;2020/04/22 07:00:00;14;179,97;70;899,86;1548
Somosierra;2020/04/22 07:00:00;;0;;1162,79;1436
Alpedrete;2020/04/22 07:00:00;24;164,67;102;699,83;0105
Orusco de Tajuña;2020/04/22 07:00:00;;80,39;17;1366,56;1028
La Hiruela;2020/04/22 07:00:00;;0;;1754,39;0698
Cervera de Buitrago;2020/04/22 07:00:00;;1333,33;;2000;0395
Getafe;2020/04/22 07:00:00;228;124,34;1066;581,33;0650
Ribatejada;2020/04/22 07:00:00;;0;;127,71;1224
Villaconejos;2020/04/22 07:00:00;;0;8;236,13;1701
Valdetorres de Jarama;2020/04/22 07:00:00;;88,95;15;333,56;1646
Madrid-Retiro;2020/04/21 07:00:00;206;172,65;1233;1033,38;079603
Madrid-Salamanca;2020/04/21 07:00:00;229;156,74;1363;932,9;079604
Madrid-Centro;2020/04/21 07:00:00;234;173,53;978;725,26;079601
Madrid-Arganzuela;2020/04/21 07:00:00;257;167,1;1368;889,45;079602
Madrid-Chamartín;2020/04/21 07:00:00;235;161,13;1318;903,67;079605
Madrid-Tetuán;2020/04/21 07:00:00;351;222,12;1838;1163,12;079606
Madrid-Chamberí;2020/04/21 07:00:00;308;220,98;1279;917,64;079607
Madrid-Fuencarral-El Pardo;2020/04/21 07:00:00;497;202,08;2523;1025,86;079608
Madrid-Moncloa-Aravaca;2020/04/21 07:00:00;278;232,79;1077;901,87;079609
Madrid-Latina;2020/04/21 07:00:00;519;217,87;2332;978,94;079610
Madrid-Carabanchel;2020/04/21 07:00:00;454;179,38;2259;892,54;079611
Madrid-Usera;2020/04/21 07:00:00;219;156,72;1214;868,75;079612
Madrid-Puente de Vallecas;2020/04/21 07:00:00;397;169,04;2660;1132,6;079613
Madrid-San Blas - Canillejas;2020/04/21 07:00:00;233;147,34;1270;803,08;079620
Madrid-Barajas;2020/04/21 07:00:00;65;132,8;379;774,34;079621
Madrid-Moratalaz;2020/04/21 07:00:00;205;216,77;1173;1240,35;079614
Madrid-Ciudad Lineal;2020/04/21 07:00:00;401;185,4;1911;883,56;079615
Madrid-Hortaleza;2020/04/21 07:00:00;281;149,32;1533;814,62;079616
Madrid-Villaverde;2020/04/21 07:00:00;252;169,19;1232;827,15;079617
Madrid-Villa de Vallecas;2020/04/21 07:00:00;113;102,39;1091;988,54;079618
Madrid-Vicálvaro;2020/04/21 07:00:00;102;141,49;702;973,77;079619
Pozuelo de Alarcón;2020/04/21 07:00:00;144;166,62;604;698,9;1150
Alcorcón;2020/04/21 07:00:00;344;201,74;1506;883,21;0072
Navalcarnero;2020/04/21 07:00:00;26;88,74;136;464,2;0967
San Agustín del Guadalix;2020/04/21 07:00:00;24;179,39;51;381,19;1296
Las Rozas de Madrid;2020/04/21 07:00:00;139;145,07;619;646,04;1277
Alcorcón;2020/04/16 07:00:00;437;256,28;1340;785,86;0072
Navalcarnero;2020/04/16 07:00:00;28;95,57;125;426,65;0967
San Agustín del Guadalix;2020/04/16 07:00:00;24;179,39;43;321,4;1296
Las Rozas de Madrid;2020/04/16 07:00:00;213;222,31;537;560,46;1277
Moraleja de Enmedio;2020/04/16 07:00:00;;97,35;19;369,94;0894
Valdaracete;2020/04/16 07:00:00;;492,61;;821,02;1551
Pozuelo del Rey;2020/04/16 07:00:00;;87,18;;174,37;1163
Puebla de la Sierra;2020/04/16 07:00:00;;0;;0;1185
Navalafuente;2020/04/21 07:00:00;;207,04;6;414,08;0941
Velilla de San Antonio;2020/04/21 07:00:00;18;147,11;62;506,7;1678
Villanueva de la Cañada;2020/04/21 07:00:00;35;163,21;99;461,65;1760
Villanueva del Pardillo;2020/04/21 07:00:00;19;110,59;73;424,91;1776
