municipio_distrito;fecha_informe;casos_confirmados_ultimos_14dias;tasa_incidencia_acumulada_ultimos_14dias;casos_confirmados_totales;tasa_incidencia_acumulada_total;codigo_geometria
Titulcia;2020/07/01 09:00:00;;0;10;761,61;1473
Villa del Prado;2020/07/01 09:00:00;;15,34;136;2085,89;1718
Lozoyuela-Navas-Sieteiglesias;2020/07/01 09:00:00;;76,98;;307,93;9015
Quijorna;2020/07/01 09:00:00;;0;35;1017,74;1198
Valdemoro;2020/07/01 09:00:00;11;14,48;894;1176,58;1610
Tres Cantos;2020/07/01 09:00:00;;4,19;454;951,34;9036
Torrelaguna;2020/07/01 09:00:00;;21,01;27;567,23;1512
Rivas-Vaciamadrid;2020/07/01 09:00:00;8;9,08;628;712,42;1230
El Atazar;2020/07/01 09:00:00;;0;;0;0164
Pedrezuela;2020/07/01 09:00:00;;0;36;611;1087
Santa María de la Alameda;2020/07/01 09:00:00;;0;7;558,21;1356
Horcajuelo de la Sierra;2020/07/01 09:00:00;;0;;0;0719
Arroyomolinos;2020/07/01 09:00:00;;3,19;199;633,84;0151
Moralzarzal;2020/07/01 09:00:00;;15,35;82;629,51;0908
Canencia;2020/07/01 09:00:00;;0;;671,14;0344
Villarejo de Salvanés;2020/07/01 09:00:00;;0;44;599,86;1809
Serranillos del Valle;2020/07/01 09:00:00;;0;39;936,37;1408
Villaviciosa de Odón;2020/07/01 09:00:00;;17,96;237;851,45;1816
Camarma de Esteruelas;2020/07/01 09:00:00;;0;46;627,04;0323
Robledo de Chavela;2020/07/01 09:00:00;;0;30;702,58;1258
Patones;2020/07/01 09:00:00;;184,84;16;2957,49;1071
Navalagamella;2020/07/01 09:00:00;;0;8;306,51;0954
Rascafría;2020/07/01 09:00:00;;0;7;420,67;1202
El Boalo;2020/07/01 09:00:00;;0;47;626;0231
Majadahonda;2020/07/01 09:00:00;6;8,35;638;888,26;0800
Batres;2020/07/01 09:00:00;;0;10;593,82;0170
Alcobendas;2020/07/01 09:00:00;16;13,67;901;769,82;0066
Alcalá de Henares;2020/07/01 09:00:00;11;5,62;2530;1293,13;0053
Colmenar Viejo;2020/07/01 09:00:00;;9,85;508;1000,95;0455
San Fernando de Henares;2020/07/01 09:00:00;;10,14;447;1133,6;1300
Villalbilla;2020/07/01 09:00:00;;7,21;95;684,54;1723
El Escorial;2020/07/01 09:00:00;;0;147;909,54;0549
Colmenar del Arroyo;2020/07/01 09:00:00;;0;52;3014,49;0421
Torrejón de Ardoz;2020/07/01 09:00:00;14;10,66;1133;862,41;1489
Piñuécar-Gandullas;2020/07/01 09:00:00;;0;;0;1147
Brea de Tajo;2020/07/01 09:00:00;;0;8;1526,72;0259
El Molar;2020/07/01 09:00:00;;0;40;447,53;0869
Belmonte de Tajo;2020/07/01 09:00:00;;0;;300,48;0199
Torres de la Alameda;2020/07/01 09:00:00;;12,86;90;1156,96;1548
Somosierra;2020/07/01 09:00:00;;0;;2325,58;1436
Alpedrete;2020/07/01 09:00:00;;6,86;151;1036,02;0105
Orusco de Tajuña;2020/07/01 09:00:00;;0;24;1929,26;1028
La Hiruela;2020/07/01 09:00:00;;0;;3508,77;0698
Cervera de Buitrago;2020/07/01 09:00:00;;0;;2000;0395
Getafe;2020/07/01 09:00:00;36;19,63;1618;882,35;0650
Ribatejada;2020/07/01 09:00:00;;0;;255,43;1224
Villaconejos;2020/07/01 09:00:00;;0;9;265,64;1701
Valdetorres de Jarama;2020/07/01 09:00:00;;0;18;400,27;1646
Madrid-Retiro;2020/06/30 09:00:00;30;25,14;1684;1411,37;079603
Madrid-Salamanca;2020/06/30 09:00:00;20;13,69;1776;1215,57;079604
Madrid-Centro;2020/06/30 09:00:00;21;15,57;1280;949,22;079601
Madrid-Arganzuela;2020/06/30 09:00:00;19;12,35;1761;1144,97;079602
Madrid-Chamartín;2020/06/30 09:00:00;10;6,86;1788;1225,93;079605
Madrid-Tetuán;2020/06/30 09:00:00;10;6,33;2226;1408,66;079606
Madrid-Chamberí;2020/06/30 09:00:00;22;15,78;1727;1239,07;079607
Madrid-Fuencarral-El Pardo;2020/06/30 09:00:00;27;10,98;3278;1332,85;079608
Madrid-Moncloa-Aravaca;2020/06/30 09:00:00;24;20,1;1561;1307,16;079609
Madrid-Latina;2020/06/30 09:00:00;56;23,51;3078;1292,09;079610
Madrid-Carabanchel;2020/06/30 09:00:00;34;13,43;2952;1166,34;079611
Madrid-Usera;2020/06/30 09:00:00;22;15,74;1500;1073,41;079612
Madrid-Puente de Vallecas;2020/06/30 09:00:00;55;23,42;3343;1423,42;079613
Madrid-San Blas - Canillejas;2020/06/30 09:00:00;13;8,22;1583;1001;079620
Madrid-Barajas;2020/06/30 09:00:00;6;12,26;458;935,74;079621
Madrid-Moratalaz;2020/06/30 09:00:00;21;22,21;1514;1600,93;079614
Madrid-Ciudad Lineal;2020/06/30 09:00:00;36;16,64;2425;1121,21;079615
Madrid-Hortaleza;2020/06/30 09:00:00;12;6,38;1876;996,88;079616
Madrid-Villaverde;2020/06/30 09:00:00;29;19,47;1578;1059,44;079617
Madrid-Villa de Vallecas;2020/06/30 09:00:00;18;16,31;1318;1194,22;079618
Madrid-Vicálvaro;2020/06/30 09:00:00;24;33,29;929;1288,65;079619
Pozuelo de Alarcón;2020/06/30 09:00:00;6;6,94;859;993,96;1150
Alcorcón;2020/06/30 09:00:00;14;8,21;1956;1147,12;0072
Navalcarnero;2020/06/30 09:00:00;;0;222;757,73;0967
San Agustín del Guadalix;2020/06/30 09:00:00;;0;84;627,85;1296
Las Rozas de Madrid;2020/06/30 09:00:00;9;9,39;868;905,92;1277
Moraleja de Enmedio;2020/06/30 09:00:00;;0;29;564,64;0894
Valdaracete;2020/06/30 09:00:00;;0;7;1149,43;1551
Pozuelo del Rey;2020/06/30 09:00:00;;87,18;;348,74;1163
Puebla de la Sierra;2020/06/30 09:00:00;;0;;0;1185
Perales de Tajuña;2020/06/30 09:00:00;;34,07;12;408,86;1104
Valdemorillo;2020/06/30 09:00:00;;0;52;415,4;1603
Navalafuente;2020/06/30 09:00:00;;0;8;552,1;0941
Velilla de San Antonio;2020/06/30 09:00:00;;8,17;78;637,46;1678
Villanueva de la Cañada;2020/06/30 09:00:00;;4,66;173;806,71;1760
Villanueva del Pardillo;2020/06/30 09:00:00;;5,82;114;663,56;1776
Nuevo Baztán;2020/06/30 09:00:00;;0;33;525,81;1006
Villamantilla;2020/06/30 09:00:00;;0;8;555,17;1757
Villamanta;2020/06/30 09:00:00;;0;18;704,5;1744
Cabanillas de la Sierra;2020/06/30 09:00:00;;0;10;1322,75;0297
Cenicientos;2020/06/30 09:00:00;;0;37;1819,97;0376
Puentes Viejas;2020/06/30 09:00:00;;0;;294,55;9020
Aranjuez;2020/06/30 09:00:00;;3,36;478;801,92;0133
Cercedilla;2020/06/30 09:00:00;;14,23;125;1779,11;0382
Santorcaz;2020/06/30 09:00:00;;0;7;790,07;1369
Coslada;2020/06/30 09:00:00;6;7,35;872;1067,83;0493
Morata de Tajuña;2020/06/30 09:00:00;;0;112;1457,76;0915
Robregordo;2020/06/30 09:00:00;;0;;0;1261
Navarredonda y San Mamés;2020/06/30 09:00:00;;0;;775,19;0973
Venturada;2020/06/30 09:00:00;;0;;138,7;1697
Navacerrada;2020/06/30 09:00:00;;0;19;639,3;0936
Montejo de la Sierra;2020/06/30 09:00:00;;0;;283,29;0881
Fresno de Torote;2020/06/30 09:00:00;;0;14;630,35;0571
Pinilla del Valle;2020/06/30 09:00:00;;0;;0;1126
Valdemaqueda;2020/06/30 09:00:00;;0;;640,2;1599
Navas del Rey;2020/06/30 09:00:00;;34,27;83;2844,41;0992
Olmeda de las Fuentes;2020/06/30 09:00:00;;0;;862,07;1013
Bustarviejo;2020/06/30 09:00:00;;0;11;439,47;0284
Becerril de la Sierra;2020/06/30 09:00:00;;0;35;612,53;0186
Fuenlabrada;2020/06/30 09:00:00;29;14,97;1714;884,87;0587
Garganta de los Montes;2020/06/30 09:00:00;;0;;288,18;0626
Pinto;2020/06/30 09:00:00;11;20,94;361;687,28;1132
Alameda del Valle;2020/06/30 09:00:00;;0;;0;0035
Berzosa del Lozoya;2020/06/30 09:00:00;;0;;975,61;0203
Los Santos de la Humosa;2020/06/30 09:00:00;;0;21;810,81;1375
El Álamo;2020/06/30 09:00:00;;21,12;110;1161,56;0040
Pelayos de la Presa;2020/06/30 09:00:00;;0;19;731,9;1090
Galapagar;2020/06/30 09:00:00;;8,89;297;880,21;0611
Griñón;2020/06/30 09:00:00;;9,69;114;1104,76;0663
Gargantilla del Lozoya y Pinilla de Buitrago;2020/06/30 09:00:00;;0;;949,37;0632
Aldea del Fresno;2020/06/30 09:00:00;;0;62;2184,64;0088
Carabaña;2020/06/30 09:00:00;;0;14;696,52;0357
Talamanca de Jarama;2020/06/30 09:00:00;;0;66;1711,17;1454
Chapinería;2020/06/30 09:00:00;;0;8;343,64;0513
Ciempozuelos;2020/06/30 09:00:00;;0;278;1130,45;0409
Ajalvir;2020/06/30 09:00:00;;21,22;36;764,01;0029
San Lorenzo de El Escorial;2020/06/30 09:00:00;;5,44;150;816,59;1317
Gascones;2020/06/30 09:00:00;;0;;0;0647
San Martín de la Vega;2020/06/30 09:00:00;;10,43;106;552,95;1322
Móstoles;2020/06/30 09:00:00;30;14,34;2334;1115,76;0920
Leganés;2020/06/30 09:00:00;70;36,87;3400;1790,78;0745
Braojos;2020/06/30 09:00:00;;0;;975,61;0246
Cubas de la Sagra;2020/06/30 09:00:00;;0;36;561,36;0506
Algete;2020/06/30 09:00:00;;0;134;650,14;0091
Mejorada del Campo;2020/06/30 09:00:00;;0;190;816,36;0843
Loeches;2020/06/30 09:00:00;;0;52;591,51;0758
Parla;2020/06/30 09:00:00;10;7,68;833;640,16;1065
Fuentidueña de Tajo;2020/06/30 09:00:00;;48,71;20;974,18;0604
Ambite;2020/06/30 09:00:00;;0;7;1182,43;0112
Torremocha de Jarama;2020/06/30 09:00:00;;0;16;1570,17;1533
