OBJECTID,MODO,CODIGOITINERARIO,CODIGOGESTIONLINEA,NUMEROLINEAUSUARIO,SENTIDO,TIPOITINERARIO,CODIGOESTACION,CODIGOPOSTE,CODIGOANDEN,NUMEROORDEN,IDENTIFICADORTIPOPARADA,TIPOPARADA,DENOMINACION,CODIGOPROVINCIA,CODIGOMUNICIPIO,MUNICIPIO,CORONATARIFARIA,DIRECCION,FECHAALTA,FECHAINICIO,FECHAFIN,LONGITUDTRAMOANTERIOR,VELOCIDADTRAMOANTERIOR,MODOLINEA,IDFINTERCAMBIADOR,CODPROV_LINEA,CODMUN_LINEA,IDFTRAMO,CODIGOOBSERVACION,CODIGOSUBLINEA,DENOMINACION_SAE,IDFLINEA,IDFITINERARIO,IDFESTACION,IDFPOSTE,IDFANDEN
21,4,332070,122,12-2,1,1,212,,442,26,TI,I,PARQUE OESTE,28,007,ALCORCON,B1,Calle de Estambul N 5,20030613,20030411,,2614.559,40.59,4,93_294,,,4__12_2____1_IT_1_4_212__442_TI_I_26,,,,4__12_2__,4__12_2____1_IT_1,4_212,4_212_,4_212_442
22,4,332069,121,12-1,1,1,212,,441,4,TI,I,PARQUE OESTE,28,007,ALCORCON,B1,Calle de Estambul N 5,20030613,20030411,,1566.99,40.53,4,93_294,,,4__12_1____1_IT_1_4_212__441_TI_I_4,,,,4__12_1__,4__12_1____1_IT_1,4_212,4_212_,4_212_441
23,4,330931,092,9B,1,1,186,,389,6,TI,T,ARGANDA DEL REY,28,014,ARGANDA DEL REY,B3,Paseo de la Estación N 37,20020220,20000107,,3707.895,54.34,4,93_141,,,4__9_B____1_IT_1_4_186__389_TI_T_6,,,,4__9_B__,4__9_B____1_IT_1,4_186,4_186_,4_186_389
24,4,330932,092,9B,2,1,186,,390,1,TI,T,ARGANDA DEL REY,28,014,ARGANDA DEL REY,B3,Paseo de la Estación N 37,20020220,20000107,,0,0,4,93_141,,,4__9_B____2_IT_1_4_186__390_TI_T_1,,,,4__9_B__,4__9_B____2_IT_1,4_186,4_186_,4_186_390
25,4,330931,092,9B,1,1,185,,387,5,TI,I,LA POVEDA,28,014,ARGANDA DEL REY,B3,Parcela   9017 Polígono 1 SN S/N,20020220,20000107,,4371.06,54.34,4,93_251,,,4__9_B____1_IT_1_4_185__387_TI_I_5,,,,4__9_B__,4__9_B____1_IT_1,4_185,4_185_,4_185_387
26,4,330932,092,9B,2,1,185,,388,2,TI,I,LA POVEDA,28,014,ARGANDA DEL REY,B3,Parcela   9017 Polígono 1 SN S/N,20020220,20000107,,3699.83,54.34,4,93_251,,,4__9_B____2_IT_1_4_185__388_TI_I_2,,,,4__9_B__,4__9_B____2_IT_1,4_185,4_185_,4_185_388
27,4,337772,072,7b,1,1,287,,775,7,TI,I,BARRIO DEL PUERTO,28,049,COSLADA,B1,Avda de España N 8,20080214,20080207,,691.7971,33.38,4,93_157,,,4__7_B____1_IT_1_4_287__775_TI_I_7,,,,4__7_B__,4__7_B____1_IT_1,4_287,4_287_,4_287_775
28,4,337773,072,7b,2,1,287,,776,2,TI,I,BARRIO DEL PUERTO,28,049,COSLADA,B1,Avda de España N 8,20080214,20080207,,2950.4729,33.38,4,93_157,,,4__7_B____2_IT_1_4_287__776_TI_I_2,,,,4__7_B__,4__7_B____2_IT_1,4_287,4_287_,4_287_776
29,4,337772,072,7b,1,1,288,,777,6,TI,I,COSLADA CENTRAL,28,049,COSLADA,B1,Calle del Doctor Fleming N 41,20080214,20080207,,1343.4833,33.38,4,92_87,,,4__7_B____1_IT_1_4_288__777_TI_I_6,,,,4__7_B__,4__7_B____1_IT_1,4_288,4_288_,4_288_777
30,4,337773,072,7b,2,1,288,,778,3,TI,I,COSLADA CENTRAL,28,049,COSLADA,B1,Calle del Doctor Fleming N 41,20080214,20080207,,685.1082,33.38,4,92_87,,,4__7_B____2_IT_1_4_288__778_TI_I_3,,,,4__7_B__,4__7_B____2_IT_1,4_288,4_288_,4_288_778
