OBJECTID,NUMEROLINEAUSUARIO,SENTIDO,DENOMINACION,CODIGOMUNICIPIO,MUNICIPIO,CORONATARIFARIA,DIRECCION,LONGITUDTRAMOANTERIOR,VELOCIDADTRAMOANTERIOR
71,12-1,1,SAN NICASIO,74,LEGANES,B1,Avda   Mar Mediterráneo SN SN,1164.882,40.53
72,12-2,1,SAN NICASIO,74,LEGANES,B1,Avda   Mar Mediterráneo SN SN,3368.456,40.59
73,11,2,LA FORTUNA,74,LEGANES,B1,Calle   San José N 40,0,0
74,11,1,LA FORTUNA,74,LEGANES,B1,Calle   San José N 40,2357.2088,26.52
75,1,1,SIERRA DE GUADALUPE,79,MADRID,A,Avda de la Democracia N 1,1344.99593007363,22.96
76,1,2,SIERRA DE GUADALUPE,79,MADRID,A,Avda de la Democracia N 1,482.366086617047,22.96
77,1,1,VILLA DE VALLECAS,79,MADRID,A,Paseo de Federico García Lorca N 2,483.080889681132,22.96
78,1,2,VILLA DE VALLECAS,79,MADRID,A,Paseo de Federico García Lorca N 2,804.798848625823,22.96
79,7a,1,ISLAS FILIPINAS,79,MADRID,A,Calle de Cea Bermúdez N 54,750.736,27.77
80,7a,2,ISLAS FILIPINAS,79,MADRID,A,Calle de Cea Bermúdez N 54,1459.635,27.77
81,7a,1,GUZMAN EL BUENO,79,MADRID,A,Calle de Guzmán el Bueno N 118,1468.397,27.77
82,7a,2,GUZMAN EL BUENO,79,MADRID,A,Calle de Guzmán el Bueno N 118,1123.902,27.77
83,7a,1,FRANCOS RODRIGUEZ,79,MADRID,A,Avda de Pablo Iglesias N 87,1124.824,27.77
84,7a,2,FRANCOS RODRIGUEZ,79,MADRID,A,Avda de Pablo Iglesias N 87,1210.813,27.77
85,7a,1,ANTONIO MACHADO,79,MADRID,A,Calle de Valderrodrigo N 55,886.558,27.77
86,7a,2,ANTONIO MACHADO,79,MADRID,A,Calle de Valderrodrigo N 55,660.992,27.77
87,7a,1,PEÑAGRANDE,79,MADRID,A,Cmno de Ganapanes N 35,655.011,27.77
88,7a,2,PEÑAGRANDE,79,MADRID,A,Cmno de Ganapanes N 35,550.938,27.77
89,7a,1,LACOMA,79,MADRID,A,Calle de Riscos de Polanco N 3,679.682,27.77
90,7a,2,LACOMA,79,MADRID,A,Calle de Riscos de Polanco N 3,1270.80016785791,27.77
91,7a,1,PITIS,79,MADRID,A,Ctra a la Estación de Pitis N 19,1276.08922075483,27.77
92,7a,2,PITIS,79,MADRID,A,Ctra a la Estación de Pitis N 19,0,0
93,1,1,CONGOSTO,79,MADRID,A,Calle del Congosto N 48,804.115683007007,22.96
94,1,2,CONGOSTO,79,MADRID,A,Calle del Congosto N 48,601.331659011156,22.96
95,5,1,CANILLEJAS,79,MADRID,A,Calle de Alcalá N 631,1419.7351,23.38
96,5,2,CANILLEJAS,79,MADRID,A,Calle de Alcalá N 631,983.497,23.38
97,5,1,TORRE ARIAS,79,MADRID,A,Calle de Alcalá N 557,985.045,23.38
98,5,2,TORRE ARIAS,79,MADRID,A,Calle de Alcalá N 557,784.431,23.38
99,5,1,SUANZES,79,MADRID,A,Calle de Alcalá N 527,785.008,23.38
100,5,2,SUANZES,79,MADRID,A,Calle de Alcalá N 527,943.435,23.38
101,5,1,CIUDAD LINEAL,79,MADRID,A,Calle de Arturo Soria N 2,943.039,23.38
102,5,2,CIUDAD LINEAL,79,MADRID,A,Calle de Arturo Soria N 2,540.268,23.38
103,5,1,PUEBLO NUEVO,79,MADRID,A,Calle de Alcalá N 372,539.239,23.38
104,5,2,PUEBLO NUEVO,79,MADRID,A,Calle de Alcalá N 372,529.166,23.38
105,5,1,QUINTANA,79,MADRID,A,Calle de la Virgen del Sagrario N 2,530.192,23.38
106,5,2,QUINTANA,79,MADRID,A,Calle de la Virgen del Sagrario N 2,713.243,23.38
107,5,1,EL CARMEN,79,MADRID,A,Calle de Raquel Méller N 2,713.966,23.38
108,5,2,EL CARMEN,79,MADRID,A,Calle de Raquel Méller N 2,694.314,23.38
109,5,1,VENTAS,79,MADRID,A,Calle de Alcalá N 204,697.93,23.38
110,5,2,VENTAS,79,MADRID,A,Calle de Alcalá N 204,877.005,23.38
111,5,1,NUÑEZ DE BALBOA,79,MADRID,A,Calle de Juan Bravo N 20,669.974,23.38
112,5,2,NUÑEZ DE BALBOA,79,MADRID,A,Calle de Juan Bravo N 20,668.393,23.38
113,5,1,RUBEN DARIO,79,MADRID,A,Paseo de Eduardo Dato N 33,667.161,23.38
114,5,2,RUBEN DARIO,79,MADRID,A,Paseo de Eduardo Dato N 33,704.856,23.38
115,5,1,ALONSO MARTINEZ,79,MADRID,A,Calle de Almagro N 4,700.584,23.38
116,5,2,ALONSO MARTINEZ,79,MADRID,A,Calle de Almagro N 4,713.881,23.38
117,5,1,CHUECA,79,MADRID,A,Plaza de Chueca N 7,712.497,23.38
118,5,2,CHUECA,79,MADRID,A,Plaza de Chueca N 7,463.803,23.38
119,5,1,GRAN VIA,79,MADRID,A,Calle   Gran Vía N 23,469.881,23.38
120,5,2,GRAN VIA,79,MADRID,A,Calle   Gran Vía N 23,342.979,23.38
121,3,1,DELICIAS,79,MADRID,A,Paseo de las Delicias N 60,738.111558332,24.99
122,3,2,DELICIAS,79,MADRID,A,Paseo de las Delicias N 60,539.501809962922,24.99
123,3,1,PALOS DE LA FRONTERA,79,MADRID,A,Calle de Palos de la Frontera N 33,532.812252203822,24.99
124,3,2,PALOS DE LA FRONTERA,79,MADRID,A,Calle de Palos de la Frontera N 33,772.840831891391,24.99
125,3,1,EMBAJADORES,79,MADRID,A,Gta de Embajadores N 10,779.545767460873,24.99
126,3,2,EMBAJADORES,79,MADRID,A,Gta de Embajadores N 10,460.11580961564,24.99
127,3,1,SOL,79,MADRID,A,Plaza de la Puerta del Sol N 6,952.862648622358,24.99
128,3,2,SOL,79,MADRID,A,Plaza de la Puerta del Sol N 6,450.649221475184,24.99
129,3,1,CALLAO,79,MADRID,A,Plaza del Callao N 3,450.74735397638,24.99
130,3,2,CALLAO,79,MADRID,A,Plaza del Callao N 3,567.048156411944,24.99
131,3,1,VENTURA RODRIGUEZ,79,MADRID,A,Calle de la Princesa N 22,461.140040132393,24.99
132,3,2,VENTURA RODRIGUEZ,79,MADRID,A,Calle de la Princesa N 22,459.936210904174,24.99
133,3,1,LEGAZPI,79,MADRID,A,Plaza de Legazpi N 2B,1065.5137,24.99
134,3,2,LEGAZPI,79,MADRID,A,Plaza de Legazpi N 2B,738.235711858957,24.99
135,3,1,MONCLOA,79,MADRID,A,Plaza de la Moncloa N 1,632.8537,24.99
136,3,2,MONCLOA,79,MADRID,A,Plaza de la Moncloa N 1,0,0
137,4,1,ARGÜELLES,79,MADRID,A,Calle de Alberto Aguilera N 72,0,0
138,4,2,ARGÜELLES,79,MADRID,A,Calle de Alberto Aguilera N 72,814.9617,22.42
139,4,1,BILBAO,79,MADRID,A,Calle de Sagasta N 5,389.764444498609,22.42
140,4,2,BILBAO,79,MADRID,A,Calle de Sagasta N 5,446.02,22.42
141,4,1,ALONSO MARTINEZ,79,MADRID,A,Plaza de Alonso Martínez N 4,446.976218515561,22.42
142,4,2,ALONSO MARTINEZ,79,MADRID,A,Plaza de Alonso Martínez N 4,368.236,22.42
143,4,1,SERRANO,79,MADRID,A,Calle de Goya N 19,497.659,22.42
144,4,2,SERRANO,79,MADRID,A,Calle de Goya N 19,362.515,22.42
145,2,1,OPERA,79,MADRID,A,Plaza de Isabel II N 9,505.944,24.22
146,2,2,OPERA,79,MADRID,A,Plaza de Isabel II N 9,429.916,24.22
147,1,1,BUENOS AIRES,79,MADRID,A,Avda de la Albufera N 179,557.872010656952,22.96
148,1,2,BUENOS AIRES,79,MADRID,A,Avda de la Albufera N 179,652.304820886954,22.96
149,1,1,MIGUEL HERNANDEZ,79,MADRID,A,Calle de León Felipe N 4A,627.765533978312,22.96
150,1,2,MIGUEL HERNANDEZ,79,MADRID,A,Calle de León Felipe N 4A,1343.05274455404,22.96
151,2,1,NOVICIADO,79,MADRID,A,Calle de San Bernardo N 49,401.712,24.22
152,2,2,NOVICIADO,79,MADRID,A,Calle de San Bernardo N 49,626.276,24.22
153,2,1,SAN BERNARDO,79,MADRID,A,Calle de San Bernardo N 94,627.705,24.22
154,2,2,SAN BERNARDO,79,MADRID,A,Calle de San Bernardo N 94,297.348,24.22
155,2,1,CANAL,79,MADRID,A,Calle de Bravo Murillo N 40,706.852,24.22
156,2,2,CANAL,79,MADRID,A,Calle de Bravo Murillo N 40,748.109,24.22
157,2,1,VENTAS,79,MADRID,A,Calle de Alcalá N 204,1275.527,24.22
158,2,2,VENTAS,79,MADRID,A,Calle de Alcalá N 204,628.374,24.22
159,2,1,MANUEL BECERRA,79,MADRID,A,Plaza de Manuel Becerra N 1,627.83,24.22
160,2,2,MANUEL BECERRA,79,MADRID,A,Plaza de Manuel Becerra N 1,629.646,24.22
161,2,1,PRINCIPE DE VERGARA,79,MADRID,A,Calle de Alcalá N 123,407.951,24.22
162,2,2,PRINCIPE DE VERGARA,79,MADRID,A,Calle de Alcalá N 123,542.249,24.22
163,2,1,RETIRO,79,MADRID,A,Calle de Alcalá N 81,543.72,24.22
164,2,2,RETIRO,79,MADRID,A,Calle de Alcalá N 81,747.165,24.22
165,2,1,SOL,79,MADRID,A,Plaza de la Puerta del Sol N 6,339.782,24.22
166,2,2,SOL,79,MADRID,A,Plaza de la Puerta del Sol N 6,501.307,24.22
167,R,1,PRINCIPE PIO,79,MADRID,A,Paseo de la Florida N 2,994.453,19.001
168,R,2,PRINCIPE PIO,79,MADRID,A,Paseo de la Florida N 2,0,0
169,1,2,PLAZA DE CASTILLA,79,MADRID,A,Paseo de la Castellana N 189,512.648642178941,22.96
170,1,1,PLAZA DE CASTILLA,79,MADRID,A,Paseo de la Castellana N 189,1190.463,22.96
171,1,2,VALDEACEDERAS,79,MADRID,A,Calle de Bravo Murillo N 332,562.896386764196,22.96
172,1,1,VALDEACEDERAS,79,MADRID,A,Calle de Bravo Murillo N 332,514.395281290021,22.96
173,1,2,ESTRECHO,79,MADRID,A,Calle de Bravo Murillo N 191,537.544843317246,22.96
174,1,1,ESTRECHO,79,MADRID,A,Calle de Bravo Murillo N 191,755.642790028494,22.96
175,1,2,CUATRO CAMINOS,79,MADRID,A,Gta de Cuatro Caminos N 2,508.845996173937,22.96
176,1,1,CUATRO CAMINOS,79,MADRID,A,Gta de Cuatro Caminos N 2,448.179819419585,22.96
177,1,2,RIOS ROSAS,79,MADRID,A,Calle de Ríos Rosas N 22,745.688417126245,22.96
178,1,1,RIOS ROSAS,79,MADRID,A,Calle de Ríos Rosas N 22,510.403207934831,22.96
179,1,1,BILBAO,79,MADRID,A,Calle de Sagasta N 2,715.985986487508,22.96
180,1,2,BILBAO,79,MADRID,A,Calle de Sagasta N 2,463.782249025705,22.96
181,1,1,TRIBUNAL,79,MADRID,A,Calle de Fuencarral N 81,459.654038249673,22.96
182,1,2,TRIBUNAL,79,MADRID,A,Calle de Fuencarral N 81,710.625568014354,22.96
183,1,1,GRAN VIA,79,MADRID,A,Calle   Gran Vía N 23,712.569829882504,22.96
184,1,2,GRAN VIA,79,MADRID,A,Calle   Gran Vía N 23,340.243529150148,22.96
185,1,1,SOL,79,MADRID,A,Plaza de la Puerta del Sol N 6,331.172249805635,22.96
186,1,2,SOL,79,MADRID,A,Plaza de la Puerta del Sol N 6,655.299125693662,22.96
187,1,1,TIRSO DE MOLINA,79,MADRID,A,Plaza de Tirso de Molina N 7,655.275158437598,22.96
188,1,2,TIRSO DE MOLINA,79,MADRID,A,Plaza de Tirso de Molina N 7,502.131526121804,22.96
189,1,1,ANTON MARTIN,79,MADRID,A,Calle de Atocha N 50,505.299443064092,22.96
190,1,2,ANTON MARTIN,79,MADRID,A,Calle de Atocha N 50,674.97041171307,22.96
191,1,1,ATOCHA,79,MADRID,A,Plaza del Emperador Carlos V N 11,674.9789044664,22.96
192,1,2,ATOCHA,79,MADRID,A,Plaza del Emperador Carlos V N 11,308.423956010122,22.96
193,1,1,ATOCHA RENFE,79,MADRID,A,Avda de la Ciudad de Barcelona N 2B,308.981287298045,22.96
194,1,2,ATOCHA RENFE,79,MADRID,A,Avda de la Ciudad de Barcelona N 2B,702.786949584886,22.96
195,1,1,MENENDEZ PELAYO,79,MADRID,A,Avda de la Ciudad de Barcelona N 23,701.876867823958,22.96
196,1,2,MENENDEZ PELAYO,79,MADRID,A,Avda de la Ciudad de Barcelona N 23,538.623069832559,22.96
197,1,1,PACIFICO,79,MADRID,A,Avda de la Ciudad de Barcelona N 79,539.783078267116,22.96
198,1,2,PACIFICO,79,MADRID,A,Avda de la Ciudad de Barcelona N 79,713.31948755965,22.96
199,1,1,PUENTE DE VALLECAS,79,MADRID,A,Avda de la Albufera N 1,712.551579746634,22.96
200,1,2,PUENTE DE VALLECAS,79,MADRID,A,Avda de la Albufera N 1,471.115883324982,22.96
201,10a,1,PLAZA DE ESPAÑA,79,MADRID,A,Calle de los Reyes N 10,665.824018664706,31.12
202,10a,2,PLAZA DE ESPAÑA,79,MADRID,A,Calle de los Reyes N 10,937.473,31.12
203,10a,1,PRINCIPE PIO,79,MADRID,A,Paseo de la Florida N 2,907.874145680392,31.12
204,10a,2,PRINCIPE PIO,79,MADRID,A,Paseo de la Florida N 2,1538.79,31.12
205,10a,1,LAGO,79,MADRID,A,Ronda del Lago N 3,1766.07477408003,31.12
206,10a,2,LAGO,79,MADRID,A,Ronda del Lago N 3,1920.437,31.12
207,10a,1,BATAN,79,MADRID,A,Paseo de la Venta N 1,1918.45850846236,31.12
208,10a,2,BATAN,79,MADRID,A,Paseo de la Venta N 1,928.354,31.12
209,10a,1,CASA DE CAMPO,79,MADRID,A,Paseo de la Venta N SN,921.38581770468,31.12
210,10a,2,CASA DE CAMPO,79,MADRID,A,Paseo de la Venta N SN,1304.781,31.12
211,10a,1,COLONIA JARDIN,79,MADRID,A,Calle de Arenas de San Pedro N 2,1310.47638421292,31.12
212,10a,2,COLONIA JARDIN,79,MADRID,A,Calle de Arenas de San Pedro N 2,1719.862,31.12
213,11,1,PLAZA ELIPTICA,79,MADRID,A,Plaza de Fernández Ladreda N 2,0,0
214,11,2,PLAZA ELIPTICA,79,MADRID,A,Plaza de Fernández Ladreda N 2,900.485,26.52
215,11,1,ABRANTES,79,MADRID,A,Avda de Abrantes N 77,899.641,26.52
216,11,2,ABRANTES,79,MADRID,A,Avda de Abrantes N 77,783.074,26.52
217,11,1,PAN BENDITO,79,MADRID,A,Avda de Abrantes N 289,783.737,26.52
218,11,2,PAN BENDITO,79,MADRID,A,Avda de Abrantes N 289,587.013,26.52
219,10a,1,NUEVOS MINISTERIOS,79,MADRID,A,Calle de Raimundo Fernández Villaverde N 67,792.146023988993,31.12
220,10a,2,NUEVOS MINISTERIOS,79,MADRID,A,Calle de Raimundo Fernández Villaverde N 67,869.352,31.12
221,10a,1,GREGORIO MARAÑON,79,MADRID,A,Calle de Miguel Ángel N 29,869.126023533196,31.12
222,10a,2,GREGORIO MARAÑON,79,MADRID,A,Calle de Miguel Ángel N 29,1137.306,31.12
223,10a,1,ALONSO MARTINEZ,79,MADRID,A,Calle de Manuel González Longoria N 14,1141.36249995216,31.12
224,10a,2,ALONSO MARTINEZ,79,MADRID,A,Calle de Manuel González Longoria N 14,596.593,31.12
225,10a,1,TRIBUNAL,79,MADRID,A,Calle de la Palma N 5,598.979563355943,31.12
226,10a,2,TRIBUNAL,79,MADRID,A,Calle de la Palma N 5,665.992,31.12
227,9A,1,BARRIO DEL PILAR,79,MADRID,A,Calle de Ginzo de Limia N 22,966.563,26.81
228,9A,2,BARRIO DEL PILAR,79,MADRID,A,Calle de Ginzo de Limia N 22,1029.825,26.81
229,9A,1,VENTILLA,79,MADRID,A,Avda de Asturias N 39,1027.091,26.81
230,9A,2,VENTILLA,79,MADRID,A,Avda de Asturias N 39,882.344,26.81
231,9A,1,PLAZA DE CASTILLA,79,MADRID,A,Paseo de la Castellana N 189,874.877,26.81
232,9A,2,PLAZA DE CASTILLA,79,MADRID,A,Paseo de la Castellana N 189,614.556,26.81
233,9A,1,DUQUE DE PASTRANA,79,MADRID,A,Calle de Mateo Inurria N 41,617.12,26.81
234,9A,2,DUQUE DE PASTRANA,79,MADRID,A,Calle de Mateo Inurria N 41,743.838,26.81
235,9A,1,PIO XII,79,MADRID,A,Avda de Pío XII N 27,753.186,26.81
236,9A,2,PIO XII,79,MADRID,A,Avda de Pío XII N 27,704.643,26.81
237,9A,1,COLOMBIA,79,MADRID,A,Calle del Príncipe de Vergara N 269,704.36,26.81
238,9A,2,COLOMBIA,79,MADRID,A,Calle del Príncipe de Vergara N 269,724.87,26.81
239,9A,1,CONCHA ESPINA,79,MADRID,A,Calle del Príncipe de Vergara N 210,724.578,26.81
240,9A,2,CONCHA ESPINA,79,MADRID,A,Calle del Príncipe de Vergara N 210,718.474,26.81
241,9A,1,CRUZ DEL RAYO,79,MADRID,A,Calle del Príncipe de Vergara N 138,718.335,26.81
242,9A,2,CRUZ DEL RAYO,79,MADRID,A,Calle del Príncipe de Vergara N 138,709.968,26.81
243,9A,1,AVENIDA DE AMERICA,79,MADRID,A,Avda de América N 9A,709.73,26.81
244,9A,2,AVENIDA DE AMERICA,79,MADRID,A,Avda de América N 9A,727.497,26.81
245,9A,1,PRINCIPE DE VERGARA,79,MADRID,A,Calle del Príncipe de Vergara N 12,825.731,26.81
246,9A,2,PRINCIPE DE VERGARA,79,MADRID,A,Calle del Príncipe de Vergara N 12,719.766,26.81
247,9A,1,IBIZA,79,MADRID,A,Calle de Ibiza N 1,718.542,26.81
248,9A,2,IBIZA,79,MADRID,A,Calle de Ibiza N 1,958.999,26.81
249,9A,1,SAINZ DE BARANDA,79,MADRID,A,Calle del Doctor Esquerdo N 103,951.661,26.81
250,9A,2,SAINZ DE BARANDA,79,MADRID,A,Calle del Doctor Esquerdo N 103,837.984,26.81
251,9A,1,ESTRELLA,79,MADRID,A,Calle del Camino de los Vinateros N 1,840.255,26.81
252,9A,2,ESTRELLA,79,MADRID,A,Calle del Camino de los Vinateros N 1,904.737,26.81
253,9A,1,VINATEROS,79,MADRID,A,Calle del Camino de los Vinateros N 70,905.122,26.81
254,9A,2,VINATEROS,79,MADRID,A,Calle del Camino de los Vinateros N 70,851.189,26.81
255,9A,1,ARTILLEROS,79,MADRID,A,Calle del Camino de los Vinateros N 210,853.276,26.81
256,9A,2,ARTILLEROS,79,MADRID,A,Calle del Camino de los Vinateros N 210,940.51,26.81
257,9A,1,PAVONES,79,MADRID,A,Calle de la Hacienda de Pavones N 342,938.025,26.81
258,9A,2,PAVONES,79,MADRID,A,Calle de la Hacienda de Pavones N 342,1417.659,26.81
259,9A,1,VALDEBERNARDO,79,MADRID,A,Bulv de Indalecio Prieto N 26,1412.685,26.81
260,9A,2,VALDEBERNARDO,79,MADRID,A,Bulv de Indalecio Prieto N 26,1381.312,26.81
261,9A,1,VICALVARO,79,MADRID,A,Calle de San Cipriano N 11,1384.662,26.81
262,9A,2,VICALVARO,79,MADRID,A,Calle de San Cipriano N 11,512.747,26.81
263,9A,2,SAN CIPRIANO,79,MADRID,A,Calle de San Cipriano N 68,648.056,26.81
264,9A,1,SAN CIPRIANO,79,MADRID,A,Calle de San Cipriano N 68,512.031,26.81
265,9B,1,PUERTA DE ARGANDA,79,MADRID,A,Calle de San Cipriano N 85,0,0
266,9B,2,PUERTA DE ARGANDA,79,MADRID,A,Calle de San Cipriano N 85,5750.268,54.34
267,9A,1,PUERTA DE ARGANDA,79,MADRID,A,Calle de San Cipriano N 85,652.745,26.81
268,9A,2,PUERTA DE ARGANDA,79,MADRID,A,Calle de San Cipriano N 85,0,26.81
269,10a,1,FUENCARRAL,79,MADRID,A,Calle de la Fuente Chica N 21,774.06427894722,31.12
